"time","multiPort.ports_b[1].m_flow","multiPort.ports_b[1].p","multiPort.ports_b[1].h_outflow","multiPort.ports_b[1].Xi_outflow[1]","multiPort.ports_b[2].m_flow","multiPort.ports_b[2].p","multiPort.ports_b[2].h_outflow","multiPort.ports_b[2].Xi_outflow[1]","ramp.y","pipe1.port_b.m_flow","pipe1.port_b.p","pipe1.port_b.h_outflow","pipe2.port_b.m_flow","pipe2.port_b.p","pipe2.port_b.h_outflow"
0,-59.5252036908166,700000,25787.7360210555,0.01,-37.6302067572929,700000,25787.7360210555,0.01,700000,-37.6302067572929,500000,25787.7360210555,-59.5252036908166,200000,25787.7360210555
0.000202,-59.5117950423266,699868.7,25788.6897860781,0.01,-37.6143051376404,699868.7,25788.6897860781,0.01,699868.7,-37.6143051376404,500000,25788.6897860781,-59.5117950423266,200000,25788.6897860781
0.000404,-59.4983863099614,699737.4,25789.6439102337,0.01,-37.5984014442806,699737.4,25789.6439102337,0.01,699737.4,-37.5984014442806,500000,25789.6439102337,-59.4983863099614,200000,25789.6439102337
0.000606,-59.4849774936644,699606.1,25790.5983937251,0.01,-37.5824956745842,699606.1,25790.5983937251,0.01,699606.1,-37.5824956745842,500000,25790.5983937251,-59.4849774936644,200000,25790.5983937251
0.000808,-59.4715685933789,699474.8,25791.5532367554,0.01,-37.566587825917,699474.8,25791.5532367554,0.01,699474.8,-37.566587825917,500000,25791.5532367554,-59.4715685933789,200000,25791.5532367554
0.00101,-59.4581596090481,699343.5,25792.5084395278,0.01,-37.55067789564,699343.5,25792.5084395278,0.01,699343.5,-37.55067789564,500000,25792.5084395278,-59.4581596090481,200000,25792.5084395278
0.001212,-59.4447505406151,699212.2,25793.4640022456,0.01,-37.5347658811096,699212.2,25793.4640022456,0.01,699212.2,-37.5347658811096,500000,25793.4640022456,-59.4447505406151,200000,25793.4640022456
0.001414,-59.4313413880231,699080.9,25794.4199251124,0.01,-37.5188517796772,699080.9,25794.4199251124,0.01,699080.9,-37.5188517796772,500000,25794.4199251124,-59.4313413880231,200000,25794.4199251124
0.001616,-59.4179321512152,698949.6,25795.3762083317,0.01,-37.5029355886893,698949.6,25795.3762083317,0.01,698949.6,-37.5029355886893,500000,25795.3762083317,-59.4179321512152,200000,25795.3762083317
0.001818,-59.4045228301343,698818.3,25796.3328521073,0.01,-37.4870173054876,698818.3,25796.3328521073,0.01,698818.3,-37.4870173054876,500000,25796.3328521073,-59.4045228301343,200000,25796.3328521073
0.00202,-59.3911134247234,698687,25797.2898566433,0.01,-37.4710969274091,698687,25797.2898566433,0.01,698687,-37.4710969274091,500000,25797.2898566433,-59.3911134247234,200000,25797.2898566433
0.002222,-59.3777039349254,698555.7,25798.2472221437,0.01,-37.4551744517858,698555.7,25798.2472221437,0.01,698555.7,-37.4551744517858,500000,25798.2472221437,-59.3777039349254,200000,25798.2472221437
0.002424,-59.3642943606833,698424.4,25799.2049488128,0.01,-37.4392498759447,698424.4,25799.2049488128,0.01,698424.4,-37.4392498759447,500000,25799.2049488128,-59.3642943606833,200000,25799.2049488128
0.002626,-59.3508847019397,698293.1,25800.163036855,0.01,-37.4233231972081,698293.1,25800.163036855,0.01,698293.1,-37.4233231972081,500000,25800.163036855,-59.3508847019397,200000,25800.163036855
0.002828,-59.3374749586375,698161.8,25801.1214864749,0.01,-37.4073944128933,698161.8,25801.1214864749,0.01,698161.8,-37.4073944128933,500000,25801.1214864749,-59.3374749586375,200000,25801.1214864749
0.00303,-59.3240651307193,698030.5,25802.0802978771,0.01,-37.3914635203126,698030.5,25802.0802978771,0.01,698030.5,-37.3914635203126,500000,25802.0802978771,-59.3240651307193,200000,25802.0802978771
0.003232,-59.3106552181279,697899.2,25803.0394712667,0.01,-37.3755305167737,697899.2,25803.0394712667,0.01,697899.2,-37.3755305167737,500000,25803.0394712667,-59.3106552181279,200000,25803.0394712667
0.003434,-59.2972452208057,697767.9,25803.9990068485,0.01,-37.3595953995789,697767.9,25803.9990068485,0.01,697767.9,-37.3595953995789,500000,25803.9990068485,-59.2972452208057,200000,25803.9990068485
0.003636,-59.2838351386954,697636.6,25804.9589048279,0.01,-37.3436581660258,697636.6,25804.9589048279,0.01,697636.6,-37.3436581660258,500000,25804.9589048279,-59.2838351386954,200000,25804.9589048279
0.003838,-59.2704249717395,697505.3,25805.9191654101,0.01,-37.327718813407,697505.3,25805.9191654101,0.01,697505.3,-37.327718813407,500000,25805.9191654101,-59.2704249717395,200000,25805.9191654101
0.00404,-59.2570147198803,697374,25806.8797888007,0.01,-37.3117773390101,697374,25806.8797888007,0.01,697374,-37.3117773390101,500000,25806.8797888007,-59.2570147198803,200000,25806.8797888007
