"time","medium.h","medium.p"
0,800000,2000
0.005,800400,7000
0.01,800800,12000
0.015,801200,17000
0.02,801600,22000
0.025,802000,27000
0.03,802400,32000
0.035,802800,37000
0.04,803200,42000
0.045,803600,47000
0.05,804000,52000
0.055,804400,57000
0.06,804800,62000
0.065,805200,67000
0.07,805600,72000
0.075,806000,77000
0.08,806400,82000
0.085,806800,87000
0.09,807200,92000
0.095,807600,97000
0.1,808000,102000
0.105,808400,107000
0.11,808800,112000
0.115,809200,117000
0.12,809600,122000
0.125,810000,127000
0.13,810400,132000
0.135,810800,137000
0.14,811200,142000
0.145,811600,147000
0.15,812000,152000
0.155,812400,157000
0.16,812800,162000
0.165,813200,167000
0.17,813600,172000
0.175,814000,177000
0.18,814400,182000
0.185,814800,187000
0.19,815200,192000
0.195,815600,197000
0.2,816000,202000
0.205,816400,207000
0.21,816800,212000
0.215,817200,217000
0.22,817600,222000
0.225,818000,227000
0.23,818400,232000
0.235,818800,237000
0.24,819200,242000
0.245,819600,247000
0.25,820000,252000
0.255,820400,257000
0.26,820800,262000
0.265,821200,267000
0.27,821600,272000
0.275,822000,277000
0.28,822400,282000
0.285,822800,287000
0.29,823200,292000
0.295,823600,297000
0.3,824000,302000
0.305,824400,307000
0.31,824800,312000
0.315,825200,317000
0.32,825600,322000
0.325,826000,327000
0.33,826400,332000
0.335,826800,337000
0.34,827200,342000
0.345,827600,347000
0.35,828000,352000
0.355,828400,357000
0.36,828800,362000
0.365,829200,367000
0.37,829600,372000
0.375,830000,377000
0.38,830400,382000
0.385,830800,387000
0.39,831200,392000
0.395,831600,397000
0.4,832000,402000
0.405,832400,407000
0.41,832800,412000
0.415,833200,417000
0.42,833600,422000
0.425,834000,427000
0.43,834400,432000
0.435,834800,437000
0.44,835200,442000
0.445,835600,447000
0.45,836000,452000
0.455,836400,457000
0.46,836800,462000
0.465,837200,467000
0.47,837600,472000
0.475,838000,477000
0.48,838400,482000
0.485,838800,487000
0.49,839200,492000
0.495,839600,497000
0.5,840000,502000
0.505,840400,507000
0.51,840800,512000
0.515,841200,517000
0.52,841600,522000
0.525,842000,527000
0.53,842400,532000
0.535,842800,537000
0.54,843200,542000
0.545,843600,547000
0.55,844000,552000
0.555,844400,557000
0.56,844800,562000
0.565,845200,567000
0.57,845600,572000
0.575,846000,577000
0.58,846400,582000
0.585,846800,587000
0.59,847200,592000
0.595,847600,597000
0.6,848000,602000
0.605,848400,607000
0.61,848800,612000
0.615,849200,617000
0.62,849600,622000
0.625,850000,627000
0.63,850400,632000
0.635,850800,637000
0.64,851200,642000
0.645,851600,647000
0.65,852000,652000
0.655,852400,657000
0.66,852800,662000
0.665,853200,667000
0.67,853600,672000
0.675,854000,677000
0.68,854400,682000
0.685,854800,687000
0.69,855200,692000
0.695,855600,697000
0.7,856000,702000
0.705,856400,707000
0.71,856800,712000
0.715,857200,717000
0.72,857600,722000
0.725,858000,727000
0.73,858400,732000
0.735,858800,737000
0.74,859200,742000
0.745,859600,747000
0.75,860000,752000
0.755,860400,757000
0.76,860800,762000
0.765,861200,767000
0.77,861600,772000
0.775,862000,777000
0.78,862400,782000
0.785,862800,787000
0.79,863200,792000
0.795,863600,797000
0.8,864000,802000
0.805,864400,807000
0.81,864800,812000
0.815,865200,817000
0.82,865600,822000
0.825,866000,827000
0.83,866400,832000
0.835,866800,837000
0.84,867200,842000
0.845,867600,847000
0.85,868000,852000
0.855,868400,857000
0.86,868800,862000
0.865,869200,867000
0.87,869600,872000
0.875,870000,877000
0.88,870400,882000
0.885,870800,887000
0.89,871200,892000
0.895,871600,897000
0.9,872000,902000
0.905,872400,907000
0.91,872800,912000
0.915,873200,917000
0.92,873600,922000
0.925,874000,927000
0.93,874400,932000
0.935,874800,937000
0.94,875200,942000
0.945,875600,947000
0.95,876000,952000
0.955,876400,957000
0.96,876800,962000
0.965,877200,967000
0.97,877600,972000
0.975,878000,977000
0.98,878400,982000
0.985,878800,987000
0.99,879200,992000
0.995,879600,997000
1,880000,1002000
1.005,880400,1007000
1.01,880800,1012000
1.015,881200,1017000
1.02,881600,1022000
1.025,882000,1027000
1.03,882400,1032000
1.035,882800,1037000
1.04,883200,1042000
1.045,883600,1047000
1.05,884000,1052000
1.055,884400,1057000
1.06,884800,1062000
1.065,885200,1067000
1.07,885600,1072000
1.075,886000,1077000
1.08,886400,1082000
1.085,886800,1087000
1.09,887200,1092000
1.095,887600,1097000
1.1,888000,1102000
1.105,888400,1107000
1.11,888800,1112000
1.115,889200,1117000
1.12,889600,1122000
1.125,890000,1127000
1.13,890400,1132000
1.135,890800,1137000
1.14,891200,1142000
1.145,891600,1147000
1.15,892000,1152000
1.155,892400,1157000
1.16,892800,1162000
1.165,893200,1167000
1.17,893600,1172000
1.175,894000,1177000
1.18,894400,1182000
1.185,894800,1187000
1.19,895200,1192000
1.195,895600,1197000
1.2,896000,1202000
1.205,896400,1207000
1.21,896800,1212000
1.215,897200,1217000
1.22,897600,1222000
1.225,898000,1227000
1.23,898400,1232000
1.235,898800,1237000
1.24,899200,1242000
1.245,899600,1247000
1.25,900000,1252000
1.255,900400,1257000
1.26,900800,1262000
1.265,901200,1267000
1.27,901600,1272000
1.275,902000,1277000
1.28,902400,1282000
1.285,902800,1287000
1.29,903200,1292000
1.295,903600,1297000
1.3,904000,1302000
1.305,904400,1307000
1.31,904800,1312000
1.315,905200,1317000
1.32,905600,1322000
1.325,906000,1327000
1.33,906400,1332000
1.335,906800,1337000
1.34,907200,1342000
1.345,907600,1347000
1.35,908000,1352000
1.355,908400,1357000
1.36,908800,1362000
1.365,909200,1367000
1.37,909600,1372000
1.375,910000,1377000
1.38,910400,1382000
1.385,910800,1387000
1.39,911200,1392000
1.395,911600,1397000
1.4,912000,1402000
1.405,912400,1407000
1.41,912800,1412000
1.415,913200,1417000
1.42,913600,1422000
1.425,914000,1427000
1.43,914400,1432000
1.435,914800,1437000
1.44,915200,1442000
1.445,915600,1447000
1.45,916000,1452000
1.455,916400,1457000
1.46,916800,1462000
1.465,917200,1467000
1.47,917600,1472000
1.475,918000,1477000
1.48,918400,1482000
1.485,918800,1487000
1.49,919200,1492000
1.495,919600,1497000
1.5,920000,1502000
1.505,920400,1507000
1.51,920800,1512000
1.515,921200,1517000
1.52,921600,1522000
1.525,922000,1527000
