"time","elastoBacklash.phi_rel","elastoBacklash.w_rel","springDamper.phi_rel","springDamper.w_rel"
0,1.5707963267949,0,1.5707963267949,0
0.0005,1.57020831187126,-2.34992104288138,1.57001230689671,-3.13322805717518
0.001,1.56844877526271,-4.68577998129724,1.56766625808532,-6.24770664172966
0.0015,1.56552533938272,-7.00531587933504,1.56376834357866,-9.34042117244671
0.002,1.56144669779507,-9.3062962716648,1.55833015479513,-12.4083950288864
0.0025,1.55622267269529,-11.5865187183192,1.55136478799542,-15.4486916244255
0.003,1.54986416026977,-13.8438116690888,1.54288677142806,-18.4584155587851
0.0035,1.54238315116964,-16.0760380615968,1.53291209262789,-21.4347174154623
0.004,1.53379268482065,-18.2810962757049,1.5214581374959,-24.3747950342732
0.0045,1.52410690879868,-20.4569229029732,1.50854376946661,-27.2758972039642
0.005,1.51334093681637,-22.6014937021427,1.49418914015686,-30.1353249361902
0.0055,1.501510909912,-24.7128248033498,1.47841577095104,-32.9504330711331
0.006,1.48863393628191,-26.7889763322797,1.46124647277758,-35.7186351097062
0.0065,1.47472807250237,-28.8280536183307,1.44270532107152,-38.4374048244409
0.007,1.45981233085564,-30.8282066894058,1.42281766554255,-41.1042755858744
0.0075,1.44390662088012,-32.7876350343807,1.40161005224187,-43.7168467125076
0.008,1.42703173718646,-34.7045874141116,1.37911020731698,-46.2727832188154
0.0085,1.40920934887788,-36.5773630268787,1.35534702290553,-48.7698173691715
0.009,1.39046196256805,-38.4043137875688,1.33035050782576,-51.2057517167583
0.0095,1.37081288179001,-40.1838465914793,1.30415173345505,-53.5784621219724
0.01,1.3502862101149,-41.9144235808925,1.27678283788823,-55.8858981078566
0.0105,1.32890680475293,-43.5945639185278,1.24827696407228,-58.1260852247038
0.011,1.30670022922242,-45.222840739987,1.21866819669826,-60.2971209866494
0.0115,1.28369277077641,-46.797890143829,1.18799158543692,-62.3971868584387
0.012,1.25991137753306,-48.318406985375,1.15628306111245,-64.4245426471667
0.0125,1.23538361191393,-49.7831455491201,1.12357937362027,-66.3775273988268
0.013,1.21013767434197,-51.1909243285487,1.08991812352433,-68.2545657713982
0.0135,1.18420233043151,-52.5406236894264,1.05533766497705,-70.0541649192352
0.014,1.15760687096351,-53.8311850306825,1.01987705235305,-71.7749133742433
0.0145,1.130381127534,-55.0616177990986,0.983576061113704,-73.4154903987982
0.015,1.10255540048586,-56.2309948226145,0.94647509171618,-74.9746597634859
0.0155,1.07416042282666,-57.3384522878266,0.90861512150392,-76.4512697171021
0.016,1.04522736701999,-58.3831962296521,0.870037713761681,-77.8442616395361
0.0165,1.01578777539615,-59.3644973661206,0.830784924929896,-79.1526631548274
0.017,0.985873527973872,-60.2816915514663,0.790899261700197,-80.3755887352884
0.0175,0.955516839166909,-61.134185624493,0.750423676624247,-81.512247499324
0.018,0.924750193384556,-61.9214517246507,0.709401482247776,-82.5619356328675
0.0185,0.893606315975228,-62.6430283610924,0.667876312368671,-83.5240378147899
0.019,0.862118158863037,-63.298525431607,0.625892102885751,-84.3980339088093
0.0195,0.830318844992455,-63.8876181545702,0.583493017724974,-85.1834908727603
0.02,0.798241640172016,-64.4100488794805,0.540723411297722,-85.8800651726406
0.0205,0.765919928084483,-64.8656309292301,0.497627795181011,-86.4875079056401
0.021,0.733387165966251,-65.2542424482001,0.454250779023368,-87.0056565976001
0.0215,0.700676854209315,-65.575828947621,0.410637030014122,-87.434438596828
0.022,0.667822504362997,-65.8304057902983,0.366831230219031,-87.7738743870644
0.0225,0.634857605287944,-66.0180520962092,0.322878031452292,-88.0240694616122
0.023,0.601815588225565,-66.138914027219,0.278822008702455,-88.1852187029587
0.0235,0.568729792187573,-66.1932058652562,0.234707613985132,-88.2576078203415
0.0236592180214795,0.558190285218362,-66.1964949763532,0.220654938290908,-88.2619753163633
0.0236592180214795,0.558190285218362,-66.1964949763532,0.220654938290908,-88.2619753163633
0.024,0.535631712689197,-66.1964949763532,0.190579800576417,-88.2415063525218
0.0245,0.502533465201021,-66.1964949763532,0.146483726756847,-88.1376050452918
0.025,0.469435217712844,-66.1964949763532,0.102461229684008,-87.9463190529995
0.0255,0.436336970224667,-66.1964949763532,0.0585542545027949,-87.6682521945821
0.026,0.403238722736491,-66.1964949763532,0.0148074341309874,-87.3041233974663
0.0261592175090468,0.392699081698724,-66.1964949763532,0.000917569692799502,-87.1702348544665
0.0261592175090468,0.392699081698724,-66.1964949763532,0.000917569692799502,-87.1702348544665
0.0261592180214926,0.392699047776613,-66.1964949763532,0.000917525022789739,-87.1702344096453
0.0261592180214926,0.392699047776613,-66.1964949763532,0.000917525022789739,-87.1702344096453
0.0265,0.370140475248314,-66.1964949763532,-0.0287353887805036,-86.8547387376875
0.027,0.337042227760138,-66.1964949763532,-0.0720309975564613,-86.3209941730447
0.0275,0.303943980271961,-66.1964949763532,-0.115039836080546,-85.7037980628715
0.028,0.270845732783784,-66.1964949763532,-0.157720282183461,-85.0041816267979
