"time","body1.frame_a.r_0[1]","body1.frame_a.r_0[2]","body1.frame_a.r_0[3]","body1.v_0[1]","body1.v_0[2]","body1.v_0[3]","body1.w_a[1]","body1.w_a[2]","body1.w_a[3]","body2.frame_a.r_0[1]","body2.frame_a.r_0[2]","body2.frame_a.r_0[3]","body2.v_0[1]","body2.v_0[2]","body2.v_0[3]","body2.w_a[1]","body2.w_a[2]","body2.w_a[3]"
0,0,0.6,0,1,0,0,0,0,0,0.6,0.6,0,0.6,0,0,0,0,0
0.001,0.000999999010777143,0.599998611095493,0,0.999997685155566,-0.00277777832744517,0,0,0,0,0.600599509052881,0.599999509262455,0,0.599018152245238,-0.000981357330993437,0,0,0,0
0.002,0.00199999208861088,0.599994444423006,0,0.99999074064762,-0.0055555599509839,0,0,0,0,0.601198036643738,0.599998038317667,0,0.598036792366171,-0.00196124845321379,0,0,0,0
0.003,0.00299997474074959,0.59998749996549,0,0.999979166371398,-0.00833334736653185,0,0,0,0,0.601795583240002,0.59999558858037,0,0.597055917971618,-0.00293967858138853,0,0,0,0
0.004,0.00399993671705578,0.599977777697408,0,0.999962961910924,-0.0111111462682112,0,0,0,0,0.602392149904845,0.59999216326008,0,0.596075523632331,-0.00391665951476289,0,0,0,0
0.005,0.00499987743814327,0.599965277617336,0,0.999942127243025,-0.0138889569778812,0,0,0,0,0.602987736698381,0.599987762538254,0,0.595095609041375,-0.00489219192046048,0,0,0,0
0.006,0.00599979792440974,0.599949999727785,0,0.999916662408513,-0.016666778928693,0,0,0,0,0.603582343514739,0.599982386095315,0,0.594116174739314,-0.00586627462356309,0,0,0,0
0.007,0.00699967016048991,0.599931943895887,0,0.999886565174963,-0.0194446276805328,0,0,0,0,0.6041759731979,0.59997604256817,0,0.593137206039406,-0.0068389393230003,0,0,0,0
0.008,0.00799949372965831,0.599911110119663,0,0.999851835509168,-0.0222225034648523,0,0,0,0,0.604768625790166,0.599968732085295,0,0.592158702723189,-0.00781018649029017,0,0,0,0
0.009,0.00899927681785313,0.59988749843794,0,0.999812474063431,-0.0250004017351367,0,0,0,0,0.605360300460543,0.599960452123029,0,0.591180669082048,-0.00878000686317697,0,0,0,0
0.01,0.00999901942507437,0.599861108850715,0,0.999768480837751,-0.0277783224913862,0,0,0,0,0.605950997209031,0.599951202681374,0,0.590203105115984,-0.0097484004416607,0,0,0,0
0.011,0.010998721551322,0.59983194135799,0,0.999719855832129,-0.0305562657336008,0,0,0,0,0.60654071603563,0.599940983760329,0,0.589226010824996,-0.0107153672257413,0,0,0,0
0.012,0.0119983831965961,0.599799995959765,0,0.999666599046564,-0.0333342314617803,0,0,0,0,0.607129456940339,0.599929795359894,0,0.588249386209085,-0.0116809072154189,0,0,0,0
0.013,0.0129979754768154,0.59976527245031,0,0.999608706240549,-0.0361122356840833,0,0,0,0,0.607717222789068,0.599917646241783,0,0.587273216310907,-0.0126450522931109,0,0,0,0
0.014,0.0139974753185572,0.599727770665282,0,0.999546174026646,-0.0388902911882803,0,0,0,0,0.608304015871187,0.599904543405099,0,0.586297489182114,-0.013607827927396,0,0,0,0
0.015,0.0149969148426024,0.599687490833465,0,0.999479007120547,-0.0416683801723667,0,0,0,0,0.608889832999637,0.599890477106307,0,0.585322221456141,-0.0145691986631688,0,0,0,0
0.016,0.0159962940489509,0.599644432954859,0,0.999407205522252,-0.0444465026363424,0,0,0,0,0.609474674174419,0.599875447345409,0,0.58434741313299,-0.0155291645004293,0,0,0,0
0.017,0.0169956129376029,0.599598597029463,0,0.99933076923176,-0.0472246585802076,0,0,0,0,0.610058539395532,0.599859454122402,0,0.583373064212659,-0.0164877254391774,0,0,0,0
0.018,0.0179948715085581,0.599549983057278,0,0.999249698249073,-0.0500028480039622,0,0,0,0,0.610641428662976,0.599842497437289,0,0.582399174695149,-0.0174448814794131,0,0,0,0
0.019,0.0189940563840393,0.599498590913121,0,0.999163989921484,-0.0527810783000359,0,0,0,0,0.611223343275247,0.599824581286129,0,0.581425737728267,-0.0184006470911617,0,0,0,0
0.02,0.0199930891461431,0.599444419863189,0,0.99907362869936,-0.0555593928013992,0,0,0,0,0.611804290843868,0.599805729093048,0,0.580452713145799,-0.0193551070948669,0,0,0,0
0.021,0.0209920338530194,0.599387470506912,0,0.998978627284912,-0.0583377561101418,0,0,0,0,0.612384265151126,0.599785921723307,0,0.57948013375879,-0.0203081922022608,0,0,0,0
0.022,0.021990890504668,0.59932774284429,0,0.99887898567814,-0.0611161682262636,0,0,0,0,0.612963266197019,0.599765159176906,0,0.57850799956724,-0.0212599024133433,0,0,0,0
0.023,0.022989659101089,0.599265236875323,0,0.998774703879044,-0.0638946291497647,0,0,0,0,0.613541293981548,0.599743441453845,0,0.577536310571148,-0.0222102377281145,0,0,0,0
0.024,0.0239883396422825,0.599199952600011,0,0.998665781887625,-0.0666731388806449,0,0,0,0,0.614118348504713,0.599720768554124,0,0.576565066770515,-0.0231591981465743,0,0,0,0
0.025,0.0249869321282483,0.599131890018353,0,0.998552219703882,-0.0694516974189044,0,0,0,0,0.614694429766514,0.599697140477743,0,0.57559426816534,-0.0241067836687228,0,0,0,0
0.026,0.02598534762273,0.599061048024368,0,0.998433993435626,-0.0722303536558352,0,0,0,0,0.615269546134319,0.59967258322411,0,0.57462386988949,-0.0250530878291456,0,0,0,0
0.027,0.0269836345416518,0.598987427220139,0,0.998311116089504,-0.0750090809755533,0,0,0,0,0.615843693053025,0.599647082639431,0,0.573653896367596,-0.0259980597086385,0,0,0,0
0.028,0.0279818046890753,0.598911027752458,0,0.998183590836606,-0.0777878728889636,0,0,0,0,0.616416869412074,0.599620635272937,0,0.572684353554515,-0.0269416868928267,0,0,0,0
0.029,0.0289798580650006,0.598831849621326,0,0.998051417676931,-0.080566729396066,0,0,0,0,0.616989075211464,0.599593241124627,0,0.571715241450246,-0.0278839693817103,0,0,0,0
0.03,0.0299777946694276,0.598749892826742,0,0.997914596610479,-0.0833456504968606,0,0,0,0,0.617560310451196,0.599564900194502,0,0.570746560054791,-0.0288249071752892,0,0,0,0
0.031,0.0309756145023564,0.598665157368707,0,0.997773127637251,-0.0861246361913473,0,0,0,0,0.61813057513127,0.59953561248256,0,0.569778309368148,-0.0297645002735634,0,0,0,0
0.032,0.0319732803038509,0.598577642607342,0,0.997626996430982,-0.0889037067075658,0,0,0,0,0.618699872584658,0.599505388515252,0,0.568810471045366,-0.0307027861105346,0,0,0,0
0.033,0.0329707790953739,0.598487348319765,0,0.997476198001487,-0.0916828690914317,0,0,0,0,0.619268203972312,0.599474231959195,0,0.567843038696454,-0.0316397777253715,0,0,0,0
0.034,0.0339681276908716,0.598394274794726,0,0.997320738813647,-0.0944621142148249,0,0,0,0,0.619835567790196,0.599442138064215,0,0.56687602059977,-0.0325754582255785,0,0,0,0
