"time","transformerL.inductor[2].i","transformerL.inductor[3].i"
0,0,0
0.0005,-0.133026136595453,0.131790328519335
0.001,-0.245862277001922,0.241187574986677
0.0015,-0.34171883465109,0.331756977276139
0.002,-0.423287304245069,0.406488128479035
0.0025,-0.4928277728394,0.467892053724168
0.003,-0.552237393705738,0.51807716810026
0.0035,-0.603108246340081,0.558813460373575
0.004,-0.646777062798219,0.591587653954148
0.0045,-0.684365376967713,0.617647743976552
0.005,-0.716814447332751,0.638041736520867
0.0055,-0.744914210937013,0.653649766591643
0.006,-0.769327636420193,0.665211112251344
0.0065,-0.790610970795808,0.673346653634405
0.007,-0.809231009107847,0.678578029411249
0.0075,-0.825579415642809,0.681343522517578
0.008,-0.839984790267812,0.682011444530613
0.0085,-0.852722817690503,0.68089139341303
0.009,-0.864024757753938,0.678243670953798
0.0095,-0.874084602940192,0.67428722173344
0.01,-0.88306504804544,0.66920625442255
0.0105,-0.891102548739369,0.663155852374295
0.011,-0.898311508155836,0.656266616937652
0.0115,-0.904787744859263,0.648648513598276
0.012,-0.910611733746137,0.640394466236334
0.0125,-0.915851075360473,0.631583095462776
0.013,-0.92056229997617,0.622280719013041
0.0135,-0.924792720716007,0.612543406540653
0.014,-0.92858197142352,0.602418684709653
0.0145,-0.931963290723496,0.591946960737542
0.015,-0.934964557827638,0.581162670553087
0.0155,-0.937609147704844,0.570095226580003
0.016,-0.939916651916716,0.558769816507588
0.0165,-0.941903462474861,0.547208050118506
0.017,-0.943583332290438,0.535428580155338
0.0175,-0.944967811451658,0.523447585449727
0.018,-0.946066606738209,0.511279168904952
0.0185,-0.946887882009454,0.498935689896953
0.019,-0.947438513148195,0.486428046271097
0.0195,-0.947724306080306,0.473765915386014
0.02,-0.947750176105475,0.460957952249616
0.0205,-0.947520304501628,0.448011962451301
0.021,-0.947038264025693,0.434935040599804
0.0215,-0.946307124384877,0.421733686551328
0.022,-0.945329524525451,0.408413884846605
0.0225,-0.94410776669368,0.394981208287203
0.023,-0.942643894838332,0.381440904163243
0.0235,-0.940939780984332,0.367797989307013
0.024,-0.938997118307834,0.354057241713002
0.0245,-0.936817337377221,0.340223106985532
0.025,-0.934401921025025,0.326300046720546
0.0255,-0.931752142562904,0.312292247688026
0.026,-0.92886931881595,0.298203901523596
0.0265,-0.925754643640028,0.284039019680764
0.027,-0.922409305634422,0.269801563147841
0.0275,-0.918834503643082,0.255495459012704
0.028,-0.915031392207115,0.241124539482302
0.0285,-0.911001188838735,0.226692659918194
0.029,-0.90674507173581,0.212203585203959
0.0295,-0.902264295581153,0.197661117094233
0.03,-0.8975601071285,0.183069000410305
0.0305,-0.89263379430459,0.168430976681585
0.031,-0.887486689851266,0.153750787628826
0.0315,-0.882120139720206,0.139032139757444
0.032,-0.876535553432608,0.124278759282479
0.0325,-0.870734362936615,0.109494346473069
0.033,-0.864718055575099,0.0946826111410085
0.0335,-0.858488157667763,0.0798472543896993
0.034,-0.852046243122745,0.0649919774153255
0.0345,-0.84539393259712,0.0501204801510119
0.035,-0.838532886050299,0.0352364528652463
0.0355,-0.831464818606571,0.0203435926886454
0.036,-0.824191492020884,0.00544559403108767
0.0365,-0.816714717880206,-0.00945384843917538
0.037,-0.809036355204364,-0.0243510425526563
0.0375,-0.80115831597407,-0.0392422935145768
0.038,-0.793082564989762,-0.0541239044170964
0.0385,-0.784811119409074,-0.0689921770710667
0.039,-0.77634601003582,-0.0838434530179008
0.0395,-0.767689309039469,-0.098674084906577
0.04,-0.758843177170502,-0.113480387444058
0.0405,-0.749809802172639,-0.128258702342916
0.041,-0.740591414502442,-0.143005381262681
0.0415,-0.731190284285392,-0.157716788492291
0.042,-0.721608734484877,-0.172389292045206
0.0425,-0.71184912857125,-0.187019272979273
0.043,-0.701913873863462,-0.201603122805126
0.0435,-0.6918054241369,-0.216137237216664
0.044,-0.681526272074789,-0.230618033765276
0.0445,-0.671078954461846,-0.245041939494281
0.045,-0.660466050409069,-0.259405395002436
0.0455,-0.649690175839411,-0.273704855453428
0.046,-0.638753993068514,-0.287936790632471
0.0465,-0.62766020382077,-0.302097686048575
0.047,-0.61641155001542,-0.316184043546312
0.0475,-0.605010797797814,-0.330192394360403
0.048,-0.593460759918298,-0.344119281902877
0.0485,-0.581764290286656,-0.357961266416507
0.049,-0.569924275786357,-0.371714931781655
0.0495,-0.557943639016527,-0.385376883735414
0.05,-0.545825337654583,-0.398943750746439
0.0505,-0.533572360553912,-0.412412182640521
0.051,-0.521187732460205,-0.425778855163616
0.0515,-0.508674511920424,-0.439040469855221
0.052,-0.496035788841833,-0.452193753680702
0.0525,-0.483274684706236,-0.465235460492782
0.053,-0.470394351907427,-0.478162371889031
0.0535,-0.457397954219294,-0.490971300707095
0.054,-0.444288697193286,-0.50365908754028
0.0545,-0.431069820672599,-0.516222602548853
0.055,-0.417744585569169,-0.528658748073363
0.0555,-0.404316278943033,-0.540964458689447
0.056,-0.390788213233483,-0.553136702080176
0.0565,-0.377163726140261,-0.56517246280798
0.057,-0.363446178813278,-0.577068770583063
0.0575,-0.349638955226548,-0.588822697379599
0.058,-0.335745461927962,-0.60043134466488
0.0585,-0.321769127046062,-0.611891850174069
0.059,-0.307713399524374,-0.623201388698851
0.0595,-0.293581744538186,-0.634357160589411
0.06,-0.279377648581834,-0.645356411380686
0.0605,-0.2651046185289,-0.656196432020604
0.061,-0.250766177264163,-0.666874548064537
0.0615,-0.236365864392961,-0.67738812521135
0.062,-0.22190723545742,-0.68773457003378
0.0625,-0.207393850617179,-0.697911325295356
0.063,-0.192829289117445,-0.707915878517635
0.0635,-0.178217150110489,-0.717745763535411
0.064,-0.163561040261071,-0.727398555261121
0.0645,-0.148864577483919,-0.736871872738386
0.065,-0.134131390107608,-0.746163379845484
0.0655,-0.119365106905153,-0.755270778733892
0.066,-0.104569368635382,-0.764191820377276
0.0665,-0.0897478305530289,-0.772924307936693
0.067,-0.0749041499433038,-0.781466088213678
0.0675,-0.0600419896272988,-0.789815055807151
0.068,-0.0451650170782503,-0.797969153779016
0.0685,-0.0302769009372624,-0.80592636118585
