"time","Inertia2.phi","Inertia2.w","gear.mode"
0,0,0,0
4.75000081058928e-11,-3.35875721111107e-19,-5.00000000070701e-11,0
4.75000081058928e-11,-3.35875721111107e-19,-5.00000000070701e-11,-1
0.0005,-1.30916260406191e-07,-0.000522975959062146,-1
0.001,-5.21236087716529e-07,-0.00103927230058887,-1
0.0015,-1.16792811064522e-06,-0.00154888911985083,-1
0.002,-2.06763605435639e-06,-0.00205182658910447,-1
0.0025,-3.21717108306644e-06,-0.00254808492983096,-1
0.003,-4.61340186424217e-06,-0.00303766442325012,-1
0.0035,-6.2530538694327e-06,-0.00352056542284343,-1
0.004,-8.13259910339749e-06,-0.00399678837541565,-1
0.0045,-1.02486669663543e-05,-0.00446633373531866,-1
0.005,-1.25978543014259e-05,-0.00492920207120931,-1
0.0055,-1.51768435025639e-05,-0.00538539412871752,-1
0.006,-1.79822918931613e-05,-0.00583491060022285,-1
0.0065,-2.10108465689757e-05,-0.00627775215247185,-1
0.007,-2.42591443861845e-05,-0.00671391966686511,-1
0.0075,-2.7723829767258e-05,-0.00714341392984445,-1
0.008,-3.14015529657025e-05,-0.00756623565467078,-1
0.0085,-3.52890210897284e-05,-0.00798238629747079,-1
0.009,-3.93828867046054e-05,-0.00839186668499695,-1
0.0095,-4.36798079289788e-05,-0.00879467772184976,-1
0.01,-4.81764692799594e-05,-0.00919082119071802,-1
0.0105,-5.2869531169217e-05,-0.00958029794891639,-1
0.011,-5.7755661926592e-05,-0.00996310924467183,-1
0.0115,-6.28315327327355e-05,-0.0103392569372519,-1
0.012,-6.80938111226493e-05,-0.0107087421045184,-1
0.0125,-7.35391668054886e-05,-0.0110715662808561,-1
0.013,-7.91642714813033e-05,-0.011427731408434,-1
0.0135,-8.49657936744075e-05,-0.011777238778952,-1
0.014,-9.09404057544919e-05,-0.0121200901480789,-1
0.0145,-9.70847829886826e-05,-0.0124562875240741,-1
0.015,-0.000103395597283865,-0.0127858326222601,-1
0.0155,-0.000109869522717699,-0.0131087273472018,-1
0.016,-0.000116503234079463,-0.0134249736655013,-1
0.0165,-0.000123293406870055,-0.0137345736057977,-1
0.017,-0.000130236720766497,-0.0140375293984228,-1
0.0175,-0.000137329853050146,-0.0143338432104897,-1
0.018,-0.000144569481846655,-0.0146235172764967,-1
0.0185,-0.000151952286721836,-0.0149065539223474,-1
0.019,-0.000159474948093045,-0.0151829555416224,-1
0.0195,-0.000167134148346999,-0.0154527245864613,-1
0.02,-0.000174926581606674,-0.0157158634878876,-1
0.0205,-0.000182848926643861,-0.015972374876778,-1
0.021,-0.000190897869684169,-0.0162222613978279,-1
0.0215,-0.000199070098059255,-0.0164655257613338,-1
0.022,-0.000207362300206831,-0.0167021707431936,-1
0.0225,-0.000215771169887962,-0.0169321991582467,-1
0.023,-0.000224293404220479,-0.0171556138727059,-1
0.0235,-0.000232925692525086,-0.0173724178746668,-1
0.024,-0.000241664729674691,-0.0175826141897197,-1
0.0245,-0.000250507211840568,-0.0177862059078406,-1
0.025,-0.000259449836492359,-0.0179831961833911,-1
0.0255,-0.000268489309292064,-0.018173588224823,-1
0.026,-0.000277622331318537,-0.0183573853137569,-1
0.0265,-0.000286845603628416,-0.018534590798171,-1
0.027,-0.000296155830662687,-0.018705208087314,-1
0.0275,-0.000305549718325879,-0.0188692406545735,-1
0.028,-0.000315023974222143,-0.0190266920378132,-1
0.0285,-0.000324575317107248,-0.0191775658528795,-1
0.029,-0.000334200453521245,-0.0193218657602109,-1
0.0295,-0.000343896096871314,-0.0194595954921058,-1
0.03,-0.000353658962191872,-0.0195907588452358,-1
0.0305,-0.00036348576614457,-0.0197153596806451,-1
0.031,-0.000373373229637121,-0.0198334019220717,-1
0.0315,-0.000383318079202658,-0.0199448895550632,-1
0.032,-0.000393317035034223,-0.020049826634648,-1
0.0325,-0.00040336682289911,-0.0201482172776965,-1
0.033,-0.00041346417064034,-0.0202400656651647,-1
0.0335,-0.000423605808209344,-0.0203253760420728,-1
0.034,-0.000433788467698643,-0.0204041527174842,-1
0.0345,-0.000444008883374522,-0.0204764000644848,-1
0.035,-0.000454263791709716,-0.0205421225201621,-1
0.0355,-0.000464549931416087,-0.0206013245855838,-1
0.036,-0.000474864043477303,-0.0206540108257775,-1
0.0365,-0.000485202871181516,-0.020700185869709,-1
0.037,-0.000495563158678177,-0.0207398544118963,-1
0.0375,-0.000505941654668833,-0.0207730212083376,-1
0.038,-0.000516335109444208,-0.0207996910798073,-1
0.0385,-0.000526740275648694,-0.0208198689110251,-1
0.039,-0.000537153908371922,-0.0208335596505696,-1
0.0395,-0.000547572765180247,-0.0208407683108584,-1
0.04,-0.000557993606148222,-0.0208414999681292,-1
0.0405,-0.000568413193890085,-0.0208357597624193,-1
0.041,-0.000578828293591236,-0.0208235528975468,-1
0.0415,-0.000589235673039721,-0.0208048846410904,-1
0.042,-0.000599632102657709,-0.02077976032437,-1
0.0425,-0.000610014357495327,-0.0207481852866097,-1
0.043,-0.00062037921398315,-0.0207101649681862,-1
0.0435,-0.000630723449676217,-0.0206657049187859,-1
0.044,-0.000641043846160097,-0.02061481071562,-1
0.0445,-0.000651337187844351,-0.0205574879986195,-1
0.045,-0.000661600261995488,-0.0204937424703735,-1
0.0455,-0.000671829858769931,-0.0204235798960674,-1
0.046,-0.000682022771246974,-0.0203470061034213,-1
0.0465,-0.000692175795461749,-0.0202640269826278,-1
0.047,-0.000702285730438183,-0.0201746484862908,-1
0.0475,-0.000712349378221963,-0.0200788766293637,-1
0.048,-0.000722363543216457,-0.0199767174918948,-1
0.0485,-0.000732325030222506,-0.0198681772269941,-1
0.049,-0.000742230652900324,-0.0197532620268212,-1
0.0495,-0.000752077225398944,-0.019631978156371,-1
0.05,-0.00076186156502355,-0.0195043319428021,-1
0.0505,-0.000771580492267163,-0.0193703297753793,-1
0.051,-0.000781230830842325,-0.0192299781054175,-1
0.0515,-0.000790809407712779,-0.0190832834462248,-1
0.052,-0.000800313053125162,-0.0189302523730464,-1
0.0525,-0.000809738600640681,-0.0187708915230075,-1
0.053,-0.000819082887166802,-0.0186052075950567,-1
0.0535,-0.000828342752988931,-0.01843320734991,-1
0.054,-0.000837515039927321,-0.0182548976114623,-1
0.0545,-0.000846596595719293,-0.0180702852633227,-1
0.055,-0.000855584271225191,-0.0178793772509719,-1
0.0555,-0.00086447492038709,-0.0176821805817623,-1
0.056,-0.000873265400667834,-0.0174787023245427,-1
0.0565,-0.000881952573082109,-0.0172689496096019,-1
0.057,-0.000890533302227518,-0.0170529296286128,-1
0.0575,-0.000899004456315654,-0.0168306496345762,-1
0.058,-0.000907362907203174,-0.0166021169417647,-1
0.0585,-0.000915605530422878,-0.0163673389256663,-1
0.059,-0.000923729205214776,-0.0161263230229288,-1
0.0595,-0.000931730814140992,-0.0158790767253854,-1
0.06,-0.000939607243486737,-0.0156256075852585,-1
0.0605,-0.000947355384234031,-0.0153659232285081,-1
0.061,-0.000954972130685585,-0.0151000313347654,-1
0.0615,-0.00096245438099958,-0.0148279396444392,-1
0.062,-0.000969799037220466,-0.0145496559586563,-1
0.0625,-0.000977003005309747,-0.0142651881392008,-1
0.063,-0.000984063195176777,-0.0139745441084545,-1
0.0635,-0.00099097652070955,-0.0136777318493361,-1
0.064,-0.000997739899805493,-0.0133747594052418,-1
0.0645,-0.00100435025440226,-0.0130656348799846,-1
0.065,-0.00101080451048652,-0.0127503664366084,-1
0.0655,-0.00101709959696189,-0.0124289622377994,-1
0.066,-0.00102323244884381,-0.0121014306077982,-1
0.0665,-0.00102920000445744,-0.0117677798873233,-1
0.067,-0.00103499920631448,-0.0114280184768168,-1
0.0675,-0.00104062700114362,-0.0110821548363688,-1
0.068,-0.00104608033992102,-0.010730197485641,-1
0.0685,-0.00105135617790083,-0.010372155003791,-1
0.069,-0.0010564514746456,-0.0100080360293963,-1
0.0695,-0.00106136319405685,-0.00963784926037817,-1
0.07,-0.0010660883044055,-0.00926160345392604,-1
0.0705,-0.00107062377836233,-0.00887930742642116,-1
0.071,-0.00107496659302854,-0.0084909700533608,-1
0.0715,-0.00107911372996617,-0.00809660026928227,-1
0.072,-0.00108306217522858,-0.00769620706768694,-1
0.0725,-0.00108680891939098,-0.00728979950096428,-1
0.073,-0.00109035095758088,-0.00687738668031585,-1
0.0735,-0.00109368528950855,-0.00645897777567942,-1
0.074,-0.00109680891949758,-0.0060345820156529,-1
0.0745,-0.00109971885651527,-0.00560420868741845,-1
0.075,-0.00110241211420317,-0.00516786713666646,-1
0.0755,-0.00110488571090754,-0.00472556676751961,-1
0.076,-0.00110713666970986,-0.00427731704245689,-1
0.0765,-0.00110916201705848,-0.0038231274873345,-1
0.077,-0.00111095878195488,-0.00336300769438594,-1
0.0775,-0.00111252400548116,-0.0028969672875417,-1
