"time","junctionIdeal.medium.h","junctionIdeal.medium.p","junctionVolume.medium.h","pipe1.mediums[1].h","pipe1.mediums[1].p","pipe2.mediums[1].h","pipe2.mediums[1].p","pipe3.mediums[1].h","pipe3.mediums[1].p","valveOpening1.a","valveOpening1.b","valveOpening1.last","valveOpening1.nextEvent","valveOpening2.a","valveOpening2.b","valveOpening2.last","valveOpening2.nextEvent"
0,113032.108473753,500000,84013.0581525969,84385.8376489031,497500,84381.1337746141,492500,84381.1337746141,492500,0,1,2,1,0,1,2,3
0.001,112581.615781481,181427.891352506,84013.3506757043,84252.9343686848,340821.307445121,84003.2368245241,101890.304109375,84003.2368245241,101890.304109375,0,1,2,1,0,1,2,3
0.002,112451.031556849,181425.722102806,84013.3339931674,84279.0856086935,340813.548869728,84016.1941270476,101890.240993948,84016.1941270476,101890.240993948,0,1,2,1,0,1,2,3
0.003,112321.348242077,181426.666344099,84013.3910321883,84305.2156646291,340814.031550628,84029.0710238437,101890.254949626,84029.0710238437,101890.254949626,0,1,2,1,0,1,2,3
0.004,112192.646799132,181427.58347552,84013.5280818901,84331.3131829335,340814.460994988,84041.8600031839,101890.268278879,84041.8600031839,101890.268278879,0,1,2,1,0,1,2,3
0.005,112064.620889379,181428.493942751,84013.7198517933,84357.3882413529,340814.88551348,84054.5885475848,101890.281473671,84054.5885475848,101890.281473671,0,1,2,1,0,1,2,3
0.006,111937.267723207,181429.398093784,84013.9658870698,84383.4408592624,340815.306657072,84067.2569424963,101890.29453903,84067.2569424963,101890.29453903,0,1,2,1,0,1,2,3
0.007,111810.769571488,181430.294317991,84014.2804847962,84409.4648234618,340815.723728907,84079.8489551163,101890.3074427,84079.8489551163,101890.3074427,0,1,2,1,0,1,2,3
0.008,111684.705626872,181431.18618198,84014.6296242077,84435.4741440555,340816.13856293,84092.4022212686,101890.320252401,84092.4022212686,101890.320252401,0,1,2,1,0,1,2,3
0.009,111559.249584546,181432.071941539,84015.0271229608,84461.4629631848,340816.550263951,84104.9012412642,101890.332930542,84104.9012412642,101890.332930542,0,1,2,1,0,1,2,3
0.01,111434.389617145,181432.951914891,84015.4718845954,84487.43162782,340816.958992588,84117.3470953677,101890.345486828,84117.3470953677,101890.345486828,0,1,2,1,0,1,2,3
0.011,111310.246981631,181433.825389977,84015.9731608791,84513.3759170032,340817.364376531,84129.729026204,101890.357913129,84129.729026204,101890.357913129,0,1,2,1,0,1,2,3
0.012,111186.758116073,181434.692740052,84016.5261021094,84539.2980433266,340817.766610942,84142.0526727031,101890.370213708,84142.0526727031,101890.370213708,0,1,2,1,0,1,2,3
0.013,111063.956035614,181435.553861485,84017.1324913301,84565.1966100449,340818.165656073,84154.3152245098,101890.382389609,84154.3152245098,101890.382389609,0,1,2,1,0,1,2,3
0.014,110941.834276643,181436.408774565,84017.7919794619,84591.0718906087,340818.561519706,84166.5172318276,101890.39444063,84166.5172318276,101890.39444063,0,1,2,1,0,1,2,3
0.015,110820.387853965,181437.257551451,84018.503617493,84616.9238636548,340818.954238593,84178.6592303762,101890.406368705,84178.6592303762,101890.406368705,0,1,2,1,0,1,2,3
0.016,110699.614437505,181438.100294488,84019.266136467,84642.7522371762,340819.343867252,84190.7416057691,101890.41817728,84190.7416057691,101890.41817728,0,1,2,1,0,1,2,3
0.017,110579.515353538,181438.936945423,84020.0802586713,84668.5571773828,340819.730374652,84202.7641385159,101890.429864394,84202.7641385159,101890.429864394,0,1,2,1,0,1,2,3
0.018,110460.090602062,181439.767504255,84020.9459841058,84694.3386842744,340820.113760794,84214.7268286167,101890.441430047,84214.7268286167,101890.441430047,0,1,2,1,0,1,2,3
0.019,110341.340183079,181440.591970984,84021.8633127706,84720.0967578511,340820.494025676,84226.6296760714,101890.452874238,84226.6296760714,101890.452874238,0,1,2,1,0,1,2,3
0.02,110223.236506708,181441.410706338,84022.8279330901,84745.8315778226,340820.871351163,84238.4755031631,101890.464206229,84238.4755031631,101890.464206229,0,1,2,1,0,1,2,3
0.021,110105.762120073,181442.223938509,84023.8371176366,84771.5432578702,340821.245852299,84250.2660952189,101890.475431876,84250.2660952189,101890.475431876,0,1,2,1,0,1,2,3
0.022,109988.940979264,181443.031354278,84024.8946101196,84797.2316419531,340821.617371172,84261.9990016713,101890.486543139,84261.9990016713,101890.486543139,0,1,2,1,0,1,2,3
0.023,109872.77308428,181443.832953645,84026.000410539,84822.8967300715,340821.985907784,84273.6742225201,101890.497540019,84273.6742225201,101890.497540019,0,1,2,1,0,1,2,3
0.024,109757.258435121,181444.62873661,84027.1545188947,84848.5385222253,340822.351462133,84285.2917577653,101890.508422515,84285.2917577653,101890.508422515,0,1,2,1,0,1,2,3
0.025,109642.397031788,181445.418703174,84028.356935187,84874.1570184145,340822.71403422,84296.8516074071,101890.519190627,84296.8516074071,101890.519190627,0,1,2,1,0,1,2,3
0.026,109528.188874279,181446.202853335,84029.6076594156,84899.7522186391,340823.073624044,84308.3537714454,101890.529844355,84308.3537714454,101890.529844355,0,1,2,1,0,1,2,3
0.027,109414.633962596,181446.981187095,84030.9066915807,84925.3241228992,340823.430231606,84319.7982498801,101890.540383699,84319.7982498801,101890.540383699,0,1,2,1,0,1,2,3
0.028,109301.732296738,181447.753704454,84032.2540316822,84950.8727311946,340823.783856906,84331.1850427113,101890.55080866,84331.1850427113,101890.55080866,0,1,2,1,0,1,2,3
0.029,109189.483876705,181448.52040541,84033.6496797201,84976.3980435255,340824.134499944,84342.514149939,101890.561119237,84342.514149939,101890.561119237,0,1,2,1,0,1,2,3
0.03,109077.828253423,181449.282306001,84035.0842791728,85001.9004389682,340824.482674531,84353.7917647918,101890.571343979,84353.7917647918,101890.571343979,0,1,2,1,0,1,2,3
0.031,108966.777564131,181450.039202222,84036.559708685,85027.3798414102,340824.828277502,84365.0166437653,101890.581477155,84365.0166437653,101890.581477155,0,1,2,1,0,1,2,3
0.032,108856.362183763,181450.790583527,84038.0806697965,85052.8360603699,340825.171050672,84376.1856748364,101890.591504419,84376.1856748364,101890.591504419,0,1,2,1,0,1,2,3
0.033,108746.582112319,181451.536449916,84039.6471625072,85078.2690958475,340825.510994043,84387.2988580052,101890.601425771,84387.2988580052,101890.601425771,0,1,2,1,0,1,2,3
0.034,108637.437349798,181452.276801389,84041.2591868172,85103.6789478429,340825.848107612,84398.3561932717,101890.61124121,84398.3561932717,101890.61124121,0,1,2,1,0,1,2,3
0.035,108528.9278962,181453.011637946,84042.9167427265,85129.0656163562,340826.182391382,84409.3576806357,101890.620950737,84409.3576806357,101890.620950737,0,1,2,1,0,1,2,3
0.036,108421.053751526,181453.740959588,84044.6198302351,85154.4291013872,340826.513845351,84420.3033200975,101890.630554352,84420.3033200975,101890.630554352,0,1,2,1,0,1,2,3
0.037,108313.814915776,181454.464766313,84046.3684493429,85179.7694029361,340826.84246952,84431.1931116569,101890.640052054,84431.1931116569,101890.640052054,0,1,2,1,0,1,2,3
0.038,108207.211388949,181455.183058123,84048.16260005,85205.0865210028,340827.168263889,84442.0270553139,101890.649443844,84442.0270553139,101890.649443844,0,1,2,1,0,1,2,3
0.039,108101.142329395,181455.897237541,84049.9870609857,85230.3811502516,340827.491940564,84452.8154533393,101890.658766436,84452.8154533393,101890.658766436,0,1,2,1,0,1,2,3
0.04,107995.657315369,181456.606615025,84051.8493156549,85255.6529491547,340827.813149441,84463.5532406772,101890.66800178,84463.5532406772,101890.66800178,0,1,2,1,0,1,2,3
0.041,107890.780992044,181457.310847804,84053.7530840814,85280.9017479396,340828.131716486,84474.2378995062,101890.677140903,84474.2378995062,101890.677140903,0,1,2,1,0,1,2,3
0.042,107786.513359423,181458.009935879,84055.6983662653,85306.1275466063,340828.447641698,84484.8694298262,101890.686183804,84484.8694298262,101890.686183804,0,1,2,1,0,1,2,3
0.043,107682.854417504,181458.703879249,84057.6851622066,85331.3303451548,340828.760925078,84495.4478316372,101890.695130485,84495.4478316372,101890.695130485,0,1,2,1,0,1,2,3
0.044,107579.804166288,181459.392677914,84059.7134719054,85356.5101435851,340829.071566626,84505.9731049393,101890.703980944,84505.9731049393,101890.703980944,0,1,2,1,0,1,2,3
0.045,107477.362605774,181460.076331875,84061.7832953615,85381.6669418973,340829.379566342,84516.4452497324,101890.712735182,84516.4452497324,101890.712735182,0,1,2,1,0,1,2,3
0.046,107375.529735963,181460.754841131,84063.894632575,85406.8007400913,340829.684924225,84526.8642660166,101890.721393199,84526.8642660166,101890.721393199,0,1,2,1,0,1,2,3
0.047,107274.305556855,181461.428205683,84066.0474835458,85431.9115381672,340829.987640276,84537.2301537918,101890.729954995,84537.2301537918,101890.729954995,0,1,2,1,0,1,2,3
0.048,107173.575613602,181462.097942274,84068.2250464138,85457.0001666819,340830.288483195,84547.5545869004,101890.738459351,84547.5545869004,101890.738459351,0,1,2,1,0,1,2,3
0.049,107073.421269823,181462.762972682,84070.439265279,85482.0660352096,340830.586906529,84557.8292666458,101890.746878699,84557.8292666458,101890.746878699,0,1,2,1,0,1,2,3
0.05,106973.850426097,181463.423192209,84072.6912999389,85507.1090864184,340830.882857216,84568.053387207,101890.755210361,84568.053387207,101890.755210361,0,1,2,1,0,1,2,3
0.051,106874.863082425,181464.078600855,84074.9811503934,85532.1293203083,340831.176335256,84578.2269485839,101890.763454337,84578.2269485839,101890.763454337,0,1,2,1,0,1,2,3
0.052,106776.459238807,181464.729198621,84077.3088166425,85557.1267368795,340831.467340649,84588.3499507764,101890.771610628,84588.3499507764,101890.771610628,0,1,2,1,0,1,2,3
0.053,106678.638895243,181465.374985505,84079.6742986864,85582.1013361319,340831.755873394,84598.4223937847,101890.779679233,84598.4223937847,101890.779679233,0,1,2,1,0,1,2,3
0.054,106581.402051733,181466.015961509,84082.0775965248,85607.0531180654,340832.041933493,84608.4442776088,101890.787660153,84608.4442776088,101890.787660153,0,1,2,1,0,1,2,3
0.055,106484.748708276,181466.652126633,84084.518710158,85631.9820826802,340832.325520944,84618.4156022485,101890.795553386,84618.4156022485,101890.795553386,0,1,2,1,0,1,2,3
0.056,106388.67109863,181467.283580557,84086.9965303144,85656.8882884925,340832.60668631,84628.3371587953,101890.803361439,84628.3371587953,101890.803361439,0,1,2,1,0,1,2,3
0.057,106293.063034563,181467.911686237,84089.4958898724,85681.7725355995,340832.886120916,84638.2197638797,101890.811118552,84638.2197638797,101890.811118552,0,1,2,1,0,1,2,3
0.058,106198.014126564,181468.535293497,84092.0295881147,85706.6341488125,340833.163241363,84648.0542895264,101890.81879583,84648.0542895264,101890.81879583,0,1,2,1,0,1,2,3
