"time","body.Q[1]","body.Q[2]","body.Q[3]","body.Q[4]","body.w_a[1]","body.w_a[2]","body.w_a[3]","bodyBox.body.Q[1]","bodyBox.body.Q[2]","bodyBox.body.Q[3]","bodyBox.body.Q[4]","bodyBox.body.frame_a.r_0[1]","bodyBox.body.frame_a.r_0[2]","bodyBox.body.frame_a.r_0[3]","bodyBox.body.w_a[1]","bodyBox.body.w_a[2]","bodyBox.body.w_a[3]","bodyBox1.body.Q[1]","bodyBox1.body.Q[2]","bodyBox1.body.Q[3]","bodyBox1.body.Q[4]","bodyBox1.body.w_a[1]","bodyBox1.body.w_a[2]","bodyBox1.body.w_a[3]","bodyBox2.body.Q[1]","bodyBox2.body.Q[2]","bodyBox2.body.Q[3]","bodyBox2.body.Q[4]","bodyBox2.body.frame_a.r_0[1]","bodyBox2.body.frame_a.r_0[2]","bodyBox2.body.frame_a.r_0[3]","bodyBox2.body.w_a[1]","bodyBox2.body.w_a[2]","bodyBox2.body.w_a[3]","bodyBox2.v_0[1]","bodyBox2.v_0[2]","bodyBox2.v_0[3]","sphericalSpherical.v_CM_0[1]","sphericalSpherical.v_CM_0[2]","sphericalSpherical.v_CM_0[3]","sphericalSpherical1.v_CM_0[1]","sphericalSpherical1.v_CM_0[2]","sphericalSpherical1.v_CM_0[3]"
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1.72933608402981e-20,4.15373580241432e-17,-2.8083185745625e-17,0,4.2889531650846e-33,0,0,0,-6.90887555444598e-16,0,1.07223829127115e-32
0.0004,2.84804382843135e-20,2.50994980330972e-13,-4.19822790334682e-07,0.999999999999912,0,2.92639709330204e-09,-0.00419822765632584,0.000199999998284612,2.00661076171518e-11,8.19687492595457e-08,0.999999979999997,0.999999999999647,-8.39724340086992e-07,-5.02754478585245e-13,1,3.15923202682186e-07,0.000819687407058771,0.000199999998284612,2.00375430941885e-11,8.18517798322813e-08,0.999999979999997,1,3.15473195538264e-07,0.000818517712907947,0.000199999998284617,2.00661149588793e-11,8.19687492675658e-08,0.999999979999997,0.999999999999647,-8.39724340086526e-07,-5.02752904212489e-13,1,3.15923202635008e-07,0.00081968740705921,-3.52568443338124e-09,-0.00419862145339037,-2.93085407329702e-09,-1.76284231461282e-09,-0.00209931072669495,-1.46542696120161e-09,-1.76284219767977e-09,-0.00209931072669517,-1.4654270339204e-09
0.0008,9.11382672934053e-19,2.00793094024137e-12,-1.67929108983447e-06,0.99999999999859,0,1.17055873819429e-08,-0.00839645531191814,0.000399999986277115,1.60526529575596e-10,3.27874933469353e-07,0.999999919999949,0.999999999994359,-3.35889721728652e-06,-4.0219779464006e-12,1,1.26369255414037e-06,0.00163937434195628,0.000399999986277043,1.60298017339408e-10,3.27407055850138e-07,0.999999919999949,1,1.26189252598167e-06,0.00163703495432435,0.000399999986277797,1.60526734741454e-10,3.27874933419141e-07,0.999999919999949,0.999999999994359,-3.35889721740377e-06,-4.02171247413889e-12,1,1.26369255123866e-06,0.00163937434195877,-2.82054780476795e-08,-0.00839724290592414,-1.17234194939241e-08,-1.410273791489e-08,-0.00419862145296001,-5.86170736056773e-09,-1.41027392454727e-08,-0.00419862145296202,-5.86170981497272e-09
0.0012,5.347231570689e-18,6.41413267541207e-12,-3.77840491851998e-06,0.999999999992862,0,2.63375699960352e-08,-0.0125946829649869,0.000599999956163573,5.12785742798649e-10,7.37718454923358e-07,0.999999819999738,0.999999999971442,-7.5575186714147e-06,-1.28478025174878e-11,1,2.84330764911835e-06,0.00245906044145371,0.000599999956163249,5.12055783813649e-10,7.36665730484059e-07,0.999999819999739,1,2.83925758669664e-06,0.00245555136152167,0.000599999956166558,5.12786508032784e-10,7.37718454486425e-07,0.999999819999738,0.999999999971442,-7.55751867194411e-06,-1.28466324854166e-11,1.00000000000001,2.84330763750977e-06,0.00245906044145789,-9.51934804673182e-08,-0.0125958643554142,-2.63777004828289e-08,-4.75967400258095e-08,-0.00629793217770127,-1.31888407752745e-08,-4.75967402712421e-08,-0.00629793217770713,-1.3188850213095e-08
0.0016,2.91643754545047e-17,1.60633297081545e-11,-6.71716427297618e-06,0.99999999997744,0,4.68223409549966e-08,-0.0167929106056327,0.000799999890216391,1.28420238689982e-09,1.31149890676271e-06,0.999999679999177,0.999999999909743,-1.34355886938836e-05,-3.21755875716672e-11,1,5.05476677666158e-06,0.00327874485892833,0.000799999890215978,1.28237430443019e-09,1.30962739744126e-06,0.999999679999179,1,5.04756666878321e-06,0.00327406608905046,0.000799999890220242,1.28420336972176e-09,1.31149890619545e-06,0.999999679999177,0.999999999909743,-1.3435588694569e-05,-3.21740823711724e-11,1.00000000000002,5.05476676160849e-06,0.00327874485893355,-2.25643804259549e-07,-0.0167944857896203,-4.68936747328678e-08,-1.12821901708143e-07,-0.00839724289480269,-2.3446825155316e-08,-1.12821902212756e-07,-0.00839724289481013,-2.34468374303632e-08
0.002,6.89344859261176e-17,3.0382090890705e-11,-1.04955691538914e-05,0.999999999944922,0,7.3159901126535e-08,-0.0209911382360013,0.000999999792354844,2.42893285895499e-09,2.04921637766634e-06,0.999999499997983,0.999999999779645,-2.09931072864493e-05,-6.08567241780996e-11,1,7.89807030956853e-06,0.00409842778138922,0.000999999792354431,2.42547523523129e-09,2.04629214527727e-06,0.999999499997989,1,7.8868201445896e-06,0.00409257932366052,0.000999999792358759,2.42893386427816e-09,2.04921637710556e-06,0.999999499997983,0.999999999779645,-2.09931072871487e-05,-6.08552020212155e-11,1.00000000000002,7.8980702942504e-06,0.00409842778139501,-4.40710551467524e-07,-0.0209931072111952,-7.3271346772577e-08,-2.20355276030899e-07,-0.0104965536055898,-3.66356609470311e-08,-2.20355275680367e-07,-0.0104965536055976,-3.66356733493611e-08
0.0024,1.71106790720588e-16,5.13126846052171e-11,-1.51136195355737e-05,0.999999999885789,0,1.0535024292836e-07,-0.0251893658278688,0.00119999964930222,4.10225312043259e-09,2.95087019541421e-06,0.999999279995808,0.999999999543071,-3.02300743874483e-05,-1.02781665092139e-10,1,1.13732151750541e-05,0.00491810849436239,0.00119999964930187,4.09641349953945e-09,2.94665930264856e-06,0.99999927999582,1,1.13570149451312e-05,0.00491109035180414,0.00119999964930576,4.10225403909785e-09,2.95087019493493e-06,0.999999279995808,0.999999999543071,-3.02300743880834e-05,-1.02780303278522e-10,1.00000000000002,1.13732151611602e-05,0.00491810849436845,-7.61547826368226e-07,-0.0251917285850723,-1.05510711359829e-07,-3.80773914716757e-07,-0.0125958642925288,-5.27553443395445e-08,-3.80773912855232e-07,-0.0125958642925361,-5.27553557299807e-08
0.0028,4.88370612267309e-16,8.52397948972167e-11,-2.05713153335678e-05,0.99999999978841,0,1.43393341435733e-07,-0.0293875932884562,0.00139999941741492,6.81459106222063e-09,4.01645815026408e-06,0.999999019992269,0.999999999153483,-4.11464897941788e-05,-1.70739225631592e-10,1,1.54801912721654e-05,0.00573778464920704,0.00139999941741458,6.80489038488708e-09,4.01072666269414e-06,0.999999019992292,1,1.54581409819477e-05,0.0057295968278854,0.0013999994174188,6.8145920675321e-09,4.01645814973822e-06,0.999999019992269,0.999999999153483,-4.11464897948798e-05,-1.70737738249417e-10,1.00000000000002,1.54801912568483e-05,0.00573778464921357,-1.2093097288077e-06,-0.0293903497959791,-1.43611750433295e-07,-6.04654864487578e-07,-0.0146951748979815,-7.18058628010571e-08,-6.0465486436822e-07,-0.0146951748979895,-7.18058751946297e-08
0.0032,9.33260588803092e-16,1.28506069105129e-10,-2.68686565962523e-05,0.999999999639038,0,1.87289210926347e-07,-0.0335858206709103,0.0015999991216934,1.02735571483656e-08,5.2459815080275e-06,0.999998719986826,0.99999999855588,-5.37423536227548e-05,-2.57403560475461e-10,1,2.02190043870536e-05,0.00655745759130026,0.00159999912169308,1.02589325771255e-08,5.23849548957506e-06,0.999998719986865,1,2.01902040340342e-05,0.00654810009553721,0.00159999912169768,1.02735582518233e-08,5.2459815074433e-06,0.999998719986826,0.999999998555879,-5.37423536235325e-05,-2.57401926955359e-10,1.00000000000002,2.02190043702352e-05,0.00655745759130725,-1.80515035717032e-06,-0.0335889709099474,-1.87574474373692e-07,-9.02575177560505e-07,-0.0167944854549649,-9.37872235111192e-08,-9.02575178816514e-07,-0.0167944854549737,-9.37872371957633e-08
0.0036,1.50577672032933e-15,1.81111507228955e-10,-3.40056433236272e-05,0.999999999421808,0,2.37037851400202e-07,-0.0377840479752311,0.00179999876213766,1.44791513788675e-08,6.63944026870444e-06,0.999998379978875,0.999999997686799,-6.80176658731765e-05,-3.62774669623745e-10,1,2.55896545197186e-05,0.00737712732064207,0.00179999876213739,1.44585400762546e-08,6.62996578329132e-06,0.999998379978938,1,2.55532041013906e-05,0.00736660015475955,0.0017999987621424,1.44791525919716e-08,6.63944026805018e-06,0.999998379978875,0.999999997686798,-6.80176658740415e-05,-3.62772869396347e-10,1.00000000000002,2.55896545013845e-05,0.00737712732064948,-2.57022381187805e-06,-0.0377875919269773,-2.37398883088377e-07,-1.28511190393567e-06,-0.018893795963479,-1.18699426469003e-07,-1.28511190631103e-06,-0.0188937959634886,-1.18699441516408e-07
