"time","gain.opAmp.out.v","gain.opAmp.out.i"
0,-9.99800039991339,0.00499933346664001
0.0005,-9.99800039991339,0.00499933346664001
0.001,-9.99800039991339,0.00499933346664001
0.0015,-9.99800039991339,0.00499933346664001
0.002,-9.99800039991339,0.00499933346664001
0.0025,-9.99800039991339,0.00499933346664001
0.003,-9.99800039991339,0.00499933346664001
0.0035,-9.99800039991339,0.00499933346664001
0.004,-9.99800039991339,0.00499933346664001
0.0045,-9.99800039991339,0.00499933346664001
0.005,-9.99800039991339,0.00499933346664001
0.0055,-9.99800039991339,0.00499933346664001
0.006,-9.99800039991339,0.00499933346664001
0.0065,-9.99800039991339,0.00499933346664001
0.007,-9.99800039991339,0.00499933346664001
0.0075,-9.99800039991339,0.00499933346664001
0.008,-9.99800039991339,0.00499933346664001
0.0085,-9.99800039991339,0.00499933346664001
0.009,-9.99800039991339,0.00499933346664001
0.0095,-9.99800039991339,0.00499933346664001
0.01,-9.99800039991339,0.00499933346664001
0.0105,-9.99800039991339,0.00499933346664001
0.011,-9.99800039991339,0.00499933346664001
0.0115,-9.99800039991339,0.00499933346664001
0.012,-9.99800039991339,0.00499933346664001
0.0125,-9.99800039991339,0.00499933346664001
0.013,-9.99800039991339,0.00499933346664001
0.0135,-9.99800039991339,0.00499933346664001
0.014,-9.99800039991339,0.00499933346664001
0.0145,-9.99800039991339,0.00499933346664001
0.015,-9.99800039991339,0.00499933346664001
0.015,-9.99800039991339,0.00499933346664001
0.0155,-9.49810037992105,0.00474936679330801
0.016,-8.99820035992871,0.00449940011997601
0.0165,-8.49830033993637,0.00424943344664401
0.017,-7.99840031993737,0.003999466773312
0.0175,-7.49850029993837,0.00374950009998
0.018,-6.99860027994603,0.003499533426648
0.0185,-6.49870025994703,0.00324956675331601
0.019,-5.99880023995469,0.002999600079984
0.0195,-5.49890021995569,0.002749633406652
0.02,-4.99900019995669,0.00249966673332
0.0205,-4.49910017996435,0.002249700059988
0.021,-3.99920015996535,0.001999733386656
0.0215,-3.49930013997302,0.001749766713324
0.022,-2.99940011997735,0.001499800039992
0.0225,-2.49950009997835,0.00124983336666
0.023,-1.99960007998268,0.000999866693328003
0.0235,-1.49970005998867,0.000749900019996003
0.024,-0.999800039991339,0.000499933346664001
0.0245,-0.499900019995669,0.000249966673332001
0.025,-1.77600163907274e-15,8.88060019590854e-19
0.0255,0.499900019996086,-0.000249966673331999
0.026,0.999800039992171,-0.000499933346664
0.0265,1.49970005998867,-0.000749900019995998
0.027,1.99960007998434,-0.000999866693327999
0.0275,2.49950009997835,-0.00124983336666
0.028,2.99940011997735,-0.001499800039992
0.0285,3.49930013997302,-0.001749766713324
0.029,3.99920015996869,-0.001999733386656
0.0295,4.49910017996435,-0.002249700059988
0.03,4.99900019995669,-0.00249966673332
0.0305,5.49890021995569,-0.002749633406652
0.031,5.99880023995469,-0.002999600079984
0.0315,6.49870025994703,-0.003249566753316
0.032,6.99860027994603,-0.003499533426648
0.0325,7.49850029993837,-0.00374950009998
0.033,7.99840031993737,-0.003999466773312
0.0335,8.49830033993637,-0.004249433446644
0.034,8.99820035992871,-0.004499400119976
0.0345,9.49810037992105,-0.004749366793308
0.035,9.99800039992671,-0.00499933346664001
0.035,9.99800039991339,-0.00499933346664001
0.0355,9.99800039991339,-0.00499933346664001
0.036,9.99800039991339,-0.00499933346664001
0.0365,9.99800039991339,-0.00499933346664001
0.037,9.99800039991339,-0.00499933346664001
0.0375,9.99800039991339,-0.00499933346664001
0.038,9.99800039991339,-0.00499933346664001
0.0385,9.99800039991339,-0.00499933346664001
0.039,9.99800039991339,-0.00499933346664001
0.0395,9.99800039991339,-0.00499933346664001
0.04,9.99800039991339,-0.00499933346664001
0.0405,9.99800039991339,-0.00499933346664001
0.041,9.99800039991339,-0.00499933346664001
0.0415,9.99800039991339,-0.00499933346664001
0.042,9.99800039991339,-0.00499933346664001
0.0425,9.99800039991339,-0.00499933346664001
0.043,9.99800039991339,-0.00499933346664001
0.0435,9.99800039991339,-0.00499933346664001
0.044,9.99800039991339,-0.00499933346664001
0.0445,9.99800039991339,-0.00499933346664001
0.045,9.99800039991339,-0.00499933346664001
0.0455,9.99800039991339,-0.00499933346664001
0.046,9.99800039991339,-0.00499933346664001
0.0465,9.99800039991339,-0.00499933346664001
0.047,9.99800039991339,-0.00499933346664001
0.0475,9.99800039991339,-0.00499933346664001
0.048,9.99800039991339,-0.00499933346664001
0.0485,9.99800039991339,-0.00499933346664001
0.049,9.99800039991339,-0.00499933346664001
0.0495,9.99800039991339,-0.00499933346664001
0.05,9.99800039991339,-0.00499933346664001
0.0505,9.99800039991339,-0.00499933346664001
0.051,9.99800039991339,-0.00499933346664001
0.0515,9.99800039991339,-0.00499933346664001
0.052,9.99800039991339,-0.00499933346664001
0.0525,9.99800039991339,-0.00499933346664001
0.053,9.99800039991339,-0.00499933346664001
0.0535,9.99800039991339,-0.00499933346664001
0.054,9.99800039991339,-0.00499933346664001
0.0545,9.99800039991339,-0.00499933346664001
0.055,9.99800039991339,-0.00499933346664001
0.0555,9.99800039991339,-0.00499933346664001
0.056,9.99800039991339,-0.00499933346664001
0.0565,9.99800039991339,-0.00499933346664001
0.057,9.99800039991339,-0.00499933346664001
0.0575,9.99800039991339,-0.00499933346664001
0.058,9.99800039991339,-0.00499933346664001
0.0585,9.99800039991339,-0.00499933346664001
0.059,9.99800039991339,-0.00499933346664001
0.0595,9.99800039991339,-0.00499933346664001
0.06,9.99800039991339,-0.00499933346664001
0.0605,9.99800039991339,-0.00499933346664001
