"time","meanCurrent.x","meanVoltage.x","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanVoltage.y","pulse2m.twomPulse.timerNegative[1].entryTime","pulse2m.twomPulse.timerNegative[2].entryTime","pulse2m.twomPulse.timerNegative[3].entryTime","pulse2m.twomPulse.timerPositive[1].entryTime","pulse2m.twomPulse.timerPositive[2].entryTime","pulse2m.twomPulse.timerPositive[3].entryTime","rectifier.pre[1].u","rectifier.pre[2].u","rectifier.pre[3].u","rectifier.thyristor_p.idealThyristor[1].off","rectifier.thyristor_p.idealThyristor[2].off","rectifier.thyristor_p.idealThyristor[3].off","rootMeanSquareVoltage.mean.y"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0001,4.07506320063403e-07,8.150126401256e-06,6.64276063707498e-07,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0002,8.21853289084848e-07,1.64370657816709e-05,1.35111389609804e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0003,1.24239360081375e-06,2.48478720162355e-05,2.05886822866969e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0004,1.66908112020329e-06,3.33816224040136e-05,2.78742008681622e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0005,2.10113836419902e-06,4.20227672839124e-05,3.53456329243099e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0006,2.53870946149324e-06,5.07741892297786e-05,4.30070616729152e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0007,2.98080273343963e-06,5.96160546686896e-05,5.08285015895241e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0008,3.4275094760806e-06,6.85501895214932e-05,5.88127040707459e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0009,3.87791983150859e-06,7.75583966300361e-05,6.69300432021937e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.001,4.33201457628309e-06,8.66402915255083e-05,7.51798982580406e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0011,4.78923984468807e-06,9.57847968935898e-05,8.35425094416852e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0012,5.24903822521507e-06,0.000104980764504112,9.19984077236211e-06,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0013,5.7111130060985e-06,0.000114222260121763,1.00537229682871e-05,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0014,6.17505326926196e-06,0.000123501065385015,1.09144622949538e-05,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0015,6.64025629764458e-06,0.00013280512595265,1.17798130550736e-05,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.0016,7.10622014604771e-06,0.000142124402920695,1.26479553700544e-05,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.00166666666666667,7.41709228144528e-06,0.000148341845628634,1.32276004901052e-05,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.00166666666666667,7.41709228144528e-06,0.000148341845628634,1.32276004901052e-05,0,0,0,0,0,0.00166666666666667,0,0,0,0,1,1,1,0,0
0.0017,0.000395142601098792,0.00790285202197557,1.80399190693851,0,0,0,0,0,0.00166666666666667,0,0,0,0,1,1,1,0,0
0.0018,0.00154378757722469,0.0308757515444936,7.08169641181283,0,0,0,0,0,0.00166666666666667,0,0,0,0,1,1,1,0,0
0.0019,0.00266975600997922,0.0533951201995841,12.1530961626573,0,0,0,0,0,0.00166666666666667,0,0,0,0,1,1,1,0,0
0.002,0.00377193672766696,0.0754387345533389,17.0125030352451,0,0,0,0,0,0.00166666666666667,0,0,0,0,1,1,1,0,0
0.0021,0.00484924203501323,0.0969848407002643,21.6550655661593,0,0,0,0,0,0.00166666666666667,0,0,0,0,1,1,1,0,0
0.0022,0.00590060873707767,0.118012174741553,26.0767870320215,0,0,0,0,0,0.00166666666666667,0,0,0,0,1,1,1,0,0
