"time","constantSource.V_m","constantSource.Phi","signalSource.V_m","signalSource.Phi","constantSource1.Phi","constantSource1.V_m","signalSource1.Phi","signalSource1.V_m"
0,15.9,-0.000199805292768311,0,-0,0.0002,-15.9154943091895,0,-0
0.0005,15.9,-0.000199805292768311,0.00795,-9.99026463841554e-08,0.0002,-15.9154943091895,1e-07,-0.00795774715459477
0.001,15.9,-0.000199805292768311,0.0159,-1.99805292768311e-07,0.0002,-15.9154943091895,2e-07,-0.0159154943091895
0.0015,15.9,-0.000199805292768311,0.02385,-2.99707939152466e-07,0.0002,-15.9154943091895,3e-07,-0.0238732414637843
0.002,15.9,-0.000199805292768311,0.0318,-3.99610585536622e-07,0.0002,-15.9154943091895,4e-07,-0.0318309886183791
0.0025,15.9,-0.000199805292768311,0.03975,-4.99513231920777e-07,0.0002,-15.9154943091895,5e-07,-0.0397887357729738
0.003,15.9,-0.000199805292768311,0.0477,-5.99415878304933e-07,0.0002,-15.9154943091895,6e-07,-0.0477464829275686
0.0035,15.9,-0.000199805292768311,0.05565,-6.99318524689088e-07,0.0002,-15.9154943091895,7e-07,-0.0557042300821634
0.004,15.9,-0.000199805292768311,0.0636,-7.99221171073243e-07,0.0002,-15.9154943091895,8e-07,-0.0636619772367581
0.0045,15.9,-0.000199805292768311,0.07155,-8.99123817457399e-07,0.0002,-15.9154943091895,9e-07,-0.0716197243913529
0.005,15.9,-0.000199805292768311,0.0795,-9.99026463841554e-07,0.0002,-15.9154943091895,1e-06,-0.0795774715459477
0.0055,15.9,-0.000199805292768311,0.08745,-1.09892911022571e-06,0.0002,-15.9154943091895,1.1e-06,-0.0875352187005424
0.006,15.9,-0.000199805292768311,0.0954,-1.19883175660987e-06,0.0002,-15.9154943091895,1.2e-06,-0.0954929658551372
0.0065,15.9,-0.000199805292768311,0.10335,-1.29873440299402e-06,0.0002,-15.9154943091895,1.3e-06,-0.103450713009732
0.007,15.9,-0.000199805292768311,0.1113,-1.39863704937818e-06,0.0002,-15.9154943091895,1.4e-06,-0.111408460164327
