"time","pipe1.mediums[1].T","pipe1.mediums[2].T","pipe10.mediums[1].T","pipe10.mediums[2].T","pipe11.mediums[1].T","pipe11.mediums[2].T","pipe2.mediums[1].T","pipe2.mediums[2].T","pipe3.mediums[1].T","pipe3.mediums[2].T","pipe4.mediums[1].T","pipe4.mediums[2].T","pipe5.mediums[1].T","pipe5.mediums[2].T","pipe6.mediums[1].T","pipe6.mediums[2].T","pipe7.mediums[1].T","pipe7.mediums[2].T","pipe8.mediums[1].T","pipe8.mediums[2].T","pipe9.mediums[1].T","pipe9.mediums[2].T"
0,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15
0.04,293.573167283291,293.163193994909,293.150034817812,293.150000254853,293.150000027918,293.150000008745,293.152170025366,293.150330271096,293.153243918318,293.150742956591,293.150049030134,293.150003164978,293.150012368457,293.150000032135,293.150012368457,293.150000032135,293.150002805241,293.150000023321,293.184813704385,293.184898011084,293.150000000153,293.150000000001
0.08,293.970358820008,293.200679023403,293.150138889175,293.150001830695,293.150000280587,293.150000119625,293.16379097955,293.153276403317,293.16960936093,293.156785965326,293.150695802712,293.150065390741,293.150049526148,293.150000232126,293.150049526148,293.150000232126,293.150043728877,293.150000532852,293.219459334201,293.21979548784,293.150000004874,293.150000000042
0.12,294.343054517384,293.259626604317,293.150313532856,293.150005888981,293.150001079949,293.150000549838,293.189550819697,293.162295534071,293.203946001755,293.173736435617,293.153263323919,293.150395796363,293.15011220974,293.15000075061,293.15011220974,293.15000075061,293.150222470187,293.150003518258,293.253937666956,293.254691677064,293.150000040393,293.15000000043
0.16,294.692691250389,293.337373088376,293.150565167788,293.150013670047,293.15000281386,293.150001617709,293.231697101362,293.180814418635,293.257457162377,293.205770072001,293.15966312301,293.151445548277,293.150202980129,293.150001751423,293.150202980129,293.150001751423,293.150713276489,293.150014046125,293.288249509706,293.289585812909,293.150000197083,293.150000002529
0.2,295.020754393482,293.431260322047,293.150911248516,293.150026735765,293.150005968,293.150003754291,293.290692338277,293.211704777541,293.329180331273,293.255002767351,293.172208347888,293.154016705132,293.150328378034,293.150003443766,293.150328378034,293.150003443766,293.151781136854,293.150042973799,293.322395779849,293.324477061426,293.150000728467,293.150000011146
0.24,295.32859783189,293.53894227823,293.151381468007,293.150046969518,293.150011098589,293.150007445515,293.366023313173,293.256740213329,293.417473099595,293.321816280198,293.192923082484,293.159092754449,293.150499348239,293.150006081093,293.150499348239,293.150006081093,293.153720973513,293.15010649912,293.356377413464,293.359364626524,293.150002113214,293.150000037414
0.28,295.617463266898,293.658361866419,293.152022985089,293.15007690137,293.15001892074,293.150013294522,293.45629824626,293.316525071625,293.520159108427,293.40502914523,293.223412695771,293.167833831177,293.150733164477,293.150010004421,293.150733164477,293.150010004421,293.156855635353,293.150228142434,293.390195421912,293.394247732594,293.150005203397,293.150000104838
0.32,295.888510321853,293.787677766909,293.152901758861,293.150120048171,293.150030410049,293.150022092776,293.559856548748,293.390788955501,293.635153459211,293.502841283486,293.264719398861,293.181441454877,293.151053981045,293.150015687175,293.151053981045,293.150015687175,293.161506709851,293.150438771003,293.423850938578,293.429125614695,293.150011358138,293.150000257516
0.36,296.14283121159,293.92522413638,293.154101421722,293.150181218907,293.150046909368,293.150034915631,293.675025741884,293.478722504938,293.760588655186,293.613373126654,293.317361789818,293.201041616682,293.151492506979,293.150023776511,293.151492506979,293.150023776511,293.167975064338,293.150775914855,293.457345254004,293.463997515825,293.150022558413,293.150000570202
0.4,296.3814576496,294.069487818995,293.15572026054,293.150266687719,293.150070202255,293.150053200632,293.800186679199,293.579213818738,293.894772227119,293.734826271662,293.381451986614,293.227621309476,293.152084980999,293.150035117969,293.152084980999,293.150035117969,293.176532777728,293.151282645713,293.490679833057,293.498862687737,293.150041466241,293.150001157422
0.44,296.605354250892,294.219118908279,293.157869368706,293.150384720293,293.150102708512,293.150078941614,293.933812770998,293.690984978206,294.036175801245,293.865535069647,293.456758976932,293.261957849023,293.15287264703,293.15005083084,293.15287264703,293.15005083084,293.187412883697,293.152007212357,293.52385637678,293.533720394433,293.150071651956,293.150002199581
0.48,296.815421001503,294.372921915536,293.160670239531,293.150545676566,293.150147534182,293.15011474705,294.074480652796,293.812664854752,294.183422944953,294.003969399706,293.542770275504,293.304606766378,293.153900930028,293.1500723246,293.153900930028,293.1500723246,293.200808223417,293.153002340449,293.556876835515,293.568569912976,293.150117637116,293.15000395281
0.52,297.012516988528,294.529794842784,293.164246967454,293.150761517595,293.150208345431,293.150163756141,294.220857130931,293.942888871112,294.33524957262,294.148696177083,293.638855875321,293.355972749714,293.155216566364,293.150101237766,293.155216566364,293.150101237766,293.216884017186,293.15432263468,293.589743359169,293.603410531,293.150184684326,293.150006750494
0.56,297.197438229127,294.688785041894,293.16873253606,293.15104631529,293.150289511458,293.150229746869,294.371716102377,294.080218098659,294.490543624703,294.298420208739,293.744127546984,293.41624352786,293.156869945644,293.150139503999,293.156869945644,293.150139503999,293.235765866296,293.156026761179,293.622458352689,293.638241549685,293.150279022553,293.150011009492
0.6,297.370933631814,294.849032279799,293.174250908808,293.151416700864,293.150396383245,293.150317492528,294.525986335786,294.223483934161,294.64829503045,294.45199838748,293.857785215967,293.485387526904,293.158908910398,293.150189440902,293.158908910398,293.150189440902,293.257540132255,293.158172440128,293.655024561045,293.673062290624,293.150408101455,293.150017318821
