"time","success1","success2","success3","success4"
0,1,1,1,1
2e-05,1,1,1,1
4e-05,1,1,1,1
6e-05,1,1,1,1
8e-05,1,1,1,1
0.0001,1,1,1,1
0.00012,1,1,1,1
0.00014,1,1,1,1
0.00016,1,1,1,1
0.00018,1,1,1,1
0.0002,1,1,1,1
0.00022,1,1,1,1
0.00024,1,1,1,1
0.00026,1,1,1,1
0.00028,1,1,1,1
0.0003,1,1,1,1
0.00032,1,1,1,1
0.00034,1,1,1,1
0.00036,1,1,1,1
0.00038,1,1,1,1
0.0004,1,1,1,1
0.00042,1,1,1,1
0.00044,1,1,1,1
0.00046,1,1,1,1
0.00048,1,1,1,1
0.0005,1,1,1,1
0.00052,1,1,1,1
0.00054,1,1,1,1
0.00056,1,1,1,1
0.00058,1,1,1,1
0.0006,1,1,1,1
0.00062,1,1,1,1
0.00064,1,1,1,1
0.00066,1,1,1,1
0.00068,1,1,1,1
0.0007,1,1,1,1
0.00072,1,1,1,1
0.00074,1,1,1,1
0.00076,1,1,1,1
0.00078,1,1,1,1
0.0008,1,1,1,1
0.00082,1,1,1,1
0.00084,1,1,1,1
0.00086,1,1,1,1
0.00088,1,1,1,1
0.0009,1,1,1,1
0.00092,1,1,1,1
0.00094,1,1,1,1
0.00096,1,1,1,1
0.00098,1,1,1,1
0.001,1,1,1,1
0.00102,1,1,1,1
0.00104,1,1,1,1
0.00106,1,1,1,1
0.00108,1,1,1,1
0.0011,1,1,1,1
0.00112,1,1,1,1
0.00114,1,1,1,1
0.00116,1,1,1,1
0.00118,1,1,1,1
0.0012,1,1,1,1
0.00122,1,1,1,1
0.00124,1,1,1,1
0.00126,1,1,1,1
0.00128,1,1,1,1
0.0013,1,1,1,1
0.00132,1,1,1,1
0.00134,1,1,1,1
0.00136,1,1,1,1
0.00138,1,1,1,1
0.0014,1,1,1,1
0.00142,1,1,1,1
0.00144,1,1,1,1
0.00146,1,1,1,1
0.00148,1,1,1,1
0.0015,1,1,1,1
0.00152,1,1,1,1
0.00154,1,1,1,1
0.00156,1,1,1,1
0.00158,1,1,1,1
0.0016,1,1,1,1
0.00162,1,1,1,1
0.00164,1,1,1,1
0.00166,1,1,1,1
0.00168,1,1,1,1
0.0017,1,1,1,1
0.00172,1,1,1,1
0.00174,1,1,1,1
0.00176,1,1,1,1
0.00178,1,1,1,1
0.0018,1,1,1,1
0.00182,1,1,1,1
0.00184,1,1,1,1
0.00186,1,1,1,1
0.00188,1,1,1,1
0.0019,1,1,1,1
0.00192,1,1,1,1
0.00194,1,1,1,1
0.00196,1,1,1,1
0.00198,1,1,1,1
0.002,1,1,1,1
0.00202,1,1,1,1
0.00204,1,1,1,1
0.00206,1,1,1,1
0.00208,1,1,1,1
0.0021,1,1,1,1
0.00212,1,1,1,1
0.00214,1,1,1,1
0.00216,1,1,1,1
0.00218,1,1,1,1
0.0022,1,1,1,1
0.00222,1,1,1,1
0.00224,1,1,1,1
0.00226,1,1,1,1
0.00228,1,1,1,1
0.0023,1,1,1,1
0.00232,1,1,1,1
0.00234,1,1,1,1
0.00236,1,1,1,1
0.00238,1,1,1,1
0.0024,1,1,1,1
0.00242,1,1,1,1
0.00244,1,1,1,1
0.00246,1,1,1,1
0.00248,1,1,1,1
0.0025,1,1,1,1
0.00252,1,1,1,1
0.00254,1,1,1,1
0.00256,1,1,1,1
0.00258,1,1,1,1
0.0026,1,1,1,1
0.00262,1,1,1,1
0.00264,1,1,1,1
0.00266,1,1,1,1
0.00268,1,1,1,1
0.0027,1,1,1,1
0.00272,1,1,1,1
0.00274,1,1,1,1
0.00276,1,1,1,1
0.00278,1,1,1,1
0.0028,1,1,1,1
0.00282,1,1,1,1
0.00284,1,1,1,1
0.00286,1,1,1,1
0.00288,1,1,1,1
0.0029,1,1,1,1
0.00292,1,1,1,1
0.00294,1,1,1,1
0.00296,1,1,1,1
0.00298,1,1,1,1
0.003,1,1,1,1
0.00302,1,1,1,1
0.00304,1,1,1,1
0.00306,1,1,1,1
0.00308,1,1,1,1
0.0031,1,1,1,1
0.00312,1,1,1,1
0.00314,1,1,1,1
0.00316,1,1,1,1
0.00318,1,1,1,1
0.0032,1,1,1,1
0.00322,1,1,1,1
0.00324,1,1,1,1
0.00326,1,1,1,1
0.00328,1,1,1,1
0.0033,1,1,1,1
0.00332,1,1,1,1
0.00334,1,1,1,1
0.00336,1,1,1,1
0.00338,1,1,1,1
0.0034,1,1,1,1
0.00342,1,1,1,1
0.00344,1,1,1,1
0.00346,1,1,1,1
0.00348,1,1,1,1
0.0035,1,1,1,1
0.00352,1,1,1,1
0.00354,1,1,1,1
0.00356,1,1,1,1
0.00358,1,1,1,1
0.0036,1,1,1,1
0.00362,1,1,1,1
0.00364,1,1,1,1
0.00366,1,1,1,1
0.00368,1,1,1,1
0.0037,1,1,1,1
0.00372,1,1,1,1
0.00374,1,1,1,1
0.00376,1,1,1,1
0.00378,1,1,1,1
0.0038,1,1,1,1
0.00382,1,1,1,1
0.00384,1,1,1,1
0.00386,1,1,1,1
0.00388,1,1,1,1
0.0039,1,1,1,1
0.00392,1,1,1,1
0.00394,1,1,1,1
0.00396,1,1,1,1
0.00398,1,1,1,1
0.004,1,1,1,1
0.00402,1,1,1,1
0.00404,1,1,1,1
0.00406,1,1,1,1
0.00408,1,1,1,1
0.0041,1,1,1,1
0.00412,1,1,1,1
0.00414,1,1,1,1
0.00416,1,1,1,1
0.00418,1,1,1,1
0.0042,1,1,1,1
0.00422,1,1,1,1
0.00424,1,1,1,1
0.00426,1,1,1,1
0.00428,1,1,1,1
0.0043,1,1,1,1
0.00432,1,1,1,1
0.00434,1,1,1,1
0.00436,1,1,1,1
0.00438,1,1,1,1
0.0044,1,1,1,1
0.00442,1,1,1,1
0.00444,1,1,1,1
0.00446,1,1,1,1
0.00448,1,1,1,1
0.0045,1,1,1,1
0.00452,1,1,1,1
0.00454,1,1,1,1
0.00456,1,1,1,1
0.00458,1,1,1,1
0.0046,1,1,1,1
0.00462,1,1,1,1
0.00464,1,1,1,1
0.00466,1,1,1,1
0.00468,1,1,1,1
0.0047,1,1,1,1
0.00472,1,1,1,1
0.00474,1,1,1,1
0.00476,1,1,1,1
0.00478,1,1,1,1
0.0048,1,1,1,1
0.00482,1,1,1,1
0.00484,1,1,1,1
0.00486,1,1,1,1
0.00488,1,1,1,1
0.0049,1,1,1,1
0.00492,1,1,1,1
0.00494,1,1,1,1
0.00496,1,1,1,1
0.00498,1,1,1,1
0.005,1,1,1,1
0.00502,1,1,1,1
