"time","volume.medium.T","volume.medium.p"
0,293.15,101325
0.000202,293.479941028866,101607.00540335
0.000404,293.803376539833,101882.398237946
0.000606,294.120447747525,102151.301686937
0.000808,294.431306931573,102413.849642548
0.00101,294.736099690193,102670.171210031
0.001212,295.034970908754,102920.396352629
0.001414,295.328059018959,103164.649578244
0.001616,295.615524218957,103403.076236724
0.001818,295.897507781522,103635.804904113
0.00202,296.174147673377,103862.963408079
0.002222,296.445574299997,104084.673497456
0.002424,296.711903707268,104301.046901676
0.002626,296.973269724748,104512.20800755
0.002828,297.229800722934,104718.27731645
0.00303,297.481611672097,104919.365484684
0.003232,297.728827999336,105115.590851126
0.003434,297.971577117426,105307.073213515
0.003636,298.209955581178,105493.909843171
0.003838,298.44405525741,105676.194591145
0.00404,298.674006091972,105854.049090239
0.004242,298.899910349658,106027.574500144
0.004444,299.121837551819,106196.847284268
0.004646,299.339909268405,106361.983162941
0.004848,299.554228042513,106523.083485529
0.00505,299.764853068846,106680.215291162
0.005252,299.971896218655,106833.487312439
0.005454,300.175452231257,106982.994722034
0.005656,300.37558795249,107128.809644602
0.005858,300.572390413605,107271.020883746
0.00606,300.765952405798,107409.722002433
0.006262,300.956349919307,107544.992158059
0.006464,301.143651273391,107676.903813383
0.006666,301.32793836423,107805.541280045
0.006868,301.509285060082,107930.981863538
0.00707,301.687763286564,108053.301173972
0.007272,301.863443026656,108172.573126073
0.007474,302.036392301938,108288.869917916
0.007676,302.206673714261,108402.258110984
0.007878,302.374352627671,108512.807904207
0.00808,302.539490595755,108620.585683996
0.008282,302.702147154813,108725.656056764
0.008484,302.862379823859,108828.081848932
0.008686,303.020244104621,108927.924106923
0.008888,303.175805133577,109025.249813162
0.00909,303.329124773562,109120.123338117
0.009292,303.480247330049,109212.596981597
0.009494,303.629224078639,109302.727214899
0.009696,303.776104628712,109390.568961797
0.009898,303.920936923422,109476.175598543
0.0101,304.063767239698,109559.598953868
0.010302,304.204665560334,109640.907056705
0.010504,304.343663451822,109720.140681862
0.010706,304.480805311269,109797.349197134
0.010908,304.616134225573,109872.580671826
0.01111,304.749691898966,109945.88182607
0.011312,304.881518653011,110017.298030823
0.011514,305.011661994767,110086.879941609
0.011716,305.140167322345,110154.676302467
0.011918,305.267066489978,110220.725092673
0.01212,305.392396893305,110285.068303161
0.012322,305.516194766996,110347.746747341
0.012524,305.638495184756,110408.800061092
0.012726,305.759332059317,110468.266702767
0.012928,305.878752160352,110526.196092094
0.01313,305.996781001454,110582.619069774
0.013332,306.113450638287,110637.571969477
0.013534,306.228792284665,110691.09022369
0.013736,306.342836152287,110743.208224932
0.013938,306.455611450741,110793.959325759
0.01414,306.567150434602,110843.379536043
0.014342,306.677484868766,110891.504293831
0.014544,306.786639545927,110938.362543147
0.014746,306.89464173278,110983.985363704
0.014948,307.001518007895,111028.403082094
0.01515,307.107294281983,111071.645290306
0.015352,307.211995818169,111113.740864245
0.015554,307.315648049693,111154.718968902
0.015756,307.418274748012,111194.606785215
0.015958,307.519899499913,111233.43133111
0.01616,307.620545366618,111271.219033163
0.016362,307.720234890237,111307.995728016
0.016564,307.818990115737,111343.786683002
0.016766,307.91683190711,111378.61602086
0.016968,308.013780538704,111412.507221065
0.01717,308.109856958915,111445.484188816
0.017372,308.20508107448,111477.56980856
0.017574,308.299472348633,111508.786451075
0.017776,308.393049819443,111539.155991024
