"time","pipe1.mediums[1].h","pipe1.mediums[1].p","pipe2.mediums[1].h","pipe2.mediums[1].p","pipe2.mediums[2].h","pipe2.mediums[2].p","pipe3.mediums[1].h","pipe3.mediums[1].p","valve.filter.x[1]","valve.filter.x[2]","valveOpening1.a","valveOpening1.b","valveOpening1.last","valveOpening1.nextEvent"
0,113032.108473746,452687.111158905,113032.108473883,450562.881748727,113032.108473944,403249.873915826,113032.108473931,355936.751850233,1,1,0,1,2,1
0.001,113032.108473746,452687.111158727,113032.108473883,450562.881748481,113032.108473944,403249.873915866,113032.108473931,355936.751850354,1,1,0,1,2,1
0.002,113032.108473746,452687.111158724,113032.108473883,450562.881748479,113032.108473943,403249.873915865,113032.108473931,355936.751850353,1,1,0,1,2,1
0.003,113032.108473746,452687.111158724,113032.108473883,450562.881748479,113032.108473943,403249.873915864,113032.108473931,355936.751850353,1,1,0,1,2,1
0.004,113032.108473746,452687.111158724,113032.108473883,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850353,1,1,0,1,2,1
0.005,113032.108473746,452687.111158724,113032.108473883,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850353,1,1,0,1,2,1
0.006,113032.108473746,452687.111158724,113032.108473882,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850353,1,1,0,1,2,1
0.007,113032.108473746,452687.111158724,113032.108473882,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.008,113032.108473746,452687.111158724,113032.108473882,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.009,113032.108473746,452687.111158724,113032.108473882,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.01,113032.108473746,452687.111158724,113032.108473882,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.011,113032.108473746,452687.111158724,113032.108473882,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.012,113032.108473746,452687.111158724,113032.108473882,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.013,113032.108473746,452687.111158724,113032.108473882,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.014,113032.108473746,452687.111158724,113032.108473882,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.015,113032.108473746,452687.111158724,113032.108473882,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.016,113032.108473746,452687.111158724,113032.108473882,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.017,113032.108473746,452687.111158724,113032.108473881,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.018,113032.108473746,452687.111158724,113032.108473881,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.019,113032.108473746,452687.111158724,113032.108473881,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.02,113032.108473746,452687.111158724,113032.108473881,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.021,113032.108473746,452687.111158724,113032.108473881,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.022,113032.108473746,452687.111158724,113032.108473881,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.023,113032.108473746,452687.111158724,113032.108473881,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.024,113032.108473746,452687.111158724,113032.108473881,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.025,113032.108473746,452687.111158724,113032.108473881,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.026,113032.108473746,452687.111158724,113032.108473881,450562.881748478,113032.108473943,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.027,113032.108473746,452687.111158724,113032.108473881,450562.881748478,113032.108473942,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.028,113032.108473746,452687.111158724,113032.108473881,450562.881748478,113032.108473942,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.029,113032.108473746,452687.111158724,113032.10847388,450562.881748478,113032.108473942,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.03,113032.108473746,452687.111158724,113032.10847388,450562.881748478,113032.108473942,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.031,113032.108473746,452687.111158724,113032.10847388,450562.881748478,113032.108473942,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.032,113032.108473746,452687.111158724,113032.10847388,450562.881748478,113032.108473942,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.033,113032.108473746,452687.111158724,113032.10847388,450562.881748478,113032.108473942,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.034,113032.108473746,452687.111158724,113032.10847388,450562.881748478,113032.108473942,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.035,113032.108473746,452687.111158724,113032.10847388,450562.881748478,113032.108473942,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.036,113032.108473746,452687.111158724,113032.10847388,450562.881748478,113032.108473942,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
0.037,113032.108473746,452687.111158724,113032.10847388,450562.881748478,113032.108473942,403249.873915864,113032.108473931,355936.751850352,1,1,0,1,2,1
