"time","controlBus.realSignal1","controlBus.integerSignal","controlBus.booleanSignal","controlBus.subControlBus.myRealSignal","controlBus.subControlBus.myBooleanSignal"
0,0,2,0,0,0
0.0004,0.00251327147700373,2,0,0.0004,0
0.0008,0.00502652707881886,2,0,0.0008,0
0.0012,0.00753975093035709,2,0,0.0012,0
0.0016,0.0100529271567307,2,0,0.0016,0
0.002,0.0125660398833526,2,0,0.002,0
0.0024,0.0150790732360371,2,0,0.0024,0
0.0028,0.0175920113410997,2,0,0.0028,0
0.0032,0.0201048383254576,2,0,0.0032,0
0.0036,0.0226175383167298,2,0,0.0036,0
0.004,0.0251300954433375,2,0,0.004,0
0.0044,0.0276424938346044,2,0,0.0044,0
0.0048,0.0301547176208568,2,0,0.0048,0
0.0052,0.0326667509335238,2,0,0.0052,0
0.0056,0.0351785779052378,2,0,0.0056,0
0.006,0.0376901826699345,2,0,0.006,0
0.0064,0.0402015493629532,2,0,0.0064,0
0.0068,0.0427126621211369,2,0,0.0068,0
0.0072,0.0452235050829326,2,0,0.0072,0
0.0076,0.0477340623884916,2,0,0.0076,0
0.008,0.0502443181797696,2,0,0.008,0
0.0084,0.0527542566006265,2,0,0.0084,0
0.0088,0.0552638617969272,2,0,0.0088,0
0.0092,0.0577731179166413,2,0,0.0092,0
0.0096,0.0602820091099435,2,0,0.0096,0
0.01,0.0627905195293134,2,0,0.01,0
0.0104,0.0652986333296358,2,0,0.0104,0
0.0108,0.0678063346683008,2,0,0.0108,0
0.0112,0.0703136077053038,2,0,0.0112,0
0.0116,0.0728204366033457,2,0,0.0116,0
0.012,0.0753268055279327,2,0,0.012,0
0.0124,0.0778326986474765,2,0,0.0124,0
0.0128,0.0803381001333942,2,0,0.0128,0
0.0132,0.0828429941602084,2,0,0.0132,0
0.0136,0.085347364905647,2,0,0.0136,0
0.014,0.0878511965507432,2,0,0.014,0
0.0144,0.0903544732799356,2,0,0.0144,0
0.0148,0.0928571792811678,2,0,0.0148,0
0.0152,0.0953592987459886,2,0,0.0152,0
0.0156,0.0978608158696515,2,0,0.0156,0
0.016,0.100361714851215,2,0,0.016,0
0.0164,0.102861979893641,2,0,0.0164,0
0.0168,0.105361595203898,2,0,0.0168,0
0.0172,0.107860544993057,2,0,0.0172,0
0.0176,0.110358813476392,2,0,0.0176,0
0.018,0.112856384873482,2,0,0.018,0
0.0184,0.115353243408308,2,0,0.0184,0
0.0188,0.117849373309356,2,0,0.0188,0
0.0192,0.120344758809712,2,0,0.0192,0
0.0196,0.122839384147164,2,0,0.0196,0
0.02,0.125333233564304,2,0,0.02,0
0.0204,0.127826291308624,2,0,0.0204,0
0.0208,0.130318541632615,2,0,0.0208,0
0.0212,0.132809968793869,2,0,0.0212,0
0.0216,0.13530055705518,2,0,0.0216,0
0.022,0.137790290684638,2,0,0.022,0
0.0224,0.140279153955732,2,0,0.0224,0
0.0228,0.142767131147449,2,0,0.0228,0
0.0232,0.145254206544373,2,0,0.0232,0
0.0236,0.147740364436784,2,0,0.0236,0
0.024,0.150225589120757,2,0,0.024,0
0.0244,0.152709864898263,2,0,0.0244,0
0.0248,0.155193176077266,2,0,0.0248,0
0.0252,0.157675506971823,2,0,0.0252,0
0.0256,0.160156841902182,2,0,0.0256,0
0.026,0.162637165194884,2,0,0.026,0
0.0264,0.165116461182858,2,0,0.0264,0
0.0268,0.167594714205524,2,0,0.0268,0
0.0272,0.170071908608889,2,0,0.0272,0
0.0276,0.172548028745647,2,0,0.0276,0
0.028,0.175023058975276,2,0,0.028,0
0.0284,0.177496983664141,2,0,0.0284,0
0.0288,0.17996978718559,2,0,0.0288,0
0.0292,0.18244145392005,2,0,0.0292,0
0.0296,0.184911968255132,2,0,0.0296,0
0.03,0.187381314585725,2,0,0.03,0
0.0304,0.189849477314094,2,0,0.0304,0
0.0308,0.192316440849983,2,0,0.0308,0
0.0312,0.194782189610709,2,0,0.0312,0
0.0316,0.197246708021263,2,0,0.0316,0
