"time","change1.u","edge1.u","fallingEdge.not_u","hysteresis.y","onOffController.y","pre1.u","rSFlipFlop.pre.u","table1.y","table2.y","timer.entryTime","triggeredTrapezoid.T","triggeredTrapezoid.endValue","triggeredTrapezoid.rate","triggeredTrapezoid.y","zeroCrossing.disable","zeroCrossing.enable","zeroCrossing.u_pos"
0,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,1,0,0
1.76735109531955e-11,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,1,0,0
1.76735109531955e-11,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,1,0,0
0.002,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,1,0,0
0.004,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,1,0,0
0.006,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,1,0,0
0.008,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,1,0,0
0.01,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,1,0,0
0.012,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,1,0,0
0.014,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,1,0,0
0.0159221332366604,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,1,0,0
0.0159221332366604,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,0,1,1
0.016,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,0,1,1
0.018,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,0,1,1
0.02,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,0,1,1
0.022,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,0,1,1
0.024,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,0,1,1
0.026,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,0,1,1
0.028,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,0,1,1
0.03,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,0,1,1
0.032,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,0,1,1
0.034,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,0,1,1
0.036,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,0,1,1
0.038,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,0,1,1
0.04,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,0,1,1
0.042,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,0,1,1
0.044,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,0,1,1
0.0443428889415267,0,0,1,0,0,1,0,0,0,0,0,0,-2,0,0,1,1
0.0443428889415267,0,0,1,0,1,1,0,0,0,0,0,0,-2,0,0,1,1
0.046,0,0,1,0,1,1,0,0,0,0,0,0,-2,0,0,1,1
0.048,0,0,1,0,1,1,0,0,0,0,0,0,-2,0,0,1,1
0.05,0,0,1,0,1,1,0,0,0,0,0,0,-2,0,0,1,1
0.052,0,0,1,0,1,1,0,0,0,0,0,0,-2,0,0,1,1
0.054,0,0,1,0,1,1,0,0,0,0,0,0,-2,0,0,1,1
0.056,0,0,1,0,1,1,0,0,0,0,0,0,-2,0,0,1,1
0.058,0,0,1,0,1,1,0,0,0,0,0,0,-2,0,0,1,1
0.06,0,0,1,0,1,1,0,0,0,0,0,0,-2,0,0,1,1
0.062,0,0,1,0,1,1,0,0,0,0,0,0,-2,0,0,1,1
