"time","pipe1.mediums[1].h","pipe1.mediums[1].p","pipe2.mediums[1].h","pipe2.mediums[1].p","pipe3.mediums[1].h","pipe3.mediums[1].p","valveOpening1.a","valveOpening1.b","valveOpening1.last","valveOpening1.nextEvent","valveOpening2.a","valveOpening2.b","valveOpening2.last","valveOpening2.nextEvent"
0,84385.8376489031,497500,84381.1337746141,492500,84381.1337746141,492500,0,1,2,1,0,1,2,2
0.001,84270.2931577336,369172.590943821,84220.6269017854,332249.475887082,84220.6269017854,332249.475887082,0,1,2,1,0,1,2,2
0.002,84276.4361073356,358788.406076705,84208.8961562137,320521.558987785,84208.8961562137,320521.558987785,0,1,2,1,0,1,2,2
0.003,84292.3206318542,357898.323140122,84207.9151669857,319520.05287021,84207.9151669857,319520.05287021,0,1,2,1,0,1,2,2
0.004,84309.0305581991,357821.590715414,84207.8562386478,319434.122315105,84207.8562386478,319434.122315105,0,1,2,1,0,1,2,2
0.005,84325.8025758225,357814.858679661,84207.8811222319,319426.965628679,84207.8811222319,319426.965628679,0,1,2,1,0,1,2,2
0.006,84342.5710064131,357814.15881837,84207.91770293,319426.596781791,84207.91770293,319426.596781791,0,1,2,1,0,1,2,2
0.007,84359.3255267612,357814.017390603,84207.9621614171,319426.855907825,84207.9621614171,319426.855907825,0,1,2,1,0,1,2,2
0.008,84376.0696234566,357813.924057648,84208.0119135053,319427.168862372,84208.0119135053,319427.168862372,0,1,2,1,0,1,2,2
0.009,84392.8040051275,357813.820945741,84208.0665080058,319427.470530103,84208.0665080058,319427.470530103,0,1,2,1,0,1,2,2
0.01,84409.5150407265,357813.714575951,84208.1327637883,319427.767874028,84208.1327637883,319427.767874028,0,1,2,1,0,1,2,2
0.011,84426.2248650502,357813.60803713,84208.1996245986,319428.064993619,84208.1996245986,319428.064993619,0,1,2,1,0,1,2,2
0.012,84442.9135990779,357813.501299833,84208.2770087187,319428.361296204,84208.2770087187,319428.361296203,0,1,2,1,0,1,2,2
0.013,84459.5744588501,357813.394300218,84208.3683011036,319428.65651898,84208.3683011036,319428.65651898,0,1,2,1,0,1,2,2
0.014,84476.2353186223,357813.287300603,84208.4595934886,319428.951741756,84208.4595934886,319428.951741756,0,1,2,1,0,1,2,2
0.015,84492.8961783945,357813.180300987,84208.5508858735,319429.246964532,84208.5508858735,319429.246964532,0,1,2,1,0,1,2,2
0.016,84509.5570381666,357813.073301372,84208.6421782585,319429.542187308,84208.6421782585,319429.542187308,0,1,2,1,0,1,2,2
0.017,84526.1988173904,357812.966290164,84208.7429771466,319429.836841864,84208.7429771466,319429.836841864,0,1,2,1,0,1,2,2
0.018,84542.8108560978,357812.859260885,84208.8585936545,319430.130610746,84208.8585936545,319430.130610746,0,1,2,1,0,1,2,2
0.019,84559.4228948051,357812.752231607,84208.9742101624,319430.424379628,84208.9742101624,319430.424379628,0,1,2,1,0,1,2,2
0.02,84576.0349335124,357812.645202328,84209.0898266704,319430.71814851,84209.0898266704,319430.71814851,0,1,2,1,0,1,2,2
0.021,84592.6469722197,357812.53817305,84209.2054431783,319431.011917391,84209.2054431783,319431.011917391,0,1,2,1,0,1,2,2
0.022,84609.2249455653,357812.431182493,84209.3379813437,319431.304772641,84209.3379813437,319431.304772641,0,1,2,1,0,1,2,2
0.023,84625.7399116252,357812.324263554,84209.5018178031,319431.595938035,84209.5018178031,319431.595938035,0,1,2,1,0,1,2,2
0.024,84642.2548776852,357812.217344615,84209.6656542626,319431.88710343,84209.6656542626,319431.88710343,0,1,2,1,0,1,2,2
0.025,84658.7698437452,357812.110425676,84209.829490722,319432.178268825,84209.829490722,319432.178268825,0,1,2,1,0,1,2,2
0.026,84675.2848098051,357812.003506737,84209.9933271814,319432.469434219,84209.9933271814,319432.469434219,0,1,2,1,0,1,2,2
0.027,84691.7997758651,357811.896587798,84210.1571636408,319432.760599614,84210.1571636408,319432.760599614,0,1,2,1,0,1,2,2
0.028,84708.314741925,357811.789668859,84210.3210001002,319433.051765009,84210.3210001002,319433.051765008,0,1,2,1,0,1,2,2
0.029,84724.829707985,357811.68274992,84210.4848365596,319433.342930403,84210.4848365596,319433.342930403,0,1,2,1,0,1,2,2
0.03,84741.3446740449,357811.575830981,84210.648673019,319433.634095798,84210.648673019,319433.634095798,0,1,2,1,0,1,2,2
0.031,84757.8596401049,357811.468912042,84210.8125094784,319433.925261192,84210.8125094784,319433.925261192,0,1,2,1,0,1,2,2
0.032,84774.3511070158,357811.361993718,84210.9879874934,319434.215740428,84210.9879874934,319434.215740428,0,1,2,1,0,1,2,2
0.033,84790.7794010099,357811.255077044,84211.194761579,319434.50437506,84211.194761579,319434.50437506,0,1,2,1,0,1,2,2
0.034,84807.207695004,357811.14816037,84211.4015356645,319434.793009691,84211.4015356645,319434.793009691,0,1,2,1,0,1,2,2
0.035,84823.6359889981,357811.041243697,84211.60830975,319435.081644322,84211.60830975,319435.081644322,0,1,2,1,0,1,2,2
0.036,84840.0642829922,357810.934327023,84211.8150838355,319435.370278953,84211.8150838355,319435.370278953,0,1,2,1,0,1,2,2
0.037,84856.4925769862,357810.827410349,84212.0218579211,319435.658913585,84212.0218579211,319435.658913585,0,1,2,1,0,1,2,2
0.038,84872.9208709803,357810.720493676,84212.2286320066,319435.947548216,84212.2286320066,319435.947548216,0,1,2,1,0,1,2,2
0.039,84889.3491649744,357810.613577002,84212.4354060921,319436.236182847,84212.4354060921,319436.236182847,0,1,2,1,0,1,2,2
0.04,84905.7774589685,357810.506660328,84212.6421801776,319436.524817478,84212.6421801776,319436.524817478,0,1,2,1,0,1,2,2
0.041,84922.1885221977,357810.399747863,84212.8574669668,319436.812957494,84212.8574669668,319436.812957494,0,1,2,1,0,1,2,2
0.042,84938.5303631246,357810.292852301,84213.1069524087,319437.099110458,84213.1069524087,319437.099110458,0,1,2,1,0,1,2,2
0.043,84954.8722040516,357810.18595674,84213.3564378506,319437.385263422,84213.3564378506,319437.385263422,0,1,2,1,0,1,2,2
0.044,84971.2140449785,357810.079061178,84213.6059232925,319437.671416386,84213.6059232925,319437.671416386,0,1,2,1,0,1,2,2
0.045,84987.5558859055,357809.972165617,84213.8554087344,319437.95756935,84213.8554087344,319437.95756935,0,1,2,1,0,1,2,2
0.046,85003.8977268324,357809.865270055,84214.1048941763,319438.243722314,84214.1048941763,319438.243722314,0,1,2,1,0,1,2,2
0.047,85020.2395677594,357809.758374494,84214.3543796182,319438.529875278,84214.3543796182,319438.529875278,0,1,2,1,0,1,2,2
0.048,85036.5814086863,357809.651478932,84214.6038650601,319438.816028242,84214.6038650601,319438.816028242,0,1,2,1,0,1,2,2
0.049,85052.9232496132,357809.544583371,84214.8533505019,319439.102181206,84214.8533505019,319439.102181206,0,1,2,1,0,1,2,2
0.05,85069.2541265292,357809.437691543,84215.1082377338,319439.388021321,84215.1082377338,319439.388021321,0,1,2,1,0,1,2,2
0.051,85085.5099673418,357809.330825271,84215.4000940341,319439.671720344,84215.4000940341,319439.671720344,0,1,2,1,0,1,2,2
0.052,85101.7658081544,357809.223958998,84215.6919503343,319439.955419367,84215.6919503343,319439.955419367,0,1,2,1,0,1,2,2
0.053,85118.021648967,357809.117092726,84215.9838066346,319440.239118391,84215.9838066346,319440.239118391,0,1,2,1,0,1,2,2
0.054,85134.2774897796,357809.010226453,84216.2756629348,319440.522817414,84216.2756629348,319440.522817414,0,1,2,1,0,1,2,2
