"time","I[1].re","I[1].im","I[2].re","I[2].im","I[3].re","I[3].im"
0,9.9997999967824e-06,1.99967942639778e-10,-4.99972682120268e-06,-8.66018081405575e-06,-5.00007317588006e-06,8.65998084613855e-06
0.0002,9.99979999694095e-06,1.99984011120931e-10,-4.99972680714623e-06,-8.66018082221023e-06,-5.00007318993299e-06,8.65998083818807e-06
0.0004,9.99979999686093e-06,1.99999773955491e-10,-4.99972679362479e-06,-8.66018083019053e-06,-5.0000732032498e-06,8.65998083034333e-06
0.0006,9.9997999968772e-06,2.00015945709499e-10,-4.99972677963124e-06,-8.66018083800319e-06,-5.00007321735356e-06,8.65998082219109e-06
0.0008,9.99979999676445e-06,2.00031940021096e-10,-4.99972676568246e-06,-8.66018084620686e-06,-5.00007323135311e-06,8.65998081409246e-06
0.001,9.99979999695224e-06,2.00047848552831e-10,-4.99972675189879e-06,-8.66018085411751e-06,-5.00007324507034e-06,8.6599808061177e-06
0.0012,9.99979999696312e-06,2.00063988450292e-10,-4.99972673786843e-06,-8.66018086230455e-06,-5.00007325928549e-06,8.65998079828975e-06
0.0014,9.99979999705488e-06,2.00079994251169e-10,-4.99972672405546e-06,-8.66018087043216e-06,-5.0000732726983e-06,8.65998079026637e-06
0.0016,9.99979999692609e-06,2.00095801134582e-10,-4.99972671030069e-06,-8.66018087802599e-06,-5.00007328670258e-06,8.65998078201244e-06
0.0018,9.99979999721718e-06,2.00111909212532e-10,-4.99972669671697e-06,-8.66018088614377e-06,-5.00007330051954e-06,8.65998077428498e-06
0.002,9.99979999726287e-06,2.00128161103947e-10,-4.99972668246857e-06,-8.66018089420312e-06,-5.00007331433524e-06,8.65998076599034e-06
0.0022,9.99979999712494e-06,2.00143942801313e-10,-4.9997266688984e-06,-8.66018090215124e-06,-5.00007332828854e-06,8.65998075836866e-06
0.0024,9.99979999697152e-06,2.00159954801433e-10,-4.99972665500063e-06,-8.66018091003992e-06,-5.00007334235505e-06,8.65998075024815e-06
0.0026,9.9997999972698e-06,2.00175703018096e-10,-4.99972664136539e-06,-8.66018091817658e-06,-5.00007335612702e-06,8.65998074214418e-06
0.0028,9.99979999727587e-06,2.00191984124414e-10,-4.99972662737186e-06,-8.66018092613052e-06,-5.0000733698264e-06,8.65998073446675e-06
0.003,9.99979999715624e-06,2.00207813290524e-10,-4.99972661367425e-06,-8.66018093397275e-06,-5.00007338363933e-06,8.65998072624972e-06
0.0032,9.99979999728779e-06,2.00223806724436e-10,-4.99972659994523e-06,-8.66018094212928e-06,-5.00007339746336e-06,8.65998071836743e-06
0.0034,9.99979999722581e-06,2.00239822070882e-10,-4.99972658590239e-06,-8.66018095033734e-06,-5.00007341138821e-06,8.65998071066767e-06
0.0036,9.99979999710481e-06,2.00255706873037e-10,-4.99972657216919e-06,-8.66018095849709e-06,-5.00007342518746e-06,8.65998070267957e-06
0.0038,9.99979999738582e-06,2.0027180162994e-10,-4.99972655831042e-06,-8.66018096595613e-06,-5.00007343901771e-06,8.6599806942657e-06
0.004,9.99979999708464e-06,2.00287871873798e-10,-4.99972654422057e-06,-8.66018097431423e-06,-5.00007345283485e-06,8.65998068614489e-06
0.0042,9.99979999704483e-06,2.00303693505343e-10,-4.99972653037659e-06,-8.66018098237835e-06,-5.00007346663402e-06,8.65998067860484e-06
0.0044,9.99979999724342e-06,2.00319546787701e-10,-4.99972651628799e-06,-8.66018099012494e-06,-5.00007348049896e-06,8.65998067043816e-06
0.0046,9.99979999740946e-06,2.00335659228169e-10,-4.99972650277337e-06,-8.66018099818238e-06,-5.0000734944109e-06,8.65998066257289e-06
0.0048,9.99979999734973e-06,2.00351670631632e-10,-4.99972648903226e-06,-8.66018100643835e-06,-5.00007350815914e-06,8.65998065471277e-06
0.005,9.99979999744987e-06,2.00367362006241e-10,-4.9997264755149e-06,-8.66018101423713e-06,-5.00007352202834e-06,8.65998064651e-06
0.0052,9.99979999734514e-06,2.00383480003421e-10,-4.9997264614608e-06,-8.66018102223488e-06,-5.00007353573621e-06,8.65998063851997e-06
0.0054,9.99979999735812e-06,2.00399474159042e-10,-4.99972644770179e-06,-8.66018103033764e-06,-5.00007354976369e-06,8.65998063094895e-06
0.0056,9.99979999746023e-06,2.00415534050324e-10,-4.99972643389424e-06,-8.66018103822658e-06,-5.00007356352422e-06,8.6599806226517e-06
0.0058,9.99979999752746e-06,2.00431307512973e-10,-4.99972642027449e-06,-8.66018104636699e-06,-5.00007357723605e-06,8.65998061503425e-06
0.006,9.99979999745888e-06,2.00447257157664e-10,-4.99972640609126e-06,-8.66018105401207e-06,-5.0000735913182e-06,8.65998060683545e-06
0.0062,9.99979999757874e-06,2.00463532751511e-10,-4.99972639258592e-06,-8.66018106236139e-06,-5.00007360497775e-06,8.65998059878857e-06
0.0064,9.99979999744323e-06,2.00479165571777e-10,-4.99972637858063e-06,-8.6601810702863e-06,-5.00007361895301e-06,8.65998059122711e-06
0.0066,9.99979999758561e-06,2.00495247444833e-10,-4.99972636474669e-06,-8.66018107835213e-06,-5.00007363265102e-06,8.65998058304984e-06
0.0068,9.99979999779101e-06,2.00511335608851e-10,-4.99972635115795e-06,-8.66018108632067e-06,-5.00007364657618e-06,8.65998057507764e-06
0.007,9.99979999770126e-06,2.00527218470836e-10,-4.99972633729335e-06,-8.66018109418794e-06,-5.00007366035939e-06,8.65998056689199e-06
0.0072,9.99979999753544e-06,2.00543221460924e-10,-4.99972632351792e-06,-8.66018110219655e-06,-5.00007367408238e-06,8.65998055944887e-06
0.0074,9.99979999770105e-06,2.00559058184787e-10,-4.99972630968653e-06,-8.66018111024856e-06,-5.00007368804432e-06,8.65998055143883e-06
0.0076,9.9997999976835e-06,2.0057509647657e-10,-4.99972629557605e-06,-8.6601811183536e-06,-5.00007370180431e-06,8.65998054299726e-06
0.0078,9.99979999787277e-06,2.0059135513221e-10,-4.99972628208061e-06,-8.66018112656775e-06,-5.00007371579845e-06,8.65998053552731e-06
0.008,9.99979999795924e-06,2.00606943113202e-10,-4.99972626827082e-06,-8.66018113445987e-06,-5.00007372956847e-06,8.65998052732272e-06
0.0082,9.99979999804636e-06,2.00622994849005e-10,-4.99972625457679e-06,-8.66018114208649e-06,-5.00007374359693e-06,8.6599805193649e-06
0.0084,9.99979999801895e-06,2.00638633163592e-10,-4.99972624074979e-06,-8.66018115091587e-06,-5.00007375713741e-06,8.65998051207811e-06
0.0086,9.99979999827396e-06,2.00654785659062e-10,-4.99972622692518e-06,-8.66018115857666e-06,-5.00007377115331e-06,8.65998050361494e-06
0.0088,9.99979999815833e-06,2.00670575113279e-10,-4.99972621325217e-06,-8.66018116635714e-06,-5.00007378484743e-06,8.65998049587505e-06
0.009,9.99979999820657e-06,2.0068657417784e-10,-4.99972619907579e-06,-8.66018117438195e-06,-5.00007379888833e-06,8.65998048772278e-06
0.0092,9.99979999828458e-06,2.00702628207071e-10,-4.99972618554638e-06,-8.66018118233517e-06,-5.00007381246806e-06,8.65998047988296e-06
0.0094,9.99979999818209e-06,2.00718519122976e-10,-4.99972617181975e-06,-8.66018119026745e-06,-5.00007382637631e-06,8.6599804717663e-06
0.0096,9.9997999982569e-06,2.00734508345979e-10,-4.9997261580886e-06,-8.66018119855692e-06,-5.00007384028683e-06,8.65998046411859e-06
0.0098,9.99979999843292e-06,2.00750127538222e-10,-4.99972614425553e-06,-8.66018120638259e-06,-5.00007385414183e-06,8.65998045635117e-06
0.01,9.99979999852762e-06,2.0076634473608e-10,-4.99972613050614e-06,-8.66018121465887e-06,-5.00007386798776e-06,8.65998044827451e-06
0.0102,9.9997999985467e-06,2.00782275648988e-10,-4.99972611657629e-06,-8.6601812225988e-06,-5.00007388182567e-06,8.65998044018993e-06
0.0104,9.99979999881394e-06,2.00798247993175e-10,-4.99972610310765e-06,-8.66018123086364e-06,-5.0000738955786e-06,8.65998043236826e-06
0.0106,9.99979999833401e-06,2.00814119450287e-10,-4.99972608898687e-06,-8.66018123882979e-06,-5.00007390937224e-06,8.65998042464895e-06
0.0108,9.99979999868568e-06,2.00830084111987e-10,-4.99972607550865e-06,-8.6601812466599e-06,-5.00007392340909e-06,8.65998041662027e-06
0.011,9.99979999877421e-06,2.00845869655998e-10,-4.99972606163971e-06,-8.66018125474377e-06,-5.00007393710311e-06,8.65998040873269e-06
0.0112,9.9997999987376e-06,2.00861937939415e-10,-4.99972604781811e-06,-8.66018126260674e-06,-5.00007395100388e-06,8.65998040096034e-06
0.0114,9.99979999861083e-06,2.00877840916152e-10,-4.99972603394297e-06,-8.66018127085322e-06,-5.00007396457934e-06,8.65998039336581e-06
0.0116,9.99979999894084e-06,2.00893601175434e-10,-4.99972602029186e-06,-8.66018127853844e-06,-5.00007397883944e-06,8.65998038513349e-06
0.0118,9.99979999909394e-06,2.00909710820091e-10,-4.99972600659732e-06,-8.66018128675578e-06,-5.00007399253793e-06,8.65998037714406e-06
0.012,9.99979999931205e-06,2.00925544706341e-10,-4.99972599290382e-06,-8.66018129492574e-06,-5.00007400620901e-06,8.65998036935264e-06
0.0122,9.99979999921813e-06,2.00941536668987e-10,-4.99972597913347e-06,-8.66018130292599e-06,-5.00007401997842e-06,8.65998036153507e-06
0.0124,9.9997999992939e-06,2.0095744259368e-10,-4.99972596526687e-06,-8.66018131099033e-06,-5.00007403394011e-06,8.65998035339033e-06
0.0126,9.99979999928259e-06,2.00973273550641e-10,-4.99972595163804e-06,-8.66018131886005e-06,-5.00007404768372e-06,8.65998034562353e-06
0.0128,9.99979999957218e-06,2.00989278836173e-10,-4.99972593792896e-06,-8.66018132703855e-06,-5.00007406174233e-06,8.65998033743528e-06
0.013,9.9997999996467e-06,2.01005052398189e-10,-4.99972592448393e-06,-8.66018133493176e-06,-5.000074075324e-06,8.6599803298053e-06
0.0132,9.99979999939841e-06,2.01020999156109e-10,-4.99972591037036e-06,-8.66018134305632e-06,-5.00007408911248e-06,8.65998032199068e-06
0.0134,9.99979999980753e-06,2.01036973516733e-10,-4.99972589644387e-06,-8.66018135144388e-06,-5.00007410307426e-06,8.65998031436922e-06
0.0136,9.99979999980755e-06,2.01053161951089e-10,-4.99972588290686e-06,-8.66018135897208e-06,-5.00007411670112e-06,8.65998030601772e-06
0.0138,9.9998000002195e-06,2.01068657127966e-10,-4.99972586929126e-06,-8.66018136701522e-06,-5.00007413079676e-06,8.65998029833398e-06
0.014,9.99980000001386e-06,2.01084794984509e-10,-4.99972585547767e-06,-8.66018137481023e-06,-5.00007414435059e-06,8.65998028994774e-06
0.0142,9.99980000004591e-06,2.01100771462245e-10,-4.9997258418086e-06,-8.66018138305146e-06,-5.00007415826116e-06,8.65998028233995e-06
0.0144,9.99979999988921e-06,2.01116356671629e-10,-4.99972582794034e-06,-8.66018139119516e-06,-5.00007417187887e-06,8.65998027483954e-06
0.0146,9.99980000028797e-06,2.01132553467278e-10,-4.99972581453912e-06,-8.66018139913931e-06,-5.0000741859439e-06,8.65998026643602e-06
0.0148,9.99980000036478e-06,2.01148302127987e-10,-4.99972580074134e-06,-8.66018140696216e-06,-5.00007419982715e-06,8.65998025875498e-06
0.015,9.99980000021203e-06,2.0116408961171e-10,-4.9997257867732e-06,-8.6601814153368e-06,-5.00007421362339e-06,8.65998025103821e-06
0.0152,9.99980000036944e-06,2.01179931486754e-10,-4.99972577339132e-06,-8.66018142317574e-06,-5.00007422736609e-06,8.65998024284775e-06
0.0154,9.99980000043194e-06,2.0119600529252e-10,-4.99972575956585e-06,-8.66018143124561e-06,-5.00007424119388e-06,8.65998023507713e-06
0.0156,9.99980000037346e-06,2.01211830032316e-10,-4.99972574562814e-06,-8.66018143922362e-06,-5.00007425484614e-06,8.65998022738763e-06
0.0158,9.99980000077818e-06,2.01227838398959e-10,-4.99972573200648e-06,-8.66018144734898e-06,-5.00007426859993e-06,8.65998021933261e-06
0.016,9.99980000097836e-06,2.01243617258235e-10,-4.99972571821191e-06,-8.66018145524333e-06,-5.00007428247432e-06,8.65998021165104e-06
0.0162,9.99980000118872e-06,2.01259600531266e-10,-4.99972570485842e-06,-8.66018146339966e-06,-5.00007429643587e-06,8.65998020384845e-06
0.0164,9.99980000129636e-06,2.01275525116485e-10,-4.99972569075986e-06,-8.66018147152448e-06,-5.00007431012907e-06,8.65998019599548e-06
0.0166,9.99980000093709e-06,2.01291518073879e-10,-4.99972567708317e-06,-8.66018147945701e-06,-5.0000743241086e-06,8.6599801879915e-06
0.0168,9.99980000119537e-06,2.01307241489265e-10,-4.99972566327161e-06,-8.66018148751213e-06,-5.0000743382068e-06,8.65998018035056e-06
0.017,9.99980000130274e-06,2.01323150898864e-10,-4.99972564966949e-06,-8.66018149545855e-06,-5.00007435151971e-06,8.65998017232938e-06
0.0172,9.99980000166238e-06,2.01339135884311e-10,-4.999725636285e-06,-8.66018150369068e-06,-5.00007436560527e-06,8.65998016432219e-06
