"time","N_pump.y","Source.ports[1].m_flow","Source.ports[1].p","Source.ports[1].h_outflow","Sink.ports[1].m_flow","Sink.ports[1].p","Sink.ports[1].h_outflow","pump.port_b.m_flow","pump.port_b.p","pump.port_b.h_outflow","valveOpening.y","Valve.port_b.m_flow","Valve.port_b.p","Valve.port_b.h_outflow","Valve.minLimiter.y"
0,0,-5.43749034352824e-10,100000,84011.8111671368,5.43749034352824e-10,100000,84011.8111671368,-5.43749034352824e-10,100000.000000435,84011.8111671373,1,-5.43749034352824e-10,100000,84011.8111671373,1
0.002,0,-5.43749034352824e-10,100000,84011.8111671368,5.43749034352824e-10,100000,84011.8111671368,-5.43749034352824e-10,100000.000000435,84011.8111671373,1,-5.43749034352824e-10,100000,84011.8111671373,1
0.004,0,-5.43749034352824e-10,100000,84011.8111671368,5.43749034352824e-10,100000,84011.8111671368,-5.43749034352824e-10,100000.000000435,84011.8111671373,1,-5.43749034352824e-10,100000,84011.8111671373,1
0.006,0,-5.43749034352824e-10,100000,84011.8111671368,5.43749034352824e-10,100000,84011.8111671368,-5.43749034352824e-10,100000.000000435,84011.8111671373,1,-5.43749034352824e-10,100000,84011.8111671373,1
0.008,0,-5.43749034352824e-10,100000,84011.8111671368,5.43749034352824e-10,100000,84011.8111671368,-5.43749034352824e-10,100000.000000435,84011.8111671373,1,-5.43749034352824e-10,100000,84011.8111671373,1
0.01,0,-5.43749034352824e-10,100000,84011.8111671368,5.43749034352824e-10,100000,84011.8111671368,-5.43749034352824e-10,100000.000000435,84011.8111671373,1,-5.43749034352824e-10,100000,84011.8111671373,1
0.012,0,-5.43749034352824e-10,100000,84011.8111671368,5.43749034352824e-10,100000,84011.8111671368,-5.43749034352824e-10,100000.000000435,84011.8111671373,1,-5.43749034352824e-10,100000,84011.8111671373,1
0.014,0,-5.43749034352824e-10,100000,84011.8111671368,5.43749034352824e-10,100000,84011.8111671368,-5.43749034352824e-10,100000.000000435,84011.8111671373,1,-5.43749034352824e-10,100000,84011.8111671373,1
0.016,0,-5.43749034352824e-10,100000,84011.8111671368,5.43749034352824e-10,100000,84011.8111671368,-5.43749034352824e-10,100000.000000435,84011.8111671373,1,-5.43749034352824e-10,100000,84011.8111671373,1
0.018,0,-5.43749034352824e-10,100000,84011.8111671368,5.43749034352824e-10,100000,84011.8111671368,-5.43749034352824e-10,100000.000000435,84011.8111671373,1,-5.43749034352824e-10,100000,84011.8111671373,1
0.02,0,-5.43749034352824e-10,100000,84011.8111671368,5.43749034352824e-10,100000,84011.8111671368,-5.43749034352824e-10,100000.000000435,84011.8111671373,1,-5.43749034352824e-10,100000,84011.8111671373,1
0.022,0,-5.43749034352824e-10,100000,84011.8111671368,5.43749034352824e-10,100000,84011.8111671368,-5.43749034352824e-10,100000.000000435,84011.8111671373,1,-5.43749034352824e-10,100000,84011.8111671373,1
0.024,0,-5.43749034352824e-10,100000,84011.8111671368,5.43749034352824e-10,100000,84011.8111671368,-5.43749034352824e-10,100000.000000435,84011.8111671373,1,-5.43749034352824e-10,100000,84011.8111671373,1
0.026,0,-5.43749034352824e-10,100000,84011.8111671368,5.43749034352824e-10,100000,84011.8111671368,-5.43749034352824e-10,100000.000000435,84011.8111671373,1,-5.43749034352824e-10,100000,84011.8111671373,1
