"time","pump.medium.h","pump.medium.p"
0,84932.9605804328,835833.218622019
0.0006,84932.9605804328,835833.218622021
0.0012,84932.9605804327,835833.218622021
0.0018,84932.9605804326,835833.218622021
0.0024,84932.9605804325,835833.218622021
0.003,84932.9605804324,835833.218622021
0.0036,84932.9605804323,835833.218622021
0.0042,84932.9605804322,835833.218622021
0.0048,84932.9605804321,835833.218622021
0.0054,84932.960580432,835833.218622021
0.006,84932.9605804319,835833.218622021
0.0066,84932.9605804318,835833.218622021
0.0072,84932.9605804318,835833.218622021
0.0078,84932.9605804317,835833.218622021
0.0084,84932.9605804316,835833.218622021
0.009,84932.9605804315,835833.218622021
0.0096,84932.9605804314,835833.218622021
0.0102,84932.9605804313,835833.218622021
0.0108,84932.9605804312,835833.218622021
0.0114,84932.9605804311,835833.218622021
0.012,84932.9605804311,835833.218622021
0.0126,84932.960580431,835833.218622021
0.0132,84932.9605804309,835833.218622021
0.0138,84932.9605804308,835833.218622021
0.0144,84932.9605804307,835833.218622021
0.015,84932.9605804306,835833.21862202
0.0156,84932.9605804306,835833.21862202
0.0162,84932.9605804305,835833.21862202
0.0168,84932.9605804304,835833.21862202
0.0174,84932.9605804303,835833.21862202
0.018,84932.9605804302,835833.21862202
0.0186,84932.9605804302,835833.21862202
0.0192,84932.9605804301,835833.21862202
0.0198,84932.96058043,835833.21862202
0.0204,84932.9605804299,835833.21862202
0.021,84932.9605804298,835833.21862202
0.0216,84932.9605804298,835833.21862202
0.0222,84932.9605804297,835833.21862202
0.0228,84932.9605804296,835833.21862202
0.0234,84932.9605804295,835833.21862202
0.024,84932.9605804295,835833.21862202
0.0246,84932.9605804294,835833.21862202
0.0252,84932.9605804293,835833.21862202
0.0258,84932.9605804292,835833.21862202
0.0264,84932.9605804292,835833.21862202
0.027,84932.9605804291,835833.21862202
0.0276,84932.960580429,835833.21862202
0.0282,84932.9605804289,835833.21862202
0.0288,84932.9605804289,835833.21862202
0.0294,84932.9605804288,835833.21862202
0.03,84932.9605804287,835833.21862202
0.0306,84932.9605804287,835833.21862202
0.0312,84932.9605804286,835833.218622021
0.0318,84932.9605804285,835833.218622021
0.0324,84932.9605804284,835833.218622021
0.033,84932.9605804283,835833.218622021
0.0336,84932.9605804283,835833.218622021
0.0342,84932.9605804282,835833.218622021
0.0348,84932.9605804281,835833.218622021
0.0354,84932.9605804281,835833.218622021
0.036,84932.960580428,835833.218622021
