"time","delay.inertialDelaySensitive[1].x","delay.inertialDelaySensitive[1].y","delay.inertialDelaySensitive[2].x","delay.inertialDelaySensitive[2].y","delay.inertialDelaySensitive[3].x","delay.inertialDelaySensitive[3].y"
0,3,1,3,1,3,1
0.002,3,1,3,1,3,1
0.004,3,1,3,1,3,1
0.006,3,1,3,1,3,1
0.008,3,1,3,1,3,1
0.01,3,1,3,1,3,1
0.012,3,1,3,1,3,1
0.014,3,1,3,1,3,1
0.016,3,1,3,1,3,1
0.018,3,1,3,1,3,1
0.02,3,1,3,1,3,1
0.022,3,1,3,1,3,1
0.024,3,1,3,1,3,1
0.026,3,1,3,1,3,1
0.028,3,1,3,1,3,1
0.03,3,1,3,1,3,1
0.032,3,1,3,1,3,1
0.034,3,1,3,1,3,1
0.036,3,1,3,1,3,1
0.038,3,1,3,1,3,1
0.04,3,1,3,1,3,1
0.042,3,1,3,1,3,1
0.044,3,1,3,1,3,1
0.046,3,1,3,1,3,1
0.048,3,1,3,1,3,1
0.05,3,1,3,1,3,1
0.052,3,1,3,1,3,1
0.054,3,1,3,1,3,1
0.056,3,1,3,1,3,1
0.058,3,1,3,1,3,1
0.06,3,1,3,1,3,1
0.062,3,1,3,1,3,1
0.064,3,1,3,1,3,1
0.066,3,1,3,1,3,1
0.068,3,1,3,1,3,1
0.07,3,1,3,1,3,1
0.072,3,1,3,1,3,1
0.074,3,1,3,1,3,1
0.076,3,1,3,1,3,1
0.078,3,1,3,1,3,1
0.08,3,1,3,1,3,1
0.082,3,1,3,1,3,1
0.084,3,1,3,1,3,1
0.086,3,1,3,1,3,1
0.088,3,1,3,1,3,1
0.09,3,1,3,1,3,1
0.092,3,1,3,1,3,1
0.094,3,1,3,1,3,1
0.096,3,1,3,1,3,1
0.098,3,1,3,1,3,1
0.1,3,1,3,1,3,1
0.102,3,1,3,1,3,1
0.104,3,1,3,1,3,1
0.106,3,1,3,1,3,1
0.108,3,1,3,1,3,1
0.11,3,1,3,1,3,1
0.112,3,1,3,1,3,1
0.114,3,1,3,1,3,1
0.116,3,1,3,1,3,1
0.118,3,1,3,1,3,1
0.12,3,1,3,1,3,1
0.122,3,1,3,1,3,1
0.124,3,1,3,1,3,1
0.126,3,1,3,1,3,1
0.128,3,1,3,1,3,1
0.13,3,1,3,1,3,1
0.132,3,1,3,1,3,1
0.134,3,1,3,1,3,1
0.136,3,1,3,1,3,1
0.138,3,1,3,1,3,1
0.14,3,1,3,1,3,1
0.142,3,1,3,1,3,1
0.144,3,1,3,1,3,1
0.146,3,1,3,1,3,1
0.148,3,1,3,1,3,1
0.15,3,1,3,1,3,1
0.152,3,1,3,1,3,1
0.154,3,1,3,1,3,1
0.156,3,1,3,1,3,1
0.158,3,1,3,1,3,1
0.16,3,1,3,1,3,1
0.162,3,1,3,1,3,1
0.164,3,1,3,1,3,1
0.166,3,1,3,1,3,1
0.168,3,1,3,1,3,1
0.17,3,1,3,1,3,1
0.172,3,1,3,1,3,1
0.174,3,1,3,1,3,1
0.176,3,1,3,1,3,1
0.178,3,1,3,1,3,1
0.18,3,1,3,1,3,1
0.182,3,1,3,1,3,1
0.184,3,1,3,1,3,1
0.186,3,1,3,1,3,1
0.188,3,1,3,1,3,1
0.19,3,1,3,1,3,1
0.192,3,1,3,1,3,1
0.194,3,1,3,1,3,1
0.196,3,1,3,1,3,1
0.198,3,1,3,1,3,1
0.2,3,1,3,1,3,1
0.202,3,1,3,1,3,1
0.204,3,1,3,1,3,1
0.206,3,1,3,1,3,1
0.208,3,1,3,1,3,1
0.21,3,1,3,1,3,1
0.212,3,1,3,1,3,1
0.214,3,1,3,1,3,1
0.216,3,1,3,1,3,1
0.218,3,1,3,1,3,1
0.22,3,1,3,1,3,1
0.222,3,1,3,1,3,1
0.224,3,1,3,1,3,1
0.226,3,1,3,1,3,1
0.228,3,1,3,1,3,1
0.23,3,1,3,1,3,1
0.232,3,1,3,1,3,1
0.234,3,1,3,1,3,1
0.236,3,1,3,1,3,1
0.238,3,1,3,1,3,1
0.24,3,1,3,1,3,1
0.242,3,1,3,1,3,1
0.244,3,1,3,1,3,1
0.246,3,1,3,1,3,1
0.248,3,1,3,1,3,1
0.25,3,1,3,1,3,1
0.252,3,1,3,1,3,1
0.254,3,1,3,1,3,1
0.256,3,1,3,1,3,1
0.258,3,1,3,1,3,1
0.26,3,1,3,1,3,1
0.262,3,1,3,1,3,1
0.264,3,1,3,1,3,1
0.266,3,1,3,1,3,1
0.268,3,1,3,1,3,1
0.27,3,1,3,1,3,1
0.272,3,1,3,1,3,1
0.274,3,1,3,1,3,1
0.276,3,1,3,1,3,1
0.278,3,1,3,1,3,1
0.28,3,1,3,1,3,1
0.282,3,1,3,1,3,1
0.284,3,1,3,1,3,1
0.286,3,1,3,1,3,1
0.288,3,1,3,1,3,1
0.29,3,1,3,1,3,1
0.292,3,1,3,1,3,1
0.294,3,1,3,1,3,1
0.296,3,1,3,1,3,1
0.298,3,1,3,1,3,1
0.3,3,1,3,1,3,1
0.302,3,1,3,1,3,1
0.304,3,1,3,1,3,1
0.306,3,1,3,1,3,1
0.308,3,1,3,1,3,1
0.31,3,1,3,1,3,1
0.312,3,1,3,1,3,1
0.314,3,1,3,1,3,1
0.316,3,1,3,1,3,1
0.318,3,1,3,1,3,1
0.32,3,1,3,1,3,1
0.322,3,1,3,1,3,1
0.324,3,1,3,1,3,1
0.326,3,1,3,1,3,1
0.328,3,1,3,1,3,1
0.33,3,1,3,1,3,1
