"time","medium1.T","medium1.p","medium2.T","medium2.p"
0,300,100000,300,100000
0.0002,300.00067709304,100000.399344137,300.000314731194,100000.250700393
0.0004,300.001354183701,100000.798688265,300.00062946127,100000.50140072
0.0006,300.002031271982,100001.198032383,300.000944190228,100000.752100979
0.0008,300.002708357884,100001.597376492,300.001258918067,100001.002801172
0.001,300.003385441406,100001.996720592,300.001573644787,100001.253501298
0.0012,300.004062522549,100002.396064682,300.001888370389,100001.504201356
0.0014,300.004739601312,100002.795408763,300.002203094873,100001.754901348
0.0016,300.005416677696,100003.194752834,300.002517818238,100002.005601273
0.0018,300.006093751701,100003.594096896,300.002832540485,100002.256301131
0.002,300.006770823326,100003.993440949,300.003147261613,100002.507000922
0.0022,300.007447892571,100004.392784993,300.003461981623,100002.757700646
0.0024,300.008124959437,100004.792129027,300.003776700514,100003.008400303
0.0026,300.008802023924,100005.191473052,300.004091418287,100003.259099893
0.0028,300.009479086032,100005.590817067,300.004406134942,100003.509799416
0.003,300.010156145759,100005.990161073,300.004720850478,100003.760498873
0.0032,300.010833203108,100006.38950507,300.005035564896,100004.011198262
0.0034,300.011510258077,100006.788849057,300.005350278195,100004.261897585
0.0036,300.012187310668,100007.188193035,300.005664990376,100004.51259684
0.0038,300.012864360879,100007.587537004,300.005979701439,100004.763296029
0.004,300.013541408711,100007.986880963,300.006294411384,100005.01399515
0.0042,300.014218454163,100008.386224913,300.00660912021,100005.264694205
0.0044,300.014895497236,100008.785568853,300.006923827918,100005.515393193
0.0046,300.01557253793,100009.184912785,300.007238534507,100005.766092114
0.0048,300.016249576245,100009.584256706,300.007553239978,100006.016790968
0.005,300.01692661218,100009.983600619,300.007867944331,100006.267489755
0.0052,300.017603645737,100010.382944522,300.008182647565,100006.518188475
0.0054,300.018280676913,100010.782288416,300.008497349681,100006.768887128
0.0056,300.018957705711,100011.1816323,300.008812050679,100007.019585715
0.0058,300.019634732129,100011.580976175,300.009126750558,100007.270284234
0.006,300.020311756168,100011.980320041,300.009441449319,100007.520982687
0.0062,300.020988777828,100012.379663897,300.009756146961,100007.771681072
0.0064,300.021665797108,100012.779007744,300.010070843486,100008.022379391
0.0066,300.02234281401,100013.178351582,300.010385538892,100008.273077642
0.0068,300.023019828534,100013.57769541,300.01070023318,100008.523775827
0.007,300.02369684068,100013.977039229,300.011014926351,100008.774473945
0.0072,300.024373850446,100014.376383038,300.011329618403,100009.025171996
0.0074,300.025050857833,100014.775726839,300.011644309337,100009.27586998
0.0076,300.025727862842,100015.175070629,300.011958999153,100009.526567897
0.0078,300.026404865471,100015.574414411,300.01227368785,100009.777265748
0.008,300.027081865721,100015.973758183,300.01258837543,100010.027963531
0.0082,300.027758863592,100016.373101946,300.012903061891,100010.278661247
0.0084,300.028435859085,100016.772445699,300.013217747234,100010.529358897
0.0086,300.029112852198,100017.171789443,300.013532431458,100010.780056479
0.0088,300.029789842932,100017.571133178,300.013847114565,100011.030753995
0.009,300.030466831288,100017.970476903,300.014161796553,100011.281451444
0.0092,300.031143817264,100018.369820619,300.014476477423,100011.532148825
0.0094,300.031820800861,100018.769164326,300.014791157175,100011.78284614
0.0096,300.03249778208,100019.168508023,300.015105835808,100012.033543388
0.0098,300.033174760919,100019.567851711,300.015420513324,100012.284240569
0.01,300.033851737379,100019.967195389,300.015735189721,100012.534937683
0.0102,300.03452871146,100020.366539059,300.016049865,100012.785634731
0.0104,300.035205683163,100020.765882718,300.01636453916,100013.036331711
0.0106,300.035882652486,100021.165226369,300.016679212203,100013.287028624
0.0108,300.03655961943,100021.56457001,300.016993884127,100013.537725471
0.011,300.037236583995,100021.963913642,300.017308554933,100013.78842225
0.0112,300.037913546182,100022.363257264,300.017623224621,100014.039118963
0.0114,300.038590505989,100022.762600877,300.01793789319,100014.289815609
0.0116,300.039267463417,100023.161944481,300.018252560642,100014.540512188
0.0118,300.039944418466,100023.561288075,300.018567226975,100014.791208699
0.012,300.040621371137,100023.96063166,300.018881892189,100015.041905144
0.0122,300.041298321428,100024.359975236,300.019196556286,100015.292601522
0.0124,300.04197526934,100024.759318802,300.019511219265,100015.543297834
0.0126,300.042652214873,100025.158662359,300.019825881125,100015.793994078
0.0128,300.043329158028,100025.558005906,300.020140541867,100016.044690255
0.013,300.044006098803,100025.957349444,300.020455201491,100016.295386365
0.0132,300.044683037203,100026.356692973,300.020769859998,100016.546082409
0.0134,300.04535997323,100026.756036492,300.02108451739,100016.796778386
0.0136,300.046036906879,100027.155380003,300.021399173664,100017.047474296
0.0138,300.046713838149,100027.554723503,300.021713828821,100017.298170139
0.014,300.04739076704,100027.954066995,300.022028482859,100017.548865915
0.0142,300.048067693554,100028.353410477,300.022343135779,100017.799561624
0.0144,300.048744617688,100028.752753949,300.022657787582,100018.050257267
0.0146,300.049421539445,100029.152097412,300.022972438266,100018.300952842
0.0148,300.050098458822,100029.551440866,300.023287087833,100018.551648351
0.015,300.050775375822,100029.950784311,300.023601736281,100018.802343792
0.0152,300.051452290443,100030.350127746,300.023916383612,100019.053039167
0.0154,300.052129202685,100030.749471172,300.024231029824,100019.303734475
0.0156,300.052806112549,100031.148814588,300.024545674919,100019.554429716
0.0158,300.053483020035,100031.548157995,300.024860318896,100019.80512489
0.016,300.054159925142,100031.947501393,300.025174961754,100020.055819997
0.0162,300.054836827871,100032.346844781,300.025489603495,100020.306515037
0.0164,300.055513728221,100032.746188161,300.025804244118,100020.557210011
0.0166,300.056190626193,100033.14553153,300.026118883623,100020.807904917
0.0168,300.056867521786,100033.54487489,300.02643352201,100021.058599757
0.017,300.057544415001,100033.944218241,300.026748159279,100021.309294529
0.0172,300.058221305838,100034.343561583,300.02706279543,100021.559989235
0.0174,300.058898194296,100034.742904915,300.027377430464,100021.810683874
0.0176,300.059575080375,100035.142248238,300.027692064379,100022.061378446
0.0178,300.060251964076,100035.541591552,300.028006697176,100022.312072951
0.018,300.060928845399,100035.940934856,300.028321328855,100022.562767389
0.0182,300.061605724343,100036.34027815,300.028635959417,100022.81346176
0.0184,300.062282600909,100036.739621436,300.02895058886,100023.064156065
0.0186,300.062959475097,100037.138964712,300.029265217186,100023.314850302
0.0188,300.063636346906,100037.538307979,300.029579844393,100023.565544473
0.019,300.064313216336,100037.937651236,300.029894470483,100023.816238576
0.0192,300.064990083388,100038.336994484,300.030209095454,100024.066932613
0.0194,300.065666948062,100038.736337723,300.030523719308,100024.317626583
0.0196,300.066343810357,100039.135680952,300.030838342044,100024.568320486
0.0198,300.067020670274,100039.535024172,300.031152963662,100024.819014322
0.02,300.067697527812,100039.934367382,300.031467584161,100025.069708091
0.0202,300.068374382972,100040.333710583,300.031782203543,100025.320401794
0.0204,300.069051235753,100040.733053775,300.032096821807,100025.571095429
0.0206,300.069728086156,100041.132396958,300.032411438953,100025.821788997
0.0208,300.070404934181,100041.531740131,300.032726054981,100026.072482499
0.021,300.071081779827,100041.931083295,300.033040669892,100026.323175934
0.0212,300.071758623094,100042.330426449,300.033355283684,100026.573869301
0.0214,300.072435463983,100042.729769594,300.033669896358,100026.824562602
0.0216,300.073112302494,100043.12911273,300.033984507914,100027.075255836
0.0218,300.073789138626,100043.528455856,300.034299118353,100027.325949003
0.022,300.07446597238,100043.927798973,300.034613727673,100027.576642103
0.0222,300.075142803756,100044.327142081,300.034928335875,100027.827335137
0.0224,300.075819632753,100044.726485179,300.03524294296,100028.078028103
0.0226,300.076496459371,100045.125828268,300.035557548926,100028.328721002
0.0228,300.077173283611,100045.525171347,300.035872153775,100028.579413835
0.023,300.077850105473,100045.924514417,300.036186757506,100028.830106601
0.0232,300.078526924956,100046.323857478,300.036501360118,100029.080799299
0.0234,300.079203742061,100046.723200529,300.036815961613,100029.331491931
0.0236,300.079880556787,100047.122543572,300.03713056199,100029.582184496
0.0238,300.080557369135,100047.521886604,300.037445161249,100029.832876994
0.024,300.081234179104,100047.921229628,300.03775975939,100030.083569426
0.0242,300.081910986695,100048.320572642,300.038074356413,100030.33426179
0.0244,300.082587791908,100048.719915646,300.038388952318,100030.584954087
0.0246,300.083264594742,100049.119258642,300.038703547105,100030.835646318
0.0248,300.083941395197,100049.518601627,300.039018140774,100031.086338481
0.025,300.084618193274,100049.917944604,300.039332733325,100031.337030578
0.0252,300.085294988973,100050.317287571,300.039647324758,100031.587722608
0.0254,300.085971782293,100050.716630529,300.039961915074,100031.838414571
0.0256,300.086648573235,100051.115973477,300.040276504271,100032.089106467
0.0258,300.087325361799,100051.515316417,300.04059109235,100032.339798296
0.026,300.088002147984,100051.914659346,300.040905679312,100032.590490058
0.0262,300.08867893179,100052.314002267,300.041220265155,100032.841181753
0.0264,300.089355713253,100052.713345178,300.041534849898,100033.091873382
0.0266,300.090032492341,100053.112688079,300.041849433524,100033.342564945
0.0268,300.090709269051,100053.512030971,300.042164016033,100033.593256441
0.027,300.091386043384,100053.911373854,300.042478597425,100033.84394787
0.0272,300.09206281534,100054.310716728,300.0427931777,100034.094639232
0.0274,300.092739584919,100054.710059592,300.043107756856,100034.345330527
0.0276,300.09341635212,100055.109402447,300.043422334896,100034.596021756
0.0278,300.094093116944,100055.508745292,300.043736911818,100034.846712917
0.028,300.09476987939,100055.908088128,300.044051487623,100035.097404012
0.0282,300.09544663946,100056.307430955,300.04436606231,100035.34809504
0.0284,300.096123397152,100056.706773772,300.04468063588,100035.598786
0.0286,300.096800152466,100057.10611658,300.044995208333,100035.849476895
0.0288,300.097476905404,100057.505459378,300.045309779668,100036.100167722
0.029,300.098153655964,100057.904802168,300.045624349886,100036.350858482
0.0292,300.098830404146,100058.304144947,300.045938918986,100036.601549176
0.0294,300.099507149952,100058.703487718,300.046253486969,100036.852239802
0.0296,300.100183893379,100059.102830479,300.046568053834,100037.102930362
0.0298,300.10086063443,100059.502173231,300.046882619583,100037.353620855
0.03,300.101537373103,100059.901515973,300.047197184213,100037.604311281
0.0302,300.1022141094,100060.300858706,300.047511747727,100037.85500164
0.0304,300.102890843318,100060.70020143,300.047826310123,100038.105691932
0.0306,300.10356757486,100061.099544144,300.048140871401,100038.356382158
0.0308,300.104244304024,100061.498886849,300.048455431563,100038.607072316
0.031,300.10492103081,100061.898229545,300.048769990606,100038.857762408
0.0312,300.10559775522,100062.297572231,300.049084548533,100039.108452433
0.0314,300.106274477252,100062.696914908,300.049399105342,100039.359142391
0.0316,300.106951196906,100063.096257575,300.049713661033,100039.609832282
0.0318,300.107627914184,100063.495600233,300.050028215608,100039.860522106
0.032,300.108304629084,100063.894942882,300.050342769065,100040.111211863
0.0322,300.108981341607,100064.294285521,300.050657321404,100040.361901554
0.0324,300.109658051752,100064.693628151,300.050971872626,100040.612591177
0.0326,300.11033475952,100065.092970772,300.051286422731,100040.863280734
0.0328,300.111011464911,100065.492313383,300.051600971718,100041.113970224
0.033,300.111688167924,100065.891655985,300.051915519588,100041.364659647
0.0332,300.112364868561,100066.290998578,300.05223006634,100041.615349003
0.0334,300.113041566819,100066.690341161,300.052544611975,100041.866038292
0.0336,300.113718262701,100067.089683735,300.052859156493,100042.116727515
0.0338,300.114394956205,100067.489026299,300.053173699893,100042.367416671
0.034,300.115071647332,100067.888368854,300.053488242176,100042.618105759
0.0342,300.115748336081,100068.2877114,300.053802783342,100042.868794781
0.0344,300.116425022453,100068.687053936,300.05411732339,100043.119483736
0.0346,300.117101706448,100069.086396463,300.05443186232,100043.370172624
0.0348,300.117778388066,100069.485738981,300.054746400134,100043.620861445
0.035,300.118455067306,100069.885081489,300.05506093683,100043.8715502
0.0352,300.119131744169,100070.284423988,300.055375472408,100044.122238887
0.0354,300.119808418654,100070.683766478,300.055690006869,100044.372927508
0.0356,300.120485090763,100071.083108958,300.056004540213,100044.623616062
0.0358,300.121161760494,100071.482451429,300.056319072439,100044.874304549
0.036,300.121838427847,100071.88179389,300.056633603548,100045.124992969
0.0362,300.122515092823,100072.281136343,300.05694813354,100045.375681322
0.0364,300.123191755422,100072.680478785,300.057262662414,100045.626369608
0.0366,300.123868415644,100073.079821219,300.057577190171,100045.877057828
0.0368,300.124545073488,100073.479163643,300.05789171681,100046.127745981
0.037,300.125221728955,100073.878506057,300.058206242332,100046.378434066
0.0372,300.125898382045,100074.277848463,300.058520766737,100046.629122085
0.0374,300.126575032757,100074.677190859,300.058835290024,100046.879810037
0.0376,300.127251681092,100075.076533245,300.059149812194,100047.130497922
0.0378,300.12792832705,100075.475875622,300.059464333246,100047.381185741
0.038,300.12860497063,100075.87521799,300.059778853181,100047.631873492
0.0382,300.129281611833,100076.274560349,300.060093371999,100047.882561177
0.0384,300.129958250659,100076.673902698,300.060407889699,100048.133248794
0.0386,300.130634887107,100077.073245038,300.060722406282,100048.383936345
0.0388,300.131311521178,100077.472587368,300.061036921747,100048.634623829
0.039,300.131988152872,100077.871929689,300.061351436095,100048.885311246
0.0392,300.132664782188,100078.271272001,300.061665949326,100049.135998597
0.0394,300.133341409127,100078.670614303,300.061980461439,100049.38668588
0.0396,300.134018033689,100079.069956596,300.062294972435,100049.637373097
0.0398,300.134694655873,100079.46929888,300.062609482313,100049.888060246
0.04,300.13537127568,100079.868641154,300.062923991074,100050.138747329
0.0402,300.13604789311,100080.267983419,300.063238498718,100050.389434345
0.0404,300.136724508162,100080.667325674,300.063553005244,100050.640121294
0.0406,300.137401120837,100081.06666792,300.063867510653,100050.890808176
0.0408,300.138077731135,100081.466010157,300.064182014945,100051.141494992
0.041,300.138754339055,100081.865352384,300.064496518119,100051.39218174
0.0412,300.139430944599,100082.264694603,300.064811020175,100051.642868422
0.0414,300.140107547764,100082.664036811,300.065125521115,100051.893555036
0.0416,300.140784148553,100083.063379011,300.065440020937,100052.144241584
0.0418,300.141460746964,100083.4627212,300.065754519641,100052.394928065
0.042,300.142137342998,100083.862063381,300.066069017228,100052.645614479
0.0422,300.142813936654,100084.261405552,300.066383513698,100052.896300827
0.0424,300.143490527933,100084.660747714,300.06669800905,100053.146987107
0.0426,300.144167116835,100085.060089867,300.067012503285,100053.397673321
0.0428,300.14484370336,100085.45943201,300.067326996403,100053.648359467
0.043,300.145520287507,100085.858774144,300.067641488403,100053.899045547
0.0432,300.146196869277,100086.258116268,300.067955979286,100054.14973156
0.0434,300.146873448669,100086.657458383,300.068270469051,100054.400417506
0.0436,300.147550025684,100087.056800489,300.068584957699,100054.651103386
0.0438,300.148226600322,100087.456142585,300.068899445229,100054.901789198
0.044,300.148903172583,100087.855484672,300.069213931642,100055.152474943
0.0442,300.149579742466,100088.25482675,300.069528416938,100055.403160622
0.0444,300.150256309972,100088.654168818,300.069842901117,100055.653846234
0.0446,300.150932875101,100089.053510877,300.070157384178,100055.904531779
0.0448,300.151609437852,100089.452852926,300.070471866121,100056.155217257
0.045,300.152285998226,100089.852194966,300.070786346947,100056.405902668
0.0452,300.152962556222,100090.251536997,300.071100826656,100056.656588012
0.0454,300.153639111842,100090.650879018,300.071415305248,100056.90727329
0.0456,300.154315665084,100091.05022103,300.071729782721,100057.1579585
0.0458,300.154992215948,100091.449563033,300.072044259078,100057.408643644
0.046,300.155668764435,100091.848905026,300.072358734317,100057.659328721
0.0462,300.156345310545,100092.24824701,300.072673208439,100057.910013731
0.0464,300.157021854278,100092.647588985,300.072987681444,100058.160698674
0.0466,300.157698395633,100093.04693095,300.073302153331,100058.41138355
0.0468,300.158374934611,100093.446272906,300.0736166241,100058.66206836
0.047,300.159051471212,100093.845614853,300.073931093752,100058.912753102
0.0472,300.159728005435,100094.24495679,300.074245562287,100059.163437778
0.0474,300.160404537281,100094.644298718,300.074560029705,100059.414122387
0.0476,300.16108106675,100095.043640636,300.074874496005,100059.664806929
0.0478,300.161757593841,100095.442982545,300.075188961187,100059.915491404
0.048,300.162434118555,100095.842324445,300.075503425253,100060.166175812
0.0482,300.163110640892,100096.241666335,300.075817888201,100060.416860154
0.0484,300.163787160851,100096.641008216,300.076132350031,100060.667544428
0.0486,300.164463678433,100097.040350088,300.076446810744,100060.918228636
0.0488,300.165140193638,100097.43969195,300.07676127034,100061.168912777
0.049,300.165816706466,100097.839033803,300.077075728818,100061.41959685
0.0492,300.166493216916,100098.238375646,300.077390186179,100061.670280857
0.0494,300.167169724988,100098.63771748,300.077704642423,100061.920964798
0.0496,300.167846230684,100099.037059305,300.078019097549,100062.171648671
0.0498,300.168522734002,100099.436401121,300.078333551557,100062.422332477
0.05,300.169199234943,100099.835742927,300.078648004449,100062.673016217
0.0502,300.169875733506,100100.235084723,300.078962456223,100062.92369989
0.0504,300.170552229692,100100.634426511,300.079276906879,100063.174383496
0.0506,300.171228723501,100101.033768289,300.079591356418,100063.425067035
0.0508,300.171905214933,100101.433110057,300.07990580484,100063.675750507
0.051,300.172581703987,100101.832451816,300.080220252144,100063.926433912
0.0512,300.173258190664,100102.231793566,300.080534698331,100064.17711725
0.0514,300.173934674963,100102.631135307,300.080849143401,100064.427800522
0.0516,300.174611156885,100103.030477038,300.081163587353,100064.678483727
0.0518,300.17528763643,100103.42981876,300.081478030188,100064.929166864
0.052,300.175964113598,100103.829160472,300.081792471905,100065.179849935
0.0522,300.176640588388,100104.228502175,300.082106912505,100065.43053294
0.0524,300.177317060801,100104.627843869,300.082421351988,100065.681215877
0.0526,300.177993530963,100105.027185553,300.082735790415,100065.931898751
0.0528,300.17866999877,100105.426527227,300.083050227737,100066.182581559
0.053,300.179346464203,100105.825868893,300.083364663942,100066.433264301
0.0532,300.18002292726,100106.225210548,300.083679099031,100066.683946975
0.0534,300.180699387943,100106.624552195,300.083993533004,100066.934629583
0.0536,300.18137584625,100107.023893832,300.08430796586,100067.185312124
0.0538,300.182052302182,100107.423235459,300.0846223976,100067.435994599
0.054,300.18272875574,100107.822577078,300.084936828224,100067.686677006
0.0542,300.183405206922,100108.221918687,300.085251257732,100067.937359347
0.0544,300.184081655729,100108.621260286,300.085565686123,100068.188041621
0.0546,300.18475810216,100109.020601876,300.085880113398,100068.438723828
0.0548,300.185434546217,100109.419943457,300.086194539557,100068.689405968
0.055,300.186110987899,100109.819285028,300.086508964599,100068.940088042
0.0552,300.186787427206,100110.218626591,300.086823388525,100069.190770048
0.0554,300.187463864137,100110.617968143,300.087137811335,100069.441451988
0.0556,300.188140298693,100111.017309687,300.087452233029,100069.692133862
0.0558,300.188816730875,100111.41665122,300.087766653606,100069.942815668
0.056,300.189493160681,100111.815992745,300.088081073067,100070.193497407
0.0562,300.190169588112,100112.21533426,300.088395491411,100070.44417908
0.0564,300.190846013168,100112.614675766,300.08870990864,100070.694860686
0.0566,300.191522435849,100113.014017263,300.089024324752,100070.945542225
0.0568,300.192198856155,100113.41335875,300.089338739748,100071.196223698
0.057,300.192875274086,100113.812700227,300.089653153627,100071.446905103
0.0572,300.193551689642,100114.212041696,300.08996756639,100071.697586442
0.0574,300.194228102822,100114.611383155,300.090281978037,100071.948267714
0.0576,300.194904513628,100115.010724604,300.090596388568,100072.198948919
0.0578,300.195580922058,100115.410066045,300.090910797982,100072.449630058
0.058,300.196257328114,100115.809407475,300.09122520628,100072.700311129
0.0582,300.196933731794,100116.208748897,300.091539613462,100072.950992134
0.0584,300.197610133099,100116.608090309,300.091854019527,100073.201673072
0.0586,300.198286532029,100117.007431712,300.092168424476,100073.452353944
0.0588,300.198962928584,100117.406773105,300.092482828309,100073.703034748
0.059,300.199639322764,100117.806114489,300.092797231026,100073.953715486
