"time","T","eta","lambda","eta_der","lambda_der","eta2","lambda2","eta2_der","lambda2_der"
0,200,1.33281548791439e-05,0.0183361374426754,0.000158932100887565,0.234283096000847,1.27754814139842e-05,0.0180141168385971,0.000151749497161846,0.213480543344047
0.000202,200.5656,1.3360243590503e-05,0.0183834440368326,0.000158777959739119,0.234099081287393,1.2806115775801e-05,0.0180572157006375,0.000151561128976598,0.21324090521403
0.000404,201.1312,1.33923011939207e-05,0.0184307134944961,0.000158624101396551,0.23391540787049,1.28367121557342e-05,0.0181002661817994,0.000151373438661713,0.213001526912553
0.000606,201.6968,1.34243277464809e-05,0.0184779458845631,0.000158470525435822,0.233732075307539,1.28672706905622e-05,0.0181432683358706,0.00015118642470883,0.212762421279995
0.000808,202.2624,1.3456323305182e-05,0.0185251412758414,0.000158317231433229,0.233549083156172,1.28977915167525e-05,0.0181862222191994,0.000151000085545634,0.212523600828546
0.00101,202.828,1.34882879269366e-05,0.0185722997370495,0.000158164218965402,0.233366430974242,1.29282747704486e-05,0.0182291278906291,0.000150814419537811,0.212285077748772
0.001212,203.3936,1.35202216685722e-05,0.0186194213368165,0.000158011487609308,0.233184118319832,1.29587205874576e-05,0.0182719854114333,0.000150629424990958,0.212046863916053
0.001414,203.9592,1.35521245868305e-05,0.0186665061436825,0.000157859036942248,0.233002144751248,1.29891291032387e-05,0.0183147948452533,0.000150445100152461,0.211808970896907
0.001616,204.5248,1.35839967383682e-05,0.0187135542260981,0.000157706866541857,0.232820509827024,1.30195004528912e-05,0.0183575562580362,0.000150261443213338,0.211571409955203
0.001818,205.0904,1.36158381797563e-05,0.018760565652425,0.000157554975986106,0.232639213105918,1.30498347711435e-05,0.0184002697179742,0.000150078452310043,0.211334192058257
0.00202,205.656,1.3647648967481e-05,0.0188075404909355,0.000157403364853302,0.232458254146915,1.3080132192342e-05,0.0184429352954456,0.000149896125526245,0.211097327882826
0.002222,206.2216,1.36794291579432e-05,0.0188544788098133,0.000157252032722084,0.232277632509226,1.31103928504411e-05,0.0184855530629565,0.000149714460894563,0.210860827820986
0.002424,206.7872,1.37111788074585e-05,0.0189013806771526,0.000157100979171427,0.232097347752286,1.31406168789926e-05,0.0185281230950838,0.000149533456398271,0.210624701985903
