"time","cylinder1.H","cylinder1.m","cylinder2.H","springDamper.s_rel","springDamper.v_rel"
0,156.575,0.5,156.575,0.5,0
0.0005,156.575,0.5,156.575,0.5,0
0.001,156.575,0.5,156.575,0.5,0
0.0015,156.575,0.5,156.575,0.5,0
0.002,156.575,0.5,156.575,0.5,0
0.0025,156.575,0.5,156.575,0.5,0
0.003,156.575,0.5,156.575,0.5,0
0.0035,156.575,0.5,156.575,0.5,0
0.004,156.575,0.5,156.575,0.5,0
0.0045,156.575,0.5,156.575,0.5,0
0.005,156.575,0.5,156.575,0.5,0
0.0055,156.575,0.5,156.575,0.5,0
0.006,156.575,0.5,156.575,0.5,0
0.0065,156.575,0.5,156.575,0.5,0
0.007,156.575,0.5,156.575,0.5,0
0.0075,156.575,0.5,156.575,0.5,0
0.008,156.575,0.5,156.575,0.5,0
0.0085,156.575,0.5,156.575,0.5,0
0.009,156.575,0.5,156.575,0.5,0
0.0095,156.575,0.5,156.575,0.5,0
0.01,156.575,0.5,156.575,0.5,0
0.0105,156.575,0.5,156.575,0.5,0
0.011,156.575,0.5,156.575,0.5,0
0.0115,156.575,0.5,156.575,0.5,0
0.012,156.575,0.5,156.575,0.5,0
0.0125,156.575,0.5,156.575,0.5,0
0.013,156.575,0.5,156.575,0.5,0
0.0135,156.575,0.5,156.575,0.5,0
0.014,156.575,0.5,156.575,0.5,0
0.0145,156.575,0.5,156.575,0.5,0
0.015,156.575,0.5,156.575,0.5,0
0.0155,156.575,0.5,156.575,0.5,0
0.016,156.575,0.5,156.575,0.5,0
0.0165,156.575,0.5,156.575,0.5,0
0.017,156.575,0.5,156.575,0.5,0
0.0175,156.575,0.5,156.575,0.5,0
0.018,156.575,0.5,156.575,0.5,0
0.0185,156.575,0.5,156.575,0.5,0
0.019,156.575,0.5,156.575,0.5,0
0.0195,156.575,0.5,156.575,0.5,0
0.02,156.575,0.5,156.575,0.5,0
0.0205,156.575,0.5,156.575,0.5,0
0.021,156.575,0.5,156.575,0.5,0
0.0215,156.575,0.5,156.575,0.5,0
0.022,156.575,0.5,156.575,0.5,0
0.0225,156.575,0.5,156.575,0.5,0
0.023,156.575,0.5,156.575,0.5,0
0.0235,156.575,0.5,156.575,0.5,0
0.024,156.575,0.5,156.575,0.5,0
0.0245,156.575,0.5,156.575,0.5,0
0.025,156.575,0.5,156.575,0.5,0
0.0255,156.575,0.5,156.575,0.5,0
0.026,156.575,0.5,156.575,0.5,0
0.0265,156.575,0.5,156.575,0.5,0
0.027,156.575,0.5,156.575,0.5,0
0.0275,156.575,0.5,156.575,0.5,0
0.028,156.575,0.5,156.575,0.5,0
0.0285,156.575,0.5,156.575,0.5,0
0.029,156.575,0.5,156.575,0.5,0
0.0295,156.575,0.5,156.575,0.5,0
0.03,156.575,0.5,156.575,0.5,0
0.0305,156.575,0.5,156.575,0.5,0
0.031,156.575,0.5,156.575,0.5,0
0.0315,156.575,0.5,156.575,0.5,0
0.032,156.575,0.5,156.575,0.5,0
0.0325,156.575,0.5,156.575,0.5,0
0.033,156.575,0.5,156.575,0.5,0
0.0335,156.575,0.5,156.575,0.5,0
0.034,156.575,0.5,156.575,0.5,0
0.0345,156.575,0.5,156.575,0.5,0
0.035,156.575,0.5,156.575,0.5,0
0.0355,156.575,0.5,156.575,0.5,0
0.036,156.575,0.5,156.575,0.5,0
0.0365,156.575,0.5,156.575,0.5,0
0.037,156.575,0.5,156.575,0.5,0
0.0375,156.575,0.5,156.575,0.5,0
0.038,156.575,0.5,156.575,0.5,0
0.0385,156.575,0.5,156.575,0.5,0
0.039,156.575,0.5,156.575,0.5,0
0.0395,156.575,0.5,156.575,0.5,0
0.04,156.575,0.5,156.575,0.5,0
0.0405,156.575,0.5,156.575,0.5,0
0.041,156.575,0.5,156.575,0.5,0
0.0415,156.575,0.5,156.575,0.5,0
0.042,156.575,0.5,156.575,0.5,0
0.0425,156.575,0.5,156.575,0.5,0
0.043,156.575,0.5,156.575,0.5,0
0.0435,156.575,0.5,156.575,0.5,0
0.044,156.575,0.5,156.575,0.5,0
0.0445,156.575,0.5,156.575,0.5,0
0.045,156.575,0.5,156.575,0.5,0
0.0455,156.575,0.5,156.575,0.5,0
0.046,156.575,0.5,156.575,0.5,0
0.0465,156.575,0.5,156.575,0.5,0
0.047,156.575,0.5,156.575,0.5,0
0.0475,156.575,0.5,156.575,0.5,0
0.048,156.575,0.5,156.575,0.5,0
0.0485,156.575,0.5,156.575,0.5,0
0.049,156.575,0.5,156.575,0.5,0
0.0495,156.575,0.5,156.575,0.5,0
0.05,156.575,0.5,156.575,0.5,0
0.0505,156.575,0.5,156.575,0.5,0
0.051,156.575,0.5,156.575,0.5,0
0.0515,156.575,0.5,156.575,0.5,0
0.052,156.575,0.5,156.575,0.5,0
0.0525,156.575,0.5,156.575,0.5,0
0.053,156.575,0.5,156.575,0.5,0
0.0535,156.575,0.5,156.575,0.5,0
0.054,156.575,0.5,156.575,0.5,0
0.0545,156.575,0.5,156.575,0.5,0
0.055,156.575,0.5,156.575,0.5,0
0.0555,156.575,0.5,156.575,0.5,0
0.056,156.575,0.5,156.575,0.5,0
0.0565,156.575,0.5,156.575,0.5,0
0.057,156.575,0.5,156.575,0.5,0
0.0575,156.575,0.5,156.575,0.5,0
0.058,156.575,0.5,156.575,0.5,0
0.0585,156.575,0.5,156.575,0.5,0
0.059,156.575,0.5,156.575,0.5,0
