"Time","heatCapacitor.T","eddyCurrentForce.lossPower","mass.s"
0,293.14999,0,0
0.00050000002,293.14999,0,0.0099999998
0.001,293.14999,0,0.02
0.0015,293.14999,0,0.029999999
0.0020000001,293.14999,0,0.039999999
0.0024999999,293.14999,0,0.050000001
0.003,293.14999,0,0.059999999
0.0035000001,293.14999,0,0.07
0.0040000002,293.14999,0,0.079999998
0.0044999998,293.14999,0,0.090000004
0.0049999999,293.14999,0,0.1
0.0055,293.14999,0,0.11
0.0060000001,293.14999,0,0.12
0.0065000001,293.14999,0,0.13
0.0070000002,293.14999,0,0.14
0.0074999998,293.14999,0,0.15000001
0.0080000004,293.14999,0,0.16
0.0085000005,293.14999,0,0.17
0.0089999996,293.14999,0,0.18000001
0.0094999997,293.14999,0,0.19
0.0099999998,293.14999,0,0.2
0.0105,293.14999,0,0.20999999
0.011,293.14999,0,0.22
0.0115,293.14999,0,0.23
0.012,293.14999,0,0.23999999
0.0125,293.14999,0,0.25
0.013,293.14999,0,0.25999999
0.0135,293.14999,0,0.27000001
0.014,293.14999,0,0.28
0.0145,293.14999,0,0.28999999
0.015,293.14999,0,0.30000001
0.0155,293.14999,0,0.31
0.016000001,293.14999,0,0.31999999
0.0165,293.14999,0,0.33000001
0.017000001,293.14999,0,0.34
0.0175,293.14999,0,0.34999999
0.017999999,293.14999,0,0.36000001
0.0185,293.14999,0,0.37
0.018999999,293.14999,0,0.38
0.0195,293.14999,0,0.38999999
0.02,293.14999,0,0.40000001
0.020500001,293.14999,0,0.41
0.021,293.14999,0,0.41999999
0.021500001,293.14999,0,0.43000001
0.022,293.14999,0,0.44
0.022500001,293.14999,0,0.44999999
0.023,293.14999,0,0.46000001
0.023499999,293.14999,0,0.47
0.024,293.14999,0,0.47999999
0.024499999,293.14999,0,0.49000001
0.025,293.14999,0,0.5
0.0255,293.14999,0,0.50999999
0.026000001,293.14999,0,0.51999998
0.0265,293.14999,0,0.52999997
0.027000001,293.14999,0,0.54000002
0.0275,293.14999,0,0.55000001
0.028000001,293.14999,0,0.56
0.0285,293.14999,0,0.56999999
0.028999999,293.14999,0,0.57999998
0.0295,293.14999,0,0.58999997
0.029999999,293.14999,0,0.60000002
0.0305,293.14999,0,0.61000001
0.030999999,293.14999,0,0.62
0.031500001,293.14999,0,0.63
0.032000002,293.14999,0,0.63999999
0.032499999,293.14999,0,0.64999998
0.033,293.14999,0,0.66000003
0.033500001,293.14999,0,0.67000002
0.034000002,293.14999,0,0.68000001
0.034499999,293.14999,0,0.69
0.035,293.14999,0,0.69999999
0.035500001,293.14999,0,0.70999998
0.035999998,293.14999,0,0.72000003
0.036499999,293.14999,0,0.73000002
0.037,293.14999,0,0.74000001
0.037500001,293.14999,0,0.75
0.037999999,293.14999,0,0.75999999
0.0385,293.14999,0,0.76999998
0.039000001,293.14999,0,0.77999997
0.039500002,293.14999,0,0.79000002
0.039999999,293.14999,0,0.80000001
0.0405,293.14999,0,0.81
0.041000001,293.14999,0,0.81999999
0.041499998,293.14999,0,0.82999998
0.041999999,293.14999,0,0.83999997
0.0425,293.14999,0,0.85000002
0.043000001,293.14999,0,0.86000001
0.043499999,293.14999,0,0.87
0.044,293.14999,0,0.88
0.044500001,293.14999,0,0.88999999
0.045000002,293.14999,0,0.89999998
0.045499999,293.14999,0,0.91000003
0.046,293.14999,0,0.92000002
0.046500001,293.14999,0,0.93000001
0.046999998,293.14999,0,0.94
0.047499999,293.14999,0,0.94999999
0.048,293.14999,0,0.95999998
0.048500001,293.14999,0,0.97000003
0.048999999,293.14999,0,0.98000002
0.0495,293.14999,0,0.99000001
0.050000001,293.14999,0,1
0.050500002,293.14999,0,1.01
0.050999999,293.14999,0,1.02
0.0515,293.14999,0,1.03
0.052000001,293.14999,0,1.04
0.052499998,293.14999,0,1.05
0.052999999,293.14999,0,1.0599999
0.0535,293.14999,0,1.0700001
0.054000001,293.14999,0,1.08
0.054499999,293.14999,0,1.09
0.055,293.14999,0,1.1
0.055500001,293.14999,0,1.11
0.056000002,293.14999,0,1.12
0.056499999,293.14999,0,1.13
0.057,293.14999,0,1.14
0.057500001,293.14999,0,1.15
0.057999998,293.14999,0,1.16
0.058499999,293.14999,0,1.17
0.059,293.14999,0,1.1799999
0.059500001,293.14999,0,1.1900001
0.059999999,293.14999,0,1.2
0.0605,293.14999,0,1.21
0.061000001,293.14999,0,1.22
0.061500002,293.14999,0,1.23
0.061999999,293.14999,0,1.24
0.0625,293.14999,0,1.25
0.063000001,293.14999,0,1.26
0.063500002,293.14999,0,1.27
0.064000003,293.14999,0,1.28
0.064499997,293.14999,0,1.29
0.064999998,293.14999,0,1.3
0.065499999,293.14999,0,1.3099999
