"time","bodyCylinder2.body.w_a[1]","bodyCylinder2.body.w_a[2]","bodyCylinder2.body.w_a[3]","bodyCylinder3.body.w_a[1]","bodyCylinder3.body.w_a[2]","bodyCylinder3.body.w_a[3]","revolute.phi","revolute.w","rotor1D.phi","rotor1D.w"
0,10,0,0,0,0,0,0,10,0,10
0.001,10,-1.42348277036103e-05,-0.00136291169245215,0.03906507271316,-6.43929969555771e-07,-0.0409926263320106,0.00997169532891942,9.94339065811882,0.0099716953289195,9.94339065811897
0.002,10,-5.98077833905615e-05,-0.00272532788622685,0.0781301351156563,-5.60167915454692e-06,-0.0819852524115753,0.0198867813186706,9.88678132370672,0.019886781318671,9.88678132370718
0.003,10,-0.000141027655635484,-0.00408661031604707,0.11719515972184,-1.94261221904334e-05,-0.122977876936296,0.0297452579857299,9.83017201711989,0.029745257985731,9.83017201712087
0.004,10,-0.000262187450161554,-0.00544596393393181,0.15626010019513,-4.6666639723061e-05,-0.163970496450751,0.0395471253742514,9.77356277356661,0.0395471253742538,9.77356277356828
0.005,10,-0.000427564760922449,-0.00680243909831054,0.195324891786445,-9.18731109511437e-05,-0.204963104241599,0.0492923835711746,9.71695364357839,0.0492923835711791,9.716953643581
0.006,10,-0.000641417493033636,-0.00815493440505409,0.234389451801281,-0.000159595254830029,-0.245955689123062,0.0589810327233962,9.66034469353817,0.0589810327234041,9.66034469354239
0.007,10,-0.000907981033478535,-0.00950219807232264,0.273453679868589,-0.000254382708963135,-0.286948234455535,0.0686130730521079,9.60373600618389,0.0686130730521217,9.60373600619149
0.008,10,-0.00123146563141358,-0.0108428294157065,0.312517458205236,-0.000380784997585571,-0.327940717246209,0.0781885048663876,9.54712768105832,0.0781885048664118,9.54712768107192
0.009,10,-0.00161605229193913,-0.0121752810694666,0.351580652022616,-0.000543351578001637,-0.368933106701638,0.0877073285852619,9.49051983524486,0.0877073285853041,9.49051983526787
0.01,10,-0.00206589006721071,-0.0134978609992101,0.39064310984791,-0.000746631710097078,-0.409925363268016,0.0971695447533659,9.43391260381967,0.0971695447534371,9.43391260385557
0.011,10,-0.00258509284328959,-0.0148087346371353,0.429704663879002,-0.000995174427276331,-0.45091743744411,0.106575154060475,9.37730614043958,0.10657515406059,9.37730614049168
0.012,10,-0.00317773664191409,-0.0161059268613067,0.468765130299372,-0.00129352847804836,-0.491909268753445,0.115924157359161,9.32070061784609,0.115924157359337,9.32070061791744
