"time","n_nt[1]","n_nt[2]","n_nt[3]","cp[1]","cp[2]","cp[3]","eta[1]","eta[2]","eta[3]","lambda[1]","lambda[2]","lambda[3]","rho[1]","rho[2]","rho[3]","m_flow[1]","m_flow[2]","m_flow[3]","Re_1[1]","Re_1[2]","Re_1[3]","Nu_1[1]","Nu_1[2]","Nu_1[3]","Nu_2[1]","Nu_2[2]","Nu_2[3]","Nu_3[1]","Nu_3[2]","Nu_3[3]","Re","Pr[1]","Pr[2]","Pr[3]","input_mflow_1.y","input_mflow_2.y","input_mflow_0.y"
0,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714973919813157,7.01036324143693,996.999224806202,0,0,0
0.000202,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.03232,1.7747649122807,202,225609.112312722,225609.112312722,225609.112312722,368.876034000222,1269.94938924957,7926.26499822846,419.580460023413,1381.03620284938,8427.99443018473,457.974046125525,1461.03001299948,8785.44342501433,225609.112312722,0.714973919813157,7.01036324143693,996.999224806202,0.126920309129513,0.201796117304121,202
0.000404,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.06464,3.5495298245614,404,451218.224625444,451218.224625444,451218.224625444,626.556765115998,2279.5837792712,14658.4953622755,726.538775666204,2514.49144703218,15736.9102023706,802.293376957424,2682.81931293302,16499.5391486361,451218.224625444,0.714973919813157,7.01036324143693,996.999224806202,0.253840413806001,0.403185017878649,404
0.000606,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.09696,5.3242947368421,606,676827.336938165,676827.336938165,676827.336938165,855.808465115889,3210.98656782297,21017.7901844924,1004.64893694936,3574.54058986819,22703.342470784,1117.4655123798,3834.26379865891,23889.755084378,676827.336938165,0.714973919813157,7.01036324143693,996.999224806202,0.380760109576771,0.604167523471144,606
0.000808,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.12928,7.09905964912281,808,902436.449250887,902436.449250887,902436.449250887,1068.67671297929,4095.40287424143,27150.0957335164,1266.12465620289,4590.71323088344,29462.9426369166,1415.82506037751,4943.77954081331,31085.2373336445,902436.449250887,0.714973919813157,7.01036324143693,996.999224806202,0.507679191989786,0.804744454170891,808
0.00101,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.1616,8.87382456140351,1010,1128045.56156361,1128045.56156361,1128045.56156361,1270.29735476579,4946.69112334858,33120.8932810009,1516.1760563719,5576.05361591722,36076.189057801,1702.63532429496,6023.88800420839,38143.3482036821,1128045.56156361,0.714973919813157,7.01036324143693,996.999224806202,0.634597456593999,1.00491662841227,1010
0.001212,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.19392,10.6485894736842,1212,1353654.67387633,1353654.67387633,1353654.67387633,1463.4814953579,5772.63653900334,38967.2651881356,1757.65587826903,6537.86848902538,42577.1748858087,1980.77876371756,7081.59107367522,45096.3383930562,1353654.67387633,0.714973919813157,7.01036324143693,996.999224806202,0.761514698939678,1.20468486297811,1212
0.001414,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.22624,12.4233543859649,1414,1579263.78618905,1579263.78618905,1579263.78618905,1649.9848384929,6578.19748891349,44712.9782842726,1992.3463063201,7480.8008973948,48987.6714085422,2252.05641807637,8121.33212357111,51964.7594539348,1579263.78618905,0.714973919813157,7.01036324143693,996.999224806202,0.888430714578741,1.404049973003,1414
0.001616,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.25856,14.1981192982456,1616,1804872.89850177,1804872.89850177,1804872.89850177,1830.99914778181,7366.79291623815,50374.5061843593,2221.45734557871,8408.04630191012,55322.7227379838,2517.69125414321,9146.16582183425,58762.7878722549,1804872.89850177,0.714973919813157,7.01036324143693,996.999224806202,1.01534529906508,1.60301277197659,1616
0.001818,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.29088,15.9728842105263,1818,2030482.0108145,2030482.0108145,2030482.0108145,2007.38148500386,8140.91397354709,55963.9057805356,2445.85933964772,9321.92922936839,61593.310198467,2778.56303630999,10158.3121849838,65500.7561356743,2030482.0108145,0.714973919813157,7.01036324143693,996.999224806202,1.14225824795489,1.80157407174697,1818
0.00202,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.3232,17.747649122807,2020,2256091.12312722,2256091.12312722,2256091.12312722,2179.77500445722,8902.45116577944,61490.3627229265,2666.20551680169,10224.2112104501,67807.7802677354,3035.33212706971,11159.4521635448,72186.5072169088,2256091.12312722,0.714973919813157,7.01036324143693,996.999224806202,1.269169356807,1.99973468252395,2020
0.002222,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.35552,19.5224140350877,2222,2481700.23543994,2481700.23543994,2481700.23543994,2348.67839124689,9652.88479485584,66961.0946234504,2883.00244697675,11116.269794432,73972.6772591131,3288.51067237059,12150.8993326695,78826.1834039832,2481700.23543994,0.714973919813157,7.01036324143693,996.999224806202,1.39607842118322,2.19749541288234,2222
0.002424,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.38784,21.2971789473684,2424,2707309.34775266,2707309.34775266,2707309.34775266,2514.48848332492,10393.4031408645,72381.9134749739,3096.65329543167,11999.2095001124,80093.2608113438,3538.50630628489,13133.7062254815,85424.7159774339,2707309.34775266,0.714973919813157,7.01036324143693,996.999224806202,1.52298523664863,2.39485706976533,2424
0.002626,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.42016,23.0719438596491,2626,2932918.46006538,2932918.46006538,2932918.46006538,2677.52781216807,11124.9795652577,77757.5937174964,3307.48577521598,12873.9341212271,86173.8439500111,3785.65039716414,14108.7335836299,91986.1447734195,2932918.46006538,0.714973919813157,7.01036324143693,996.999224806202,1.64988959877195,2.59182045848769,2626
0.002828,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.45248,24.8467087719298,2828,3158527.57237811,3158527.57237811,3158527.57237811,2838.06315046469,11848.4248863388,83092.1229647717,3515.77097441883,13741.195792986,92218.02300016,4030.21707405215,15076.6973227254,98513.8353120804,3158527.57237811,0.714973919813157,7.01036324143693,996.999224806202,1.77679130312583,2.78838638273908,2828
0.00303,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.4848,26.6214736842105,3030,3384136.68469083,3384136.68469083,3384136.68469083,2996.31843670893,12564.4241613578,88388.8785375105,3721.7364769959,14601.6294182041,98228.8392212101,4272.43648716994,16038.2014662797,105010.631313213,3384136.68469083,0.714973919813157,7.01036324143693,996.999224806202,1.90369014528723,2.98455564458741,3030
0.003232,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.51712,28.3962385964912,3232,3609745.79700355,3609745.79700355,3609745.79700355,3152.48404287904,13273.5632493374,93650.7552533443,3925.57577210052,15455.7775072346,104208.895648528,4512.50431796604,16993.761896972,111478.964857798,3609745.79700355,0.714973919813157,7.01036324143693,996.999224806202,2.03058592083769,3.18032904448197,3232
0.003434,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.54944,30.1710035087719,3434,3835354.90931627,3835354.90931627,3835354.90931627,3306.72358379431,13976.3484556567,98880.2601432551,4127.45516816181,16304.1085335834,110160.443581632,4750.58876758912,17943.8238995707,117920.937870888,3835354.90931627,0.714973919813157,7.01036324143693,996.999224806202,2.15747842536373,3.37570738125683,3434
0.003636,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.58176,31.9457684210526,3636,4060964.02162899,4060964.02162899,4060964.02162899,3459.1790264368,14673.2213613201,104079.584098837,4327.51898123313,17147.0307797074,116085.44792673,4986.83580133097,18888.775387926,124338.383639715,4060964.02162899,0.714973919813157,7.01036324143693,996.999224806202,2.2843674544571,3.57069145213402,3636
0.003838,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.61408,33.7205333333333,3838,4286573.13394172,4286573.13394171,4286573.13394172,3609.97459447604,15364.5702191513,109250.657039682,4525.89350023124,17984.9029698623,121985.63745105,5221.37315692861,19828.957058446,130732.914095696,4286573.13394172,0.714973919813157,7.01036324143693,996.999224806202,2.41125280371517,3.76528205272683,3838
0.00404,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.6464,35.495298245614,4040,4512182.24625444,4512182.24625444,4512182.24625444,3759.21980049307,16050.7388504578,114395.191059749,4722.69006654676,18818.0425652815,127862.544043395,5454.31345775952,20764.6703082382,137105.956730056,4512182.24625444,0.714973919813157,7.01036324143693,996.999224806202,2.53813426874123,3.959479977043,4040
0.004242,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.67872,37.2700631578947,4242,4737791.35856716,4737791.35856716,4737791.35856716,3907.01183460607,16732.0336878529,119514.714642275,4918.0075001739,19646.7323266724,133717.533814993,5685.75666553369,21696.1834970406,143458.783819967,4737791.35856716,0.714973919813157,7.01036324143693,996.999224806202,2.66501164514483,4.15328601748801,4242
0.004444,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.71104,39.0448280701754,4444,4963400.47087988,4963400.47087988,4963400.47087988,4053.43747020774,17408.7294203178,124610.600129272,5111.93403550292,20471.2255711053,139551.832043928,5915.79203735836,22623.7369616086,149792.535856309,4963400.47087988,0.714973919813157,7.01036324143693,996.999224806202,2.7918847285421,4.34670096486831,4444
0.004646,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.74336,40.8195929824561,4646,5189009.5831926,5189009.5831926,5189009.5831926,4198.57460191819,18081.0735687566,129684.08602152,5304.5488836297,21291.7504304855,145366.543405915,6144.49970527575,23547.5470764097,156108.240534308,5189009.5831926,0.714973919813157,7.01036324143693,996.999224806202,2.9187533145561,4.53972560839451,4646
0.004848,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.77568,42.5943578947368,4848,5414618.69550532,5414618.69550532,5414618.69550532,4342.49349961294,18749.2902322941,134736.295264232,5495.92350632307,22108.5133363178,151162.668548074,6371.95196432544,24467.8095755033,162406.82830345,5414618.69550532,0.714973919813157,7.01036324143693,996.999224806202,3.04561719881712,4.73236073568463,4848
0.00505,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.808,44.3691228070175,5050,5640227.80781805,5640227.80781805,5640227.80781805,4485.25784057013,19413.5831838445,139768.250378067,5686.12266464563,22921.7018976546,156941.11779134,6598.21433280353,25384.7022951487,168689.145217189,5640227.80781805,0.714973919813157,7.01036324143693,996.999224806202,3.17247617696303,4.92460713276731,5050
0.005252,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.84032,46.1438877192982,5252,5865836.92013077,5865836.92013077,5865836.92013077,4626.92556628636,20074.1384494431,144780.886084032,5875.20528949437,23731.4872978875,162702.722553736,6823.34643249413,26298.3874572312,174955.963640363,5865836.92013077,0.714973919813157,7.01036324143693,996.999224806202,3.2993300446396,5.11646558408503,5252
0.005454,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.87264,47.918652631579,5454,6091446.03244349,6091446.03244349,6091446.03244349,4767.5495993319,20731.1264739411,149775.059917689,6063.22520997827,24538.0263062005,168448.244946504,7047.4027251784,27209.0135850487,181207.991239953,6091446.03244349,0.714973919813157,7.01036324143693,996.999224806202,3.42617859750084,5.30793687249727,5454
0.005656,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.90496,49.6934175438597,5656,6317055.14475621,6317055.14475621,6317055.14475621,4907.1784474362,21384.7039522301,154751.561215414,6250.23176724588,25341.4629775775,174178.385892076,7270.43313333352,28116.7171220417,187445.878587662,6317055.14475621,0.714973919813157,7.01036324143693,996.999224806202,3.55302163120932,5.49902177928373,5656
0.005858,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.93728,51.4681824561403,5858,6542664.25706893,6542664.25706893,6542664.25706893,5045.85671593104,22035.0153877278,159711.11877156,6436.27033521866,26141.9300989653,179893.792036115,7492.48356671061,29021.6238084638,193670.225630446,6542664.25706893,0.714973919813157,7.01036324143693,996.999224806202,3.67985894143648,5.68972108414755,5858
0.00606,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,0.9696,53.2429473684211,6060,6768273.36938166,6768273.36938166,6768273.36938166,5183.62554512906,22682.1944267318,164654.407402078,6621.38276506709,26939.5504269189,185595.061668095,7713.59637181194,29923.8498592686,199881.5872307,6768273.36938166,0.714973919813157,7.01036324143693,996.999224806202,3.80669032386302,5.88003556521842,6060
0.006262,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1.00192,55.0177122807018,6262,6993882.48169438,6993882.48169438,6993882.48169438,5320.52298576511,23326.3650072541,169582.053601977,6805.60776676223,27734.4377527258,191282.74982087,7933.81071774602,30823.502977567,206080.477936334,6993882.48169438,0.714973919813157,7.01036324143693,996.999224806202,3.93351557417915,6.06996599905583,6262
0.006464,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1.03424,56.7924771929825,6464,7219491.5940071,7219491.5940071,7219491.5940071,5456.58432298279,23967.6423532703,174494.640446874,6988.98123834995,28526.6978238356,196957.372685825,8153.16292922437,31720.6832311597,212267.376109124,7219491.5940071,0.714973919813157,7.01036324143693,996.999224806202,4.06033448808498,6.25951316065217,6464
0.006666,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1.06656,58.5672421052632,6666,7445100.70631982,7445100.70631982,7445100.70631982,5591.84235730318,24606.133839353,179392.711860062,7171.53655151788,29316.4291448501,202619.411453955,8371.68677536398,32615.483814333,218442.727514964,7445100.70631982,0.714973919813157,7.01036324143693,996.999224806202,4.18714686129082,6.44867782343597,6666
0.006868,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1.09888,60.3420070175439,6868,7670709.81863254,7670709.81863254,7670709.81863254,5726.32764941574,25241.939745995,184276.776343936,7353.30480040282,30103.7236769829,208269.315672583,8589.41372132002,33507.9917129494,224606.948460301,7670709.81863254,0.714973919813157,7.01036324143693,996.999224806202,4.31395248951751,6.63746075927494,6868
0.00707,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1.1312,62.1167719298246,7070,7896318.93094526,7896318.93094527,7896318.93094526,5860.068734375,25875.1539222413,189147.310256772,7534.31501931109,30888.6674514566,213907.506191228,8806.37314848339,34398.2882875846,230760.428543736,7896318.93094526,0.714973919813157,7.01036324143693,996.999224806202,4.44075116849678,6.82586273847926,7070
0.007272,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1.16352,63.8915368421053,7272,8121928.04325798,8121928.04325799,8121928.04325799,5993.09230979018,26505.8643693238,194004.76070163,7714.59437401134,31671.3411095759,219534.377757178,9022.5925479547,35286.449786856,236903.533079637,8121928.04325798,0.714973919813157,7.01036324143693,996.999224806202,4.56754269397152,7.01388452980462,7272
0.007474,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1.19584,65.666301754386,7474,8347537.15557071,8347537.15557071,8347537.15557071,6125.42340179888,27134.1537566421,198849.548082789,7894.1683304519,32451.8203800316,225150.301310971,9238.09769118882,36172.547801001,243036.605240843,8347537.15557071,0.714973919813157,7.01036324143693,996.999224806202,4.69432686169618,7.2015269004554,7474
0.007676,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1.22816,67.4410666666667,7676,8573146.26788343,8573146.26788343,8573146.26788343,6257.08551197606,27760.0998795465,203682.068375895,8073.06080410368,33230.1765022237,230755.626023631,9452.91278104719,37056.6496640828,249159.967959728,8573146.26788343,0.714973919813157,7.01036324143693,996.999224806202,4.82110346743702,7.38879061608779,7676
0.007878,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1.26048,69.2158315789474,7878,8798755.38019615,8798755.38019615,8798755.38019615,6388.10074781154,28383.7760668419,208502.69515058,8251.29429260426,34006.476602965,236350.681110729,9667.06058596272,37938.8188118368,255273.925620482,8798755.38019615,0.714973919813157,7.01036324143693,996.999224806202,4.94787230697252,7.57567644081292,7878
0.00808,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1.2928,70.9905964912281,8080,9024364.49250888,9024364.49250887,9024364.49250887,6518.48993896726,29005.2515446791,213311.781378165,8428.88999394982,34780.7840327609,241935.7774528,9880.56255948943,38819.1151010584,261378.765570303,9024364.49250888,0.714973919813157,7.01036324143693,996.999224806202,5.07463317609364,7.76218513719995,8080
0.008282,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1.32512,72.7653614035088,8282,9249973.6048216,9249973.6048216,9249973.6048216,6648.27274118033,29624.5917624726,218109.661052092,8605.86791213101,35553.1586669008,247511.209047092,10093.4389471537,39697.5950955226,267474.759472902,9249973.6048216,0.714973919813157,7.01036324143693,996.999224806202,5.20138587060422,7.94831746627924,8282
0.008484,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1.35744,74.5401263157895,8484,9475582.71713432,9475582.71713432,9475582.71713432,6777.46772939363,30241.8586856347,222896.650644558,8782.24695181973,36323.6571758117,253077.254311884,10305.7088822325,40574.3123226687,273562.164524208,9475582.71713432,0.714973919813157,7.01036324143693,996.999224806202,5.32813018632122,8.13407418754542,8484
0.008686,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1.38976,76.3148912280702,8686,9701191.82944704,9701191.82944704,9701191.82944704,6906.0924814602,30857.1110592122,227673.050419422,8958.04500347522,37092.3332684644,258634.177261495,10517.3904718417,41449.3175046639,279641.224547247,9701191.82944704,0.714973919813157,7.01036324143693,996.999224806202,5.45486591907513,8.31945605896043,8686
