"time","Capacitor1.v","HeatCapacitor1.T"
0,0,293.15
0.001,2.50002450951005e-06,293.156846577314
0.002,9.99989073467748e-06,293.163686318924
0.00217731392204676,1.18515808517678e-05,293.164898388386
0.00217731392204676,1.18515808517678e-05,293.164898388386
0.003,9.39044907959422e-05,293.17051933318
0.004,0.000802490187596247,293.177346692307
0.005,0.00289109573324645,293.18417078013
0.006,0.00711409366963306,293.190995023331
0.007,0.0142255007276299,293.197823903528
0.008,0.0249787602029291,293.204663260981
0.009,0.0401269191251413,293.211519882816
0.01,0.0604224940756304,293.218401064668
0.011,0.0833457042337722,293.225292190415
0.012,0.10587723297659,293.232173990451
0.013,0.128020411610862,293.239046514334
0.014,0.149778676420267,293.245909812312
0.015,0.171155700658806,293.252763937372
0.016,0.192155155226878,293.25960894148
0.017,0.212780649016416,293.266444874047
0.018,0.233035806656158,293.273271785021
0.019,0.2529242765379,293.280089723044
0.02,0.272449687526731,293.286898737654
0.021,0.29161567950672,293.293698871851
0.022,0.310425888463963,293.300490172767
0.023,0.328883950521656,293.307272687389
0.024,0.346993502143578,293.314046462344
0.025,0.364758234083944,293.320811539554
0.026,0.38218180889019,293.327567963387
0.0267994730756651,0.395868524810972,293.332963349506
0.027,0.399267830290743,293.334315783392
0.028,0.416017275685184,293.341055052634
0.029,0.432426266897725,293.347785804507
0.03,0.448490300536843,293.354508082271
0.031,0.464204676177076,293.361221931262
0.032,0.479564562737573,293.367927398257
0.033,0.494565302493713,293.374624528663
0.034,0.509202252039589,293.381313367795
0.035,0.523470799174933,293.387993960851
0.036,0.537366329252702,293.39466635299
0.037,0.550884443085832,293.401330587925
0.038,0.564020567151397,293.407986710549
0.039,0.576770287097307,293.414634764644
0.04,0.589129224730498,293.421274793734
0.041,0.601092879557831,293.42790684221
0.042,0.61265714943578,293.434530951373
0.043,0.623817573412183,293.441147165338
0.044,0.634569918384966,293.447755526312
0.045,0.644910121939819,293.454356074999
0.046,0.654833838258529,293.460948854601
0.047,0.664337136934111,293.467533904331
0.048,0.673415867970864,293.474111265566
0.049,0.682065914694151,293.480680979269
0.05,0.690283476814501,293.487243082895
0.051,0.698064543047387,293.493797616273
0.052,0.705405223675191,293.500344617865
0.053,0.712301673062315,293.506884125636
0.054,0.718750097258173,293.513416176937
0.055,0.724746842836392,293.519940807127
0.056,0.730288179203297,293.526458052948
0.057,0.735370469607028,293.532967949877
0.058,0.739990125776318,293.539470532822
0.059,0.744143607920489,293.54596583613
0.06,0.747827483572585,293.55245389035
0.0607665696225884,0.750331300968885,293.557422548476
0.0607665696225884,0.750331300968885,293.557422548476
0.061,0.751038288087255,293.558934730119
0.062,0.753774533480363,293.565408390154
0.063,0.756038623643364,293.571874896591
0.064,0.757833140688634,293.578334270905
0.065,0.759161403730247,293.58478653687
0.066,0.760026781708634,293.591231715122
0.067,0.760433339115884,293.597669826848
0.068,0.760386109394941,293.604100895086
0.069,0.759890208352391,293.610524940079
0.07,0.75895135191566,293.616941981117
0.071,0.757575559270288,293.623352036366
0.072,0.755769308610355,293.629755122656
0.073,0.753539491406385,293.636151255875
0.074,0.750893491167327,293.642540450991
0.075,0.747838999872489,293.648922722298
0.076,0.74438425973447,293.655298082766
0.077,0.740537907424036,293.661666544575
0.078,0.736308949945103,293.668028119368
0.079,0.731706718710788,293.67438281852
0.08,0.726741058275337,293.680730651998
0.081,0.721421978963194,293.687071629987
0.082,0.715760024488191,293.693405761437
0.083,0.709765944469973,293.699733055231
0.084,0.703450768829236,293.706053519921
0.085,0.69682595772986,293.712367163225
0.086,0.689902993458673,293.718673993319
0.087,0.682693873752109,293.724974017314
0.088,0.675210673417668,293.731267242564
0.089,0.667465660958739,293.737553676324
0.09,0.659471360819386,293.743833325555
0.091,0.651240344757855,293.750106197435
0.092,0.642785371864538,293.756372299087
0.093,0.634119277938134,293.762631637807
0.094,0.625255035454063,293.76888422072
0.095,0.616205628770037,293.775130055401
0.096,0.606984091699324,293.781369149593
0.097,0.597603445570588,293.78760151119
0.098,0.588076697640394,293.793827148384
0.099,0.578416832079193,293.800046069775
0.1,0.568636753703243,293.806258284229
0.101,0.558749261971946,293.812463800866
0.102,0.548767057940285,293.818662629407
0.103,0.53870269567877,293.824854779941
0.104,0.528568586147589,293.8310402627
0.105,0.518376931213703,293.837219088699
0.106,0.508139728005166,293.843391269345
0.107,0.497868798454167,293.849556816229
0.108,0.487575688343998,293.855715741578
0.109,0.477271664286872,293.861868058164
0.11,0.466967756143251,293.868013779033
0.111,0.456674728207469,293.874152917552
0.112,0.446402966280465,293.880285487806
0.113,0.43616256407775,293.886411504182
0.114,0.425963370106654,293.892530981188
0.115,0.415814775364905,293.898643934067
0.116,0.405725838150832,293.904750378345
0.117,0.395705367780663,293.91085032964
0.118,0.3857616951194,293.916943804127
0.119,0.375902780852915,293.923030818255
0.12,0.36613627752234,293.929111388634
0.121,0.356469451989951,293.935185532122
0.122,0.346909112814016,293.941253265899
0.123,0.337461730452907,293.947314607279
0.124,0.328133471200965,293.953369573658
0.125,0.318929990370088,293.959418182694
0.126,0.30985658944858,293.965460452122
0.127,0.30091831700083,293.971496399701
0.128,0.292119702333296,293.977526043319
0.129,0.283464934177956,293.983549400877
0.13,0.274957909471315,293.989566490295
0.131,0.266602125494946,293.995577329471
0.132,0.258400694342276,294.001581936264
0.133,0.250356426563101,294.007580328497
0.134,0.242471830443051,294.013572523934
0.135,0.234749014542514,294.019558540192
0.136,0.227189794625454,294.025538394791
0.137,0.219795744101169,294.031512105198
0.138,0.212568057574163,294.037479688628
0.139,0.205507660463585,294.043441162152
0.14,0.198615251323637,294.04939654276
0.141,0.191891219723788,294.055345847163
0.142,0.185335700698347,294.061289091865
0.143,0.178948605984786,294.067226293219
0.144,0.172729618241694,294.073157467366
0.145,0.166678179247961,294.079082630141
0.146,0.160793531117878,294.085001797183
0.14665475958224,0.157030414213045,294.088874187866
0.147,0.155074718031858,294.09091498393
0.148,0.149519954462719,294.096822203853
0.149,0.14412692592311,294.102723465875
0.15,0.13889310602068,294.108618778704
0.151,0.133816016330083,294.114508150478
0.152,0.1288928257523,294.120391590227
0.153,0.12412067728264,294.126269106674
0.154,0.119496664512302,294.132140708179
0.155,0.115017866905983,294.138006403011
0.156,0.110681340320317,294.143866199427
0.157,0.106484105372867,294.14972010556
0.158,0.102423212269199,294.155568129596
0.159,0.0984955444873115,294.1614102789
0.16,0.0946981448449418,294.167246561652
0.161,0.0910279163865279,294.173076985161
0.162,0.0874818106732211,294.178901557063
0.163,0.0840567880801358,294.184720284854
0.164,0.0807497858958966,294.190533175628
0.165,0.0775577645023412,294.19634023693
0.166,0.0744777719549723,294.202141475359
0.167,0.0715067623031156,294.207936898301
0.168,0.0686417163370643,294.213726512919
0.169,0.0658798226014823,294.219510325738
0.17,0.0632181158749795,294.225288343754
0.171,0.0606536010771689,294.231060574056
0.172,0.0581835295833493,294.236827023136
0.173,0.0558052494571523,294.242587697268
0.174,0.0535157541565369,294.248342603537
0.175,0.051312264141256,294.254091748564
0.176,0.0491925109730739,294.259835138146
0.177,0.0471535116973685,294.265572779233
0.178,0.0451926287953275,294.271304678251
0.179,0.0433077819553031,294.27703084093
0.18,0.0414961395222157,294.282751273939
0.181,0.0397553729789484,294.288465983418
0.182,0.0380832893662213,294.294174975385
0.183,0.0364773170551397,294.299878256189
0.184,0.0349354478212668,294.30557583176
