"time","bodyOfConstraint.body.w_a[1]","bodyOfConstraint.body.w_a[2]","bodyOfConstraint.body.w_a[3]","joint.phi_a","joint.phi_b","joint.w_a","joint.w_b"
0,0,0,0,0,0,0,0
0.002,0.00444197986524705,-2.85806901554925e-08,-0.00643421534445454,-6.43422159641342e-06,4.44198532732978e-06,-0.00643421534457428,0.00444197986524705
0.004,0.0088838753321848,-2.28642355119712e-07,-0.0128683475830066,-2.57367545975358e-05,1.77678100251553e-05,-0.0128683475868379,0.00888387533218478
0.006,0.0133255791631143,-7.71646124288961e-07,-0.0193022910883658,-5.79070531991658e-05,3.99769190414209e-05,-0.0193022911311787,0.0133255791631131
0.008,0.0177670754595951,-1.82903959191754e-06,-0.0257360301998715,-0.000102945026811901,7.10692203636934e-05,-0.025736030322461,0.0177670754595911
0.01,0.0222082520558913,-3.57221650129668e-06,-0.0321694543427093,-0.000160849716979142,0.000111043740650092,-0.0321694546988602,0.0222082520558779
0.012,0.0266491082828143,-6.17256803659988e-06,-0.0386025628572028,-0.000231621118060554,0.000159900474172653,-0.0386025636013565,0.026649108282785
0.014,0.0310895230085048,-9.80137893022245e-06,-0.0450352362005901,-0.000315257838382378,0.000217638007733333,-0.0450352377193856,0.0310895230084411
0.016,0.0355294605665522,-1.46299251084394e-05,-0.0514674391794318,-0.00041175948234264,0.000284255939608881,-0.0514674419235444,0.0355294605664325
0.018,0.0399688364744182,-2.08293628197291e-05,-0.0578990882327312,-0.00052112466884157,0.000359752867498605,-0.057899092974287,0.0399688364742028
0.02,0.0444075805396413,-2.85707880341975e-05,-0.064330113983021,-0.000643352360586737,0.000444127738158353,-0.0643301217190935,0.0444075805392782
0.022,0.0488456713996771,-3.80252636731471e-05,-0.0707604950659783,-0.000778441849217893,0.000537379832606439,-0.0707605070754398,0.0488456713990976
0.024,0.0532829804644424,-4.93635721928999e-05,-0.0771901039147031,-0.00092639049591686,0.000639506471955713,-0.0771901222897703,0.053282980463531
0.026,0.0577194745372829,-6.27565752208173e-05,-0.0836189075966846,-0.00108719761944966,0.000750506964628034,-0.0836189346395465,0.057719474535912
0.028,0.0621550900052762,-7.83749767675802e-05,-0.0900468430051647,-0.00126086191440507,0.000870379985390256,-0.0900468814203675,0.062155090003295
0.03,0.0665897503623422,-9.63892848908463e-05,-0.0964738338384882,-0.00144738133724222,0.000999123460289657,-0.0964738871597161,0.0665897503595515
0.032,0.0710233578875222,-0.000116969711668928,-0.10289978208363,-0.00164675262987437,0.00113673408340263,-0.102899855375943,0.0710233578836335
0.034,0.0754558583607792,-0.000140286618570945,-0.109324634246538,-0.00185897502463037,0.00128321107495102,-0.109324732666439,0.0754558583554992
0.036,0.0798871803731937,-0.000166510116722527,-0.115748319242008,-0.00208404676978036,0.00143855265697972,-0.115748448606414,0.0798871803661905
0.038,0.0843172522263321,-0.000195810108563981,-0.1221707652825,-0.0023219656575283,0.00160275658930547,-0.122170932424982,0.0843172522172282
0.04,0.0887460001477822,-0.000228355872863981,-0.128591895549196,-0.00257272621297469,0.00177581732049918,-0.128592110871957,0.0887460001361022
