"time","ramp.y","pipe1.port_b.m_flow","pipe1.port_b.p","pipe1.port_b.h_outflow","pipe2.port_b.m_flow","pipe2.port_b.p","pipe2.port_b.h_outflow","pipe3.port_b.m_flow","pipe3.port_b.p","pipe3.port_b.h_outflow"
0,700000,-37.7757220584098,499669.724819827,293586.685237142,1.29394104183294,500000,293586.685237142,-39.0696631002428,200000,293087.827101006
0.000202,699868.7,-37.7604809002566,499662.296156678,293586.685237142,1.30878848410318,500000,293586.685237142,-39.0692693843603,200000,293082.097823816
0.000404,699737.4,-37.7452450898484,499654.792266748,293586.685237142,1.3236223864269,500000,293586.685237142,-39.0688674762753,200000,293076.37354436
0.000606,699606.1,-37.7300146101405,499647.213356628,293586.685237142,1.33844278837535,500000,293586.685237142,-39.0684573985158,200000,293070.654244234
0.000808,699474.8,-37.7147894441747,499639.559631835,293586.685237142,1.35324972931798,500000,293586.685237142,-39.0680391734927,200000,293064.939905126
0.00101,699343.5,-37.6995695750777,499631.831296825,293586.685237142,1.3680432484159,500000,293586.685237142,-39.0676128235009,200000,293059.230508824
0.001212,699212.2,-37.6843549860621,499624.028554994,293586.685237142,1.38282338465692,500000,293586.685237142,-39.067178370719,200000,293053.526037196
0.001414,699080.9,-37.6691456604218,499616.151608714,293586.685237142,1.3975901767924,500000,293586.685237142,-39.0667358372142,200000,293047.826472222
0.001616,698949.6,-37.6539415815349,499608.200659315,293586.685237142,1.41234366340441,500000,293586.685237142,-39.0662852449394,200000,293042.131795961
0.001818,698818.3,-37.6387427328608,499600.175907111,293586.685237142,1.42708388287241,500000,293586.685237142,-39.0658266157366,200000,293036.441990569
0.00202,698687,-37.6235490979401,499592.077551398,293586.685237142,1.44181087339646,500000,293586.685237142,-39.0653599713365,200000,293030.757038284
0.002222,698555.7,-37.6083606603932,499583.905790481,293586.685237142,1.45652467296858,500000,293586.685237142,-39.0648853333618,200000,293025.076921443
0.002424,698424.4,-37.5931774039202,499575.660821669,293586.685237142,1.47122531940526,500000,293586.685237142,-39.0644027233255,200000,293019.401622468
0.002626,698293.1,-37.5779993122997,499567.342841286,293586.685237142,1.48591285033415,500000,293586.685237142,-39.0639121626338,200000,293013.731123866
