"time","Spherical1.phi[1]","Spherical1.phi[2]","Spherical1.phi[3]","Spherical1.phi_d[1]","Spherical1.phi_d[2]","Spherical1.phi_d[3]","Spherical2.phi[1]","Spherical2.phi[2]","Spherical2.phi[3]","Spherical2.phi_d[1]","Spherical2.phi_d[2]","Spherical2.phi_d[3]","Spherical3.Q[1]","Spherical3.Q[2]","Spherical3.Q[3]","Spherical3.Q[4]","Spherical3.w_rel[1]","Spherical3.w_rel[2]","Spherical3.w_rel[3]","Spherical4.Q[1]","Spherical4.Q[2]","Spherical4.Q[3]","Spherical4.Q[4]","Spherical4.w_rel[1]","Spherical4.w_rel[2]","Spherical4.w_rel[3]","boxBody5.body.Q[1]","boxBody5.body.Q[2]","boxBody5.body.Q[3]","boxBody5.body.Q[4]","boxBody5.body.w_a[1]","boxBody5.body.w_a[2]","boxBody5.body.w_a[3]","boxBody6.body.Q[1]","boxBody6.body.Q[2]","boxBody6.body.Q[3]","boxBody6.body.Q[4]","boxBody6.body.w_a[1]","boxBody6.body.w_a[2]","boxBody6.body.w_a[3]"
0,0,0,0,0.0523598775598299,0.0349065850398866,0.0174532925199433,0,0,0,-0,-0,0,0,0,0,1,0.0523598775598299,0.0349065850398866,0.0174532925199433,0,0,0,1,0,0,0,0,0,0,1,0.0523598775598299,0.0349065850398866,0.0174532925199433,0,0,0,1,0.0523598775598299,0.0349065850398866,0.0174532925199433
0.0006,2.89459870090373e-05,2.11282720674379e-05,7.17854428208464e-06,0.0441267735398953,0.0355209243385523,0.00647522780611623,2.29414877289757e-06,-3.15919431045873e-07,3.95096560564544e-06,0.0076470813806534,-0.00105304229707083,0.0131698083307231,1.44730264929483e-05,1.05640907699078e-05,3.58942164691787e-06,0.999999999833024,0.0441270279451994,0.0355205998981427,0.00647615970043598,1.14707369623781e-06,-1.57964727870712e-07,1.9754824020011e-06,0.999999999997378,0.0076470760429552,-0.00105308105977904,0.0131698052310031,1.44730264929479e-05,1.0564090769907e-05,3.58942164691733e-06,0.999999999833024,0.0441270279451965,0.0355205998981363,0.00647615970043205,1.56201276186327e-05,1.04060951537913e-05,5.5648856513135e-06,0.999999999808378,0.0517742460789067,0.0344673614291941,0.0196458698388977
0.0012,5.2952259559385e-05,4.26247894349342e-05,7.77045941472838e-06,0.0358939872989244,0.0361344893983309,-0.00450238614249846,9.17619595279154e-06,-1.26334682568808e-06,1.58035475097087e-05,0.0152933844563233,-0.00210544405463857,0.0263390037424842,2.64761716922423e-05,2.13123255999108e-05,3.88576577208581e-06,0.999999999414849,0.0358942634775001,0.036134149110835,-0.00450085958982972,4.58808693915793e-06,-6.31753597477066e-07,7.90176734387407e-06,0.999999999958056,0.0152933417765625,-0.002105754120895,0.0263389789521508,2.64761716922295e-05,2.13123255998819e-05,3.88576577206879e-06,0.999999999414849,0.0358942634774534,0.0361341491107294,-0.00450085958989216,3.10644766652081e-05,2.06803346559596e-05,1.17873875322163e-05,0.99999999923419,0.0511881682397992,0.0340278030498634,0.021837745143746
0.0018,7.20189791654083e-05,6.44891659733248e-05,1.77597319855223e-06,0.0276614781615181,0.0367473994922791,-0.0154796101887718,2.06458485484191e-05,-2.84176799659867e-06,3.55575871811647e-05,0.0229392514181242,-0.00315684689452607,0.039508024097339,3.60094149313284e-05,3.22446023986826e-05,8.89076332230101e-07,0.999999998831409,0.0276615320994483,0.0367471989158074,-0.0154778347605655,1.03228792058903e-05,-1.42121146668627e-06,1.77787674104532e-05,0.999999999787667,0.0229391159562017,-0.0031578312902887,0.039507945403768,3.60094149312672e-05,3.2244602398543e-05,8.89076332148397e-07,0.999999998831409,0.0276615320992573,0.0367471989153716,-0.0154778347608203,4.63329838404407e-05,3.08226551074841e-05,1.86673844233357e-05,0.999999998277374,0.0506019048231387,0.0335881054873683,0.0240292800338152
0.0024,8.61462994432929e-05,8.67210547935182e-05,-1.08047007577397e-05,0.0194291986600184,0.0373597936290816,-0.0264565153223252,3.67030608377824e-05,-5.0502729355774e-06,6.32132781530476e-05,0.0305850811215431,-0.00420683295804986,0.0526773798164701,4.30727098584279e-05,4.33607874960846e-05,-5.40062510843294e-06,0.999999998117709,0.0194287731067698,0.0373597099335957,-0.0264548467508035,1.83514011536683e-05,-2.52607603852158e-06,3.16065639778723e-05,0.999999999328935,0.0305847702214304,-0.00420909348026861,0.0526771991692759,4.30727098582429e-05,4.33607874956574e-05,-5.40062510867968e-06,0.999999998117709,0.0194287731063127,0.0373597099325353,-0.0264548467514133,6.14256883321293e-05,4.08330673329008e-05,2.62048915496241e-05,0.999999996936424,0.0500157598586154,0.0331484967639759,0.0262208960468773
0.003,9.53342726998003e-05,0.000109320345752393,-2.9971490968792e-05,0.0111971289213789,0.0379717299468955,-0.0374331312540345,5.73479140465257e-05,-7.88837577164682e-06,9.87708298245941e-05,0.0382310403953597,-0.00525522738073369,0.0658472844175715,4.76660294395873e-05,5.46608200150717e-05,-1.49833397163113e-05,0.999999997257822,0.0111959610967827,0.0379716656794926,-0.0374319294307864,2.86736788987169e-05,-3.9462100131143e-06,4.93852533179606e-05,0.999999998361672,0.0382304600617531,-0.00525944901350669,0.065846947157095,4.76660294391849e-05,5.46608200141338e-05,-1.49833397168479e-05,0.999999997257822,0.0111959610959311,0.0379716656774916,-0.037431929431922,7.63426447928804e-05,5.07116045503108e-05,3.43999683160385e-05,0.999999995208388,0.0494298605469638,0.0327090722802369,0.0284127695205709
0.0036,9.95830521618589e-05,0.000132286715946382,-5.57241879867307e-05,0.00296521084653166,0.0385833784147974,-0.0484095448442308,8.25806430673387e-05,-1.13546587426776e-05,0.000142230851087956,0.0458776169693938,-0.00630151894229351,0.0790183621265328,4.9789294836137e-05,6.61445221068257e-05,-2.78590706402738e-05,0.9999999961849,0.00296302180415414,0.0385830179602154,-0.0484091818209579,4.12897875937906e-05,-5.68121269694747e-06,7.11151152889068e-05,0.999999996602759,0.0458766400550963,-0.00630862986910512,0.0790177942702837,4.978929483537e-05,6.61445221050194e-05,-2.78590706412966e-05,0.9999999961849,0.00296302180276091,0.0385830179568942,-0.0484091818228157,9.10840120203392e-05,6.04583631382611e-05,4.32527870349891e-05,0.999999993088843,0.0488445787631453,0.0322701109423729,0.0306054159836473
0.0042,9.88927018769521e-05,0.000155620071265004,-8.80627106608318e-05,-0.00526659891249028,0.0391948655877885,-0.0593858208591865,0.000112401843085489,-1.54476249761481e-05,0.000193594333400283,0.0535251740483832,-0.00734532646021513,0.0921910779197453,4.94424152980723e-05,7.78117405008452e-05,-4.40278628916795e-05,0.999999994781164,-0.00527010013550396,0.0391937308166344,-0.0593866777405021,5.61999790554002e-05,-7.73067007969389e-06,9.67966189897325e-05,0.999999993706107,0.0535236489436752,-0.00735643624981856,0.0921901911710348,4.94424152967486e-05,7.78117404976914e-05,-4.40278628934447e-05,0.999999994781164,-0.0052701001375889,0.0391937308115886,-0.0593866777432822,0.000105650068571828,7.00735350639021e-05,5.27636981794798e-05,0.999999990571877,0.0482601916218931,0.0318318205864338,0.0327992194455036
0.0048,9.32632511810206e-05,0.000179320375166374,-0.000126987022850284,-0.013498323311125,0.0398062584544166,-0.0703619935930208,0.00014681186730078,-2.01664418944458e-05,0.000252861850456941,0.0611739038885703,-0.00838644805675887,0.105365677945343,4.66253398665059e-05,8.96623921599169e-05,-6.34897441790431e-05,0.999999992877893,-0.0135034340390468,0.0398037852006718,-0.0703644562785597,7.34044043808263e-05,-1.0094352474529e-05,0.000126430036427406,0.999999989262672,0.0611716660763336,-0.00840276235703022,0.105364376444214,4.66253398644117e-05,8.96623921548783e-05,-6.34897441818353e-05,0.999999992877893,-0.0135034340419702,0.0398037851934976,-0.0703644562824572,0.00012004097648271,7.95572328749492e-05,6.29329074484095e-05,0.99999998765013,0.0476768458466545,0.0313943112550033,0.0349943831898393
0.0054,8.26947215905574e-05,0.000203387696555129,-0.00017249711303939,-0.021730024081175,0.0404177368351395,-0.0813381552234303,0.000185812143638555,-2.55083699889807e-05,0.000320035556755909,0.0688243226262743,-0.00942434094097892,0.118542823203827,4.13378951032336e-05,0.000101696230316244,-8.62448376339351e-05,0.999999990255442,-0.0217370587029826,0.0404131298625494,-0.0813426224971442,9.29036928753182e-05,-1.2771511094425e-05,0.000160016395558844,0.999999982800273,0.0688211732877698,-0.00944732383414629,0.118540990902135,4.13378951001051e-05,0.000101696230308638,-8.62448376381031e-05,0.999999990255442,-0.0217370587068517,0.0404131298529222,-0.0813426225022986,0.000134257353890789,8.89098960191937e-05,7.37612207199815e-05,0.999999984314638,0.0470949356381283,0.030957878598594,0.0371914530997028
