"time","n_nt[1]","n_nt[2]","n_nt[3]","cp[1]","cp[2]","cp[3]","eta[1]","eta[2]","eta[3]","lambda[1]","lambda[2]","lambda[3]","rho[1]","rho[2]","rho[3]","Nu[1]","Nu[2]","Nu[3]","m_flow_1[1]","m_flow_1[2]","m_flow_1[3]","m_flow_2[1]","m_flow_2[2]","m_flow_2[3]","m_flow_3[1]","m_flow_3[2]","m_flow_3[3]","kc_1[1]","kc_1[2]","kc_1[3]","kc_2[1]","kc_2[2]","kc_2[3]","kc_3[1]","kc_3[2]","kc_3[3]","Re_1[1]","Re_1[2]","Re_1[3]","Re_2[1]","Re_2[2]","Re_2[3]","Re_3[1]","Re_3[2]","Re_3[3]","input_Nu.y"
0,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,10,10,10,0.000267054252804655,0.00408081525771027,0.0288821940605796,0.000172199388852509,0.00282398457389398,0.0233010194916278,0.000136969646818611,0.00232575006478472,0.0206958349473274,25.69,598.5,387,25.69,598.5,387,25.69,598.5,387,1864.1668599813,518.755527243943,32.2578522953026,1202.0343830386,358.98650491253,26.0243679380573,956.113874768994,295.650654318518,23.1146977774116,10
0.000202,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,212,212,212,0.0155733188358861,0.212318468872235,7.76216065551695,0.0135059507724209,0.200107553532377,5.89532245301356,0.0122942751393521,0.192173901022143,4.52044833200103,544.628,12688.2,8204.4,544.628,12688.2,8204.4,544.628,12688.2,8204.4,108709.240047254,26990.0429957819,8669.37710455403,94278.0187099384,25437.7845804344,6584.34883872102,85819.9412350741,24429.2542179926,5048.78383880335,212
0.000404,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,414,414,414,0.0376044684985342,0.469651658299904,11.5883980616088,0.0317751770607966,0.437199298403373,10.7079386074746,0.0285012328044684,0.416673204879419,9.90625067215379,1063.566,24777.9,16021.8,1063.566,24777.9,16021.8,1063.566,24777.9,16021.8,262497.238766894,59702.3825477121,12942.8128703269,221805.986703771,55577.0203332311,11959.4481382746,198952.284431755,52967.7317975252,11064.0614875838,414
0.000606,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,616,616,616,0.0632239343518925,0.752509255645334,14.2141314340808,0.0525250812774353,0.694688302877858,13.6628799157604,0.0466779687179102,0.658759626055172,13.1693319512689,1582.504,36867.6,23839.2,1582.504,36867.6,23839.2,1582.504,36867.6,23839.2,441333.406746543,95659.3991680173,15875.4335402937,366650.277263482,88309.1671814144,15259.7535120298,325834.625216854,83741.893607068,14708.5212439472,616
0.000808,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,818,818,818,0.091437883258563,1.05345453564228,16.5036593943762,0.0750003635733847,0.966263227308974,16.077580917186,0.066197593852265,0.912810692945636,15.7362128702495,2101.442,48957.3,31656.6,2101.442,48957.3,31656.6,2101.442,48957.3,31656.6,638280.31168684,133915.732164573,18432.5541875086,523538.53492954,122831.924084785,17956.6770240707,462090.977297265,116037.007898911,17575.4109743615,818
0.00101,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1020,1020,1020,0.121715530400693,1.36862422329012,19.8269294385648,0.0988102711880831,1.2487069162664,19.0976121042502,0.0867416035856461,1.17599487690001,18.6112183102343,2620.38,61047,39474,2620.38,61047,39474,2620.38,61047,39474,849632.820803605,173980.279849784,22144.2373788196,689743.117887461,158736.324438366,21329.6797729336,605498.025542687,149493.129160848,20786.4378318329,1020
0.001212,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1222,1222,1222,0.153719704061483,1.69560633561825,24.3391125527535,0.123712405352906,1.54003941079073,23.308493072197,0.108114975654628,1.44658512094549,22.6216226308941,3139.318,73136.7,47291.4,3139.318,73136.7,47291.4,3139.318,73136.7,47291.4,1073037.31368457,215546.429593914,27183.7899876542,863571.966390496,195770.674747344,26032.7150067603,754694.420951493,183890.712940625,25265.5653506406,1222
0.001414,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1424,1424,1424,0.187214826350058,2.03273623070053,28.9515724833658,0.149540634588705,1.83891029471739,27.678474038439,0.130185420620903,1.7234120331067,26.8337184763412,3658.256,85226.4,55108.8,3658.256,85226.4,55108.8,3658.256,85226.4,55108.8,1306849.34358344,258402.571180492,32335.339445691,1043865.40297768,233763.309350516,30913.4453365492,908756.719750627,219081.10547363,29969.9574529546,1424
0.001616,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1626,1626,1626,0.222025917486102,2.37878894194923,33.6514354461281,0.176173559236234,2.14433587223659,32.1227094989015,0.152857094027005,2.00562901383868,31.1122985125839,4177.194,97316.1,62926.2,4177.194,97316.1,62926.2,4177.194,97316.1,62926.2,1549847.46765028,302392.986168978,37584.5073220288,1229775.9997605,272589.180284124,35877.1087877554,1067015.88162546,254956.686550279,34748.6042051113,1626
0.001818,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,1828,1828,1828,0.258017310687962,2.73282169853275,38.4288868830513,0.203518383422147,2.45556580774265,36.6325073020249,0.176057270271427,2.29259375661396,35.4493871928494,4696.132,109405.8,70743.6,4696.132,109405.8,70743.6,4696.132,109405.8,70743.6,1801084.66663449,347397.829001818,42920.3319646099,1420655.99700467,312152.904464605,40913.9972980156,1228964.24697208,291435.805804096,39592.5979040036,1828
