"time","opAmp.q_fp1","opAmp.q_fr1","opAmp.q_fr2","opAmp.q_fr3","opAmp.v_in","opAmp.v_source","opAmp.x"
0,0,0,0,0,-0.001,0,0
6e-07,-0.0460997996531511,-0.0247771059498495,-0.0257867106513913,-0.0257208453730986,-0.0281234297065695,-0.0064891130203749,-0.0064891130203749
1.2e-06,-0.181082291544564,-0.0431681649401524,-0.0436025694751083,-0.0435757666426888,-0.0445877931811101,-0.0486475166808727,-0.0486475166808727
1.8e-06,-0.354239530052293,-0.0462269236992136,-0.0460802271160169,-0.046091597433761,-0.0457170410846185,-0.137365390815564,-0.137365390815564
2.4e-06,-0.513575628207975,-0.0378433158714186,-0.0373874281324547,-0.0374182881429126,-0.0363175785645862,-0.257737397885527,-0.257737397885527
3e-06,-0.631752656685281,-0.0259749106354674,-0.0255335160022734,-0.0255624564833658,-0.0245100121578352,-0.385050417824449,-0.385050417824449
3.6e-06,-0.710454052878886,-0.0174582593843638,-0.0172354134001198,-0.0172493929534031,-0.0167269798390781,-0.499908932558301,-0.499908932558301
4.2e-06,-0.769476835392177,-0.01516012747871,-0.0151852441976149,-0.0151828535831763,-0.0152532606416276,-0.595571953063657,-0.595571953063657
4.8e-06,-0.831040968683329,-0.0180020169296545,-0.0181767683619897,-0.018164846158597,-0.0185880854470461,-0.676738280167003,-0.676738280167003
5.4e-06,-0.908416268945682,-0.0228455402319065,-0.0230349458507644,-0.0230224650227832,-0.0234749569859072,-0.753334360499016,-0.753334360499016
6e-06,-1.00275237941294,-0.0266970169640268,-0.0268061668060438,-0.0267992397062927,-0.0270562476916359,-0.833989284535594,-0.833989284535594
6.6e-06,-1.10675547040573,-0.0280754969627709,-0.0280805626866345,-0.0280805414340278,-0.028088223067671,-0.922397563972159,-0.922397563972159
7.2e-06,-1.21108482391775,-0.0271874934439228,-0.0271222572693306,-0.0271267513219656,-0.026968138808243,-1.01728697137361,-1.01728697137361
7.8e-06,-1.30949101391143,-0.025241308009806,-0.0251610875881538,-0.0251664001714832,-0.0249743782094622,-1.11475088236345,-1.11475088236345
8.4e-06,-1.4006994948543,-0.0235255480794089,-0.0234734844031816,-0.0234768191161121,-0.0233537962825595,-1.2110163631196,-1.2110163631196
9e-06,-1.48728089122434,-0.0227705919866404,-0.02276145033518,-0.022761922478106,-0.0227419249982038,-1.30418465366539,-1.30418465366539
9.6e-06,-1.5730929182443,-0.0229969859741495,-0.0230200445976241,-0.023018434414338,-0.0230748050516144,-1.39447733922212,-1.39447733922212
1.02e-05,-1.66100357167103,-0.0237529782980367,-0.0237859869381581,-0.0237837899424715,-0.0238629576517313,-1.48339212514344,-1.48339212514344
1.08e-05,-1.7518763874297,-0.0244930906030228,-0.0245168289169744,-0.0245152981340848,-0.0245715361597778,-1.57254805169347,-1.57254805169347
1.14e-05,-1.84485892471226,-0.024869222463186,-0.0248755514141448,-0.024875188151033,-0.0248895474320417,-1.66287548939173,-1.66287548939173
1.2e-05,-1.93838380986346,-0.024826829676921,-0.0248186877482219,-0.0248192659285735,-0.0247992254131032,-1.75441459971802,-1.75441459971802
1.26e-05,-2.03115981110603,-0.0245285076934347,-0.0245146597484804,-0.0245155864141937,-0.0244823032531743,-1.84660579595038,-1.84660579595038
1.32e-05,-2.1226868344167,-0.0242013112257115,-0.0241901659773744,-0.024190890043414,-0.0241644102437133,-1.9387631905656,-1.9387631905656
1.38e-05,-2.21321667040094,-0.024006719648545,-0.0240024695258742,-0.0240027283078177,-0.0239928756418334,-2.03044295699863,-2.03044295699863
1.44e-05,-2.30337122216196,-0.0239869694070824,-0.0239890724201441,-0.0239889156626275,-0.0239941968792858,-2.12156868832625,-2.12156868832625
1.5e-05,-2.39371813667938,-0.0240865539235612,-0.0240916407144701,-0.0240912981186529,-0.0241035551929858,-2.21233905851828,-2.21233905851828
1.56e-05,-2.48452020039416,-0.0242126226274304,-0.0242170776033741,-0.0242167873205585,-0.0242273839378562,-2.30303711085623,-2.30303711085623
1.62e-05,-2.57571646070364,-0.0242919631169006,-0.0242937231272399,-0.0242936159904579,-0.0242976956419477,-2.3938662067751,-2.3938662067751
1.68e-05,-2.66706328209714,-0.0242988416413554,-0.0242978325457717,-0.0242979074756708,-0.0242953773996651,-2.48488083722698,-2.48488083722698
1.74e-05,-2.75831279666298,-0.0242506561572799,-0.0242481349885721,-0.0242483054623885,-0.0242422209243621,-2.57601205154163,-2.57601205154163
1.8e-05,-2.84933118767285,-0.0241846661598608,-0.0241821618878705,-0.024182326693836,-0.0241763469348202,-2.66714251914525,-2.66714251914525
1.86e-05,-2.94012174380987,-0.0241334226589257,-0.0241319171016606,-0.0241320134055486,-0.0241284576591534,-2.75817835454933,-2.75817835454933
1.92e-05,-3.03077492050647,-0.0241109877158756,-0.0241106410423954,-0.0241106607838046,-0.0241098764244356,-2.84908481478007,-2.84908481478007
1.98e-05,-3.12139451167839,-0.0241127140813005,-0.0241130751721687,-0.024113049801415,-0.0241139347185122,-2.9398815422509,-2.9398815422509
2.04e-05,-3.21204321686652,-0.0241239646133028,-0.0241243977535228,-0.024124369566374,-0.0241253992950888,-3.03061370117843,-3.03061370117842
2.1e-05,-3.30272664703668,-0.0241305269779517,-0.024130577324057,-0.0241305756465744,-0.0241306726935518,-3.12132107861683,-3.12132107861683
2.16e-05,-3.39340994182249,-0.0241251988850483,-0.0241247449384103,-0.0241247767519123,-0.024123665349407,-3.21202049713834,-3.21202049713834
2.22e-05,-3.48404777071927,-0.0241087578374739,-0.024107952900995,-0.0241080073173159,-0.0241060648284059,-3.30270523516737,-3.30270523516736
2.28e-05,-3.57460878520418,-0.0240868199843656,-0.0240859241111934,-0.02408598373658,-0.0240838350745281,-3.39335577834603,-3.39335577834602
2.34e-05,-3.6650852045853,-0.0240654901029064,-0.0240647086751018,-0.0240647601844882,-0.0240628930599829,-3.48395293742286,-3.48395293742286
2.4e-05,-3.75548750614749,-0.0240482730196598,-0.0240476790299301,-0.0240477180254235,-0.0240463009927206,-3.57448627822186,-3.57448627822185
2.46e-05,-3.84583244442046,-0.0240353449308369,-0.0240348909576669,-0.0240349209139226,-0.0240338357349089,-3.66495532783819,-3.66495532783819
2.52e-05,-3.93613238664847,-0.0240246334380883,-0.0240242159895719,-0.0240242438702745,-0.024023241263494,-3.75536571330223,-3.75536571330223
2.58e-05,-4.02639036512178,-0.0240135796119547,-0.0240131077260096,-0.0240131394671701,-0.0240120029422789,-3.84572377025664,-3.84572377025664
2.64e-05,-4.11660131046822,-0.0240005212704766,-0.0239999550916313,-0.0239999931576862,-0.0239986297882872,-3.93603268393653,-3.93603268393653
2.7e-05,-4.2067566757218,-0.0239851626234387,-0.0239845143675369,-0.0239845578005136,-0.0239829989344519,-4.02629148579261,-4.02629148579261
2.76e-05,-4.29684908082289,-0.0239682372353028,-0.0239675472287661,-0.0239675932963995,-0.0239659363341749,-4.11649635453205,-4.11649635453205
