"time","vIn.signalSource.y"
0,5
0.0005,5
0.001,5
0.0015,5
0.002,5
0.0025,5
0.003,5
0.0035,5
0.004,5
0.0045,5
0.005,5
0.0055,5
0.006,5
0.0065,5
0.007,5
0.0075,5
0.008,5
0.0085,5
0.009,5
0.0095,5
0.01,5
0.0105,5
0.011,5
0.0115,5
0.012,5
0.0125,5
0.013,5
0.0135,5
0.014,5
0.0145,5
0.015,5
0.015,5
0.0155,4.75
0.016,4.5
0.0165,4.25
0.017,4
0.0175,3.75
0.018,3.5
0.0185,3.25
0.019,3
0.0195,2.75
0.02,2.5
0.0205,2.25
0.021,2
0.0215,1.75
0.022,1.5
0.0225,1.25
0.023,1
0.0235,0.750000000000002
0.024,0.500000000000001
0.0245,0.250000000000001
0.025,8.88178419700125e-16
0.0255,-0.249999999999999
0.026,-0.5
0.0265,-0.749999999999997
0.027,-0.999999999999998
0.0275,-1.25
0.028,-1.5
0.0285,-1.75
0.029,-2
0.0295,-2.25
0.03,-2.5
0.0305,-2.75
0.031,-3
0.0315,-3.25
0.032,-3.5
0.0325,-3.75
0.033,-4
0.0335,-4.25
0.034,-4.5
0.0345,-4.75
0.035,-5
0.0355,-5
0.036,-5
0.0365,-5
0.037,-5
0.0375,-5
0.038,-5
0.0385,-5
0.039,-5
0.0395,-5
0.04,-5
0.0405,-5
0.041,-5
0.0415,-5
0.042,-5
0.0425,-5
0.043,-5
0.0435,-5
0.044,-5
0.0445,-5
0.045,-5
0.0455,-5
0.046,-5
0.0465,-5
0.047,-5
0.0475,-5
0.048,-5
0.0485,-5
0.049,-5
0.0495,-5
0.05,-5
0.0505,-5
0.051,-5
0.0515,-5
0.052,-5
0.0525,-5
0.053,-5
0.0535,-5
0.054,-5
0.0545,-5
0.055,-5
0.0555,-5
0.056,-5
0.0565,-5
0.057,-5
0.0575,-5
0.058,-5
0.0585,-5
0.059,-5
0.0595,-5
0.06,-5
0.0605,-5
0.061,-5
0.0615,-5
0.062,-5
0.0625,-5
0.063,-5
0.0635,-5
0.064,-5
0.0645,-5
0.065,-5
0.06500000001,-5
0.06500000001,-5
0.0655,-4.750000005
0.066,-4.500000005
0.0665,-4.250000005
0.067,-4.000000005
0.0675,-3.750000005
0.068,-3.500000005
0.0685,-3.250000005
0.069,-3.000000005
