"time","inductor.i","meanCurrent.x","meanVoltage.x","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanVoltage.y","pulse2.twoPulse.timerNegative[1].entryTime","pulse2.twoPulse.timerPositive[1].entryTime","rectifier.thyristor_n.off","rectifier.thyristor_p.off","rootMeanSquareVoltage.mean.y"
0,0,0,0,0,0,0,0,0,1,1,0
1.02308755611444e-15,1.22765389472209e-13,1.02304491221616e-22,-5.11522456100171e-18,2.55750567089725e-20,0,0,0,0,1,1,0
1.02308755611444e-15,1.22765389472209e-13,1.02304491221616e-22,-5.11522456100171e-18,2.55750567089725e-20,0,0,0,1.02308755611444e-15,1,1,0
0.0001,0.00238290732662486,1.92264947488507e-07,-0.00961324737442537,1.01122759096638,0,0,0,1.02308755611444e-15,1,1,0
0.0002,0.00239893159599723,4.31848628628604e-07,-0.0215924314314302,2.44624001857435,0,0,0,1.02308755611444e-15,1,1,0
0.0003,0.00239903973534226,6.71750505091118e-07,-0.0335875252545559,3.88506277702486,0,0,0,1.02308755611444e-15,1,1,0
0.0004,0.00239904029532101,9.11654532280667e-07,-0.0455827266140334,5.32391133361135,0,0,0,1.02308755611444e-15,1,1,0
0.0005,0.00239904036982119,1.15155856917591e-06,-0.0575779284587953,6.76276000657714,0,0,0,1.02308755611444e-15,1,1,0
0.0006,0.00239904037941892,1.39146260736867e-06,-0.0695731303684337,8.20160869510708,0,0,0,1.02308755611444e-15,1,1,0
0.0007,0.00239904038274434,1.63136664568684e-06,-0.0815683322843419,9.64045738514116,0,0,0,1.02308755611444e-15,1,1,0
0.0008,0.00239904038332339,1.87127068405991e-06,-0.0935635342029954,11.0793060758338,0,0,0,1.02308755611444e-15,1,1,0
0.0009,0.00239904038348659,2.11117472244129e-06,-0.105558736122065,12.5181547666262,0,0,0,1.02308755611444e-15,1,1,0
0.001,0.00239904038364979,2.35107876082267e-06,-0.117553938041134,13.9570034574187,0,0,0,1.02308755611444e-15,1,1,0
0.0011,0.002399040383813,2.59098279920406e-06,-0.129549139960203,15.3958521482111,0,0,0,1.02308755611444e-15,1,1,0
0.0012,0.00239904038381792,2.83088683758861e-06,-0.14154434187943,16.8347008390414,0,0,0,1.02308755611444e-15,1,1,0
0.0013,0.00239904038382202,3.07079087597317e-06,-0.153539543798659,18.273549529872,0,0,0,1.02308755611444e-15,1,1,0
0.0014,0.00239904038382613,3.31069491435773e-06,-0.165534745717887,19.7123982207025,0,0,0,1.02308755611444e-15,1,1,0
0.0015,0.00239904038383024,3.5505989527423e-06,-0.177529947637115,21.1512469115331,0,0,0,1.02308755611444e-15,1,1,0
0.0016,0.00239904038383434,3.79050299112686e-06,-0.189525149556343,22.5900956023637,0,0,0,1.02308755611444e-15,1,1,0
0.00166666666666911,0.00239904038383708,3.95043901672244e-06,-0.197521950836122,23.5493280629526,0,0,0,1.02308755611444e-15,1,1,0
0.00166666666666911,0.00239904038383708,3.95043901672244e-06,-0.197521950836122,23.5493280629526,0,0,0,1.02308755611444e-15,1,0,0
0.0017,0.00901142380676472,4.14052292242577e-06,-0.194905765734787,23.7546688489969,0,0,0,1.02308755611444e-15,1,0,0
0.0018,0.0291012018339077,6.04304521371429e-06,-0.186777937261818,24.4154319139322,0,0,0,1.02308755611444e-15,1,0,0
0.0019,0.0495630357594108,9.97317266165078e-06,-0.178237500787356,25.1449579826433,0,0,0,1.02308755611444e-15,1,0,0
0.002,0.0703877548747731,1.59677170076067e-05,-0.169292890785075,25.945149355826,0,0,0,1.02308755611444e-15,1,0,0
0.0021,0.0915658205160527,2.40624856030318e-05,-0.159952929771887,26.8176240788895,0,0,0,1.02308755611444e-15,1,0,0
0.0022,0.113087317674596,3.42923214245416e-05,-0.150226835896913,27.7637141267561,0,0,0,1.02308755611444e-15,1,0,0
0.0023,0.134941968374533,4.66910521053187e-05,-0.140124210583361,28.7844594079664,0,0,0,1.02308755611444e-15,1,0,0
0.0024,0.157119149376143,6.12914547023782e-05,-0.129655021529809,29.8806057476556,0,0,0,1.02308755611444e-15,1,0,0
0.0025,0.179607896230849,7.81252352817873e-05,-0.118829599063515,31.0526027597198,0,0,0,1.02308755611444e-15,1,0,0
0.0026,0.202396909638026,9.72230029722653e-05,-0.107658630302529,32.3006021920423,0,0,0,1.02308755611444e-15,1,0,0
0.0027,0.22547457664405,0.000118614205255063,-0.0961531392508488,33.6244539428032,0,0,0,1.02308755611444e-15,1,0,0
0.0028,0.248828977730404,0.000142327112494034,-0.0843244800197152,35.0237087351035,0,0,0,1.02308755611444e-15,1,0,0
0.0029,0.272447898124316,0.000168388789408559,-0.0721843260875126,36.4976197022849,0,0,0,1.02308755611444e-15,1,0,0
0.003,0.296318839609425,0.000196825066473766,-0.0597446590611,38.0451448793312,0,0,0,1.02308755611444e-15,1,0,0
0.0031,0.320429034742091,0.000227660508679782,-0.0470177550843131,39.6649521168419,0,0,0,1.02308755611444e-15,1,0,0
0.0032,0.344765457839148,0.000260918392734079,-0.03401617430617,41.3554239387292,0,0,0,1.02308755611444e-15,1,0,0
0.0033,0.369314837425368,0.000296620682578291,-0.0207527489230664,43.1146636201232,0,0,0,1.02308755611444e-15,1,0,0
0.0034,0.394063670569889,0.000334788002729862,-0.00724056937551342,44.940503026412,0,0,0,1.02308755611444e-15,1,0,0
0.0035,0.418998238639155,0.000375439610619962,0.00650703085155407,46.8305120354124,0,0,0,1.02308755611444e-15,1,0,0
0.0036,0.444104618428379,0.000418593381832416,0.0204764860650278,48.7820076177204,0,0,0,1.02308755611444e-15,1,0,0
0.0037,0.469368694495158,0.000464265792844927,0.034654010352057,50.7920635889731,0,0,0,1.02308755611444e-15,1,0,0
0.0038,0.494776173980965,0.000512471900682552,0.0490256119946162,52.8575224663169,0,0,0,1.02308755611444e-15,1,0,0
0.0039,0.520312600933096,0.000563225325481054,0.0635771074427174,54.9750079734481,0,0,0,1.02308755611444e-15,1,0,0
0.004,0.545963371173331,0.000616538233309542,0.0782941358395222,57.1409384294655,0,0,0,1.02308755611444e-15,1,0,0
0.0041,0.571713747140195,0.000672421321944972,0.0931621735790943,59.3515413607213,0,0,0,1.02308755611444e-15,1,0,0
0.0042,0.597548871698916,0.000730883809639985,0.108166547891716,61.6028679418938,0,0,0,1.02308755611444e-15,1,0,0
0.0043,0.623453782855946,0.000791933423877139,0.123292451333489,63.8908085807349,0,0,0,1.02308755611444e-15,1,0,0
0.0044,0.649413428585964,0.000855576391645469,0.138524956418873,66.2111091607147,0,0,0,1.02308755611444e-15,1,0,0
0.0045,0.675412681700246,0.000921817430789287,0.153849030316032,68.5593876707162,0,0,0,1.02308755611444e-15,1,0,0
0.0046,0.701436355157865,0.000990659743158632,0.169249550021038,70.931151867135,0,0,0,1.02308755611444e-15,1,0,0
0.0047,0.72746921694414,0.00106210500940724,0.184711317132284,73.3218168295417,0,0,0,1.02308755611444e-15,1,0,0
0.0048,0.753496005084814,0.00113615338538041,0.200219072792422,75.7267230341441,0,0,0,1.02308755611444e-15,1,0,0
0.0049,0.779501442743295,0.00121280350003452,0.215757512743986,78.1411547640859,0,0,0,1.02308755611444e-15,1,0,0
0.005,0.805470253298971,0.00129205245424295,0.23131130238383,80.5603586151834,0,0,0,1.02308755611444e-15,1,0,0
0.0051,0.831387175533041,0.00137389582215343,0.24686509197611,82.9795624196167,0,0,0,1.02308755611444e-15,1,0,0
0.0052,0.857236978741962,0.00145832765330634,0.262403531808089,85.3939940086332,0,0,0,1.02308755611444e-15,1,0,0
0.0053,0.883004477722243,0.00154534047865721,0.277911287295387,87.7989000342717,0,0,0,1.02308755611444e-15,1,0,0
0.0054,0.908674547919836,0.00163492531251648,0.293373054170165,90.1895648218684,0,0,0,1.02308755611444e-15,1,0,0
0.0055,0.93423214027225,0.00172707166059993,0.308773573484248,92.5613285075087,0,0,0,1.02308755611444e-15,1,0,0
0.0056,0.959662296306651,0.00182176752335605,0.324097646773772,94.9096059369165,0,0,0,1.02308755611444e-15,1,0,0
0.0057,0.984950162968883,0.00191899940620794,0.339330151093042,97.2299050064795,0,0,0,1.02308755611444e-15,1,0,0
0.0058,1.01008100639038,0.00201875235552809,0.354456053500939,99.5178425569615,0,0,0,1.02308755611444e-15,1,0,0
0.0059,1.03504022855449,0.00212100992153266,0.369460426985142,101.769166527601,0,0,0,1.02308755611444e-15,1,0,0
0.006,1.05981337900892,0.0022257542276158,0.38432846356124,103.979764944179,0,0,0,1.02308755611444e-15,1,0,0
0.0061,1.08438617146318,0.00233296594907286,0.399045490444641,106.145689825504,0,0,0,1.02308755611444e-15,1,0,0
0.0062,1.10874449772093,0.00244262433221896,0.413596984365312,108.263171918925,0,0,0,1.02308755611444e-15,1,0,0
0.0063,1.13287443860267,0.00255470725029546,0.42796858360858,110.328624155622,0,0,0,1.02308755611444e-15,1,0,0
0.0064,1.15676228371729,0.00266919115832627,0.442146106883816,112.338678938299,0,0,0,1.02308755611444e-15,1,0,0
0.0065,1.18039453687655,0.00278605119079897,0.45611556069253,114.290169261457,0,0,0,1.02308755611444e-15,1,0,0
0.0066,1.20375793825936,0.00290526111033877,0.469863160466135,116.180176239486,0,0,0,1.02308755611444e-15,1,0,0
0.0067,1.22683947035844,0.00302679338611958,0.483375338080835,118.0060120081,0,0,0,1.02308755611444e-15,1,0,0
0.0068,1.24962637539043,0.0031506191877862,0.496638759146156,119.765248306405,0,0,0,1.02308755611444e-15,1,0,0
0.0069,1.27210616524562,0.0032767084284439,0.509640333814498,121.455715555858,0,0,0,1.02308755611444e-15,1,0,0
0.007,1.29426663561173,0.00340502978280939,0.522367231267919,123.075518276497,0,0,0,1.02308755611444e-15,1,0,0
0.0071,1.3160958768887,0.00353555072177951,0.534806891324293,124.623038060664,0,0,0,1.02308755611444e-15,1,0,0
0.0072,1.33758228696054,0.00366823753896174,0.546947037739778,126.096943704761,0,0,0,1.02308755611444e-15,1,0,0
0.0073,1.35871458178845,0.00380305538461865,0.558775689480821,127.496193066784,0,0,0,1.02308755611444e-15,1,0,0
0.0074,1.37948180738224,0.00393996829618866,0.570281173306016,128.820040076496,0,0,0,1.02308755611444e-15,1,0,0
0.0075,1.39987334995389,0.00407893923316114,0.581452134617116,130.068035251982,0,0,0,1.02308755611444e-15,1,0,0
0.0076,1.41987894689447,0.00421993011107302,0.592277549115935,131.240028903146,0,0,0,1.02308755611444e-15,1,0,0
0.0077,1.43948869687312,0.00436290183640822,0.602746733601284,132.336171793389,0,0,0,1.02308755611444e-15,1,0,0
0.0078,1.45869306969395,0.004507814343936,0.61284935657267,133.356914322629,0,0,0,1.02308755611444e-15,1,0,0
0.0079,1.47748291452104,0.00465462663728593,0.622575447266754,134.303000953918,0,0,0,1.02308755611444e-15,1,0,0
0.008,1.49584947145359,0.00480329682066263,0.631915407866842,135.175475395897,0,0,0,1.02308755611444e-15,1,0,0
0.0081,1.51378437697904,0.00495378214658935,0.640860019910829,135.97566620214,0,0,0,1.02308755611444e-15,1,0,0
0.0082,1.53127967613494,0.00510603904651646,0.64940045706527,136.705193644722,0,0,0,1.02308755611444e-15,1,0,0
0.0083,1.54832782638658,0.00526002318141256,0.657528290014832,137.365950998299,0,0,0,1.02308755611444e-15,1,0,0
0.0084,1.56492170899893,0.00541568947466642,0.665235498492257,137.960108790722,0,0,0,1.02308755611444e-15,1,0,0
0.0085,1.58105463247952,0.00557299216281242,0.672514475735765,138.490095436484,0,0,0,1.02308755611444e-15,1,0,0
0.0086,1.59672034219277,0.00573188483220149,0.679358038836797,138.958596395339,0,0,0,1.02308755611444e-15,1,0,0
0.0087,1.6119130244717,0.00589232046759302,0.685759433823555,139.368537338396,0,0,0,1.02308755611444e-15,1,0,0
0.0088,1.62662731323788,0.00605425149431864,0.691712343124248,139.723075457881,0,0,0,1.02308755611444e-15,1,0,0
0.0089,1.64085829601924,0.00621762982298779,0.697210892478999,140.025587966134,0,0,0,1.02308755611444e-15,1,0,0
0.009,1.65460151650375,0.00638240689769412,0.702249654457636,140.279654117075,0,0,0,1.02308755611444e-15,1,0,0
0.0091,1.66785298286841,0.00654853373729954,0.706823657614404,140.489048996102,0,0,0,1.02308755611444e-15,1,0,0
0.0092,1.68060916702251,0.00671596098745077,0.710928386771528,140.65771921553,0,0,0,1.02308755611444e-15,1,0,0
0.0093,1.69286701294268,0.00688463896194706,0.714559792181624,140.789776542788,0,0,0,1.02308755611444e-15,1,0,0
0.0094,1.70462393522154,0.00705451769470186,0.717714289115581,140.88947342764,0,0,0,1.02308755611444e-15,1,0,0
