"time","J1.phi","J1.w","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","clutch1.mode","clutch1.startBackward","clutch1.startForward","clutch2.mode","clutch2.startBackward","clutch2.startForward","clutch3.mode","clutch3.startBackward","clutch3.startForward"
0,0,10,0,-10,0,0,0,0,-1,0,0,2,0,0,2,0,0
0.0005,0.00499875781559302,9.99503926911751,-0.00499750781566428,-9.99003926951037,-1.24999992873702e-06,-0.0049999996071387,2.67923809471451e-22,1.06471880706566e-18,-1,0,0,2,0,0,2,0,0
0.001,0.00999505646586454,9.99015706740006,-0.00999005646670902,-9.98015707023849,-4.99999915552301e-06,-0.00999999716156202,1.07181691018117e-21,2.12715057846063e-18,-1,0,0,2,0,0,2,0,0
0.0015,0.0149889329990672,9.98535336778602,-0.0149776830028691,-9.97035337698561,-1.12499961980784e-05,-0.0149999908004126,2.37766413292815e-21,3.10785630483795e-18,-1,0,0,2,0,0,2,0,0
0.002,0.019980425843913,9.98062811964426,-0.0199604258555169,-9.96062814105417,-1.9999988396157e-05,-0.0199999785900893,4.20731847153228e-21,4.36771414619178e-18,-1,0,0,2,0,0,2,0,0
0.0025,0.0249695766400845,9.97598125215782,-0.0249383266680543,-9.95098129372374,-3.12499720302009e-05,-0.0249999584340832,6.49041212791414e-21,5.25166997146614e-18,-1,0,0,2,0,0,2,0,0
0.003,0.0299564233204495,9.97141267900054,-0.0299114233778269,-9.94141275058037,-4.49999426226584e-05,-0.0299999284201668,9.24685524009774e-21,6.03778686180319e-18,-1,0,0,2,0,0,2,0,0
0.0035,0.0349410040227204,9.96692231288682,-0.0348797541270751,-9.93192242626107,-6.12498956452228e-05,-0.0349998866257468,1.24908901740403e-20,6.94646976650843e-18,-1,0,0,2,0,0,2,0,0
0.004,0.0399233588118172,9.96251001115296,-0.0398433589881046,-9.92251018012883,-7.99998237125809e-05,-0.0399998310241318,1.62058564036069e-20,7.867730504425e-18,-1,0,0,2,0,0,2,0,0
0.0045,0.0449035269261109,9.95817565826579,-0.0448022772052729,-9.91317589863207,-0.000101249720837916,-0.0449997596337109,2.03877562970265e-20,8.82759925436381e-18,-1,0,0,2,0,0,2,0,0
0.005,0.0498815467700521,9.95391900154394,-0.0497565471960666,-9.90391933105669,-0.00012499957398548,-0.0499996704872385,2.51187402702527e-20,9.85392843870307e-18,-1,0,0,2,0,0,2,0,0
0.0055,0.0548574573638096,9.94973988522406,-0.0547062079887088,-9.89474032361798,-0.000151249375100776,-0.0549995616060798,3.04191157650696e-20,1.09712538021871e-17,-1,0,0,2,0,0,2,0,0
0.006,0.0598312976115585,9.94563813235601,-0.0596512984965181,-9.88563870134279,-0.000179999115040385,-0.0599994310132176,3.63220296710041e-20,1.22034069762456e-17,-1,0,0,2,0,0,2,0,0
0.0065,0.0648031062457364,9.9416135404275,-0.064591857462402,-9.87661426369487,-0.000211248783334364,-0.0649992767326262,4.28479648855096e-20,1.35447396102753e-17,-1,0,0,2,0,0,2,0,0
0.007,0.069772921129194,9.93766577865552,-0.0695279227663408,-9.8676666818625,-0.000244998362853148,-0.0699990967930187,4.99469402903841e-20,1.48346400469472e-17,-1,0,0,2,0,0,2,0,0
0.0075,0.0747407813787487,9.93379470122673,-0.0744595335326782,-9.85879581201045,-0.000281247846070517,-0.0749988892162747,5.76705856959768e-20,1.61359577152949e-17,-1,0,0,2,0,0,2,0,0
0.008,0.0797067256666293,9.93000009674756,-0.0793867284445738,-9.85000144472086,-0.000319997222055425,-0.0799986520266965,6.60345051764251e-20,1.74323148365529e-17,-1,0,0,2,0,0,2,0,0
0.0085,0.084670791691755,9.92628161131321,-0.0843095452192976,-9.84128322806123,-0.000361246472457356,-0.0849983832519787,7.50345386051341e-20,1.87198200211154e-17,-1,0,0,2,0,0,2,0,0
0.009,0.0896330162231507,9.92263875486452,-0.0892280206513134,-9.83264067394146,-0.000404995571837276,-0.0899980809230563,8.46476432518864e-20,2.00065113037115e-17,-1,0,0,2,0,0,2,0,0
0.0095,0.0945934384944992,9.91907139821555,-0.0941421939809551,-9.82407365515327,-0.000451244513544062,-0.0949977430622751,9.49008241781664e-20,2.12688081268371e-17,-1,0,0,2,0,0,2,0,0
0.01,0.0995520967317661,9.91557926463122,-0.0990521034485212,-9.81558189693573,-0.000499993283244835,-0.0999973676954927,1.05800623555559e-19,2.2496057731591e-17,-1,0,0,2,0,0,2,0,0
0.0105,0.104509027004869,9.91216181768723,-0.103957785151949,-9.80716486483678,-0.000551241852919879,-0.104996952850456,1.17338186444866e-19,2.37295962796579e-17,-1,0,0,2,0,0,2,0,0
