"time","bearingFriction.phi","bearingFriction.w","gear2_1.phi_rel","gear2_1.w_rel","gear2_2.phi_rel","gear2_2.w_rel","inertia1.phi","inertia1.w","inertia11.phi","inertia11.w","inertia2.phi","inertia2.w","inertia20.phi","inertia20.w","inertia21.phi","inertia21.w","inertia3.phi","inertia3.w","inertia5.phi","inertia5.w","inertia7.phi","inertia7.w","inertia9.phi","inertia9.w","position.phi","position.w","position1.phi","position1.w","position2.phi","position2.w","position3.phi","position3.w","position4.phi","position4.w","position5.phi","position5.w","slidingMass.s","slidingMass.v","slidingMass1.s","slidingMass1.v","bearingFriction.mode","bearingFriction.startBackward","bearingFriction.startForward","bearingFriction1.mode","bearingFriction1.startBackward","bearingFriction1.startForward","brake.mode","brake.startBackward","brake.startForward","brake1.mode","brake1.startBackward","brake1.startForward","gear2_1.lossyGear.mode","gear2_2.lossyGear.mode","lossyGear.mode","lossyGear1.mode"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,2
1.59154943091987e-11,0,0,0,0,0,0,0,0,0,0,0,0,3.18310018014863e-18,3.18310018014858e-11,3.18310018014863e-18,3.18310018014858e-11,0,0,0,0,0,0,0,0,1.59691282214952e-19,1.59691282214934e-12,1.59691282214952e-19,1.59691282214934e-12,3.14149396064824e-22,3.14149396064528e-15,3.14149396064824e-22,3.14149396064528e-15,1.00000000000006e-24,1.00000000000045e-17,1.00000000000006e-24,1.00000000000045e-17,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,2
1.59154943091987e-11,0,0,0,0,0,0,0,0,0,0,0,0,3.18310018014863e-18,3.18310018014858e-11,3.18310018014863e-18,3.18310018014858e-11,0,0,0,0,0,0,0,0,1.59691282214952e-19,1.59691282214934e-12,1.59691282214952e-19,1.59691282214934e-12,3.14149396064824e-22,3.14149396064528e-15,3.14149396064824e-22,3.14149396064528e-15,1.00000000000006e-24,1.00000000000045e-17,1.00000000000006e-24,1.00000000000045e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
0.0001,0,0,0,0,0,0,0,0,0,0,0,0,1.00015469008381e-08,0.000200041419268724,1.00015469008381e-08,0.000200041419268724,0,0,0,0,0,0,0,0,1.67443875913519e-07,0.00490064164721985,1.67443875913519e-07,0.00490064164721985,3.32735412051263e-10,9.76520915888882e-06,3.32735412051263e-10,9.76520915888882e-06,1.06803828003321e-12,3.14163615713191e-08,1.06803828003321e-12,3.14163615713191e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
0.0002,0,0,0,0,0,0,0,0,0,0,0,0,4.00112051965118e-08,0.000400165686019868,4.00112051965118e-08,0.000400165686019868,0,0,0,0,0,0,0,0,1.29392849849569e-06,0.019162487851405,1.29392849849569e-06,0.019162487851405,2.59534641387389e-09,3.86631952238432e-05,2.59534641387389e-09,3.86631952238432e-05,8.39501887306034e-12,1.25664119125907e-07,8.39501887306034e-12,1.25664119125907e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
0.0003,0,0,0,0,0,0,0,0,0,0,0,0,9.00374371522661e-08,0.000600372817174272,9.00374371522661e-08,0.000600372817174272,0,0,0,0,0,0,0,0,4.28649190331168e-06,0.0421350038476682,4.28649190331168e-06,0.0421350038476682,8.67895806814706e-09,8.60999727794481e-05,8.67895806814706e-09,8.60999727794481e-05,2.82898969272554e-11,2.82743683426685e-07,2.82898969272554e-11,2.82743683426685e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
0.0004,0,0,0,0,0,0,0,0,0,0,0,0,1.60088528861355e-07,0.000800662828976458,1.60088528861355e-07,0.000800662828976458,0,0,0,0,0,0,0,0,9.98625315802877e-06,0.0731996047637528,9.98625315802877e-06,0.0731996047637528,2.04097849998725e-08,0.000151501798603014,2.04097849998725e-08,0.000151501798603014,6.70362452108454e-11,5.02654987699522e-07,6.70362452108454e-11,5.02654987699522e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
0.0005,0,0,0,0,0,0,0,0,0,0,0,0,2.50172766205777e-07,0.00100103573765685,2.50172766205777e-07,0.00100103573765685,0,0,0,0,0,0,0,0,1.91737538417889e-05,0.111766739189803,1.91737538417889e-05,0.111766739189803,3.95569934582407e-08,0.000234312845194203,3.95569934582407e-08,0.000234312845194203,1.30915298851597e-10,7.85397944309911e-07,1.30915298851597e-10,7.85397944309911e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
0.0006,0,0,0,0,0,0,0,0,0,0,0,0,3.6029843952559e-07,0.00120149155943913,3.6029843952559e-07,0.00120149155943913,0,0,0,0,0,0,0,0,3.25706725131364e-05,0.157275235213372,3.25706725131364e-05,0.157275235213372,6.78341450682275e-08,0.000333994746369795,6.78341450682275e-08,0.000333994746369795,2.26209959741037e-10,1.13097244209776e-06,2.26209959741037e-10,1.13097244209776e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
0.0007,0,0,0,0,0,0,0,0,0,0,0,0,4.90473841455833e-07,0.00140203031053491,4.90473841455833e-07,0.00140203031053491,0,0,0,0,0,0,0,0,5.08435027721231e-05,0.209190912812032,5.08435027721231e-05,0.209190912812032,1.06901532074352e-07,0.000450025863132032,1.06901532074352e-07,0.000450025863132032,3.59203650548262e-10,1.53937834480755e-06,3.59203650548262e-10,1.53937834480755e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
