"time","limit_a.y","limit_v.y","positionSmoothed.y"
0,0,0,0
0.0005,0,0,0
0.001,0,0,0
0.0015,0,0,0
0.002,0,0,0
0.0025,0,0,0
0.003,0,0,0
0.0035,0,0,0
0.004,0,0,0
0.0045,0,0,0
0.005,0,0,0
0.0055,0,0,0
0.006,0,0,0
0.0065,0,0,0
0.007,0,0,0
0.0075,0,0,0
0.008,0,0,0
0.0085,0,0,0
0.009,0,0,0
0.0095,0,0,0
0.01,0,0,0
0.0105,0,0,0
0.011,0,0,0
0.0115,0,0,0
0.012,0,0,0
0.0125,0,0,0
0.013,0,0,0
0.0135,0,0,0
0.014,0,0,0
0.0145,0,0,0
0.015,0,0,0
0.0155,0,0,0
0.016,0,0,0
0.0165,0,0,0
0.017,0,0,0
0.0175,0,0,0
0.018,0,0,0
0.0185,0,0,0
0.019,0,0,0
0.0195,0,0,0
0.02,0,0,0
0.0205,0,0,0
0.021,0,0,0
0.0215,0,0,0
0.022,0,0,0
0.0225,0,0,0
0.023,0,0,0
0.0235,0,0,0
0.024,0,0,0
0.0245,0,0,0
0.025,0,0,0
0.0255,0,0,0
0.026,0,0,0
0.0265,0,0,0
0.027,0,0,0
0.0275,0,0,0
0.028,0,0,0
0.0285,0,0,0
0.029,0,0,0
0.0295,0,0,0
0.03,0,0,0
0.0305,0,0,0
0.031,0,0,0
0.0315,0,0,0
0.032,0,0,0
0.0325,0,0,0
0.033,0,0,0
0.0335,0,0,0
0.034,0,0,0
0.0345,0,0,0
0.035,0,0,0
0.0355,0,0,0
0.036,0,0,0
0.0365,0,0,0
0.037,0,0,0
0.0375,0,0,0
0.038,0,0,0
0.0385,0,0,0
0.039,0,0,0
0.0395,0,0,0
0.04,0,0,0
0.0405,0,0,0
0.041,0,0,0
0.0415,0,0,0
0.042,0,0,0
0.0425,0,0,0
0.043,0,0,0
0.0435,0,0,0
0.044,0,0,0
0.0445,0,0,0
0.045,0,0,0
0.0455,0,0,0
0.046,0,0,0
0.0465,0,0,0
0.047,0,0,0
0.0475,0,0,0
0.048,0,0,0
0.0485,0,0,0
0.049,0,0,0
0.0495,0,0,0
0.05,0,0,0
0.0505,0,0,0
0.051,0,0,0
0.0515,0,0,0
0.052,0,0,0
0.0525,0,0,0
0.053,0,0,0
0.0535,0,0,0
0.054,0,0,0
0.0545,0,0,0
0.055,0,0,0
0.0555,0,0,0
0.056,0,0,0
0.0565,0,0,0
0.057,0,0,0
0.0575,0,0,0
0.058,0,0,0
0.0585,0,0,0
0.059,0,0,0
0.0595,0,0,0
0.06,0,0,0
0.0605,0,0,0
0.061,0,0,0
0.0615,0,0,0
0.062,0,0,0
0.0625,0,0,0
0.063,0,0,0
0.0635,0,0,0
0.064,0,0,0
0.0645,0,0,0
0.065,0,0,0
0.0655,0,0,0
0.066,0,0,0
0.0665,0,0,0
0.067,0,0,0
0.0675,0,0,0
0.068,0,0,0
0.0685,0,0,0
0.069,0,0,0
0.0695,0,0,0
0.07,0,0,0
0.0705,0,0,0
0.071,0,0,0
0.0715,0,0,0
0.072,0,0,0
0.0725,0,0,0
0.073,0,0,0
0.0735,0,0,0
0.074,0,0,0
0.0745,0,0,0
0.075,0,0,0
0.0755,0,0,0
0.076,0,0,0
0.0765,0,0,0
0.077,0,0,0
0.0775,0,0,0
0.078,0,0,0
0.0785,0,0,0
0.079,0,0,0
0.0795,0,0,0
0.08,0,0,0
0.0805,0,0,0
0.081,0,0,0
0.0815,0,0,0
0.082,0,0,0
0.0825,0,0,0
0.083,0,0,0
0.0835,0,0,0
0.084,0,0,0
0.0845,0,0,0
0.085,0,0,0
0.0855,0,0,0
0.086,0,0,0
0.0865,0,0,0
0.087,0,0,0
0.0875,0,0,0
0.088,0,0,0
0.0885,0,0,0
0.089,0,0,0
0.0895,0,0,0
0.09,0,0,0
0.0905,0,0,0
0.091,0,0,0
0.0915,0,0,0
0.092,0,0,0
0.0925,0,0,0
0.093,0,0,0
0.0935,0,0,0
0.094,0,0,0
0.0945,0,0,0
0.095,0,0,0
0.0955,0,0,0
0.096,0,0,0
0.0965,0,0,0
0.097,0,0,0
0.0975,0,0,0
0.098,0,0,0
0.0985,0,0,0
0.099,0,0,0
0.0995,0,0,0
0.1,0,0,0
0.1,0,0,0
0.1005,0.0100000000000002,0.00100000000000002,2.50000051564524e-06
0.101,0.0200000000000001,0.00200000000000001,1.00000005720863e-05
0.1015,0.0300000000000001,0.00300000000000001,2.25000006059344e-05
0.102,0.0400000000000001,0.00400000000000001,4.00000006353294e-05
0.1025,0.0500000000000001,0.00500000000000001,6.25000006547691e-05
0.103,0.0600000000000002,0.00600000000000002,9.00000006685034e-05
0.1035,0.0700000000000002,0.00700000000000002,0.000122500000685214
0.104,0.0800000000000002,0.00800000000000002,0.000160000000699556
0.1045,0.0899999999999999,0.00899999999999999,0.00020250000071153
0.105,0.1,0.01,0.000250000000721136
0.1055,0.11,0.011,0.000302500000728374
0.106,0.12,0.012,0.000360000000737015
0.1065,0.13,0.013,0.000422500000746299
0.107,0.14,0.014,0.000490000000754899
0.1075,0.15,0.015,0.000562500000762814
0.108,0.16,0.016,0.000640000000770045
0.1085,0.17,0.017,0.000722500000776591
0.109,0.18,0.018,0.000810000000782452
0.1095,0.19,0.019,0.000902500000787629
0.11,0.2,0.02,0.00100000000079212
0.1105,0.21,0.021,0.00110250000079593
0.111,0.22,0.022,0.00121000000079905
0.1115,0.23,0.023,0.00132250000080273
0.112,0.24,0.024,0.00144000000080786
0.1125,0.25,0.025,0.00156250000081282
0.113,0.26,0.026,0.00169000000081761
0.1135,0.27,0.027,0.00182250000082224
0.114,0.28,0.028,0.00196000000082669
0.1145,0.29,0.029,0.00210250000083097
0.115,0.3,0.03,0.00225000000083509
0.1155,0.31,0.031,0.00240250000083903
0.116,0.32,0.032,0.0025600000008428
0.1165,0.33,0.033,0.00272250000084641
0.117,0.34,0.034,0.00289000000084984
0.1175,0.35,0.035,0.00306250000085311
0.118,0.36,0.036,0.00324000000085621
0.1185,0.37,0.037,0.00342250000085913
0.119,0.38,0.038,0.00361000000086189
0.1195,0.39,0.039,0.00380250000086448
0.12,0.4,0.04,0.00400000000086689
0.1205,0.41,0.041,0.00420250000086914
0.121,0.42,0.042,0.00441000000087122
0.1215,0.43,0.043,0.00462250000087313
0.122,0.44,0.044,0.00484000000087486
0.1225,0.45,0.045,0.00506250000087643
0.123,0.46,0.046,0.00529000000087901
0.1235,0.47,0.047,0.00552250000088178
0.124,0.48,0.048,0.00576000000088451
0.1245,0.49,0.049,0.00600250000088718
0.125,0.5,0.05,0.00625000000088981
0.1255,0.51,0.051,0.0065025000008924
0.126,0.52,0.052,0.00676000000089493
0.1265,0.53,0.053,0.00702250000089742
0.127,0.54,0.054,0.00729000000089986
0.1275,0.55,0.055,0.00756250000090225
0.128,0.56,0.056,0.00784000000090459
0.1285,0.570000000000001,0.0570000000000001,0.00812250000090689
0.129,0.580000000000001,0.0580000000000001,0.00841000000090914
0.1295,0.590000000000001,0.0590000000000001,0.00870250000091134
0.13,0.600000000000001,0.0600000000000001,0.0090000000009135
0.1305,0.610000000000001,0.0610000000000001,0.0093025000009156
