"time","wheelSet.der_theta1","wheelSet.der_theta2","wheelSet.phi","wheelSet.theta1","wheelSet.theta2","wheelSet.x","wheelSet.y"
0,0,0,0,0,0,0.1,0.1
0.0006,-0.00723859696970714,-0.0726456795742382,-3.92563026048395e-06,-2.16491395362084e-06,-2.17930652560406e-05,0.0999988021010395,0.100000000003967
0.0012,-0.0147508779703291,-0.145316834534723,-1.56775756520587e-05,-8.79721536217414e-06,-8.71850936224678e-05,0.0999952008845514,0.100000000063496
0.0018,-0.0225367449464697,-0.218012550390197,-3.52293937764827e-05,-2.00422454114603e-05,-0.000196189214293874,0.0999891884270195,0.100000000270115
0.0024,-0.0305961013920808,-0.290731955091863,-6.25557997675362e-05,-3.60385108996355e-05,-0.000348817509737317,0.0999807571989887,0.100000000755442
0.003,-0.0389288286154547,-0.363474000856584,-9.76263436286648e-05,-5.69523457639313e-05,-0.000545084063907256,0.099969898179583,0.100000001718172
0.0036,-0.0475348078006569,-0.436237673492654,-0.000140411451715569,-8.29446301243281e-05,-0.000785001888702174,0.099956602674238,0.100000003408912
0.0042,-0.0564139145228283,-0.509021969858669,-0.000190881705503599,-0.000114174283948286,-0.00106858281146629,0.0999408621456833,0.100000006178287
0.0048,-0.0655660394754293,-0.581825999356659,-0.000249011015168729,-0.000150782432713282,-0.00139583750855697,0.0999226690039021,0.100000010320345
0.0054,-0.074991039254301,-0.65464864840183,-0.000314766581653361,-0.000192945325764576,-0.00176677823403143,0.0999020138239279,0.100000016303367
0.006,-0.0846887695053093,-0.727488797554134,-0.000388115428290904,-0.000240840133027466,-0.002181417274482,0.0998788871331427,0.100000024601027
0.0066,-0.0946590964826782,-0.800345426705116,-0.000469027442191943,-0.000294628232143457,-0.00263976544310309,0.0998532803222556,0.100000035677843
0.0072,-0.104901862328009,-0.873217468087584,-0.000557470620849262,-0.000354477973095699,-0.00314183107734186,0.0998251845575241,0.100000050287042
0.0078,-0.11541693084413,-0.946103862831971,-0.000653413779628775,-0.000420556949646027,-0.00368762584778971,0.0997945908759294,0.100000068871482
0.0084,-0.126204119226997,-1.01900361511896,-0.000756826142494138,-0.000493021032012091,-0.00427715174448253,0.099761491386522,0.100000092668701
0.009,-0.137263277680489,-1.09191567476572,-0.000867676387873147,-0.000572035970440129,-0.00491041790980555,0.0997258773453023,0.10000012233844
0.0096,-0.148594251340915,-1.16483899993561,-0.000985933277947402,-0.000657765998337538,-0.00558743238807419,0.0996877401392359,0.100000158629146
0.0102,-0.16019688368097,-1.23777255153196,-0.0011115656023938,-0.000750374851152985,-0.00630820286312159,0.0996470711982823,0.100000202318387
0.0108,-0.172071009473994,-1.31071528842296,-0.00124454186764505,-0.000850026324356767,-0.00707273566258156,0.0996038620179491,0.100000254312274
0.0114,-0.184216420540617,-1.38366615942849,-0.00138482918162724,-0.000956884509773532,-0.00788103041790922,0.099558104417383,0.100000316151577
