"time","v[1].re","v[1].im","v[2].re","v[2].im","v[3].re","v[3].im"
0,7,-4.8,-7.65692193816531,-3.66217782649107,0.656921938165302,8.46217782649107
0.0002,7,-4.79169277955271,-7.64972767422312,-3.66633143671471,0.649727674223116,8.45802421626743
0.0004,7,-4.78341103668262,-7.64255547451,-3.67047230814976,0.642555474509999,8.45388334483238
0.0006,7,-4.77515464968153,-7.63540523362358,-3.67460050165031,0.635405233623582,8.44975515133184
0.0008,7,-4.76692349761526,-7.62827684683178,-3.67871607768344,0.628276846831781,8.4456395752987
0.001,7,-4.75871746031746,-7.62117021006749,-3.68281909633234,0.621170210067484,8.4415365566498
0.0012,7,-4.75053641838352,-7.61408521992327,-3.68690961729931,0.614085219923264,8.43744603568283
0.0014,7,-4.74238025316456,-7.60702177364618,-3.69098769990879,0.60702177364618,8.43336795307335
0.0016,7,-4.73424884676145,-7.5999797691326,-3.69505340311035,0.599979769132597,8.4293022498718
0.0018,7,-4.72614208201893,-7.59295910492307,-3.69910678548161,0.592959104923065,8.42524886750053
0.002,7,-4.71805984251968,-7.58595968019725,-3.70314790523123,0.585959680197251,8.42120774775091
0.0022,7,-4.71000201257862,-7.57898139476891,-3.70717682020176,0.578981394768911,8.41717883278038
0.0024,7,-4.70196847723705,-7.57202414908092,-3.71119358787255,0.572024149080914,8.4131620651096
0.0026,7,-4.69395912225705,-7.56508784420031,-3.71519826536255,0.56508784420031,8.4091573876196
0.0028,7,-4.68597383411581,-7.55817238181345,-3.71919090943317,0.558172381813451,8.40516474354897
0.003,7,-4.6780125,-7.55127766422115,-3.72317157649107,0.551277664221147,8.40118407649107
0.0032,7,-4.67007500780031,-7.54440359433388,-3.72714032259092,0.544403594333877,8.39721533039123
0.0034,7,-4.66216124610592,-7.53755007566704,-3.73109720343811,0.537550075667036,8.39325844954403
0.0036,7,-4.65427110419907,-7.53071701233624,-3.73504227439154,0.530717012336238,8.3893133785906
0.0038,7,-4.64640447204969,-7.52390430905265,-3.73897559046623,0.52390430905265,8.38538006251592
0.004,7,-4.63856124031008,-7.51711187111838,-3.74289720633603,0.517111871118377,8.38145844664611
0.0042,7,-4.6307413003096,-7.51033960442189,-3.74680717633627,0.510339604421892,8.37754847664587
0.0044,7,-4.62294454404946,-7.5035874154335,-3.75070555446634,0.503587415433497,8.3736500985158
0.0046,7,-4.61517086419753,-7.49685521120084,-3.75459239439231,0.496855211200839,8.36976325858984
0.0048,7,-4.6074201540832,-7.49014289934447,-3.75846774944947,0.490142899344464,8.36588790353267
0.005,7,-4.59969230769231,-7.48345038805341,-3.76233167264492,0.483450388053403,8.36202398033723
0.0052,7,-4.59198721966206,-7.47677758608081,-3.76618421666004,0.476777586080812,8.3581714363221
0.0054,7,-4.58430478527607,-7.47012440273964,-3.77002543385304,0.470124402739643,8.35433021912911
0.0056,7,-4.57664490045942,-7.46349074789836,-3.77385537626136,0.463490747898357,8.35050027672078
0.0058,7,-4.5690074617737,-7.45687653197668,-3.77767409560422,0.456876531976678,8.34668155737792
0.006,7,-4.56139236641221,-7.45028166594139,-3.78148164328496,0.45028166594139,8.34287400969718
0.0062,7,-4.55379951219512,-7.44370606130216,-3.78527807039351,0.443706061302156,8.33907758258863
0.0064,7,-4.54622879756469,-7.4371496301074,-3.78906342770873,0.437149630107398,8.33529222527341
0.0066,7,-4.53868012158055,-7.4306122849402,-3.7928377657008,0.430612284940194,8.33151788728134
0.0068,7,-4.53115338391502,-7.42409393891423,-3.79660113453356,0.42409393891423,8.32775451844858
0.007,7,-4.52364848484848,-7.41759450566977,-3.80035358406683,0.417594505669769,8.32400206891531
0.0072,7,-4.51616532526475,-7.41111389936968,-3.8040951638587,0.411113899369682,8.32026048912345
0.0074,7,-4.50870380664652,-7.40465203469549,-3.80782592316781,0.404652034695489,8.31652972981433
0.0076,7,-4.50126383107089,-7.39820882684346,-3.81154591095563,0.398208826843453,8.31280974202651
0.0078,7,-4.49384530120482,-7.3917841915207,-3.81525517588866,0.391784191520703,8.30910047709348
0.008,7,-4.48644812030075,-7.38537804494139,-3.8189537663407,0.38537804494139,8.30540188664145
0.0082,7,-4.47907219219219,-7.37899030382289,-3.82264173039498,0.378990303822891,8.30171392258717
0.0084,7,-4.47171742128935,-7.37262088538202,-3.82631911584639,0.372620885382018,8.29803653713575
