"time","p1.s","p1.v","p2.s","p2.v"
0,0.1,0,0.1,0
0.001,0.100004903301173,0.0098065884653013,0.100004903301173,0.0098065884653013
0.002,0.100019612907952,0.0196128077361982,0.100019612907952,0.0196128077361982
0.003,0.100044128302502,0.0294183973196014,0.100044128302502,0.0294183973196014
0.004,0.100078448782109,0.0392231080718425,0.100078448782109,0.0392231080718425
0.005,0.100122573301902,0.0490266422045928,0.100122573301902,0.0490266422045928
0.006,0.100176500570143,0.0588287139536504,0.100176500570143,0.0588287139536504
0.007,0.10024022879697,0.0686290348737451,0.10024022879697,0.0686290348737451
0.008,0.10031375650027,0.0784273529904264,0.10031375650027,0.0784273529904264
0.009,0.100397081236821,0.0882233478055339,0.100397081236821,0.0882233478055339
0.01,0.100490200677625,0.0980167057235997,0.100490200677625,0.0980167057235997
0.011,0.100593112332608,0.107807135482712,0.100593112332608,0.107807135482712
0.012,0.100705812422804,0.11759433459069,0.100705812422804,0.11759433459069
0.013,0.100828298660685,0.127378002260899,0.100828298660685,0.127378002260899
0.014,0.100960564385385,0.137157859833,0.100960564385385,0.137157859833
0.015,0.101102606659896,0.146933607028076,0.101102606659896,0.146933607028076
0.016,0.101254421514346,0.156704949563413,0.101254421514346,0.156704949563413
0.017,0.101416004978865,0.166471593156295,0.101416004978865,0.166471593156295
0.018,0.101587352056885,0.17623324323913,0.101587352056885,0.17623324323913
0.019,0.101768455455784,0.185989604607229,0.101768455455784,0.185989604607229
0.02,0.101959312437784,0.195740383319752,0.101959312437784,0.195740383319752
0.021,0.10215991843553,0.205485284928199,0.10215991843553,0.205485284928199
0.022,0.10237026888167,0.215224014984069,0.10237026888167,0.215224014984069
0.023,0.102590348525305,0.224956293854736,0.102590348525305,0.224956293854736
0.024,0.102820145648854,0.234681837007591,0.102820145648854,0.234681837007591
0.025,0.103059659766674,0.244400344333644,0.103059659766674,0.244400344333644
0.026,0.103308884121448,0.25411152442142,0.103308884121448,0.25411152442142
0.027,0.103567811955862,0.263815085859446,0.103567811955862,0.263815085859446
0.028,0.103836436512599,0.273510737236245,0.103836436512599,0.273510737236245
0.029,0.104114751034344,0.283198187140345,0.104114751034344,0.283198187140345
0.03,0.104402748763781,0.292877144160269,0.104402748763781,0.292877144160269
0.031,0.104700422943596,0.302547316884545,0.104700422943596,0.302547316884545
0.032,0.105007764228691,0.312208415003183,0.105007764228691,0.312208415003183
0.033,0.105324740927902,0.321860157717785,0.105324740927902,0.321860157717785
0.034,0.105651363904108,0.331502246116852,0.105651363904108,0.331502246116852
0.035,0.105987625297258,0.34113438925829,0.105987625297258,0.34113438925829
0.036,0.1063335172473,0.350756296200001,0.1063335172473,0.350756296200001
0.037,0.106689031894184,0.360367675999889,0.106689031894184,0.360367675999889
0.038,0.107054161377858,0.36996823771586,0.107054161377858,0.36996823771586
0.039,0.107428897838271,0.379557690405817,0.107428897838271,0.379557690405817
0.04,0.107813233415372,0.389135743127664,0.107813233415372,0.389135743127664
0.041,0.108207104243038,0.39870216082567,0.108207104243038,0.39870216082567
0.042,0.108610524545013,0.408256630521143,0.108610524545013,0.408256630521143
0.043,0.109023494759308,0.417798852991665,0.109023494759308,0.417798852991665
0.044,0.109446004583287,0.427328539732501,0.109446004583287,0.427328539732501
0.045,0.109878043714316,0.436845402238919,0.109878043714316,0.436845402238919
