"time","dcee.airGapDC.psi_e","dcee.la.i","loadInertia.phi","loadInertia.w"
0,0,0,0,0
5e-05,0.00498752657806993,0,0,0
0.0001,0.0099501871405003,0,0,0
0.00015,0.0148881377220784,0,0,0
0.0002,0.0198014662372534,0,0,0
0.00025,0.0246902807916466,0,0,0
0.0003,0.0295547110654762,0,0,0
0.00035,0.0343948783753119,0,0,0
0.0004,0.0392109041963475,0,0,0
0.00045,0.0440029015947295,0,0,0
0.0005,0.048770975699025,0,0,0
0.00055,0.0535152541705604,0,0,0
0.0006,0.0582358684467587,0,0,0
0.00065,0.0629329352396095,0,0,0
0.0007,0.0676065719443338,0,0,0
0.00075,0.0722569011133247,0,0,0
0.0008,0.076884034658635,0,0,0
0.00085,0.0814880918236444,0,0,0
0.0009,0.0860691872932685,0,0,0
0.00095,0.0906274338981165,0,0,0
0.001,0.0951629480467341,0,0,0
0.00105,0.0996758416773623,0,0,0
0.0011,0.104166228586657,0,0,0
0.00115,0.108634221345224,0,0,0
0.0012,0.113079931985113,0,0,0
0.00125,0.117503470575512,0,0,0
0.0013,0.1219049459067,0,0,0
0.00135,0.126284468207493,0,0,0
0.0014,0.130642146053218,0,0,0
0.00145,0.13497808730217,0,0,0
0.0015,0.139292403812373,0,0,0
0.00155,0.143585203039997,0,0,0
0.0016,0.14785659135847,0,0,0
0.00165,0.152106675584152,0,0,0
0.0017,0.156335562022739,0,0,0
0.00175,0.160543356418773,0,0,0
0.0018,0.164730164076721,0,0,0
0.00185,0.168896089765723,0,0,0
0.0019,0.173041237744864,0,0,0
0.00195,0.177165711639344,0,0,0
0.002,0.181269614361102,0,0,0
0.00205,0.185353048706255,0,0,0
0.0021,0.189416116782746,0,0,0
0.00215,0.193458920176016,0,0,0
0.0022,0.197481559949005,0,0,0
0.00225,0.201484136642151,0,0,0
0.0023,0.205466750273395,0,0,0
0.00235,0.209429500338171,0,0,0
0.0024,0.213372485809418,0,0,0
0.00245,0.217295806927642,0,0,0
0.0025,0.221199560903499,0,0,0
0.00255,0.225083845164326,0,0,0
0.0026,0.228948756795818,0,0,0
0.00265,0.232794392376748,0,0,0
0.0027,0.23662084797897,0,0,0
0.00275,0.240428219167419,0,0,0
0.0028,0.244216601000109,0,0,0
0.00285,0.247986088028134,0,0,0
0.0029,0.251736775425592,0,0,0
0.00295,0.255468757669309,0,0,0
0.003,0.259182126882074,0,0,0
0.00305,0.262876975778867,0,0,0
0.0031,0.266553396580575,0,0,0
0.00315,0.27021148101399,0,0,0
0.0032,0.273851320311811,0,0,0
0.00325,0.277473005212644,0,0,0
0.0033,0.281076625961001,0,0,0
0.00335,0.284662272415766,0,0,0
0.0034,0.288230039520272,0,0,0
0.00345,0.291780012477686,0,0,0
0.0035,0.295312279918678,0,0,0
0.00355,0.298826930002948,0,0,0
0.0036,0.302324050419227,0,0,0
0.00365,0.305803728385275,0,0,0
0.0037,0.309266050647882,0,0,0
0.00375,0.31271110348287,0,0,0
0.0038,0.316138972695087,0,0,0
0.00385,0.319549746950995,0,0,0
0.0039,0.322943511917087,0,0,0
0.00395,0.326320350406362,0,0,0
0.004,0.329680346733766,0,0,0
0.00405,0.333023584767533,0,0,0
0.0041,0.336350147929189,0,0,0
0.00415,0.339660119193545,0,0,0
0.0042,0.342953581088701,0,0,0
0.00425,0.346230615696047,0,0,0
0.0043,0.349491305326274,0,0,0
0.00435,0.352735735453846,0,0,0
0.0044,0.35596398394316,0,0,0
0.00445,0.359176131422949,0,0,0
0.0045,0.362372258096377,0,0,0
0.00455,0.365552443741047,0,0,0
0.0046,0.368716767708992,0,0,0
0.00465,0.371865308926685,0,0,0
0.0047,0.374998145895028,0,0,0
0.00475,0.378115356689363,0,0,0
0.0048,0.381217021380501,0,0,0
0.00485,0.384303217071246,0,0,0
0.0049,0.387374020098225,0,0,0
0.00495,0.390429507203353,0,0,0
0.005,0.393469754742754,0,0,0
0.00505,0.39649483868861,0,0,0
0.0051,0.399504834630999,0,0,0
0.00515,0.402499817779738,0,0,0
0.0052,0.405479862966229,0,0,0
0.00525,0.408445044834759,0,0,0
0.0053,0.411395437984606,0,0,0
0.00535,0.414331115791214,0,0,0
0.0054,0.417252151669323,0,0,0
0.00545,0.420158618673168,0,0,0
0.0055,0.423050589498735,0,0,0
0.00555,0.425928136486012,0,0,0
0.0056,0.42879133162125,0,0,0
0.00565,0.431640246539208,0,0,0
0.0057,0.434474952525415,0,0,0
0.00575,0.437295519957932,0,0,0
0.0058,0.44010201960634,0,0,0
0.00585,0.442894521746112,0,0,0
0.0059,0.445673096216769,0,0,0
0.00595,0.4484378125122,0,0,0
0.006,0.45118873978257,0,0,0
0.00605,0.453925946836211,0,0,0
0.0061,0.456649502141535,0,0,0
0.00615,0.459359473828924,0,0,0
0.0062,0.462055929498132,0,0,0
0.00625,0.464738936353629,0,0,0
0.0063,0.467408561708715,0,0,0
0.00635,0.470064872306151,0,0,0
0.0064,0.472707934554185,0,0,0
0.00645,0.475337814528173,0,0,0
0.0065,0.477954577972197,0,0,0
0.00655,0.480558290300687,0,0,0
0.0066,0.483149016600039,0,0,0
0.00665,0.485726821630233,0,0,0
0.0067,0.488291769878561,0,0,0
0.00675,0.490843925430529,0,0,0
0.0068,0.49338335208006,0,0,0
0.00685,0.495910113303384,0,0,0
0.0069,0.498424272259021,0,0,0
0.00695,0.500925891789425,0,0,0
0.007,0.503415034422637,0,0,0
