"time","openTank.H","openTank.m"
0,156.575,0.5
0.0003,156.575,0.5
0.0006,156.575,0.5
0.0009,156.575,0.5
0.0012,156.575,0.5
0.0015,156.575,0.5
0.0018,156.575,0.5
0.0021,156.575,0.5
0.0024,156.575,0.5
0.0027,156.575,0.5
0.003,156.575,0.5
0.0033,156.575,0.5
0.0036,156.575,0.5
0.0039,156.575,0.5
0.0042,156.575,0.5
0.0045,156.575,0.5
0.0048,156.575,0.5
0.0051,156.575,0.5
0.0054,156.575,0.5
0.0057,156.575,0.5
0.006,156.575,0.5
0.0063,156.575,0.5
0.0066,156.575,0.5
0.0069,156.575,0.5
0.0072,156.575,0.5
0.0075,156.575,0.5
0.0078,156.575,0.5
0.0081,156.575,0.5
0.0084,156.575,0.5
0.0087,156.575,0.5
0.009,156.575,0.5
0.0093,156.575,0.5
0.0096,156.575,0.5
0.0099,156.575,0.5
0.0102,156.575,0.5
0.0105,156.575,0.5
0.0108,156.575,0.5
0.0111,156.575,0.5
0.0114,156.575,0.5
0.0117,156.575,0.5
0.012,156.575,0.5
0.0123,156.575,0.5
0.0126,156.575,0.5
0.0129,156.575,0.5
0.0132,156.575,0.5
0.0135,156.575,0.5
0.0138,156.575,0.5
0.0141,156.575,0.5
0.0144,156.575,0.5
0.0147,156.575,0.5
0.015,156.575,0.5
0.0153,156.575,0.5
0.0156,156.575,0.5
0.0159,156.575,0.5
0.0162,156.575,0.5
0.0165,156.575,0.5
0.0168,156.575,0.5
0.0171,156.575,0.5
0.0174,156.575,0.5
0.0177,156.575,0.5
0.018,156.575,0.5
0.0183,156.575,0.5
0.0186,156.575,0.5
0.0189,156.575,0.5
0.0192,156.575,0.5
0.0195,156.575,0.5
0.0198,156.575,0.5
0.0201,156.575,0.5
0.0204,156.575,0.5
0.0207,156.575,0.5
0.021,156.575,0.5
0.0213,156.575,0.5
0.0216,156.575,0.5
0.0219,156.575,0.5
0.0222,156.575,0.5
0.0225,156.575,0.5
0.0228,156.575,0.5
0.0231,156.575,0.5
0.0234,156.575,0.5
0.0237,156.575,0.5
0.024,156.575,0.5
0.0243,156.575,0.5
0.0246,156.575,0.5
0.0249,156.575,0.5
0.0252,156.575,0.5
0.0255,156.575,0.5
0.0258,156.575,0.5
0.0261,156.575,0.5
0.0264,156.575,0.5
0.0267,156.575,0.5
0.027,156.575,0.5
0.0273,156.575,0.5
0.0276,156.575,0.5
0.0279,156.575,0.5
0.0282,156.575,0.5
0.0285,156.575,0.5
0.0288,156.575,0.5
0.0291,156.575,0.5
0.0294,156.575,0.5
0.0297,156.575,0.5
0.03,156.575,0.5
0.0303,156.575,0.5
0.0306,156.575,0.5
0.0309,156.575,0.5
0.0312,156.575,0.5
0.0315,156.575,0.5
0.0318,156.575,0.5
0.0321,156.575,0.5
0.0324,156.575,0.5
0.0327,156.575,0.5
0.033,156.575,0.5
0.0333,156.575,0.5
0.0336,156.575,0.5
0.0339,156.575,0.5
0.0342,156.575,0.5
0.0345,156.575,0.5
0.0348,156.575,0.5
0.0351,156.575,0.5
0.0354,156.575,0.5
