"time","firstOrderHold.c","firstOrderHold.firstTrigger","firstOrderHold.pre_uSample","firstOrderHold.tSample","firstOrderHold.uSample","sampler.firstTrigger","sampler.y","stateSpace.firstTrigger","stateSpace.x[1]","stateSpace.x[2]","stateSpace.y[1]","transferFunction.firstTrigger","transferFunction.x[1]","transferFunction.x1","transferFunction.xext[1]","transferFunction.xext[2]","transferFunction.y","triggeredMax.y","triggeredSampler.y","unitDelay.firstTrigger","unitDelay.u","unitDelay.y","zeroOrderHold.firstTrigger","zeroOrderHold.ySample"
0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0
0.00022,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.00414689041717472,0,1,0
0.00044,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.00829370952121187,0,1,0
0.00066,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0124403860002002,0,1,0
0.00088,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0165868485446813,0,1,0
0.0011,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0207330258488754,0,1,0
0.00132,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0248788466119084,0,1,0
0.00154,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0290242395390372,0,1,0
0.00176,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0331691333428763,0,1,0
0.00198,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0373134567446234,0,1,0
0.0022,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0414571384752852,0,1,0
0.00242,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0456001072769034,0,1,0
0.00264,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0497422919037794,0,1,0
0.00286,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0538836211237001,0,1,0
0.00308,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0580240237191626,0,1,0
0.0033,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0621634284885988,0,1,0
0.00352,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0663017642476003,0,1,0
0.00374,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.070438959830142,0,1,0
0.00396,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0745749440898061,0,1,0
0.00418,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0787096459010059,0,1,0
0.0044,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0828429941602084,0,1,0
0.00462,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0869749177871575,0,1,0
0.00484,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0911053457260962,0,1,0
0.00506,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0952342069469884,0,1,0
0.00528,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0993614304467405,0,1,0
0.0055,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.103486945250423,0,1,0
0.00572,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.107610680412488,0,1,0
0.00594,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.111732565017996,0,1,0
0.00616,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.115852528183828,0,1,0
0.00638,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.119970499059908,0,1,0
0.0066,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.124086406830421,0,1,0
0.00682,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.128200180715031,0,1,0
0.00704,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.132311749970099,0,1,0
0.00726,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.136421043889896,0,1,0
0.00748,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.140527991807824,0,1,0
0.0077,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.144632523097627,0,1,0
0.00792,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.148734567174608,0,1,0
0.00814,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.152834053496842,0,1,0
0.00836,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.156930911566389,0,1,0
0.00858,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.161025070930505,0,1,0
0.0088,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.165116461182858,0,1,0
0.00902,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.169205011964734,0,1,0
0.00924,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.173290652966248,0,1,0
0.00946,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.177373313927556,0,1,0
0.00968,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.18145292464006,0,1,0
