"time","pipe1.mediums[1].T","pipe1.mediums[2].T","pipe1.mediums[2].p","pipe10.mediums[1].T","pipe10.mediums[2].T","pipe11.mediums[1].T","pipe11.mediums[2].T","pipe11.mediums[2].p","pipe2.mediums[1].T","pipe2.mediums[2].T","pipe2.mediums[2].p","pipe3.mediums[1].T","pipe3.mediums[2].T","pipe3.mediums[2].p","pipe4.mediums[1].T","pipe4.mediums[1].p","pipe4.mediums[2].T","pipe4.mediums[2].p","pipe5.mediums[1].T","pipe5.mediums[2].T","pipe6.mediums[1].T","pipe6.mediums[2].T","pipe6.mediums[2].p","pipe7.mediums[1].T","pipe7.mediums[1].p","pipe7.mediums[2].T","pipe7.mediums[2].p","pipe8.mediums[1].T","pipe8.mediums[2].T","pipe9.mediums[1].T","pipe9.mediums[2].T"
0,293.15,293.15,247334.02393881,293.15,293.15,293.15,293.15,164377.25643065,293.15,293.15,245513.557029194,293.15,293.15,242470.517847651,293.15,217701.346340964,293.15,198247.004273796,293.15,293.15,293.15,293.15,177017.882278725,293.15,236242.18353832,293.15,199832.622781884,293.15,293.15,293.15,293.15
0.04,293.572492779703,293.169661581559,247341.997780869,293.150048744027,293.150088377832,293.150032108618,293.15194261441,164380.720069256,293.154007842004,293.150875235707,245521.432731229,293.155872452398,293.152148808374,242478.231337241,293.151175162078,217707.715010137,293.150901964706,198252.31332337,293.150017382892,293.150031414299,293.150017382892,293.150031414299,177022.031021654,293.150059586538,236249.553551377,293.150197613793,199838.010606484,293.181117019673,293.181214318615,293.150002383239,293.150097953461
0.08,293.970979949873,293.211423146207,247349.496494719,293.15017112166,293.150176865587,293.150087199887,293.152658251546,164384.028596789,293.168528325815,293.155108768304,245528.845492204,293.175908288862,293.160637362412,242485.501168685,293.153105989574,217713.759924139,293.151914679991,198257.369769941,293.15006116513,293.150062842538,293.15006116513,293.150062842538,177025.990903729,293.150178364479,236256.508819187,293.150392867989,199843.137587444,293.212090097609,293.212428094167,293.150008166453,293.150194268861
0.12,294.345478912099,293.273924434687,247356.472002498,293.150373737678,293.150266746433,293.150151165732,293.152902720371,164387.138659929,293.19766390393,293.166242893185,245535.747758203,293.214046341212,293.180872253895,242492.279001214,293.157290920454,217719.439024194,293.15329257835,198262.121413952,293.150133994382,293.150094449036,293.150133994382,293.150094449036,177029.712100414,293.150478251029,236263.003509452,293.150588484045,199847.949649106,293.242911773006,293.243640621928,293.150017466161,293.150288941075
0.16,294.696803173358,293.355119809448,247362.973338061,293.150667573169,293.150359503713,293.1502184457,293.152986228057,164390.078357486,293.243344826672,293.187524285764,245542.188807802,293.2712184002,293.216504918788,242498.611747602,293.165721835714,217724.802104283,293.155562118019,198266.613684724,293.150240104646,293.150126428374,293.150240104646,293.150126428374,177033.229051573,293.151158047616,236269.090620797,293.150791254648,199852.491552024,293.273579228368,293.274851165172,293.150030384535,293.150382023706
0.2,295.026294502493,293.45251789469,247369.048564794,293.151072515289,293.150456967065,293.150286909072,293.153046697149,164392.873807309,293.306027203066,293.221579611914,245548.216332531,293.346640692381,293.26946056874,242504.544265827,293.180588486539,217729.891253146,293.159527137354,198270.887576299,293.150386955057,293.150159023378,293.150386955057,293.150159023378,177036.573368757,293.152484074343,236274.820014825,293.151013378675,199856.804163083,293.304092679878,293.306058944926,293.150047123545,293.150473611919
0.24,295.335296012685,293.563756295515,247374.737033805,293.151622103602,293.150561431055,293.150356453741,293.153124523463,164395.545047992,293.385128857265,293.270087552072,245553.868952999,293.438646332111,293.340031807565,242510.11265713,293.20391428522,217734.735775358,293.166213350442,198274.973931156,293.150586942286,293.150192540848,293.150586942286,293.150192540848,177039.769130816,293.154766256461,236280.230793167,293.151273362143,199860.918621049,293.334452772557,293.337263177351,293.150068152737,293.150563810818
0.28,295.625109315745,293.686694852104,247380.072344228,293.152367174756,293.150675899773,293.150428202829,293.153207662334,164398.107027687,293.479242254442,293.33360023355,245559.179227259,293.545058447604,293.427072225987,242515.347454801,293.237281942915,217739.355703019,293.176797937507,198278.895272855,293.150858746828,293.150227384209,293.150858746828,293.150227384209,177042.834186596,293.158336105894,236285.353829524,293.151597092709,199864.858151014,293.364660671313,293.368463100543,293.150094348828,293.150652739348
0.32,295.896938095789,293.819430083463,247385.081562039,293.153377365971,293.150804424569,293.150503506771,293.153288003176,164400.570113568,293.586662615398,293.411808787528,245564.173113897,293.663739375796,293.528779296291,242520.273182375,293.281726635852,217743.76429223,293.192493013429,198282.66703861,293.151227945218,293.150264098367,293.151227945218,293.150264098367,177045.780914131,293.163522631881,236290.212004497,293.152017906833,199868.639051908,293.394717615147,293.399657964359,293.150127139588,293.150740534919
0.36,296.151910478761,293.960242395365,247389.786751555,293.154738317048,293.150952238644,293.150583893748,293.153366119139,164402.941567653,293.705638461134,293.503873596226,245568.871600797,293.792727640663,293.643189321083,242524.909813352,293.337800858638,217747.970915836,293.214447883453,198286.299929811,293.151726052789,293.15030338805,293.151726052789,293.15030338805,177048.617998818,293.170635976993,236294.822500218,293.152575268238,199872.272914553,293.424624969161,293.430847030133,293.150168539708,293.150827360611
