"time","dFFREGSRH.dataOut[1]","dFFREGSRH.dataOut[2]"
0,1,1
0.003,1,1
0.006,1,1
0.009,1,1
0.012,1,1
0.015,1,1
0.018,1,1
0.021,1,1
0.024,1,1
0.027,1,1
0.03,1,1
0.033,1,1
0.036,1,1
0.039,1,1
0.042,1,1
0.045,1,1
0.048,1,1
0.051,1,1
0.054,1,1
0.057,1,1
0.06,1,1
0.063,1,1
0.066,1,1
0.069,1,1
0.072,1,1
0.075,1,1
0.078,1,1
0.081,1,1
0.084,1,1
0.087,1,1
0.09,1,1
0.093,1,1
0.096,1,1
0.099,1,1
0.102,1,1
0.105,1,1
0.108,1,1
0.111,1,1
0.114,1,1
0.117,1,1
0.12,1,1
0.123,1,1
0.126,1,1
0.129,1,1
0.132,1,1
0.135,1,1
0.138,1,1
0.141,1,1
0.144,1,1
0.147,1,1
0.15,1,1
0.153,1,1
0.156,1,1
0.159,1,1
0.162,1,1
0.165,1,1
0.168,1,1
0.171,1,1
0.174,1,1
0.177,1,1
0.18,1,1
0.183,1,1
0.186,1,1
0.189,1,1
0.192,1,1
0.195,1,1
0.198,1,1
0.201,1,1
0.204,1,1
0.207,1,1
0.21,1,1
0.213,1,1
0.216,1,1
0.219,1,1
0.222,1,1
0.225,1,1
0.228,1,1
0.231,1,1
0.234,1,1
0.237,1,1
0.24,1,1
0.243,1,1
0.246,1,1
0.249,1,1
0.252,1,1
0.255,1,1
0.258,1,1
0.261,1,1
0.264,1,1
0.267,1,1
0.27,1,1
0.273,1,1
0.276,1,1
0.279,1,1
0.282,1,1
0.285,1,1
0.288,1,1
0.291,1,1
0.294,1,1
0.297,1,1
0.3,1,1
0.303,1,1
0.306,1,1
0.309,1,1
0.312,1,1
0.315,1,1
0.318,1,1
0.321,1,1
0.324,1,1
0.327,1,1
0.33,1,1
0.333,1,1
0.336,1,1
0.339,1,1
0.342,1,1
0.345,1,1
0.348,1,1
0.351,1,1
0.354,1,1
0.357,1,1
0.36,1,1
0.363,1,1
0.366,1,1
0.369,1,1
0.372,1,1
0.375,1,1
0.378,1,1
0.381,1,1
0.384,1,1
0.387,1,1
0.39,1,1
0.393,1,1
0.396,1,1
0.399,1,1
0.402,1,1
0.405,1,1
0.408,1,1
0.411,1,1
0.414,1,1
0.417,1,1
0.42,1,1
0.423,1,1
0.426,1,1
0.429,1,1
0.432,1,1
0.435,1,1
0.438,1,1
0.441,1,1
0.444,1,1
0.447,1,1
0.45,1,1
0.453,1,1
0.456,1,1
0.459,1,1
0.462,1,1
0.465,1,1
0.468,1,1
0.471,1,1
0.474,1,1
0.477,1,1
0.48,1,1
0.483,1,1
0.486,1,1
0.489,1,1
0.492,1,1
0.495,1,1
0.498,1,1
0.501,1,1
0.504,1,1
0.507,1,1
0.51,1,1
0.513,1,1
0.516,1,1
0.519,1,1
0.522,1,1
0.525,1,1
0.528,1,1
0.531,1,1
0.534,1,1
0.537,1,1
0.54,1,1
0.543,1,1
0.546,1,1
0.549,1,1
0.552,1,1
0.555,1,1
0.558,1,1
0.561,1,1
0.564,1,1
0.567,1,1
0.57,1,1
0.573,1,1
0.576,1,1
0.579,1,1
0.582,1,1
0.585,1,1
0.588,1,1
0.591,1,1
0.594,1,1
0.597,1,1
0.6,1,1
0.603,1,1
0.606,1,1
0.609,1,1
0.612,1,1
0.615,1,1
0.618,1,1
0.621,1,1
0.624,1,1
0.627,1,1
0.63,1,1
0.633,1,1
0.636,1,1
0.639,1,1
0.642,1,1
0.645,1,1
0.648,1,1
0.651,1,1
0.654,1,1
0.657,1,1
0.66,1,1
0.663,1,1
0.666,1,1
0.669,1,1
0.672,1,1
0.675,1,1
0.678,1,1
0.681,1,1
0.684,1,1
0.687,1,1
0.69,1,1
0.693,1,1
0.696,1,1
0.699,1,1
0.702,1,1
0.705,1,1
0.708,1,1
0.711,1,1
0.714,1,1
0.717,1,1
0.72,1,1
0.723,1,1
0.726,1,1
0.729,1,1
0.732,1,1
0.735,1,1
0.738,1,1
0.741,1,1
0.744,1,1
0.747,1,1
0.75,1,1
0.753,1,1
0.756,1,1
0.759,1,1
0.762,1,1
0.765,1,1
0.768,1,1
0.771,1,1
0.774,1,1
0.777,1,1
0.78,1,1
0.783,1,1
0.786,1,1
0.789,1,1
0.792,1,1
0.795,1,1
0.798,1,1
0.801,1,1
0.804,1,1
0.807,1,1
0.81,1,1
0.813,1,1
0.816,1,1
0.819,1,1
0.822,1,1
0.825,1,1
0.828,1,1
0.831,1,1
0.834,1,1
0.837,1,1
0.84,1,1
0.843,1,1
0.846,1,1
0.849,1,1
0.852,1,1
0.855,1,1
0.858,1,1
0.861,1,1
0.864,1,1
0.867,1,1
0.87,1,1
0.873,1,1
0.876,1,1
0.879,1,1
0.882,1,1
0.885,1,1
0.888,1,1
0.891,1,1
0.894,1,1
0.897,1,1
0.9,1,1
0.903,1,1
0.906,1,1
0.909,1,1
0.912,1,1
0.915,1,1
0.918,1,1
0.921,1,1
0.924,1,1
0.927,1,1
0.93,1,1
0.933,1,1
0.936,1,1
0.939,1,1
0.942,1,1
0.945,1,1
0.948,1,1
0.951,1,1
0.954,1,1
0.957,1,1
0.96,1,1
0.963,1,1
0.966,1,1
0.969,1,1
0.972,1,1
0.975,1,1
0.978,1,1
0.981,1,1
0.984,1,1
0.987,1,1
0.99,1,1
0.993,1,1
0.996,1,1
0.999,1,1
1,1,1
1,1,1
1.002,1,1
1.005,1,1
1.008,1,1
1.011,1,1
1.014,1,1
1.017,1,1
1.02,1,1
1.023,1,1
1.026,1,1
1.029,1,1
1.032,1,1
1.035,1,1
1.038,1,1
1.041,1,1
1.044,1,1
1.047,1,1
1.05,1,1
1.053,1,1
1.056,1,1
1.059,1,1
1.062,1,1
1.065,1,1
1.068,1,1
1.071,1,1
1.074,1,1
1.077,1,1
1.08,1,1
1.083,1,1
1.086,1,1
1.089,1,1
1.092,1,1
1.095,1,1
1.098,1,1
1.101,1,1
1.104,1,1
1.107,1,1
1.11,1,1
1.113,1,1
1.116,1,1
1.119,1,1
1.122,1,1
1.125,1,1
1.128,1,1
1.131,1,1
1.134,1,1
1.137,1,1
1.14,1,1
1.143,1,1
1.146,1,1
1.149,1,1
1.152,1,1
1.155,1,1
1.158,1,1
1.161,1,1
1.164,1,1
1.167,1,1
1.17,1,1
