"time","Source.ports[1].m_flow","Source.ports[1].p","Source.ports[1].h_outflow","Sink.ports[1].m_flow","Sink.ports[1].p","Sink.ports[1].h_outflow","pump.port_b.m_flow","pump.port_b.p","pump.port_b.h_outflow","valveOpening.y","Valve.port_b.m_flow","Valve.port_b.p","Valve.port_b.h_outflow","downstreamPressure.y"
0,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.002,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.004,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.006,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.008,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.01,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.012,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.014,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.016,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.018,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.02,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.022,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.024,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.026,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.028,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.03,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.032,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.034,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
0.036,-1.47140693141263,100000,84011.8111671368,1.47140693141263,100000,84011.8111671368,-1.47140693141263,129428.138628253,84048.6621666324,1,-1.47140693141263,100000,84048.6621666324,100000
