"time","inductor.inductor[2].i","inductor.inductor[3].i"
0,0,0
5e-05,-2.71160031196186,2.68706114320374
0.0001,-5.40475196478165,5.30709774937497
0.00015,-8.07906791040331,7.86049729906199
0.0002,-10.734159205108,10.3476498854713
0.00025,-13.3696396655467,12.7689439039168
0.0003,-15.985123110937,15.1247690196978
0.00035,-18.5802243039455,17.4155150520148
0.0004,-21.1545592334801,19.6415726756201
0.00045,-23.707745128522,21.8033340261154
0.0005,-26.2394002901075,23.9011922170119
0.00055,-28.7491441060019,25.9355413684646
0.0006,-31.2365985613138,27.9067779764922
0.00065,-33.701386313989,29.8152991627175
0.0007,-36.1431325887542,31.6615043413907
0.00075,-38.5614644864471,33.4457946234579
0.0008,-40.9560104457843,35.1685723683011
0.00085,-43.326403296916,36.8302434688163
0.0009,-45.672276389166,38.4312145197034
0.00095,-47.993265659663,39.9718943201105
0.001,-50.2890124993287,41.4526959561354
0.00105,-52.5591578386403,42.8740325034393
0.0011,-54.8033469785917,44.236320498838
0.00115,-57.0212301481087,45.5399802870897
0.0012,-59.2124578444506,46.7854328215471
0.00125,-61.3766860464387,47.9731031528118
0.0013,-63.5135745820931,49.1034193487463
0.00135,-65.6227849050595,50.1768110856927
0.0014,-67.7039845143334,51.1937122581884
0.00145,-69.7568441533853,52.1545593989368
0.0015,-71.781038286212,53.0597919376601
0.00155,-73.7762458464966,53.9098526084564
0.0016,-75.7421501170756,54.7051873842601
0.00165,-77.6784390201205,55.4462456151822
0.0017,-79.5848056353629,56.1334802637135
0.00175,-81.4609470823162,56.7673474450314
0.0018,-83.3065657106313,57.3483069476918
0.00185,-85.1213689475455,57.8768221839183
0.0019,-86.9050694340832,58.3533602625389
0.00195,-88.6573829871475,58.7783890379017
0.002,-90.3780321611701,59.1523819473538
0.00205,-92.0667456284207,59.4758170327897
0.0021,-93.723257000914,59.7491751855055
0.00215,-95.3473055469614,59.9729410263605
0.0022,-96.9386361495742,60.1476026084288
0.00225,-98.4969985797881,60.2736496340463
0.0023,-100.022150014103,60.3515787067695
0.00235,-101.513853128858,60.3818889918541
0.0024,-102.971876768287,60.3650834577986
0.00245,-104.395996055476,60.30166890981
0.0025,-105.785991070635,60.1921536970747
0.00255,-107.141648857882,60.0370508244071
0.0026,-108.462764009925,59.8368787548823
0.00265,-109.749137084224,59.5921586915313
0.0027,-111.000575335838,59.3034156205421
0.00275,-112.216892696965,58.9711781468552
