"time","quarterCylinder.G_m","quarterHollowCylinder.G_m","halfCylinder.G_m","halfHollowCylinder.G_m","quarterSphere.G_m","quarterHollowSphere.G_m","eighthOfSphere.G_m","eighthOfHollowSphere.G_m","coaxCylindersEndFaces.G_m"
0,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0005,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.001,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0015,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.002,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0025,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.003,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0035,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.004,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0045,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.005,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0055,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.006,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0065,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.007,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0075,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.008,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0085,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.009,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0095,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.01,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0105,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.011,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0115,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.012,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0125,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.013,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0135,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.014,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0145,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.015,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0155,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.016,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0165,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.017,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0175,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.018,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0185,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.019,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0195,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.02,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0205,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.021,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0215,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.022,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0225,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.023,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0235,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.024,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0245,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.025,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0255,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.026,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0265,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.027,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0275,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.028,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0285,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.029,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0295,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.03,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0305,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.031,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0315,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.032,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0325,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.033,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0335,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.034,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0345,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.035,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0355,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.036,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0365,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.037,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0375,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.038,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0385,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.039,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0395,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.04,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0405,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.041,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0415,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.042,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0425,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.043,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.0435,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
0.044,6.53451271946677e-08,5.54517744447956e-08,3.26725635973338e-08,2.77258872223978e-08,9.67610537305656e-10,3.14159265358979e-09,3.87044214922263e-09,6.28318530717959e-09,2.10035055176607e-08
