"time","mass1.T","mass2.T"
0,373.15,273.15
0.0005,373.116677775006,273.183322224994
0.001,373.083377754253,273.216622245747
0.0015,373.050099914728,273.249900085272
0.002,373.016844254785,273.283155745215
0.0025,372.983610718721,273.316389281279
0.003,372.950399316773,273.349600683227
0.0035,372.917210052842,273.382789947158
0.004,372.884042926927,273.415957073073
0.0045,372.850897772759,273.449102227241
0.005,372.817774641552,273.482225358448
0.0055,372.78467356456,273.51532643544
0.006,372.751594541781,273.548405458219
0.0065,372.718537573217,273.581462426783
0.007,372.685502658867,273.614497341133
0.0075,372.652489798732,273.647510201268
0.008,372.61949899281,273.68050100719
0.0085,372.586529788968,273.713470211032
0.009,372.553582224166,273.746417775834
0.0095,372.520656547204,273.779343452796
0.01,372.487752758082,273.812247241918
0.0105,372.454870856801,273.8451291432
0.011,372.422010843359,273.877989156641
0.0115,372.389172717757,273.910827282243
0.012,372.356356479995,273.943643520005
0.0125,372.323562130073,273.976437869927
0.013,372.290789667991,274.009210332009
0.0135,372.258039093749,274.041960906251
0.014,372.225310407347,274.074689592653
0.0145,372.192603608785,274.107396391215
0.015,372.159918698063,274.140081301937
0.0155,372.127255675181,274.172744324819
0.016,372.094614540139,274.205385459861
0.0165,372.061994658184,274.238005341816
0.017,372.029394372419,274.270605627581
0.0175,371.996815646606,274.303184353394
0.018,371.964258480745,274.335741519255
0.0185,371.931722874835,274.368277125165
0.019,371.899208828878,274.400791171123
0.0195,371.866716342871,274.433283657129
0.02,371.834245416817,274.465754583183
0.0205,371.801796050714,274.498203949286
0.021,371.769368244563,274.530631755437
0.0215,371.736961998364,274.563038001636
0.022,371.704577312116,274.595422687884
0.0225,371.67221418582,274.62778581418
0.023,371.639872619476,274.660127380524
0.0235,371.607552613084,274.692447386916
0.024,371.575254166643,274.724745833357
0.0245,371.542977280154,274.757022719846
0.025,371.510721953617,274.789278046383
0.0255,371.478488187032,274.821511812968
0.026,371.446275980398,274.853724019602
0.0265,371.414085333716,274.885914666284
0.027,371.381916246986,274.918083753014
0.0275,371.349768720207,274.950231279793
0.028,371.31764275338,274.98235724662
0.0285,371.285538346505,275.014461653495
0.029,371.253455499582,275.046544500418
0.0295,371.22139421261,275.07860578739
0.03,371.18935448559,275.11064551441
0.0305,371.157336318522,275.142663681478
0.031,371.125339711405,275.174660288595
0.0315,371.093364664241,275.20663533576
0.032,371.061411177027,275.238588822973
0.0325,371.029479249766,275.270520750234
0.033,370.997566438393,275.302433561607
0.0335,370.965672143284,275.334327856716
0.034,370.933799091811,275.366200908189
0.0345,370.901947283975,275.398052716025
0.035,370.870116719776,275.429883280224
0.0355,370.838307399213,275.461692600787
0.036,370.806519322287,275.493480677714
0.0365,370.774752488997,275.525247511003
0.037,370.743006899344,275.556993100656
0.0375,370.711282553327,275.588717446673
0.038,370.679579450947,275.620420549053
0.0385,370.647897592204,275.652102407796
0.039,370.616236977097,275.683763022903
0.0395,370.584597605627,275.715402394373
0.04,370.552979477793,275.747020522207
0.0405,370.521382593596,275.778617406404
0.041,370.489806953036,275.810193046964
0.0415,370.458252556112,275.841747443888
0.042,370.426719402825,275.873280597175
0.0425,370.395207493174,275.904792506826
0.043,370.36371682716,275.93628317284
0.0435,370.332247404783,275.967752595217
0.044,370.300799226042,275.999200773958
0.0445,370.269372290937,276.030627709063
0.045,370.23796659947,276.06203340053
0.0455,370.206582151638,276.093417848362
0.046,370.175218947444,276.124781052556
0.0465,370.143876986886,276.156123013114
0.047,370.112556269965,276.187443730036
0.0475,370.08125679668,276.21874320332
0.048,370.049978567032,276.250021432969
0.0485,370.01872158102,276.28127841898
0.049,369.987485838645,276.312514161355
0.0495,369.956266257383,276.343733742617
0.05,369.925065340508,276.374934659492
0.0505,369.893885231471,276.406114768529
0.051,369.862725930271,276.437274069729
0.0515,369.83158743691,276.46841256309
0.052,369.800469751387,276.499530248613
0.0525,369.769372873702,276.530627126298
0.053,369.738296803855,276.561703196145
0.0535,369.707241541846,276.592758458154
0.054,369.676207087675,276.623792912325
0.0545,369.645193441343,276.654806558657
0.055,369.614200602848,276.685799397152
0.0555,369.583228572192,276.716771427808
0.056,369.552277349373,276.747722650627
0.0565,369.521346934393,276.778653065607
0.057,369.49043732725,276.80956267275
0.0575,369.459548527946,276.840451472054
0.058,369.42868053648,276.87131946352
0.0585,369.397833352852,276.902166647148
0.059,369.367006977062,276.932993022938
0.0595,369.33620140911,276.96379859089
0.06,369.305416648996,276.994583351004
0.0605,369.27465269672,277.02534730328
0.061,369.243909552283,277.056090447717
0.0615,369.213187215683,277.086812784317
0.062,369.182485686922,277.117514313078
0.0625,369.151804965998,277.148195034002
0.063,369.121145052913,277.178854947087
0.0635,369.090505947666,277.209494052334
0.064,369.059887650256,277.240112349744
0.0645,369.029290160685,277.270709839315
0.065,368.998713478952,277.301286521048
0.0655,368.968157605057,277.331842394943
0.066,368.937615622783,277.362384377217
0.0665,368.907093493585,277.392906506415
0.067,368.876591730358,277.423408269642
0.0675,368.846110333102,277.453889666898
0.068,368.815649301817,277.484350698183
0.0685,368.785208636503,277.514791363497
0.069,368.75478833716,277.54521166284
0.0695,368.724388403788,277.575611596212
0.07,368.694008836387,277.605991163613
0.0705,368.663649634957,277.636350365043
0.071,368.633310799498,277.666689200502
0.0715,368.60299233001,277.69700766999
0.072,368.572694226493,277.727305773507
0.0725,368.542416488946,277.757583511054
0.073,368.512159117371,277.787840882629
0.0735,368.481922111767,277.818077888233
0.074,368.451705472133,277.848294527867
0.0745,368.421509198471,277.878490801529
0.075,368.39133329078,277.90866670922
0.0755,368.361177749059,277.938822250941
0.076,368.33104257331,277.96895742669
0.0765,368.300927763531,277.999072236469
0.077,368.270833319723,278.029166680277
0.0775,368.240759241887,278.059240758113
0.078,368.210705530021,278.089294469979
0.0785,368.180672184126,278.119327815874
0.079,368.150659204202,278.149340795798
0.0795,368.12066659025,278.17933340975
0.08,368.090694342268,278.209305657732
0.0805,368.060742460257,278.239257539743
0.081,368.030810944217,278.269189055783
0.0815,368.000899794148,278.299100205852
0.082,367.971008306113,278.328991693887
0.0825,367.941133281938,278.358866718063
0.083,367.911278212293,278.388721787707
0.0835,367.881443085054,278.418556914946
0.084,367.851627888093,278.448372111907
0.0845,367.821832609284,278.478167390716
0.085,367.7920572365,278.5079427635
0.0855,367.762301757615,278.537698242385
0.086,367.732566160503,278.567433839497
0.0865,367.702850433037,278.597149566963
0.087,367.67315456309,278.62684543691
0.0875,367.643478538536,278.656521461464
0.088,367.613822347249,278.686177652751
0.0885,367.584185977102,278.715814022898
0.089,367.554569415968,278.745430584032
0.0895,367.524972651721,278.775027348279
0.09,367.495395672235,278.804604327765
0.0905,367.465838465383,278.834161534617
0.091,367.436301019039,278.863698980961
0.0915,367.406783321075,278.893216678925
0.092,367.377285359367,278.922714640633
0.0925,367.347807121786,278.952192878214
0.093,367.318348596207,278.981651403793
0.0935,367.288909770503,279.011090229497
0.094,367.259490632548,279.040509367452
0.0945,367.230091170215,279.069908829785
0.095,367.200711371378,279.099288628622
0.0955,367.17135122391,279.12864877609
0.096,367.142010715685,279.157989284316
0.0965,367.112689834575,279.187310165425
0.097,367.083388568456,279.216611431544
0.0975,367.0541069052,279.2458930948
0.098,367.024844832681,279.275155167319
0.0985,366.995602338772,279.304397661229
0.099,366.966379411346,279.333620588654
0.0995,366.937176038278,279.362823961722
0.1,366.907992207441,279.392007792559
0.1005,366.878827906708,279.421172093292
0.101,366.849683123953,279.450316876047
0.1015,366.82055784705,279.47944215295
0.102,366.791452063871,279.508547936129
0.1025,366.762365762291,279.537634237709
0.103,366.733298930182,279.566701069817
0.1035,366.704251555419,279.595748444581
0.104,366.675223625875,279.624776374125
0.1045,366.646215129424,279.653784870576
0.105,366.617226053938,279.682773946062
0.1055,366.588256387292,279.711743612708
0.106,366.559306117359,279.740693882641
0.1065,366.530375232012,279.769624767988
0.107,366.501463719125,279.798536280875
0.1075,366.472571566572,279.827428433428
0.108,366.443698762226,279.856301237774
0.1085,366.41484529396,279.88515470604
0.109,366.386011149648,279.913988850352
0.1095,366.357196317164,279.942803682836
0.11,366.328400784381,279.971599215619
0.1105,366.299624539173,280.000375460827
0.111,366.270867569413,280.029132430587
0.1115,366.242129862974,280.057870137026
0.112,366.213411407731,280.086588592269
0.1125,366.184712191556,280.115287808444
0.113,366.156032202323,280.143967797677
0.1135,366.127371427906,280.172628572094
0.114,366.098729856178,280.201270143822
0.1145,366.070107475013,280.229892524987
0.115,366.041503460347,280.258496539654
0.1155,366.012918071258,280.287081928742
0.116,365.984351769379,280.315648230621
0.1165,365.955804541394,280.344195458606
0.117,365.927276373983,280.372723626017
0.1175,365.898767253831,280.401232746169
0.118,365.870277167619,280.429722832381
0.1185,365.841806102031,280.458193897969
0.119,365.813354043748,280.486645956252
0.1195,365.784920979454,280.515079020546
0.12,365.756506895831,280.543493104169
0.1205,365.728111779562,280.571888220438
0.121,365.699735617329,280.600264382671
0.1215,365.671378395815,280.628621604185
0.122,365.643040101703,280.656959898297
