"time","damper1.s_rel","damper1.v_rel","damper2.s_rel","damper2.v_rel","springDamper3.s_rel","springDamper3.v_rel"
0,1,-10,1,-10,1,-10
0.0005,0.995031090710781,-9.87577726776953,0.99503109096439,-9.87577603048137,0.99503109096439,-9.87577603048137
0.001,0.990123767473142,-9.75309418682856,0.990123769427464,-9.75308928498837,0.990123769427464,-9.75308928498837
0.0015,0.985277365140471,-9.63193412851179,0.985277371282511,-9.63192318746012,0.985277371282511,-9.63192318746012
0.002,0.980491155373223,-9.51227888433059,0.980491169317013,-9.5122595867187,0.980491169317013,-9.5122595867187
0.0025,0.975764441503481,-9.39411103758703,0.975764467928102,-9.39408112056117,0.975764467928102,-9.39408112056117
0.003,0.971096502323861,-9.27741255809651,0.971096546994368,-9.27736981480328,0.971096546994368,-9.27736981480328
0.0035,0.966486645776929,-9.16216614442322,0.966486715493784,-9.16210842157952,0.966486715493784,-9.16210842157952
0.004,0.961934075143141,-9.04835187857852,0.961934177885294,-9.04827708423612,0.961934177885294,-9.04827708423612
0.0045,0.957438078476619,-8.93595196191548,0.95743822326093,-8.93585805855579,0.95743822326093,-8.93585805855579
0.005,0.952997932712694,-8.82494831781736,0.952998129591603,-8.82483332273871,0.952998129591603,-8.82483332273871
0.0055,0.948612941601837,-8.71532354004593,0.948613201609213,-8.71518552293768,0.948613201609213,-8.71518552293768
0.006,0.944282413134509,-8.60706032836273,0.944282748271517,-8.6068974107826,0.944282748271517,-8.6068974107826
0.0065,0.940005680424802,-8.50014201062007,0.940006103594476,-8.49995236335454,0.940006103594476,-8.49995236335454
0.007,0.935782064882907,-8.39455162207267,0.935782589920462,-8.39433346636253,0.935782589920462,-8.39433346636253
0.0075,0.931610912530899,-8.29027281327248,0.931611554128877,-8.29002441795829,0.931611554128877,-8.29002441795829
0.008,0.92749156578333,-8.18728914458327,0.927492339503685,-8.18700882655168,0.927492339503685,-8.18700882655168
0.0085,0.923423378413228,-8.08558446033071,0.923424300653658,-8.08527058321896,0.923424300653658,-8.08527058321896
0.009,0.919405715863951,-7.98514289659879,0.919406803827536,-7.9847938695693,0.919406803827536,-7.9847938695693
0.0095,0.915437965976143,-7.88594914940358,0.915439237620939,-7.88556342498857,0.915439237620939,-7.88556342498857
0.01,0.911519509682582,-7.78798774206456,0.911520983725969,-7.78756381655126,0.911520983725969,-7.78756381655126
0.0105,0.90764974328364,-7.69124358209101,0.907651439165053,-7.69077999397576,0.907651439165053,-7.69077999397576
0.011,0.903828043555292,-7.5957010888823,0.903829981474909,-7.59519642061844,0.903829981474909,-7.59519642061844
0.0115,0.900053820087453,-7.50134550218634,0.900056020927812,-7.50079837691309,0.900056020927812,-7.50079837691309
0.012,0.896326485706421,-7.40816214266055,0.896328971020197,-7.40757122376827,0.896328971020197,-7.40757122376827
0.0125,0.892645456363965,-7.31613640909914,0.892648248367276,-7.31550039993709,0.892648248367276,-7.31550039993709
0.013,0.889010154437119,-7.22525386092798,0.889013275992221,-7.22457150411483,0.889013275992221,-7.22457150411483
0.0135,0.885420012277478,-7.13550030693696,0.885423486860174,-7.13477038314782,0.885423486860174,-7.13477038314782
0.014,0.881874468151045,-7.04686170377614,0.881878319837411,-7.04608303117422,0.881878319837411,-7.04608303117422
0.0145,0.878372967806885,-6.95932419517214,0.878377221262464,-6.95849562883926,0.878377221262464,-6.95849562883926
0.015,0.874914963595672,-6.87287408989179,0.874919644045448,-6.87199452081446,0.874919644045448,-6.87199452081446
0.0155,0.871499915127421,-6.78749787818552,0.871505048340137,-6.78656623257263,0.871505048340137,-6.78656623257263
0.016,0.868127286400657,-6.70318216001642,0.868132898687579,-6.70219739909258,0.868132898687579,-6.70219739909258
0.0165,0.864796550208267,-6.61991375520669,0.864802668392577,-6.61887487409593,0.864802668392577,-6.61887487409593
0.017,0.861507186331646,-6.53767965829116,0.861513837729867,-6.53658568527342,0.861513837729867,-6.53658568527342
0.0175,0.858258681092456,-6.4564670273114,0.858265893498878,-6.45531702317165,0.858265893498878,-6.45531702317165
0.018,0.855050527680833,-6.37626319202082,0.855058329349742,-6.37505624933033,0.855058329349742,-6.37505624933033
0.0185,0.851882226155386,-6.29705565388465,0.851890645783294,-6.29579089628232,0.851890645783294,-6.29579089628232
0.019,0.848753282004635,-6.21883205011589,0.848762348716625,-6.21750863174984,0.848762348716625,-6.21750863174984
0.0195,0.845663194180996,-6.14157985452492,0.845672937551267,-6.14019696082717,0.845672937551267,-6.14019696082717
0.02,0.842611488756075,-6.06528721890187,0.842621938732289,-6.06384406361356,0.842621938732289,-6.06384406361356
0.0205,0.839597690291257,-5.98994225728144,0.839608877200721,-5.98843808266759,0.839608877200721,-5.98843808266759
0.021,0.836621329892463,-5.91553324731159,0.836633284425285,-5.9139673234785,0.836633284425285,-5.9139673234785
0.0215,0.83368194521014,-5.8420486302535,0.833694698402386,-5.84042025446618,0.833694698402386,-5.84042025446618
0.022,0.830779080439265,-5.76947701098162,0.830792663656118,-5.76778550698116,0.830792663656118,-5.76778550698116
0.0225,0.827912273477544,-5.69780683693862,0.827926718453065,-5.69605155618695,0.827926718453065,-5.69605155618695
