"time","prismatic.s","prismatic.v"
0.083,0.3,-2.8948456263649e-17
0.084,0.3,-2.92972328451276e-17
0.085,0.3,-2.96460094266059e-17
0.086,0.3,-2.99947860080836e-17
0.087,0.3,-3.0343562589561e-17
0.088,0.3,-3.06923391710379e-17
0.089,0.3,-3.10411157525144e-17
0.09,0.3,-3.13898923339905e-17
0.091,0.3,-3.17386689154662e-17
0.092,0.3,-3.20874454969414e-17
0.093,0.3,-3.24362220784162e-17
0.094,0.3,-3.27849986598906e-17
0.095,0.3,-3.31337752413645e-17
0.096,0.3,-3.3482551822838e-17
0.097,0.3,-3.38313284043111e-17
0.098,0.3,-3.41801049857838e-17
0.099,0.3,-3.4528881567256e-17
0.1,0.3,-3.48776581487278e-17
0.101,0.3,-3.52264347301992e-17
0.102,0.3,-3.55752113116702e-17
0.103,0.3,-3.59239878931407e-17
0.104,0.3,-3.62727644746108e-17
0.105,0.3,-3.66215410560805e-17
0.106,0.3,-3.69703176375498e-17
0.107,0.3,-3.73190942190186e-17
0.108,0.3,-3.7667870800487e-17
0.109,0.3,-3.8016647381955e-17
0.11,0.3,-3.83654239634226e-17
0.111,0.3,-3.87142005448897e-17
0.112,0.3,-3.90629771263564e-17
0.113,0.3,-3.94117537078226e-17
0.114,0.3,-3.97605302892885e-17
0.115,0.3,-4.01093068707539e-17
0.116,0.3,-4.04580834522189e-17
0.117,0.3,-4.08068600336835e-17
0.118,0.3,-4.11556366151476e-17
0.119,0.3,-4.15044131966113e-17
0.12,0.3,-4.18531897780746e-17
0.121,0.3,-4.22019663595375e-17
0.122,0.3,-4.25507429409999e-17
0.123,0.3,-4.28995195224619e-17
0.124,0.3,-4.32482961039235e-17
0.125,0.3,-4.35970726853847e-17
0.126,0.3,-4.39458492668454e-17
0.127,0.3,-4.42946258483057e-17
0.128,0.3,-4.46434024297656e-17
0.129,0.3,-4.4992179011225e-17
0.13,0.3,-4.53409555926841e-17
0.131,0.3,-4.56897321741427e-17
0.132,0.3,-4.60385087556155e-17
0.133,0.3,-4.63872853370895e-17
0.134,0.3,-4.67360619185635e-17
0.135,0.3,-4.70848385000376e-17
0.136,0.3,-4.74336150815117e-17
0.137,0.3,-4.77823916629859e-17
0.138,0.3,-4.81311682444601e-17
0.139,0.3,-4.84799448259344e-17
0.14,0.3,-4.88287214074087e-17
0.141,0.3,-4.9177497988883e-17
0.142,0.3,-4.95262745703575e-17
0.143,0.3,-4.98750511518319e-17
0.144,0.3,-5.02238277333064e-17
0.145,0.3,-5.0572604314781e-17
0.146,0.3,-5.09213808962556e-17
0.147,0.3,-5.12701574777303e-17
0.148,0.3,-5.1618934059205e-17
0.149,0.3,-5.19677106406797e-17
0.15,0.3,-5.23164872221545e-17
0.151,0.3,-5.26652638036294e-17
0.152,0.3,-5.30140403851043e-17
0.153,0.3,-5.33628169665792e-17
0.154,0.3,-5.37115935480542e-17
0.155,0.3,-5.40603701295293e-17
0.156,0.3,-5.44091467110043e-17
0.157,0.3,-5.47579232924795e-17
0.158,0.3,-5.51066998739547e-17
0.159,0.3,-5.54554764554299e-17
0.16,0.3,-5.58042530369052e-17
0.161,0.3,-5.61530296183805e-17
0.162,0.3,-5.65018061998559e-17
0.163,0.3,-5.68505827813314e-17
0.164,0.3,-5.71993593628068e-17
0.165,0.3,-5.75481359442824e-17
0.166,0.3,-5.78969125257579e-17
0.167,0.3,-5.82456891072336e-17
0.168,0.3,-5.85944656887092e-17
0.169,0.3,-5.89432422701849e-17
0.17,0.3,-5.92920188516607e-17
0.171,0.3,-5.96407954331366e-17
0.172,0.3,-5.99895720146124e-17
0.173,0.3,-6.03383485960883e-17
0.174,0.3,-6.06871251775643e-17
0.175,0.3,-6.10359017590403e-17
0.176,0.3,-6.13846783405163e-17
0.177,0.3,-6.17334549219925e-17
0.178,0.3,-6.20822315034686e-17
0.179,0.3,-6.24310080849448e-17
0.18,0.3,-6.27797846664211e-17
0.181,0.3,-6.31285612478974e-17
0.182,0.3,-6.34773378293737e-17
0.183,0.3,-6.38261144108501e-17
0.184,0.3,-6.41748909923266e-17
0.185,0.3,-6.45236675738031e-17
0.186,0.3,-6.48724441552796e-17
0.187,0.3,-6.52212207367562e-17
0.188,0.3,-6.55699973182328e-17
0.189,0.3,-6.59187738997095e-17
0.19,0.3,-6.62675504811863e-17
0.191,0.3,-6.66163270626631e-17
0.192,0.3,-6.69651036441399e-17
0.193,0.3,-6.73138802256168e-17
0.194,0.3,-6.76626568070937e-17
0.195,0.3,-6.80114333885707e-17
0.196,0.3,-6.83602099700477e-17
0.197,0.3,-6.87089865515248e-17
0.198,0.3,-6.90577631330019e-17
0.199,0.3,-6.94065397144791e-17
0.2,0.3,-6.97553162959563e-17
0.201,0.3,-7.01040928774336e-17
0.202,0.3,-7.04528694589109e-17
0.203,0.3,-7.08016460403883e-17
0.204,0.3,-7.11504226218657e-17
0.205,0.3,-7.14991992033431e-17
0.206,0.3,-7.18479757848206e-17
0.207,0.3,-7.21967523662982e-17
0.208,0.3,-7.25455289477758e-17
0.209,0.3,-7.28943055292535e-17
0.21,0.3,-7.32430821107312e-17
0.211,0.3,-7.35918586922089e-17
0.212,0.3,-7.39406352736867e-17
0.213,0.3,-7.42894118551646e-17
0.214,0.3,-7.46381884366425e-17
0.215,0.3,-7.49869650181204e-17
0.216,0.3,-7.53357415995984e-17
0.217,0.3,-7.56845181810765e-17
0.218,0.3,-7.60332947625546e-17
0.219,0.3,-7.63820713440327e-17
0.22,0.3,-7.67308479255109e-17
0.221,0.3,-7.70796245069891e-17
0.222,0.3,-7.74284010884674e-17
0.223,0.3,-7.77771776699457e-17
0.224,0.3,-7.81259542514241e-17
0.225,0.3,-7.84747308329026e-17
0.226,0.3,-7.8823507414381e-17
0.227,0.3,-7.91722839958596e-17
0.228,0.3,-7.95210605773381e-17
0.229,0.3,-7.98698371588168e-17
0.23,0.3,-8.02186137402954e-17
0.231,0.3,-8.05673903217742e-17
0.232,0.3,-8.09161669032529e-17
0.233,0.3,-8.12649434847318e-17
0.234,0.3,-8.16137200662106e-17
0.235,0.3,-8.19624966476895e-17
0.236,0.3,-8.23112732291685e-17
0.237,0.3,-8.26600498106475e-17
0.238,0.3,-8.30088263921266e-17
0.239,0.3,-8.33576029736057e-17
0.24,0.3,-8.37063795550848e-17
0.241,0.3,-8.4055156136564e-17
0.242,0.3,-8.44039327180433e-17
0.243,0.3,-8.47527092995226e-17
0.244,0.3,-8.51014858810019e-17
0.245,0.3,-8.54502624624813e-17
0.246,0.3,-8.57990390439608e-17
0.247,0.3,-8.61478156254403e-17
0.248,0.3,-8.64965922069198e-17
0.249,0.3,-8.68453687883994e-17
0.25,0.3,-8.7194145369879e-17
0.251,0.3,-8.75429219513587e-17
