"time","Q1.vbc","Q1.vbe","Q2.vbc","Q2.vbe","VCC.T0","VCC.counter","VCC.counter2","VEE.T0","VEE.counter","VEE.counter2"
0,0,0,0,0,0,-1,-1,0,-1,-1
2e-09,-0.000162496494811791,0.513466309465794,-0.000162496504573966,0.51346630829516,0,-1,-1,0,-1,-1
0.0005,-6.37056806053161,0.518089195662385,-6.38019004039571,0.51803738547519,0,-1,-1,0,-1,-1
0.001,-6.36117448166289,0.518136444166071,-6.38935089038559,0.517990446129687,0,-1,-1,0,-1,-1
0.0015,-6.35056286667724,0.518189377890175,-6.39973017656781,0.517937635595934,0,-1,-1,0,-1,-1
0.002,-6.33962280902234,0.518243770815121,-6.4104381373741,0.517883170788881,0,-1,-1,0,-1,-1
0.0025,-6.32859406149745,0.518298485592351,-6.42123508240159,0.517828189855665,0,-1,-1,0,-1,-1
0.003,-6.31755412822013,0.518353155426166,-6.43204359254185,0.517773061830839,0,-1,-1,0,-1,-1
0.0035,-6.30652108804697,0.518407694919512,-6.44284565095443,0.517717873379654,0,-1,-1,0,-1,-1
0.004,-6.29550128235795,0.518462074181477,-6.45363495238133,0.51766265542472,0,-1,-1,0,-1,-1
0.0045,-6.28450078079437,0.51851626487591,-6.46440549586869,0.517607437721201,0,-1,-1,0,-1,-1
0.005,-6.27352407394481,0.518570246164931,-6.47515284640607,0.517552242607776,0,-1,-1,0,-1,-1
0.0055,-6.2625733640627,0.518624008085327,-6.48587485556598,0.517497081603867,0,-1,-1,0,-1,-1
0.006,-6.25165140388908,0.518677538141684,-6.49656882624898,0.517441968921847,0,-1,-1,0,-1,-1
0.0065,-6.24076055171164,0.518730825741466,-6.50723245515375,0.51738691694368,0,-1,-1,0,-1,-1
0.007,-6.22990336608226,0.518783859495403,-6.5178632383296,0.517331939180828,0,-1,-1,0,-1,-1
0.0075,-6.21908257121286,0.518836627279938,-6.52845850606817,0.517277049992451,0,-1,-1,0,-1,-1
0.008,-6.20830099499333,0.518889116602033,-6.53901548467028,0.517222264373977,0,-1,-1,0,-1,-1
0.0085,-6.19756131909392,0.518941315545025,-6.54953154694451,0.517167596488612,0,-1,-1,0,-1,-1
0.009,-6.18686622125529,0.518993212549057,-6.56000406839619,0.517113060898822,0,-1,-1,0,-1,-1
0.0095,-6.17621836292638,0.519044796240755,-6.57043044041008,0.517058672225379,0,-1,-1,0,-1,-1
0.01,-6.16562046404403,0.519096054577268,-6.58080799736313,0.517004444879741,0,-1,-1,0,-1,-1
0.0105,-6.15507515290979,0.519146976497632,-6.59113416284659,0.51695039354312,0,-1,-1,0,-1,-1
0.011,-6.14458497942059,0.519197551761347,-6.60140643675488,0.516896533110465,0,-1,-1,0,-1,-1
0.0115,-6.1341526587866,0.519247768397994,-6.61162215809997,0.516842878026067,0,-1,-1,0,-1,-1
0.012,-6.12378084426818,0.51929761508543,-6.62177872618321,0.516789442903098,0,-1,-1,0,-1,-1
0.0125,-6.11347218912569,0.519347080501508,-6.63187354030597,0.516736242354728,0,-1,-1,0,-1,-1
0.013,-6.1032293466195,0.519396153324085,-6.64190399976962,0.51668329099413,0,-1,-1,0,-1,-1
0.0135,-6.09305484972603,0.519444823206475,-6.65186762172951,0.516630603430092,0,-1,-1,0,-1,-1
0.014,-6.08295044594896,0.519493086171908,-6.66176269294566,0.516578194242788,0,-1,-1,0,-1,-1
0.0145,-6.07291927005253,0.519540926993408,-6.67158614094287,0.516526078062931,0,-1,-1,0,-1,-1
0.015,-6.0629638896476,0.519588335043418,-6.68133544894171,0.516474269500571,0,-1,-1,0,-1,-1
0.0155,-6.05308687234504,0.519635299694381,-6.69100810016276,0.516422783165761,0,-1,-1,0,-1,-1
0.016,-6.04329078575572,0.51968181031874,-6.70060157782661,0.516371633668551,0,-1,-1,0,-1,-1
0.0165,-6.03357819749051,0.519727856288937,-6.71011336515382,0.516320835618992,0,-1,-1,0,-1,-1
0.017,-6.02395019170179,0.519773437751605,-6.7195423965687,0.516270402299465,0,-1,-1,0,-1,-1
0.0175,-6.01440989050469,0.519818540051885,-6.72888561284413,0.516220348816292,0,-1,-1,0,-1,-1
0.018,-6.00495992456885,0.519863152104231,-6.73814043551299,0.516170689835962,0,-1,-1,0,-1,-1
0.0185,-5.99560275510451,0.519907264053861,-6.74730445188301,0.516121439873299,0,-1,-1,0,-1,-1
0.019,-5.98634084332192,0.519950866045995,-6.75637524926195,0.516072613443126,0,-1,-1,0,-1,-1
0.0195,-5.97717623836016,0.51999395081145,-6.76535081939753,0.51602422418521,0,-1,-1,0,-1,-1
0.02,-5.96810991548964,0.52003651781919,-6.77423020801914,0.515976283458883,0,-1,-1,0,-1,-1
0.0205,-5.95914519860505,0.520078551801395,-6.78301015572616,0.515928807610938,0,-1,-1,0,-1,-1
0.021,-5.95028440275123,0.520120043820419,-6.7916883932849,0.515881810845806,0,-1,-1,0,-1,-1
0.0215,-5.94152984297301,0.520160984938617,-6.80026265146167,0.51583530736792,0,-1,-1,0,-1,-1
0.022,-5.93288383431521,0.520201366218343,-6.80873066102276,0.515789311381713,0,-1,-1,0,-1,-1
0.0225,-5.92434764478406,0.520241184670204,-6.81709117666233,0.515743834124778,0,-1,-1,0,-1,-1
0.023,-5.91592321789507,0.520280433467223,-6.82534229247542,0.5156988887488,0,-1,-1,0,-1,-1
0.0235,-5.90761326410808,0.520319101425392,-6.83348135254112,0.515654490578641,0,-1,-1,0,-1,-1
0.024,-5.89941995709428,0.520357180410212,-6.84150622587893,0.515610653418144,0,-1,-1,0,-1,-1
0.0245,-5.89134547052485,0.520394662287185,-6.84941478150831,0.515567391071151,0,-1,-1,0,-1,-1
0.025,-5.88339105850122,0.520431543623951,-6.85720579214636,0.515524713923894,0,-1,-1,0,-1,-1
0.0255,-5.87555823139954,0.520467819677711,-6.86487777865884,0.515482633315058,0,-1,-1,0,-1,-1
0.026,-5.86784961530078,0.520503480000609,-6.87242816546423,0.515441164729881,0,-1,-1,0,-1,-1
0.0265,-5.86026721733621,0.520538517309736,-6.87985498524739,0.515400321353256,0,-1,-1,0,-1,-1
0.027,-5.8528130446371,0.520572924322179,-6.88715627069315,0.515360116370073,0,-1,-1,0,-1,-1
0.0275,-5.84548840337648,0.520606697013701,-6.89433074052231,0.515320559870381,0,-1,-1,0,-1,-1
0.028,-5.83829449770023,0.520639831834376,-6.9013772133108,0.515281661493759,0,-1,-1,0,-1,-1
0.0285,-5.83123380421393,0.520672319318763,-6.90829326226354,0.515243436497905,0,-1,-1,0,-1,-1
0.029,-5.82430817154515,0.520704152920815,-6.91507707519477,0.51520589736789,0,-1,-1,0,-1,-1
0.0295,-5.81751944832146,0.520735326094486,-6.92172683991877,0.515169056588788,0,-1,-1,0,-1,-1
0.03,-5.8108688647255,0.520765835006519,-6.92824135088377,0.515132923601026,0,-1,-1,0,-1,-1
0.0305,-5.80435721128046,0.520795677752207,-6.93461983380096,0.515097505680565,0,-1,-1,0,-1,-1
