"time","pipe1.mediums[1].h","pipe1.mediums[1].p","pipe2.mediums[1].h","pipe2.mediums[1].p","pipe2.mediums[2].h","pipe2.mediums[2].p","pipe3.mediums[1].h","pipe3.mediums[1].p","valve.filter.x[1]","valve.filter.x[2]","valveOpening1.a","valveOpening1.b","valveOpening1.last","valveOpening1.nextEvent"
0,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,1,1,0,1,2,1
0.001,84352.0168183371,457083.62249733,84343.2225796781,455103.660190923,84297.4925726636,409431.562025054,84250.6765073116,362701.821326106,1,1,0,1,2,1
0.002,84357.3244216171,453232.962860591,84339.2481987024,451127.14551609,84291.4622554549,403380.855661772,84243.5300215976,355551.945473305,1,1,0,1,2,1
0.003,84366.3352012106,452935.972211718,84338.9559491113,450820.612900849,84291.0312653808,402919.475255503,84243.0034271978,355010.642868514,1,1,0,1,2,1
0.004,84375.6287836498,452913.186394982,84338.9532460186,450797.096387834,84291.0270361064,402884.100428812,84242.9775129913,354969.158949772,1,1,0,1,2,1
0.005,84384.9411721839,452911.345251343,84338.978246291,450795.1966755,84291.0553712321,402881.236468279,84242.9897920282,354965.797879058,1,1,0,1,2,1
0.006,84394.2522901005,452911.186686374,84339.0110297791,450795.033496526,84291.0863210321,402880.983123702,84243.0051421647,354965.497598459,1,1,0,1,2,1
0.007,84403.5584211491,452911.193579771,84339.0542809832,450795.041085048,84291.1175406453,402880.986933829,84243.0208028085,354965.498662091,1,1,0,1,2,1
0.008,84412.8615929791,452911.221670066,84339.1035007825,450795.070555685,84291.1488038648,402881.024003671,84243.0365075881,354965.538795456,1,1,0,1,2,1
0.009,84422.1565523716,452911.238269199,84339.1690263751,450795.08816722,84291.1801172224,402881.043804497,84243.0522058271,354965.55859637,1,1,0,1,2,1
0.01,84431.4495394268,452911.25210856,84339.2384680431,450795.102930618,84291.2114426215,402881.059457915,84243.0679024953,354965.573514149,1,1,0,1,2,1
0.011,84440.742526482,452911.265947921,84339.3079097112,450795.117694017,84291.2427680205,402881.075111333,84243.0835991635,354965.588431927,1,1,0,1,2,1
0.012,84450.0266519585,452911.279017493,84339.3949048607,450795.131662009,84291.2742421767,402881.090121647,84243.0993102181,354965.602470259,1,1,0,1,2,1
0.013,84459.2993418369,452911.291093675,84339.5045522451,450795.144603554,84291.3059082995,402881.104302054,84243.115039838,354965.615373694,1,1,0,1,2,1
0.014,84468.5720317153,452911.303169858,84339.6141996295,450795.157545099,84291.3375744224,402881.118482461,84243.1307694579,354965.628277129,1,1,0,1,2,1
0.015,84477.8447215936,452911.315246041,84339.7238470139,450795.170486644,84291.3692405452,402881.132662869,84243.1464990778,354965.641180564,1,1,0,1,2,1
0.016,84487.117411472,452911.327322223,84339.8334943982,450795.18342819,84291.400906668,402881.146843276,84243.1622286977,354965.654083999,1,1,0,1,2,1
0.017,84496.3901013503,452911.339398406,84339.9431417826,450795.196369735,84291.4325727908,402881.161023683,84243.1779583176,354965.666987434,1,1,0,1,2,1
0.018,84505.6627912287,452911.351474588,84340.052789167,450795.20931128,84291.4642389136,402881.17520409,84243.1936879375,354965.679890869,1,1,0,1,2,1
0.019,84514.9073090862,452911.363185991,84340.2177591789,450795.221873341,84291.4968604368,402881.19055324,84243.2094712577,354965.693782141,1,1,0,1,2,1
0.02,84524.1395849825,452911.374738882,84340.4067692648,450795.2342705,84291.5298971227,402881.206410261,84243.2252779131,354965.708102671,1,1,0,1,2,1
