"time","heatCapacitor.T","pipe.T"
0,313.15,293.15
0.0005,313.050498010992,293.249501989008
0.001,312.951984086754,293.348015913246
0.0015,312.85444296128,293.44555703872
0.002,312.757873552701,293.542126447299
0.0025,312.662240145627,293.637759854373
0.003,312.567549305463,293.732450694537
0.0035,312.473803533828,293.826196466172
0.004,312.381002830721,293.918997169279
0.0045,312.289096239682,294.010903760318
0.005,312.198099456602,294.101900543398
0.0055,312.108022059289,294.191977940711
0.006,312.018864047743,294.281135952257
0.0065,311.93056548816,294.36943451184
0.007,311.843132247236,294.456867752764
0.0075,311.756583433197,294.543416566803
0.008,311.670919046043,294.629080953957
0.0085,311.586088412317,294.713911587683
0.009,311.502082572297,294.797917427703
0.0095,311.418926307144,294.881073692856
0.01,311.336619616859,294.963380383141
0.0105,311.255136469231,295.044863530769
0.011,311.174451890777,295.125548109223
0.0115,311.09457502698,295.20542497302
0.012,311.015498425427,295.284501574573
0.0125,310.937214633703,295.362785366297
0.013,310.859716199394,295.440283800605
0.0135,310.782995670087,295.517004329913
0.014,310.707045593367,295.592954406633
0.0145,310.631855053856,295.668144946144
0.015,310.557410118834,295.742589881166
0.0155,310.483708488266,295.816291511734
0.016,310.410742122309,295.889257877691
0.0165,310.338502981117,295.961497018883
0.017,310.266983024846,296.033016975155
0.0175,310.196174213649,296.103825786351
0.018,310.126068507684,296.173931492316
0.0185,310.05665956798,296.24334043202
0.019,309.987951019916,296.312048980084
0.0195,309.919926507756,296.380073492244
0.02,309.852578533001,296.447421467
0.0205,309.78589959715,296.51410040285
0.021,309.719882201705,296.580117798295
0.0215,309.654518848165,296.645481151835
0.022,309.58980203803,296.71019796197
0.0225,309.525724272801,296.774275727199
0.023,309.462296576172,296.837703423828
0.0235,309.399500618461,296.900499381539
0.024,309.337328739276,296.962671260724
0.0245,309.275774182853,297.024225817147
0.025,309.21483019343,297.08516980657
0.0255,309.154490015243,297.145509984757
0.026,309.094746892529,297.205253107471
0.0265,309.035594069524,297.264405930476
0.027,308.977037016403,297.322962983597
0.0275,308.91906579029,297.38093420971
0.028,308.861670916756,297.438329083244
0.0285,308.804846275551,297.495153724449
0.029,308.748585746422,297.551414253578
0.0295,308.692883209117,297.607116790883
0.03,308.637732543385,297.662267456615
0.0305,308.583127628972,297.716872371028
0.031,308.529067400507,297.770932599493
0.0315,308.475547830537,297.824452169463
0.032,308.422560407325,297.877439592675
0.0325,308.370099842898,297.929900157102
0.033,308.318160907286,297.981839092714
0.0335,308.26673842852,298.03326157148
0.034,308.215827292635,298.084172707365
0.0345,308.165422443668,298.134577556332
0.035,308.115518818536,298.184481181464
0.0355,308.066111375249,298.233888624751
0.036,308.017195305053,298.282804694947
0.0365,307.968765767233,298.331234232767
0.037,307.920817977895,298.379182022105
0.0375,307.873347209963,298.426652790037
0.038,307.826348793179,298.473651206821
0.0385,307.779818114105,298.520181885895
0.039,307.733750367324,298.566249632676
0.0395,307.688139756134,298.611860243866
0.04,307.642982628499,298.657017371501
