"time","J2.phi","J2.w","J4.phi","J4.w","J6.phi","J6.w","inertia1.phi","inertia1.w","inertia2.phi","inertia2.w","inertia3.phi","inertia3.w","inertia4.phi","inertia4.w","inertia5.phi","inertia5.w","inertia6.phi","inertia6.w"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0004,0,0,0,0,0,0,8.06363852716642e-11,5.02663392125275e-07,8.06363852716642e-11,5.02663392125275e-07,0,0,0,0,0,0,0,0
0.0008,0,0,0,0,0,0,6.45026287163771e-10,2.01062330463423e-06,6.45026287163771e-10,2.01062330463423e-06,0,0,0,0,0,0,0,0
0.0012,0,0,0,0,0,0,2.32321148189803e-09,4.52386551635852e-06,2.32321148189803e-09,4.52386551635852e-06,0,0,0,0,0,0,0,0
0.0016,0,0,0,0,0,0,5.15993866937453e-09,8.04238837792549e-06,5.15993866937453e-09,8.04238837792549e-06,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,1.06729552882481e-08,1.25660801764989e-05,1.06729552882481e-08,1.25660801764989e-05,0,0,0,0,0,0,0,0
0.0024,0,0,0,0,0,0,1.85833272973946e-08,1.80949613516057e-05,1.85833272973946e-08,1.80949613516057e-05,0,0,0,0,0,0,0,0
0.0028,0,0,0,0,0,0,2.87847724235509e-08,2.46290396913212e-05,2.87847724235509e-08,2.46290396913212e-05,0,0,0,0,0,0,0,0
0.0032,0,0,0,0,0,0,4.12772906667169e-08,3.21683151956456e-05,4.12772906667169e-08,3.21683151956456e-05,0,0,0,0,0,0,0,0
0.0036,0,0,0,0,0,0,6.06056509041293e-08,4.07121188965835e-05,6.06056509041293e-08,4.07121188965835e-05,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,8.53699482555587e-08,5.02606568533618e-05,8.53699482555587e-08,5.02606568533618e-05,0,0,0,0,0,0,0,0
0.0044,0,0,0,0,0,0,1.14715945138726e-07,6.08140548056206e-05,1.14715945138726e-07,6.08140548056206e-05,0,0,0,0,0,0,0,0
0.0048,0,0,0,0,0,0,1.48643641553632e-07,7.237231275336e-05,1.48643641553632e-07,7.237231275336e-05,0,0,0,0,0,0,0,0
0.0052,0,0,0,0,0,0,1.87153037500277e-07,8.49354306965798e-05,1.87153037500277e-07,8.49354306965798e-05,0,0,0,0,0,0,0,0
0.0056,0,0,0,0,0,0,2.30244132978659e-07,9.85034086352801e-05,2.30244132978659e-07,9.85034086352801e-05,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,2.7791692798878e-07,0.000113076246569461,2.7791692798878e-07,0.000113076246569461,0,0,0,0,0,0,0,0
0.0064,0,0,0,0,0,0,3.3017142253064e-07,0.000128653944499122,3.3017142253064e-07,0.000128653944499122,0,0,0,0,0,0,0,0
0.0068,0,0,0,0,0,0,3.99441384585129e-07,0.000145232837785915,3.99441384585129e-07,0.000145232837785915,0,0,0,0,0,0,0,0
0.0072,0,0,0,0,0,0,4.84710394243457e-07,0.000162813226002052,4.84710394243457e-07,0.000162813226002052,0,0,0,0,0,0,0,0
0.0076,0,0,0,0,0,0,5.79136418233637e-07,0.000181397125718659,5.79136418233637e-07,0.000181397125718659,0,0,0,0,0,0,0,0
