"time","loadInertia.phi","loadInertia.w","smr.idq_rr[1]","smr.idq_rr[2]","smr.idq_sr[1]","smr.idq_sr[2]"
0,0,0,0,0,0,0
0.0005,-6.30984861087022e-20,-1.4036711637983e-16,-0.00012540468168122,0.000758929440005147,0.000127721414240142,-0.000806444564878375
0.001,7.36746215095127e-19,3.01992485866162e-15,-0.000247438395300029,0.000725703519534553,0.000252268218682269,-0.000776546937360285
0.0015,5.2503305821272e-18,1.38085970698304e-14,-0.000363120510452051,0.000674654177740312,0.00037060654815373,-0.000727536925774697
0.002,1.81562226002314e-17,3.63995702416969e-14,-0.000469677732050761,0.000606985141765647,0.000479902174198124,-0.000660572783192365
0.0025,4.66083640026462e-17,7.49668620928408e-14,-0.000564389496719362,0.000524420929513147,0.000577365179408197,-0.000577369495832759
0.003,9.90762025340752e-17,1.33399645401819e-13,-0.000644889788437673,0.000428927286992661,0.000660562409299335,-0.000479909493936091
0.0035,1.86293506005603e-16,2.15837905440556e-13,-0.000709193464928744,0.000322880441404049,0.000727442238551279,-0.000370608021423704
0.004,3.2175476310109e-16,3.25398874334173e-13,-0.000755885559874116,0.000209001038864162,0.000776527030911914,-0.000252277191338488
0.0045,5.18781178236214e-16,4.65105568692234e-13,-0.000783612760959895,8.99596207824666e-05,0.000806402606289865,-0.0001276785179937
0.005,7.93362936492422e-16,6.36970123947807e-13,-0.000791737234497101,-3.12563909780155e-05,0.000816377143664199,5.86387391597966e-08
0.0055,1.16219018224231e-15,8.41908663628744e-13,-0.000780248375418594,-0.000151646504378782,0.000806396755912746,0.00012776346540863
0.006,1.64150118816764e-15,1.08086269529474e-12,-0.000749146031321416,-0.000268279371866696,0.000776419191087978,0.000252340624917346
0.0065,2.24853191897359e-15,1.35302069010859e-12,-0.000699518498047431,-0.000378233328402599,0.00072750920851038,0.000370661550562662
0.007,2.99935032782255e-15,1.65687799800196e-12,-0.000632327088532021,-0.000478887226983367,0.000660605913825585,0.000479905611509493
0.0075,3.9095483267283e-15,1.98995129366363e-12,-0.000549212201253108,-0.000567730900599734,0.000577341208468888,0.000577347869493567
0.008,4.99295456940475e-15,2.34878675963893e-12,-0.000452356092313432,-0.000642543047801383,0.000479902910891867,0.00066055134373764
0.0085,6.26129975460457e-15,2.72926106388746e-12,-0.000344122567233439,-0.000701511208966004,0.000370668542325602,0.000727499041654104
0.009,7.72441052656619e-15,3.12652139990038e-12,-0.000227188248376324,-0.000743162153595993,0.000252338683562502,0.000776518830353785
0.0095,9.38932042231394e-15,3.53524598348542e-12,-0.000104352869248521,-0.000766497202293191,0.000127745579382091,0.000806432176628645
0.01,1.1260288065866e-14,3.94984496849885e-12,2.13203769313699e-05,-0.000770932955888414,-4.02371556829461e-09,0.000816494095094709
0.0105,1.33388831055904e-14,4.36450096180226e-12,0.000146712292899641,-0.000756347075523962,-0.000127740110124814,0.000806442196222809
0.011,1.56236741527187e-14,4.77345223858654e-12,0.000268704103223199,-0.000723101683276647,-0.000252286154611789,0.000776526145287308
0.0115,1.81104584160764e-14,5.1712986789972e-12,0.000384379820014763,-0.000672031688112586,-0.000370665313140443,0.00072750014432844
0.012,2.07923897300793e-14,5.55297523877441e-12,0.000490867079385231,-0.000604390227281477,-0.000479938787915676,0.00066056568964643
0.0125,2.36601885411136e-14,5.91408681245631e-12,0.000585482411856916,-0.000521825239291211,-0.000577353907303781,0.000577352712685441
0.013,2.6702616701361e-14,6.25093082425199e-12,0.000665935579200621,-0.000426382495805373,-0.000660552764111154,0.000479923717214906
0.0135,2.99067404252816e-14,6.5606009530592e-12,0.000730248843301916,-0.000320413891646903,-0.000727490586051384,0.000370679741564399
0.014,3.32584229662796e-14,6.84102497597461e-12,0.000776859477979163,-0.00020653405285725,-0.000776540910663386,0.000252316265294229
0.0145,3.67427144445755e-14,7.0909418746806e-12,0.000804574014705604,-8.75326429564407e-05,-0.000806450004622747,0.000127732113792775
0.015,4.03442254723033e-14,7.30992383738066e-12,0.000812719327100563,3.36555233893182e-05,-0.000816491419200031,-5.93622163476964e-10
0.0155,4.40475496213407e-14,7.49833539563479e-12,0.000801114470833996,0.000154037701886271,-0.000806438368597997,-0.000127727558952366
0.016,4.78376380624203e-14,7.65723045043765e-12,0.000770043774630825,0.000270653932193672,-0.000776537512640094,-0.00025230842283562
0.0165,5.17001114152567e-14,7.78828959677643e-12,0.000720257414940634,0.00038063416077405,-0.000727510498329789,-0.000370677436873462
0.017,5.5621609957936e-14,7.89374524580084e-12,0.000652975172466324,0.000481274093225238,-0.00066055884022515,-0.000479923706023248
0.0175,5.95899740290265e-14,7.97625562065534e-12,0.00056987197269648,0.000570088324942237,-0.000577350192541339,-0.000577349899344613
0.018,6.35943442318385e-14,8.03887402293497e-12,0.000472974249396947,0.000644883948078086,-0.000479913540127542,-0.000660552268408048
0.0185,6.76254845331466e-14,8.08493900905638e-12,0.000364678926239692,0.000703822396313385,-0.000370659622072413,-0.000727486818700034
0.019,7.16759160279955e-14,8.11800925347167e-12,0.000247683981737394,0.000745476125903244,-0.000252311028965213,-0.000776531602543305
0.0195,7.5740215354115e-14,8.14190326406867e-12,0.000124800111432702,0.000768760768155546,-0.000127710779751406,-0.000806416187879966
0.02,7.98151060041923e-14,8.16046823620263e-12,-8.94050618220123e-07,0.000773164450767023,1.79887566505288e-08,-0.000816466398086048
0.0205,8.38990453439039e-14,8.17771699343549e-12,-0.000126303394131973,0.000758574502226872,0.000127729567194779,-0.00080642947520618
0.021,8.79919891545634e-14,8.19780376432884e-12,-0.000248386102288887,0.000725280455235438,0.000252326917914391,-0.000776483385811623
0.0215,9.20968793055968e-14,8.22475955963369e-12,-0.000364074696626532,0.000674239477493421,0.000370676941283834,-0.000727506169956407
0.022,9.62177531968311e-14,8.26262271247502e-12,-0.000470571543248545,0.000606529953183156,0.000479919406638684,-0.000660517475611437
