"time","dcse.la.i","loadInertia.phi","loadInertia.w"
0,0,0,0
5e-05,2.46716568930795,2.8027065794344e-11,2.16635524065126e-06
0.0001,4.86980986001308,4.32756710294444e-10,1.6991037907751e-05
0.00015,7.20962035479326,2.13941576651324e-09,5.6244295942803e-05
0.0002,9.48824026515122,6.6449343991463e-09,0.000130752887388
0.00025,11.707269646508,1.5965074273925e-08,0.000250468715411983
0.0003,13.868266890606,3.25860831297166e-08,0.000424530780104867
0.00035,15.9727492887948,5.94423979754639e-08,0.000661292846565714
0.0004,18.0221945158256,9.98631767841424e-08,0.000968391596755516
0.00045,20.0180415080146,1.57542377715571e-07,0.00135278470718278
0.0005,21.9616914101958,2.36508049009617e-07,0.00182079064413173
0.00055,23.8545087046338,3.41086587079227e-07,0.00237813509611723
0.0006,25.6978220393696,4.75878443004396e-07,0.00302998300268225
0.00065,27.4929252674567,6.4572798776517e-07,0.00378097819221975
0.0007,29.2410783988763,8.5569704277649e-07,0.00463527869344458
0.00075,30.9435084471817,1.11104260556571e-06,0.0055965869273327
0.0008,32.6014102295191,1.41719677715409e-06,0.00666817703124524
0.00085,34.2159471756717,1.77974702531624e-06,0.00785292179126349
0.0009,35.7882521726928,2.20441656913077e-06,0.00915331960314976
0.00095,37.3194284603811,2.69704381731508e-06,0.0105715228175989
0.001,38.8105503555486,3.26356593998661e-06,0.0121093606295861
0.00105,40.2626638072951,3.91000891978746e-06,0.0137683540987288
0.0011,41.6767875235448,4.64245955555294e-06,0.0155497537269303
0.00115,43.0539135467818,5.4670676506734e-06,0.0174545416613593
0.0012,44.3950080576947,6.39001337385986e-06,0.0194834723380363
0.00125,45.701011661444,7.4175210807207e-06,0.0216370603365968
0.0013,46.9728404016655,8.55583171695452e-06,0.023915617004469
0.00135,48.2113864383643,9.81119221856451e-06,0.0263192666033272
0.0014,49.4175182940145,1.11898634741939e-05,0.0288479397962896
0.00145,50.5920820493147,1.26980841615441e-05,0.0315014211475771
0.0015,51.7359012716704,1.43420943546479e-05,0.0342793228116235
0.00155,52.8497782849313,1.61280969500981e-05,0.0371811357334907
0.0016,53.9344941801369,1.80622756499595e-05,0.0402062100707188
0.00165,54.990809703702,2.0150774544715e-05,0.0433537836175651
0.0017,56.0194657358028,2.23996947838172e-05,0.0466229890095739
0.00175,57.0211835889115,2.48150987074268e-05,0.0500128516670464
0.0018,57.9966659862231,2.74029868225296e-05,0.053522321201331
0.00185,58.9465969152427,3.01693176812498e-05,0.0571502497820357
0.0019,59.8716428111423,3.3119978826357e-05,0.060895431323196
0.00195,60.7724524293203,3.62608039399356e-05,0.0647565825996017
0.002,61.6496576665073,3.95975578359718e-05,0.0687323652768661
0.00205,62.5038739196383,4.31359361931582e-05,0.0728213888330179
0.0021,63.3357003606087,4.68815679692069e-05,0.0770222099985774
0.00215,64.1457207073829,5.08400030858979e-05,0.0813333517306899
0.0022,64.9345031690239,5.50167233452959e-05,0.0857532911116802
0.00225,65.7026013650492,5.94171269450136e-05,0.0902804826876108
0.0023,66.4505542447089,6.40465391485291e-05,0.094913346650487
0.00235,67.17888679125,6.89102029587952e-05,0.0996502839072939
0.0024,67.8881102741534,7.40132808472634e-05,0.104489676205819
0.00245,68.5787225054478,7.93608564204177e-05,0.109429886356451
0.0025,69.2512084713422,8.49579273267224e-05,0.114469270394131
0.00255,69.9060402798479,9.08094131634371e-05,0.119606168903562
0.0026,70.5436779330154,9.69201462155983e-05,0.124838922604977
0.00265,71.1645692457438,0.000103294878921858,0.130165863838851
0.0027,71.7691504538743,0.000109938278500294,0.135585326852377
0.00275,72.3578463927692,0.000116854929110759,0.141095646860778
0.0028,72.9310707411752,0.00012404933292547,0.146695160755766
0.00285,73.4892265182186,0.000131525907038707,0.152382214118672
0.0029,74.0327060587002,0.000139288988481878,0.158155155784023
0.00295,74.5618916460689,0.000147342829436713,0.164012347614364
0.003,75.0771554351329,0.000155691602484738,0.169952158446542
0.00305,75.5788599822215,0.000164339397670964,0.175972971156946
0.0031,76.067358362271,0.000173290224791635,0.182073181153171
0.00315,76.5429943951181,0.000182548014362505,0.188251197070501
0.0032,77.0061030412384,0.000192116616615821,0.194505444816032
0.00325,77.457010393224,0.000201999804799909,0.200834364034535
0.0033,77.8960341938332,0.00021220127324329,0.207236414067219
0.00335,78.323483768057,0.000222724640805846,0.213710069811785
0.0034,78.7396604807301,0.000233573449798624,0.220253826315273
0.00345,79.1448578090573,0.000244751167991446,0.226866197221306
0.0035,79.5393615520137,0.000256261189573232,0.233545715346978
0.00355,79.9234501427926,0.000268106835354359,0.240290934828279
0.0036,80.2973946520374,0.000280291355002383,0.247100428810512
0.00365,80.6614592133065,0.000292817926726049,0.253972792987587
0.0037,81.0159009611181,0.000305689659589307,0.260906642714106
0.00375,81.3609704275335,0.000318909593589611,0.26790061592011
0.0038,81.6969115807247,0.000332480701289504,0.274953371692888
0.00385,82.0239620173671,0.000346405888830575,0.282063590669082
0.0039,82.3423532081391,0.000360687996750177,0.289229976035805
0.00395,82.6523105102494,0.000375329801501624,0.296451252032734
0.004,82.9540535155257,0.000390334016109845,0.30372616589573
0.00405,83.2477959952581,0.000405703291653694,0.311053485890121
0.0041,83.5337462434651,0.000421440218093362,0.318432003035821
0.00415,83.8121070902893,0.00043754732550666,0.325860529916135
0.0042,84.0830760778066,0.00045402708516437,0.333337900880179
0.00425,84.346845652025,0.000470881910589931,0.340862972383651
0.0043,84.6036031815349,0.000488114158644821,0.348434621993936
0.00435,84.8535312420141,0.000505726130676522,0.356051749338078
