"time","medium.T","medium.p"
0,274,100000
0.0002,274.018,100000
0.0004,274.036,100000
0.0006,274.054,100000
0.0008,274.072,100000
0.001,274.09,100000
0.0012,274.108,100000
0.0014,274.126,100000
0.0016,274.144,100000
0.0018,274.162,100000
0.002,274.18,100000
0.0022,274.198,100000
0.0024,274.216,100000
0.0026,274.234,100000
0.0028,274.252,100000
0.003,274.27,100000
0.0032,274.288,100000
0.0034,274.306,100000
0.0036,274.324,100000
0.0038,274.342,100000
0.004,274.36,100000
0.0042,274.378,100000
0.0044,274.396,100000
0.0046,274.414,100000
0.0048,274.432,100000
0.005,274.45,100000
0.0052,274.468,100000
0.0054,274.486,100000
0.0056,274.504,100000
0.0058,274.522,100000
0.006,274.54,100000
0.0062,274.558,100000
0.0064,274.576,100000
0.0066,274.594,100000
0.0068,274.612,100000
0.007,274.63,100000
0.0072,274.648,100000
0.0074,274.666,100000
0.0076,274.684,100000
0.0078,274.702,100000
0.008,274.72,100000
0.0082,274.738,100000
0.0084,274.756,100000
0.0086,274.774,100000
0.0088,274.792,100000
0.009,274.81,100000
0.0092,274.828,100000
0.0094,274.846,100000
0.0096,274.864,100000
0.0098,274.882,100000
0.01,274.9,100000
0.0102,274.918,100000
0.0104,274.936,100000
0.0106,274.954,100000
0.0108,274.972,100000
0.011,274.99,100000
0.0112,275.008,100000
0.0114,275.026,100000
0.0116,275.044,100000
0.0118,275.062,100000
0.012,275.08,100000
0.0122,275.098,100000
0.0124,275.116,100000
0.0126,275.134,100000
0.0128,275.152,100000
0.013,275.17,100000
0.0132,275.188,100000
0.0134,275.206,100000
0.0136,275.224,100000
0.0138,275.242,100000
0.014,275.26,100000
0.0142,275.278,100000
0.0144,275.296,100000
0.0146,275.314,100000
0.0148,275.332,100000
0.015,275.35,100000
0.0152,275.368,100000
0.0154,275.386,100000
0.0156,275.404,100000
0.0158,275.422,100000
0.016,275.44,100000
0.0162,275.458,100000
0.0164,275.476,100000
0.0166,275.494,100000
0.0168,275.512,100000
0.017,275.53,100000
