"time","pipe1.mediums[1].h","pipe1.mediums[1].p","pipe2.mediums[1].h","pipe2.mediums[1].p","pipe3.mediums[1].h","pipe3.mediums[1].p","valve1.filter.x[1]","valve1.filter.x[2]","valve2.filter.x[1]","valve2.filter.x[2]","valveOpening1.a","valveOpening1.b","valveOpening1.last","valveOpening1.nextEvent","valveOpening2.a","valveOpening2.b","valveOpening2.last","valveOpening2.nextEvent"
0,112732.885587674,175000,112686.844503965,125000,112686.844503965,125000,1,1,1,1,0,1,2,1,0,1,2,2
0.0005,112754.834375241,196869.210475968,112723.781320774,161807.019918479,112723.781320774,161807.019918479,1,1,1,1,0,1,2,1,0,1,2,2
0.001,112755.978638924,198006.599742717,112726.08387996,164099.300138781,112726.08387996,164099.300138781,1,1,1,1,0,1,2,1,0,1,2,2
0.0015,112756.050193911,198075.020773282,112726.225519353,164238.097689836,112726.225519353,164238.097689836,1,1,1,1,0,1,2,1,0,1,2,2
0.002,112756.057229192,198079.14745184,112726.236285586,164246.47237606,112726.236285586,164246.47237606,1,1,1,1,0,1,2,1,0,1,2,2
0.0025,112756.060378564,198079.402222841,112726.239167121,164246.989453115,112726.239167121,164246.989453115,1,1,1,1,0,1,2,1,0,1,2,2
0.003,112756.063285701,198079.416060212,112726.241558083,164247.017604182,112726.241558083,164247.017604182,1,1,1,1,0,1,2,1,0,1,2,2
0.0035,112756.066178142,198079.415709358,112726.243920183,164247.016950829,112726.243920183,164247.016950829,1,1,1,1,0,1,2,1,0,1,2,2
0.004,112756.069073198,198079.418421607,112726.246288558,164247.02250833,112726.246288558,164247.02250833,1,1,1,1,0,1,2,1,0,1,2,2
0.0045,112756.071964397,198079.418750401,112726.248652217,164247.02323298,112726.248652217,164247.02323298,1,1,1,1,0,1,2,1,0,1,2,2
0.005,112756.074855376,198079.418913652,112726.251015545,164247.023621998,112726.251015545,164247.023621998,1,1,1,1,0,1,2,1,0,1,2,2
0.0055,112756.077746093,198079.419048086,112726.253378834,164247.023952613,112726.253378834,164247.023952613,1,1,1,1,0,1,2,1,0,1,2,2
0.006,112756.080635645,198079.419054836,112726.255741959,164247.024024446,112726.255741959,164247.024024446,1,1,1,1,0,1,2,1,0,1,2,2
0.0065,112756.083525197,198079.419061586,112726.258105084,164247.024096278,112726.258105084,164247.024096278,1,1,1,1,0,1,2,1,0,1,2,2
0.007,112756.086413702,198079.41906062,112726.260468287,164247.024152434,112726.260468287,164247.024152434,1,1,1,1,0,1,2,1,0,1,2,2
0.0075,112756.089300696,198079.419048519,112726.262831603,164247.024185969,112726.262831603,164247.024185969,1,1,1,1,0,1,2,1,0,1,2,2
0.008,112756.09218769,198079.419036418,112726.26519492,164247.024219503,112726.26519492,164247.024219503,1,1,1,1,0,1,2,1,0,1,2,2
0.0085,112756.095074685,198079.419024317,112726.267558236,164247.024253038,112726.267558236,164247.024253038,1,1,1,1,0,1,2,1,0,1,2,2
0.009,112756.097961679,198079.419012217,112726.269921553,164247.024286572,112726.269921553,164247.024286572,1,1,1,1,0,1,2,1,0,1,2,2
0.0095,112756.100848673,198079.419000116,112726.272284869,164247.024320107,112726.272284869,164247.024320107,1,1,1,1,0,1,2,1,0,1,2,2
0.01,112756.103731309,198079.418987024,112726.274648575,164247.024351541,112726.274648575,164247.024351541,1,1,1,1,0,1,2,1,0,1,2,2
0.0105,112756.106613234,198079.41897377,112726.277012345,164247.024382632,112726.277012345,164247.024382632,1,1,1,1,0,1,2,1,0,1,2,2
0.011,112756.109495158,198079.418960517,112726.279376114,164247.024413723,112726.279376114,164247.024413723,1,1,1,1,0,1,2,1,0,1,2,2
0.0115,112756.112377083,198079.418947263,112726.281739884,164247.024444815,112726.281739884,164247.024444815,1,1,1,1,0,1,2,1,0,1,2,2
0.012,112756.115259008,198079.418934009,112726.284103654,164247.024475906,112726.284103654,164247.024475906,1,1,1,1,0,1,2,1,0,1,2,2
0.0125,112756.118140933,198079.418920756,112726.286467423,164247.024506997,112726.286467423,164247.024506997,1,1,1,1,0,1,2,1,0,1,2,2
0.013,112756.121022857,198079.418907502,112726.288831193,164247.024538088,112726.288831193,164247.024538088,1,1,1,1,0,1,2,1,0,1,2,2
0.0135,112756.123904782,198079.418894248,112726.291194963,164247.02456918,112726.291194963,164247.02456918,1,1,1,1,0,1,2,1,0,1,2,2
0.014,112756.126786707,198079.418880995,112726.293558732,164247.024600271,112726.293558732,164247.024600271,1,1,1,1,0,1,2,1,0,1,2,2
