"time","x","sqrtx","sqrtx_a","x2","x2_a","x3","x3_a","sqrtxerr","x2err","x3err"
0,1e-09,3.16227766016838e-05,9.99999999999998e-09,1e-18,1.00000000000001e-11,1e-27,1.00000000000001e-13,-0.999683772233983,9999999.00000005,100000000000000
0.000202,0.000202001,0.0142127055833856,0.00201980398927541,4.0804404001e-08,2.02042208448776e-06,8.242530412606e-12,2.02083425304126e-08,-0.857887438994267,48.5148044421442,2450.71585894379
0.000404,0.000404001,0.0200997761181561,0.00403836318573985,1.63216808001e-07,4.04330564346971e-06,6.5939753649212e-11,4.04660397536492e-08,-0.799084170788748,23.7726057934238,612.681997796375
0.000606,0.000606001,0.0246170875612856,0.00605445908186754,3.67237212001e-07,6.07112710869887e-06,2.22546117709818e-10,6.08226461177098e-08,-0.754054614836355,15.5318952173135,272.303559476232
0.000808,0.000808001,0.028425358397037,0.00806687564818241,6.52865616001e-07,8.10634289384901e-06,5.27516070594424e-10,8.13276160705944e-08,-0.716208480628223,11.4165566315206,153.170878583759
0.00101,0.001010001,0.0317805128970569,0.0100744153735325,1.020102020001e-06,1.01513944919558e-05,1.03030406030303e-09,1.02030404060303e-07,-0.683000227020708,8.95135221077773,98.0294108229508
0.001212,0.001212001,0.0348138047331802,0.0120759050721266,1.468946424001e-06,1.22087036984557e-05,1.78036453483564e-09,1.22980464534836e-07,-0.653128833097139,7.31119739901921,68.0760022054637
0.001414,0.001414001,0.0376032046506677,0.0140702013881165,1.999398828001e-06,1.42806679981544e-05,2.82715194219224e-09,1.44227251942192e-07,-0.625824407285812,6.14248092884612,50.0150338189305
0.001616,0.001616001,0.0401995149224465,0.0160561959354113,2.611459232001e-06,1.6369656151566e-05,4.22012073037285e-09,1.65820220730373e-07,-0.60058732135482,5.26839429502522,38.2927670379048
0.001818,0.001818001,0.0426380229372798,0.0180328200185492,3.305127636001e-06,1.84780040126188e-05,6.00872534737745e-09,1.87808825347377e-07,-0.577071853329706,4.59070815037451,30.256017622664
0.00202,0.002020001,0.0449444212333411,0.0199990488895547,4.080404040001e-06,2.0608010605824e-05,8.24242024120606e-09,2.10242520241206e-07,-0.555027112581466,4.05048284527701,24.5073769704373
0.002222,0.002222001,0.0471381056047016,0.0219539055054478,4.937288444001e-06,2.27619344867559e-05,1.09706598598587e-08,2.33170759859859e-07,-0.534264153728356,3.61020958060745,20.2540323771247
