"time","n_nt[1]","n_nt[2]","n_nt[3]","cp[1]","cp[2]","cp[3]","eta[1]","eta[2]","eta[3]","lambda[1]","lambda[2]","lambda[3]","rho[1]","rho[2]","rho[3]","Nu[1]","Nu[2]","Nu[3]","m_flow_1[1]","m_flow_1[2]","m_flow_1[3]","m_flow_2[1]","m_flow_2[2]","m_flow_2[3]","m_flow_3[1]","m_flow_3[2]","m_flow_3[3]","kc_1[1]","kc_1[2]","kc_1[3]","kc_2[1]","kc_2[2]","kc_2[3]","kc_3[1]","kc_3[2]","kc_3[3]","Re_1[1]","Re_1[2]","Re_1[3]","Re_2[1]","Re_2[2]","Re_2[3]","Re_3[1]","Re_3[2]","Re_3[3]","input_Nu.y"
0,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,5,5,5,1.95881188804381e-05,0.000299323053490579,0.00211847534665681,1.45912614037019e-05,0.000239289450399861,0.00197440460527012,1.24606977647859e-05,0.000211583144929128,0.00188278607894826,12.845,299.25,193.5,12.845,299.25,193.5,12.845,299.25,193.5,136.734471302342,38.0501146520651,2.36607595255261,101.854007822155,30.4186093138026,2.20516668485714,86.9816510368339,26.8965682031946,2.10284007894192,5
0.000202,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,5.01616,5.01616,5.01616,1.99868298252248e-05,0.000305415694556052,0.00216159634833949,1.48717016923331e-05,0.000243888532046725,0.00201235215360454,1.2693231253661e-05,0.000215531572842303,0.0019179214159902,12.88651504,300.217176,194.125392,12.88651504,300.217176,194.125392,12.88651504,300.217176,194.125392,139.517665062327,38.8246146057829,2.41423679864997,103.81161563697,31.0032471554811,2.24754942096691,88.6048463959949,27.3984945768558,2.14208192152033,5.01616
0.000404,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,5.03232,5.03232,5.03232,2.03887891428085e-05,0.000311557973506872,0.00220506866489264,1.51541141650753e-05,0.000248519956535617,0.00205056656641921,1.29272724970262e-05,0.000219505602487295,0.0019532845716678,12.92803008,301.184352,194.750784,12.92803008,301.184352,194.750784,12.92803008,301.184352,194.750784,142.323534023524,39.6054245553613,2.46279002017341,105.782990243449,31.5919964374013,2.2902302118217,90.2385666051592,27.9036754570429,2.18157820944608,5.03232
0.000606,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,5.04848,5.04848,5.04848,2.07939845787324e-05,0.000317749703089558,0.00224889097099634,1.54384892222548e-05,0.000253183566435926,0.00208904654474218,1.3162813343518e-05,0.000223505095453174,0.00198887431432665,12.96954512,302.151528,195.376176,12.96954512,302.151528,195.376176,12.96954512,302.151528,195.376176,145.151992643943,40.3925206970329,2.51173413690385,107.768064631264,32.1848371468953,2.33320760662991,91.8827547638968,28.4120932488807,2.22132756711291,5.04848
0.000808,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,5.06464,5.06464,5.06464,2.12024040675446e-05,0.000323990698932117,0.00229306196175947,1.57248174224996e-05,0.000257879206913832,0.0021277908110219,1.33998457805062e-05,0.000227529915685161,0.00202468943327462,13.01106016,303.118704,196.001568,13.01106016,303.118704,196.001568,13.01106016,303.118704,196.001568,148.00295670094,41.1858795933262,2.56106769143872,109.766772895104,32.781749601401,2.37648017852385,93.5373549402033,28.9237306570092,2.26132864232691,5.06464
0.00101,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,5.0808,5.0808,5.0808,2.16140357276251e-05,0.000330280779473323,0.0023375803521725,1.60130894783306e-05,0.000262606725659282,0.00216679810853073,1.36383619301587e-05,0.00023157992941735,0.00206072873818731,13.0525752,304.08588,196.62696,13.0525752,304.08588,196.62696,13.0525752,304.08588,196.62696,150.876343255104,41.9854781640763,2.61078924858068,111.779050203909,33.3827144391789,2.42004652389357,95.2023121430295,29.4385706770315,2.30158010564235,5.0808
0.001212,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,5.09696,5.09696,5.09696,2.20288678563168e-05,0.000336619765886664,0.00238244487658096,1.63032962519254e-05,0.000267365972816526,0.00220606720079172,1.38783540456612e-05,0.000235655005108528,0.00209699105853686,13.09409024,305.053056,197.252352,13.09409024,305.053056,197.252352,13.09409024,305.053056,197.252352,153.772070616271,42.7912936767564,2.66089739474961,113.804832771294,33.987712610482,2.46390526174669,96.877572295894,29.9565965873547,2.34208064972384,5.09696
0.001414,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,5.11312,5.11312,5.11312,2.24468889252403e-05,0.000343007482008733,0.00242765428817867,1.65954287510457e-05,0.000272156800917311,0.00224559687102748,1.41198145075851e-05,0.000239755013380493,0.00213347524304309,13.13560528,306.020232,197.877744,13.13560528,306.020232,197.877744,13.13560528,306.020232,197.877744,156.690058310821,43.6033037373755,2.71139073741664,115.844057827118,34.596725369063,2.50805503309275,98.5630822115276,30.477791941349,2.38282898873326,5.11312
0.001616,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,5.12928,5.12928,5.12928,2.28680875757817e-05,0.000349443754270285,0.00247320735851976,1.68894781251184e-05,0.000276979064816628,0.00228538592162997,1.43627358203948e-05,0.00024387982695875,0.00217018015914582,13.17712032,306.987408,198.503136,13.17712032,306.987408,198.503136,13.17712032,306.987408,198.503136,159.630227050176,44.4214862817137,2.76226790455909,117.896663590133,35.2097342640071,2.55249450035113,100.258789567494,31.0021405598092,2.42382385774044,5.12928
0.001818,1,5,10,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,5.14544,5.14544,5.14544,2.32924526147456e-05,0.000355928411629812,0.00251910287704858,1.71854356614657e-05,0.000281832621630883,0.00232543317365028,1.46071106090886e-05,0.000248029320615477,0.00220710469249729,13.21863536,307.954584,199.128528,13.21863536,307.954584,199.128528,13.21863536,307.954584,199.128528,162.592498700461,45.2458195668782,2.81352754413542,119.962589241666,35.8267211318713,2.59722234678117,101.964642882742,31.5296265237043,2.46506401215623,5.14544
