"time","J2.phi","J2.w"
0,0,0
0.00022,6.70794251811713e-12,7.60278794317466e-08
0.00044,5.36582272592779e-11,3.04107436870865e-07
0.00066,1.93263331751475e-10,6.84238779785761e-07
0.00088,4.29245694058295e-10,1.21642183547217e-06
0.0011,8.87872501865224e-10,1.90065154061005e-06
0.00132,1.54593818171499e-09,2.73692882133022e-06
0.00154,2.39460071099367e-09,3.72525403051643e-06
0.00176,3.43386008970126e-09,4.86562716816868e-06
0.00198,5.04189824129711e-09,6.15801763685527e-06
0.0022,7.10222547520158e-09,7.60243486136657e-06
0.00242,9.54375848207952e-09,9.19888459281486e-06
0.00264,1.23664972619309e-08,1.09473668312001e-05
0.00286,1.55704418147558e-08,1.28478815765224e-05
0.00308,1.91555921405541e-08,1.49004288287817e-05
0.0033,2.31219482393259e-08,1.71050085879779e-05
0.00352,2.74695101110711e-08,1.94616208541111e-05
0.00374,3.32338602340252e-08,2.19700979109464e-05
0.00396,4.03303431240508e-08,2.46304534687378e-05
0.00418,4.81891001684681e-08,2.74427798180978e-05
0.0044,5.68101313672771e-08,3.04070769590263e-05
0.00462,6.61934367204778e-08,3.35233448915234e-05
0.00484,7.63390162280703e-08,3.6791583615589e-05
0.00506,8.72468698900545e-08,4.02117931312231e-05
0.00528,9.89169977064305e-08,4.37839734384257e-05
0.0055,1.11349399677198e-07,4.75081245371969e-05
0.00572,1.24544075802358e-07,5.13842464275367e-05
0.00594,1.38501026081909e-07,5.54123391094449e-05
0.00616,1.53220250515851e-07,5.95924025829217e-05
0.00638,1.68701749104186e-07,6.39244368479671e-05
0.0066,1.84945521846912e-07,6.84084419045809e-05
0.00682,2.0195156874403e-07,7.30444177527633e-05
0.00704,2.1971988979554e-07,7.78323643925142e-05
0.00726,2.39723576649542e-07,8.27718040919562e-05
0.00748,2.65807848144058e-07,8.78614898250695e-05
0.0077,2.93415335208564e-07,9.31028995721854e-05
0.00792,3.22546037843062e-07,9.84960333333041e-05
0.00814,3.5319995604755e-07,0.000104040891108426
0.00836,3.85377089822029e-07,0.00010973747289755
0.00858,4.19077439166499e-07,0.000115585778700677
0.0088,4.5430100408096e-07,0.000121585808517806
0.00902,4.91047784565412e-07,0.000127737562348939
0.00924,5.29317780619854e-07,0.000134041040194074
0.00946,5.69110992244288e-07,0.000140496242053212
0.00968,6.10427419438712e-07,0.000147103167926352
0.0099,6.53267062203128e-07,0.000153861817813496
0.01012,6.97629920537534e-07,0.000160772191714642
0.01034,7.4351599444193e-07,0.00016783428962979
0.01056,7.90925283916318e-07,0.000175048111558942
0.01078,8.39857788960697e-07,0.000182413657502096
0.011,8.90313509575067e-07,0.000189930927459253
0.01122,9.42292445759427e-07,0.000197599921430413
0.01144,9.95794597513778e-07,0.000205420639415575
0.01166,1.05081996483812e-06,0.000213393081414741
0.01188,1.10736854773245e-06,0.000221517247427909
0.0121,1.16544034619678e-06,0.000229793137455079
0.01232,1.22503536023109e-06,0.000238220751496253
0.01254,1.2861535898354e-06,0.000246800089551429
0.01276,1.3487950350097e-06,0.000255531151620608
0.01298,1.41295969575398e-06,0.000264413937703789
0.0132,1.47864757206826e-06,0.000273448447800974
0.01342,1.54585866395253e-06,0.000282634681912161
0.01364,1.61459297140679e-06,0.000291972640037351
0.01386,1.68485049443104e-06,0.000301462322176543
0.01408,1.75663123302528e-06,0.000311103728329738
0.0143,1.82993518718952e-06,0.000320896858496936
0.01452,1.91050366962778e-06,0.000330838483907574
0.01474,1.99974524892298e-06,0.000340927812417935
0.01496,2.09125309491452e-06,0.000351168447068944
0.01518,2.18502720760239e-06,0.0003615603878606
0.0154,2.28106758698661e-06,0.000372103634792903
0.01562,2.37937423306716e-06,0.000382798187865854
0.01584,2.47994714584405e-06,0.000393644047079452
0.01606,2.58278632531728e-06,0.000404641212433698
0.01628,2.68789177148684e-06,0.000415789683928591
0.0165,2.79526348435274e-06,0.000427089461564131
0.01672,2.90490146391498e-06,0.000438540545340319
0.01694,3.01680571017356e-06,0.000450142935257154
0.01716,3.13097622312847e-06,0.000461896631314636
0.01738,3.24741300277972e-06,0.000473801633512766
0.0176,3.36611604912731e-06,0.000485857941851543
0.01782,3.48708536217124e-06,0.000498065556330967
0.01804,3.61032094191151e-06,0.000510424476951039
0.01826,3.73582278834811e-06,0.000522934703711759
0.01848,3.86359090148105e-06,0.000535596236613125
0.0187,3.99362528131032e-06,0.000548409075655139
0.01892,4.12592592783594e-06,0.000561373220837801
0.01914,4.26049284105789e-06,0.000574488672161109
0.01936,4.39732602097618e-06,0.000587755429625066
0.01958,4.5364254675908e-06,0.000601173493229669
0.0198,4.67779118090177e-06,0.00061474286297492
0.02002,4.82142316090907e-06,0.000628463538860818
0.02024,4.96732140761271e-06,0.000642335520887364
0.02046,5.11548592101268e-06,0.000656358809054557
0.02068,5.265916701109e-06,0.000670533403362397
0.0209,5.41861374790165e-06,0.000684859303810885
0.02112,5.57357706139064e-06,0.00069933651040002
0.02134,5.73080664157597e-06,0.000713965023129802
0.02156,5.89030248845763e-06,0.000728744842000232
0.02178,6.06412964923807e-06,0.000743666849848144
0.022,6.24634577999552e-06,0.000758735537109274
0.02222,6.43186268916553e-06,0.000773954748764245
0.02244,6.62068037674812e-06,0.000789324484813059
0.02266,6.81279884274328e-06,0.000804844745255713
0.02288,7.00821808715101e-06,0.000820515530092209
0.0231,7.20693810997131e-06,0.000836336839322547
0.02332,7.40895891120418e-06,0.000852308672946725
0.02354,7.61428049084963e-06,0.000868431030964746
0.02376,7.82290284890764e-06,0.000884703913376607
0.02398,8.03482598537823e-06,0.000901127320182311
0.0242,8.25004990026138e-06,0.000917701251381856
0.02442,8.46857459355711e-06,0.000934425706975242
0.02464,8.69040006526541e-06,0.00095130068696247
0.02486,8.91552631538628e-06,0.000968326191343539
0.02508,9.14395334391972e-06,0.00098550222011845
0.0253,9.37568115086573e-06,0.0010028287732872
0.02552,9.61070973622432e-06,0.0010203058508498
0.02574,9.84903909999548e-06,0.00103793345280623
0.02596,1.00906692421792e-05,0.00105571157915651
0.02618,1.03356001627755e-05,0.00107364022990063
0.0264,1.05838318617844e-05,0.00109171940503858
0.02662,1.08353643392058e-05,0.00110994910457039
0.02684,1.10901975950398e-05,0.00112832932849603
0.02706,1.13483316292864e-05,0.00114686007681551
0.02728,1.16097664419456e-05,0.00116554134952884
0.0275,1.18745020330173e-05,0.001184373146636
0.02772,1.21425384025016e-05,0.00120335546813701
0.02794,1.24138755503984e-05,0.00122248831403186
0.02816,1.26885134767079e-05,0.00124177168432055
0.02838,1.29664521814299e-05,0.00126120557900309
0.0286,1.32476916645645e-05,0.00128078999807946
0.02882,1.35322319261116e-05,0.00130052494154968
0.02904,1.38367117152526e-05,0.00132039338310076
0.02926,1.41467892084374e-05,0.00134040999861812
0.02948,1.44612305056236e-05,0.00136057605074285
0.0297,1.4780035606811e-05,0.00138089153947493
0.02992,1.51032045119998e-05,0.00140135646481438
0.03014,1.54307372211899e-05,0.0014219708267612
0.03036,1.57626337343814e-05,0.00144273462531538
0.03058,1.60988940515741e-05,0.00146364786047692
0.0308,1.64395181727682e-05,0.00148471053224582
0.03102,1.67845060979637e-05,0.00150592264062209
0.03124,1.71338578271604e-05,0.00152728418560572
0.03146,1.74875733603585e-05,0.00154879516719671
0.03168,1.78456526975579e-05,0.00157045558539507
0.0319,1.82080958387586e-05,0.00159226544020079
0.03212,1.85749027839607e-05,0.00161422473161387
0.03234,1.89460735331641e-05,0.00163633345963432
0.03256,1.93216080863688e-05,0.00165859162426213
0.03278,1.97015064435749e-05,0.0016809992254973
0.033,2.00857686047822e-05,0.00170355626333984
0.03322,2.04743945699909e-05,0.00172626273778974
0.03344,2.08673843392009e-05,0.001749118648847
0.03366,2.12647379124123e-05,0.00177212399651163
0.03388,2.1666455289625e-05,0.00179527878078362
0.0341,2.2072536470839e-05,0.00181858300166297
0.03432,2.24829814560543e-05,0.00184203665914968
0.03454,2.2897790245271e-05,0.00186563975324376
0.03476,2.3316962838489e-05,0.0018893922839452
0.03498,2.37404992357083e-05,0.00191329425125401
0.0352,2.41683994369289e-05,0.00193734565517018
0.03542,2.46006634421509e-05,0.00196154649569371
0.03564,2.50372912513742e-05,0.00198589677282461
0.03586,2.54782828645988e-05,0.00201039648656286
0.03608,2.59251882859003e-05,0.00203504361816919
0.0363,2.63850496014905e-05,0.00205982899596694
0.03652,2.68501806730939e-05,0.00208476263045197
0.03674,2.73206082021167e-05,0.00210984448684814
0.03696,2.77963588899652e-05,0.00213507453037929
0.03718,2.82774594380456e-05,0.00216045272626927
0.0374,2.8763936547764e-05,0.00218597903974193
0.03762,2.92558169205268e-05,0.00221165343602111
0.03784,2.97531272577402e-05,0.00223747588033066
0.03806,3.02558942608103e-05,0.00226344633789444
0.03828,3.07641446311435e-05,0.00228956477393627
0.0385,3.12779050701459e-05,0.00231583115368002
0.03872,3.17972022792237e-05,0.00234224544234954
0.03894,3.23220629597833e-05,0.00236880760516866
0.03916,3.28525138132308e-05,0.00239551760736124
0.03938,3.33885815409724e-05,0.00242237541415113
0.0396,3.39302928444144e-05,0.00244938099076216
0.03982,3.4477674424963e-05,0.0024765343024182
